"","WS_c1.which.mclass....6...1."
"1","AT1G01010"
"2","AT1G01020"
"3","AT1G01070"
"4","AT1G01080"
"5","AT1G01110"
"6","AT1G01160"
"7","AT1G01180"
"8","AT1G01210"
"9","AT1G01240"
"10","AT1G01290"
"11","AT1G01350"
"12","AT1G01440"
"13","AT1G01448"
"14","AT1G01600"
"15","AT1G01640"
"16","AT1G01730"
"17","AT1G01750"
"18","AT1G01770"
"19","AT1G01780"
"20","AT1G01830"
"21","AT1G01930"
"22","AT1G01940"
"23","AT1G01990"
"24","AT1G02010"
"25","AT1G02050"
"26","AT1G02060"
"27","AT1G02220"
"28","AT1G02270"
"29","AT1G02290"
"30","AT1G02330"
"31","AT1G02335"
"32","AT1G02360"
"33","AT1G02370"
"34","AT1G02410"
"35","AT1G02520"
"36","AT1G02660"
"37","AT1G02816"
"38","AT1G02850"
"39","AT1G02880"
"40","AT1G02910"
"41","AT1G02930"
"42","AT1G02960"
"43","AT1G03030"
"44","AT1G03150"
"45","AT1G03160"
"46","AT1G03190"
"47","AT1G03250"
"48","AT1G03260"
"49","AT1G03310"
"50","AT1G03330"
"51","AT1G03360"
"52","AT1G03430"
"53","AT1G03457"
"54","AT1G03520"
"55","AT1G03550"
"56","AT1G03560"
"57","AT1G03610"
"58","AT1G03680"
"59","AT1G03687"
"60","AT1G03750"
"61","AT1G03770"
"62","AT1G03780"
"63","AT1G03840"
"64","AT1G03850"
"65","AT1G03905"
"66","AT1G03920"
"67","AT1G03940"
"68","AT1G03960"
"69","AT1G04000"
"70","AT1G04010"
"71","AT1G04020"
"72","AT1G04030"
"73","AT1G04050"
"74","AT1G04070"
"75","AT1G04100"
"76","AT1G04130"
"77","AT1G04230"
"78","AT1G04240"
"79","AT1G04260"
"80","AT1G04290"
"81","AT1G04360"
"82","AT1G04390"
"83","AT1G04503"
"84","AT1G04540"
"85","AT1G04590"
"86","AT1G04700"
"87","AT1G04710"
"88","AT1G04730"
"89","AT1G04790"
"90","AT1G04830"
"91","AT1G04837"
"92","AT1G04900"
"93","AT1G04940"
"94","AT1G04945"
"95","AT1G04960"
"96","AT1G04985"
"97","AT1G05070"
"98","AT1G05090"
"99","AT1G05170"
"100","AT1G05183"
"101","AT1G05190"
"102","AT1G05205"
"103","AT1G05460"
"104","AT1G05523"
"105","AT1G05560"
"106","AT1G05562"
"107","AT1G05590"
