"","WS_c1.which.mclass....7...1."
"290","AT1G16900"
"291","AT1G16970"
"292","AT1G17050"
"293","AT1G17070"
"294","AT1G17080"
"295","AT1G17120"
"296","AT1G17130"
"297","AT1G17220"
"298","AT1G17280"
"299","AT1G17340"
"300","AT1G17360"
"301","AT1G17440"
"302","AT1G17450"
"303","AT1G17550"
"304","AT1G17580"
"305","AT1G17680"
"306","AT1G17744"
"307","AT1G17750"
"308","AT1G17760"
"309","AT1G17820"
"310","AT1G17890"
"311","AT1G17980"
"312","AT1G18100"
"313","AT1G18190"
"314","AT1G18330"
"315","AT1G18370"
"316","AT1G18390"
"317","AT1G18460"
"318","AT1G18480"
"319","AT1G18570"
"320","AT1G18580"
"321","AT1G18620"
"322","AT1G18660"
"323","AT1G18700"
"324","AT1G18800"
"325","AT1G18850"
"326","AT1G18900"
"327","AT1G19140"
"328","AT1G19170"
"329","AT1G19210"
"330","AT1G19220"
"331","AT1G19230"
"332","AT1G19270"
"333","AT1G19300"
"334","AT1G19350"
"335","AT1G19370"
"336","AT1G19430"
"337","AT1G19440"
"338","AT1G19540"
"339","AT1G19580"
"340","AT1G19680"
"341","AT1G19710"
"342","AT1G19715"
"343","AT1G19800"
"344","AT1G19850"
"345","AT1G20190"
"346","AT1G20220"
"347","AT1G20370"
"348","AT1G20380"
"349","AT1G20430"
"350","AT1G20575"
"351","AT1G20580"
"352","AT1G20640"
"353","AT1G20670"
"354","AT1G20770"
"355","AT1G20780"
"356","AT1G20900"
"357","AT1G21010"
"358","AT1G21370"
"359","AT1G21450"
"360","AT1G21480"
"361","AT1G21560"
"362","AT1G21590"
"363","AT1G21600"
"364","AT1G21610"
"365","AT1G21640"
"366","AT1G21680"
"367","AT1G21700"
"368","AT1G21730"
"369","AT1G21770"
"370","AT1G21880"
"371","AT1G21920"
"372","AT1G22020"
"373","AT1G22070"
"374","AT1G22280"
"375","AT1G22520"
"376","AT1G22550"
"377","AT1G22660"
"378","AT1G22710"
"379","AT1G22730"
"380","AT1G22750"
"381","AT1G22790"
"382","AT1G22860"
"383","AT1G22880"
"384","AT1G22882"
"385","AT1G22910"
"386","AT1G22920"
"387","AT1G23040"
"388","AT1G23150"
"389","AT1G23170"
"390","AT1G23280"
"391","AT1G23390"
"392","AT1G23400"
"393","AT1G23440"
"394","AT1G23480"
"395","AT1G23750"
"396","AT1G23760"
"397","AT1G23780"
"398","AT1G23800"
"399","AT1G23860"
"400","AT1G24120"
"401","AT1G24150"
"402","AT1G24160"
"403","AT1G24267"
"404","AT1G24310"
"405","AT1G24340"
"406","AT1G24530"
"407","AT1G25230"
"408","AT1G25320"
"409","AT1G25380"
"410","AT1G25520"
"411","AT1G25540"
"412","AT1G25580"
"413","AT1G26170"
"414","AT1G26370"
"415","AT1G26440"
"416","AT1G26640"
"417","AT1G26650"
"418","AT1G26665"
"419","AT1G26690"
"420","AT1G26740"
"421","AT1G26770"
"422","AT1G26910"
"423","AT1G26920"
"424","AT1G26930"
"425","AT1G27150"
"426","AT1G27210"
"427","AT1G27290"
"428","AT1G27330"
"429","AT1G27350"
"430","AT1G27390"
"431","AT1G27435"
"432","AT1G27470"
"433","AT1G27520"
"434","AT1G27600"
"435","AT1G27630"
"436","AT1G27750"
"437","AT1G27752"
"438","AT1G27850"
"439","AT1G27900"
"440","AT1G27921"
"441","AT1G27930"
"442","AT1G27980"
"443","AT1G28060"
"444","AT1G28110"
"445","AT1G28120"
"446","AT1G28200"
"447","AT1G28240"
"448","AT1G28280"
"449","AT1G28320"
"450","AT1G28380"
"451","AT1G28390"
"452","AT1G28490"
"453","AT1G28510"
"454","AT1G28520"
"455","AT1G28685"
"456","AT1G29120"
"457","AT1G29170"
"458","AT1G29260"
"459","AT1G29320"
"460","AT1G29330"
"461","AT1G29690"
"462","AT1G29760"
"463","AT1G29790"
"464","AT1G29820"
"465","AT1G29890"
"466","AT1G29910"
"467","AT1G29965"
"468","AT1G29980"
"469","AT1G29990"
"470","AT1G30000"
"471","AT1G30070"
"472","AT1G30090"
"473","AT1G30110"
"474","AT1G30200"
"475","AT1G30282"
"476","AT1G30410"
"477","AT1G30420"
"478","AT1G30460"
"479","AT1G30490"
"480","AT1G30600"
"481","AT1G30620"
"482","AT1G30730"
"483","AT1G30750"
"484","AT1G30760"
"485","AT1G30840"
