"","X","WS_c1.which.mclass....6...1."
"2719",2719,"AT4G10810"
"1657",1657,"AT2G40190"
"2599",2599,"AT4G00520"
"2003",2003,"AT3G12940"
"572",572,"AT1G33780"
"283",283,"AT1G15030"
"543",543,"AT1G32070"
"1650",1650,"AT2G39950"
"11",11,"AT1G01350"
"2602",2602,"AT4G00680"
"3206",3206,"AT4G39120"
"3119",3119,"AT4G34070"
"3463",3463,"AT5G14580"
"1772",1772,"AT2G46820"
"1715",1715,"AT2G43140"
"2261",2261,"AT3G42630"
"4023",4023,"AT5G56580"
"2736",2736,"AT4G11960"
"2289",2289,"AT3G45890"
"1114",1114,"AT1G78950"
"824",824,"AT1G62040"
"326",326,"AT1G17350"
"3422",3422,"AT5G12100"
"3940",3940,"AT5G50800"
"3696",3696,"AT5G30490"
"694",694,"AT1G51740"
"1484",1484,"AT2G30280"
"3125",3125,"AT4G34310"
"1883",1883,"AT3G06483"
"2321",2321,"AT3G48070"
"4024",4024,"AT5G56610"
"299",299,"AT1G15960"
"3987",3987,"AT5G53420"
"3954",3954,"AT5G51670"
"5",5,"AT1G01110"
"1531",1531,"AT2G32760"
"47",47,"AT1G03250"
"3891",3891,"AT5G47760"
"2180",2180,"AT3G24315"
"925",925,"AT1G68680"
"4102",4102,"AT5G61580"
"938",938,"AT1G69360"
"3595",3595,"AT5G22280"
"3681",3681,"AT5G27820"
"4201",4201,"AT5G67480"
"2377",2377,"AT3G51530"
"1958",1958,"AT3G10620"
"2912",2912,"AT4G22610"
"3316",3316,"AT5G06090"
"689",689,"AT1G51600"
"2404",2404,"AT3G52910"
"1197",1197,"AT2G04540"
"3748",3748,"AT5G39600"
"2164",2164,"AT3G23070"
"3426",3426,"AT5G12240"
"9",9,"AT1G01240"
"1831",1831,"AT3G03610"
"931",931,"AT1G69010"
"2255",2255,"AT3G30841"
"2014",2014,"AT3G13450"
"863",863,"AT1G64840"
"2303",2303,"AT3G47080"
"947",947,"AT1G69760"
"1758",1758,"AT2G45860"
"3574",3574,"AT5G20165"
"2540",2540,"AT3G61200"
"4107",4107,"AT5G61980"
"2386",2386,"AT3G52030"
"2693",2693,"AT4G08280"
"692",692,"AT1G51645"
"4138",4138,"AT5G63460"
"3655",3655,"AT5G25810"
"1602",1602,"AT2G36890"
"1943",1943,"AT3G09800"
"2190",2190,"AT3G25410"
"1219",1219,"AT2G06510"
"1188",1188,"AT2G03780"
"236",236,"AT1G12650"
"2775",2775,"AT4G14680"
"2959",2959,"AT4G25610"
"3374",3374,"AT5G08710"
"403",403,"AT1G22270"
"1265",1265,"AT2G16900"
"1623",1623,"AT2G38370"
"1573",1573,"AT2G35150"
"709",709,"AT1G53000"
"964",964,"AT1G70990"
"1492",1492,"AT2G30580"
"490",490,"AT1G28260"
"921",921,"AT1G68570"
"2468",2468,"AT3G56160"
"3172",3172,"AT4G37010"
"1462",1462,"AT2G28660"
"3277",3277,"AT5G03690"
"2091",2091,"AT3G18524"
"754",754,"AT1G55750"
