"","X","WS_c1.which.mclass....3...1."
"3344",3344,"AT5G17490"
"1669",1669,"AT2G47560"
"167",167,"AT1G09900"
"3377",3377,"AT5G19160"
"99",99,"AT1G06080"
"1494",1494,"AT2G37290"
"3179",3179,"AT5G06570"
"3892",3892,"AT5G61930"
"3401",3401,"AT5G20850"
"1484",1484,"AT2G36730"
"3455",3455,"AT5G24680"
"1643",1643,"AT2G45740"
"396",396,"AT1G23790"
"31",31,"AT1G02750"
"795",795,"AT1G64405"
"3613",3613,"AT5G43540"
"1975",1975,"AT3G17950"
"1995",1995,"AT3G19020"
"1228",1228,"AT2G19690"
"2179",2179,"AT3G45750"
"2862",2862,"AT4G27620"
"1932",1932,"AT3G15130"
"3443",3443,"AT5G24000"
"604",604,"AT1G51965"
"5",5,"AT1G01370"
"3642",3642,"AT5G45440"
"3840",3840,"AT5G58690"
"3580",3580,"AT5G41612"
"2729",2729,"AT4G19890"
"3015",3015,"AT4G37670"
"1148",1148,"AT2G08635"
"3956",3956,"AT5G66360"
"3894",3894,"AT5G61950"
"668",668,"AT1G55510"
"2968",2968,"AT4G33990"
"1433",1433,"AT2G33510"
"243",243,"AT1G13635"
"2475",2475,"AT4G01510"
"1720",1720,"AT3G03000"
"1652",1652,"AT2G46570"
"3618",3618,"AT5G43870"
"1072",1072,"AT1G80880"
"1279",1279,"AT2G22850"
"472",472,"AT1G30545"
"2704",2704,"AT4G18375"
"2404",2404,"AT3G60370"
"1506",1506,"AT2G37580"
"1067",1067,"AT1G80630"
"62",62,"AT1G04635"
"2949",2949,"AT4G32970"
"2787",2787,"AT4G23000"
"2239",2239,"AT3G49400"
"2708",2708,"AT4G18520"
"2593",2593,"AT4G12670"
"3758",3758,"AT5G52960"
"2098",2098,"AT3G26040"
"896",896,"AT1G70360"
"3063",3063,"AT5G01050"
"251",251,"AT1G13990"
"1791",1791,"AT3G06740"
"1710",1710,"AT3G02400"
"996",996,"AT1G76250"
"352",352,"AT1G20550"
"3947",3947,"AT5G65830"
"988",988,"AT1G75590"
"1896",1896,"AT3G13277"
"775",775,"AT1G63240"
"310",310,"AT1G17665"
"494",494,"AT1G32310"
"883",883,"AT1G69526"
"3339",3339,"AT5G17280"
"3767",3767,"AT5G53580"
"3705",3705,"AT5G49780"
