"","phyD_FLT_c1.which.mclass....1...1."
"1","AT1G01130"
"2","AT1G01190"
"3","AT1G01200"
"4","AT1G01310"
"5","AT1G01380"
"6","AT1G01560"
"7","AT1G01570"
"8","AT1G01700"
"9","AT1G01740"
"10","AT1G01810"
"11","AT1G01840"
"12","AT1G02205"
"13","AT1G02350"
"14","AT1G02380"
"15","AT1G02530"
"16","AT1G02650"
"17","AT1G02670"
"18","AT1G02705"
"19","AT1G02710"
"20","AT1G02770"
"21","AT1G03106"
"22","AT1G03200"
"23","AT1G03300"
"24","AT1G03495"
"25","AT1G03510"
"26","AT1G03545"
"27","AT1G03600"
"28","AT1G03620"
"29","AT1G03700"
"30","AT1G03743"
"31","AT1G03746"
"32","AT1G03790"
"33","AT1G03800"
"34","AT1G03990"
"35","AT1G03993"
"36","AT1G04007"
"37","AT1G04017"
"38","AT1G04067"
"39","AT1G04150"
"40","AT1G04163"
"41","AT1G04180"
"42","AT1G04193"
"43","AT1G04227"
"44","AT1G04233"
"45","AT1G04267"
"46","AT1G04273"
"47","AT1G04297"
"48","AT1G04347"
"49","AT1G04357"
"50","AT1G04425"
"51","AT1G04433"
"52","AT1G04467"
"53","AT1G04477"
"54","AT1G04493"
"55","AT1G04540"
"56","AT1G04567"
"57","AT1G04570"
"58","AT1G04600"
"59","AT1G04620"
"60","AT1G04657"
"61","AT1G04670"
"62","AT1G04703"
"63","AT1G04707"
"64","AT1G04733"
"65","AT1G04778"
"66","AT1G04823"
"67","AT1G04827"
"68","AT1G04840"
"69","AT1G04873"
"70","AT1G04880"
"71","AT1G04917"
"72","AT1G04973"
"73","AT1G05100"
"74","AT1G05153"
"75","AT1G05163"
"76","AT1G05200"
"77","AT1G05207"
"78","AT1G05240"
"79","AT1G05273"
"80","AT1G05277"
"81","AT1G05283"
"82","AT1G05287"
"83","AT1G05317"
"84","AT1G05333"
"85","AT1G05370"
"86","AT1G05400"
"87","AT1G05417"
"88","AT1G05420"
"89","AT1G05423"
"90","AT1G05453"
"91","AT1G05517"
"92","AT1G05577"
"93","AT1G05600"
"94","AT1G05693"
"95","AT1G05703"
"96","AT1G05747"
"97","AT1G05773"
"98","AT1G05873"
"99","AT1G05913"
"100","AT1G05917"
"101","AT1G05943"
"102","AT1G05973"
"103","AT1G05977"
"104","AT1G05993"
"105","AT1G05997"
"106","AT1G06017"
"107","AT1G06030"
"108","AT1G06033"
"109","AT1G06045"
"110","AT1G06080"
"111","AT1G06083"
"112","AT1G06087"
"113","AT1G06113"
"114","AT1G06140"
"115","AT1G06143"
"116","AT1G06173"
"117","AT1G06177"
"118","AT1G06207"
"119","AT1G06213"
"120","AT1G06217"
"121","AT1G06233"
"122","AT1G06237"
"123","AT1G06253"
"124","AT1G06265"
"125","AT1G06283"
"126","AT1G06287"
"127","AT1G06310"
"128","AT1G06337"
"129","AT1G06357"
"130","AT1G06423"
"131","AT1G06440"
"132","AT1G06453"
"133","AT1G06463"
