"","phyD_FLT_c1.which.mclass....8...1."
"1","AT1G01010"
"2","AT1G01140"
"3","AT1G01180"
"4","AT1G01260"
"5","AT1G01340"
"6","AT1G01440"
"7","AT1G01480"
"8","AT1G01500"
"9","AT1G01580"
"10","AT1G01610"
"11","AT1G01660"
"12","AT1G01670"
"13","AT1G01710"
"14","AT1G01750"
"15","AT1G01830"
"16","AT1G01900"
"17","AT1G01930"
"18","AT1G01970"
"19","AT1G02000"
"20","AT1G02270"
"21","AT1G02300"
"22","AT1G02340"
"23","AT1G02360"
"24","AT1G02390"
"25","AT1G02400"
"26","AT1G02420"
"27","AT1G02430"
"28","AT1G02440"
"29","AT1G02460"
"30","AT1G02575"
"31","AT1G02610"
"32","AT1G02660"
"33","AT1G02730"
"34","AT1G02810"
"35","AT1G02860"
"36","AT1G02910"
"37","AT1G03070"
"38","AT1G03130"
"39","AT1G03180"
"40","AT1G03340"
"41","AT1G03370"
"42","AT1G03400"
"43","AT1G03457"
"44","AT1G03470"
"45","AT1G03660"
"46","AT1G03740"
"47","AT1G03760"
"48","AT1G03780"
"49","AT1G03905"
"50","AT1G03920"
"51","AT1G03940"
"52","AT1G03950"
"53","AT1G03980"
"54","AT1G04047"
"55","AT1G04117"
"56","AT1G04200"
"57","AT1G04220"
"58","AT1G04247"
"59","AT1G04280"
"60","AT1G04350"
"61","AT1G04360"
"62","AT1G04487"
"63","AT1G04490"
"64","AT1G04555"
"65","AT1G04640"
"66","AT1G04647"
"67","AT1G04650"
"68","AT1G04700"
"69","AT1G04710"
"70","AT1G04830"
"71","AT1G04833"
"72","AT1G05000"
"73","AT1G05010"
"74","AT1G05060"
"75","AT1G05090"
"76","AT1G05183"
"77","AT1G05230"
"78","AT1G05280"
"79","AT1G05310"
"80","AT1G05320"
"81","AT1G05430"
"82","AT1G05440"
"83","AT1G05530"
"84","AT1G05553"
"85","AT1G05650"
"86","AT1G05660"
"87","AT1G05700"
"88","AT1G05750"
"89","AT1G05753"
"90","AT1G05760"
"91","AT1G05810"
"92","AT1G05820"
"93","AT1G05837"
"94","AT1G05843"
"95","AT1G05950"
"96","AT1G06000"
"97","AT1G06002"
"98","AT1G06050"
"99","AT1G06090"
"100","AT1G06120"
"101","AT1G06240"
"102","AT1G06270"
"103","AT1G06330"
"104","AT1G06430"
"105","AT1G06460"
"106","AT1G06500"
"107","AT1G06590"
"108","AT1G06650"
"109","AT1G06740"
"110","AT1G06800"
"111","AT1G06910"
"112","AT1G06923"
"113","AT1G07000"
"114","AT1G07130"
"115","AT1G07135"
"116","AT1G07175"
"117","AT1G07367"
"118","AT1G07373"
"119","AT1G07520"
