"","phyD_FLT_c1.which.mclass....2...1."
"1","AT1G01070"
"2","AT1G01110"
"3","AT1G01170"
"4","AT1G01210"
"5","AT1G01290"
"6","AT1G01350"
"7","AT1G01448"
"8","AT1G01470"
"9","AT1G01540"
"10","AT1G01630"
"11","AT1G01640"
"12","AT1G01650"
"13","AT1G01725"
"14","AT1G01770"
"15","AT1G01920"
"16","AT1G01940"
"17","AT1G01990"
"18","AT1G02145"
"19","AT1G02150"
"20","AT1G02170"
"21","AT1G02220"
"22","AT1G02280"
"23","AT1G02335"
"24","AT1G02520"
"25","AT1G02680"
"26","AT1G02690"
"27","AT1G02750"
"28","AT1G02880"
"29","AT1G02890"
"30","AT1G02920"
"31","AT1G02930"
"32","AT1G03030"
"33","AT1G03060"
"34","AT1G03090"
"35","AT1G03110"
"36","AT1G03250"
"37","AT1G03280"
"38","AT1G03350"
"39","AT1G03360"
"40","AT1G03380"
"41","AT1G03430"
"42","AT1G03475"
"43","AT1G03530"
"44","AT1G03687"
"45","AT1G03730"
"46","AT1G03970"
"47","AT1G04030"
"48","AT1G04070"
"49","AT1G04120"
"50","AT1G04210"
"51","AT1G04300"
"52","AT1G04400"
"53","AT1G04440"
"54","AT1G04520"
"55","AT1G04530"
"56","AT1G04537"
"57","AT1G04770"
"58","AT1G04780"
"59","AT1G04790"
"60","AT1G04810"
"61","AT1G04860"
"62","AT1G04900"
"63","AT1G04910"
"64","AT1G04950"
"65","AT1G04960"
"66","AT1G04970"
"67","AT1G04980"
"68","AT1G05070"
"69","AT1G05147"
"70","AT1G05150"
"71","AT1G05170"
"72","AT1G05180"
"73","AT1G05210"
"74","AT1G05220"
"75","AT1G05250"
"76","AT1G05270"
"77","AT1G05340"
"78","AT1G05360"
"79","AT1G05380"
"80","AT1G05410"
"81","AT1G05500"
"82","AT1G05520"
"83","AT1G05560"
"84","AT1G05562"
"85","AT1G05575"
"86","AT1G05710"
"87","AT1G05785"
"88","AT1G05805"
"89","AT1G05870"
"90","AT1G05960"
"91","AT1G06040"
"92","AT1G06060"
"93","AT1G06190"
"94","AT1G06210"
"95","AT1G06290"
"96","AT1G06470"
"97","AT1G06550"
"98","AT1G06620"
"99","AT1G06630"
"100","AT1G06640"
"101","AT1G06720"
"102","AT1G06790"
"103","AT1G06850"
"104","AT1G06930"
"105","AT1G06950"
"106","AT1G07040"
"107","AT1G07250"
"108","AT1G07260"
"109","AT1G07480"
"110","AT1G07510"
"111","AT1G07530"
"112","AT1G07640"
"113","AT1G07810"
"114","AT1G07840"
"115","AT1G07950"
"116","AT1G07990"
"117","AT1G08010"
"118","AT1G08125"
"119","AT1G08130"
"120","AT1G08160"
"121","AT1G08190"
"122","AT1G08210"
"123","AT1G08230"
"124","AT1G08260"
"125","AT1G08350"
"126","AT1G08410"
"127","AT1G08460"
"128","AT1G08477"
"129","AT1G08500"
"130","AT1G08560"
"131","AT1G08600"
"132","AT1G08620"
"133","AT1G08640"
"134","AT1G08657"
"135","AT1G08680"
"136","AT1G08700"
"137","AT1G08710"
"138","AT1G08803"
"139","AT1G09010"
"140","AT1G09020"
"141","AT1G09070"
"142","AT1G09100"
"143","AT1G09130"
"144","AT1G09290"
"145","AT1G09580"
"146","AT1G09795"
"147","AT1G09830"
"148","AT1G09870"
"149","AT1G09920"
"150","AT1G09980"
"151","AT1G10070"
"152","AT1G10130"
"153","AT1G10155"
"154","AT1G10170"
"155","AT1G10180"
"156","AT1G10310"
"157","AT1G10390"
"158","AT1G10410"
"159","AT1G10490"
"160","AT1G10530"
"161","AT1G10580"
"162","AT1G10600"
"163","AT1G10700"
"164","AT1G10720"
"165","AT1G10740"
"166","AT1G10900"
"167","AT1G11020"
"168","AT1G11175"
"169","AT1G11185"
"170","AT1G11200"
"171","AT1G11530"
"172","AT1G11592"
"173","AT1G11760"
"174","AT1G11905"
"175","AT1G11930"
"176","AT1G12010"
"177","AT1G12050"
"178","AT1G12110"
"179","AT1G12350"
"180","AT1G12400"
"181","AT1G12500"
"182","AT1G12520"
"183","AT1G12530"
"184","AT1G12580"
"185","AT1G12640"
"186","AT1G12680"
"187","AT1G12780"
"188","AT1G12830"
"189","AT1G13000"
"190","AT1G13160"
"191","AT1G13195"
"192","AT1G13220"
"193","AT1G13245"
"194","AT1G13300"
"195","AT1G13390"
"196","AT1G13530"
"197","AT1G13570"
"198","AT1G13640"
"199","AT1G13690"
"200","AT1G13750"
"201","AT1G13880"
"202","AT1G13950"
"203","AT1G13960"
"204","AT1G13990"
"205","AT1G14200"
"206","AT1G14230"
"207","AT1G14330"
"208","AT1G14360"
"209","AT1G14410"
"210","AT1G14453"
"211","AT1G14690"
"212","AT1G14710"
"213","AT1G14990"
"214","AT1G15000"
"215","AT1G15002"
"216","AT1G15020"
"217","AT1G15030"
"218","AT1G15110"
"219","AT1G15130"
"220","AT1G15140"
"221","AT1G15240"
"222","AT1G15440"
"223","AT1G15470"
"224","AT1G15570"
"225","AT1G15625"
"226","AT1G15640"
"227","AT1G15740"
"228","AT1G15800"
"229","AT1G15810"
"230","AT1G15910"
"231","AT1G16010"
"232","AT1G16040"
"233","AT1G16270"
"234","AT1G16300"
"235","AT1G16340"
"236","AT1G16570"
"237","AT1G16710"
"238","AT1G16900"
"239","AT1G16916"
"240","AT1G16970"
"241","AT1G17110"
"242","AT1G17120"
"243","AT1G17130"
"244","AT1G17350"
"245","AT1G17430"
"246","AT1G17490"
"247","AT1G17500"
"248","AT1G17520"
"249","AT1G17620"
"250","AT1G17730"
"251","AT1G17745"
"252","AT1G17970"
"253","AT1G18150"
"254","AT1G18160"
"255","AT1G18260"
"256","AT1G18270"
"257","AT1G18330"
"258","AT1G18480"
"259","AT1G18500"
"260","AT1G18700"
"261","AT1G18745"
"262","AT1G18840"
"263","AT1G18890"
"264","AT1G18980"
"265","AT1G19110"
"266","AT1G19240"
"267","AT1G19310"
"268","AT1G19370"
"269","AT1G19450"
"270","AT1G19520"
"271","AT1G19660"
"272","AT1G19730"
"273","AT1G19770"
"274","AT1G19800"
"275","AT1G19880"
"276","AT1G20140"
"277","AT1G20190"
"278","AT1G20225"
"279","AT1G20540"
"280","AT1G20560"
"281","AT1G20610"
"282","AT1G20630"
"283","AT1G20670"
"284","AT1G20760"
"285","AT1G20890"
"286","AT1G21050"
"287","AT1G21160"
"288","AT1G21370"
"289","AT1G21380"
"290","AT1G21560"
"291","AT1G21580"
"292","AT1G21600"
"293","AT1G21660"
"294","AT1G21730"
"295","AT1G21740"
"296","AT1G21760"
"297","AT1G21880"
"298","AT1G21980"
"299","AT1G22065"
"300","AT1G22070"
"301","AT1G22330"
"302","AT1G22500"
"303","AT1G22510"
"304","AT1G22610"
"305","AT1G22640"
"306","AT1G22740"
"307","AT1G22770"
"308","AT1G22790"
"309","AT1G22880"
"310","AT1G22885"
"311","AT1G22910"
"312","AT1G22920"
"313","AT1G22930"
"314","AT1G22970"
"315","AT1G23030"
"316","AT1G23040"
"317","AT1G23050"
"318","AT1G23052"
"319","AT1G23100"
"320","AT1G23220"
"321","AT1G23480"
"322","AT1G23760"
"323","AT1G23780"
"324","AT1G23800"
"325","AT1G23850"
"326","AT1G23900"
"327","AT1G24120"
"328","AT1G24160"
"329","AT1G24170"
"330","AT1G24190"
"331","AT1G24240"
"332","AT1G24350"
"333","AT1G24440"
"334","AT1G24460"
"335","AT1G24560"
"336","AT1G24764"
"337","AT1G24793"
"338","AT1G25054"
"339","AT1G25211"
"340","AT1G25380"
"341","AT1G25420"
"342","AT1G25500"
"343","AT1G25510"
"344","AT1G25520"
"345","AT1G25682"
"346","AT1G26300"
"347","AT1G26340"
"348","AT1G26440"
"349","AT1G26460"
"350","AT1G26690"
"351","AT1G26800"
"352","AT1G26830"
"353","AT1G26910"
"354","AT1G26930"
"355","AT1G26940"
"356","AT1G26960"
"357","AT1G27030"
"358","AT1G27150"
"359","AT1G27190"
"360","AT1G27320"
"361","AT1G27385"
"362","AT1G27470"
"363","AT1G27510"
"364","AT1G27520"
"365","AT1G27540"
"366","AT1G27600"
"367","AT1G27630"
"368","AT1G27695"
"369","AT1G27700"
"370","AT1G27760"
"371","AT1G27770"
"372","AT1G27921"
"373","AT1G27930"
"374","AT1G28100"
"375","AT1G28120"
"376","AT1G28130"
"377","AT1G28140"
"378","AT1G28150"
"379","AT1G28190"
"380","AT1G28260"
"381","AT1G28280"
"382","AT1G28310"
"383","AT1G28340"
"384","AT1G28420"
"385","AT1G28490"
"386","AT1G28540"
"387","AT1G28680"
"388","AT1G28960"
"389","AT1G29025"
"390","AT1G29040"
"391","AT1G29060"
