"","X","phyD_FLT_c1.which.mclass....2...1."
"124",124,"AT1G08260"
"2183",2183,"AT4G13030"
"2356",2356,"AT4G26510"
"3276",3276,"AT5G61140"
"3226",3226,"AT5G57630"
"1114",1114,"AT2G27040"
"968",968,"AT2G17080"
"1971",1971,"AT3G56170"
"670",670,"AT1G67105"
"1029",1029,"AT2G20330"
"368",368,"AT1G27695"
"165",165,"AT1G10740"
"3213",3213,"AT5G57060"
"275",275,"AT1G19880"
"747",747,"AT1G71940"
"475",475,"AT1G47380"
"3048",3048,"AT5G43760"
"432",432,"AT1G32440"
"2067",2067,"AT4G00110"
"131",131,"AT1G08600"
"926",926,"AT2G06530"
"2604",2604,"AT5G02800"
"1071",1071,"AT2G23340"
"2161",2161,"AT4G10330"
"1183",1183,"AT2G32910"
"882",882,"AT2G01190"
"2869",2869,"AT5G20600"
"139",139,"AT1G09010"
"2914",2914,"AT5G24500"
"1976",1976,"AT3G56850"
"3155",3155,"AT5G52670"
"3008",3008,"AT5G40590"
"3101",3101,"AT5G48360"
"2791",2791,"AT5G14590"
"3067",3067,"AT5G45660"
"2013",2013,"AT3G59770"
"2248",2248,"AT4G17410"
"268",268,"AT1G19370"
"1441",1441,"AT3G03773"
"1724",1724,"AT3G21640"
"1534",1534,"AT3G09925"
"2691",2691,"AT5G08320"
"2211",2211,"AT4G15010"
"1255",1255,"AT2G38740"
"726",726,"AT1G71020"
"163",163,"AT1G10700"
"2193",2193,"AT4G13980"
"2053",2053,"AT3G62940"
"1741",1741,"AT3G23780"
"1279",1279,"AT2G39940"
"3026",3026,"AT5G42200"
"1077",1077,"AT2G24060"
"709",709,"AT1G69520"
"2635",2635,"AT5G04720"
"883",883,"AT2G01410"
"129",129,"AT1G08500"
"1099",1099,"AT2G26210"
"1407",1407,"AT3G01970"
"84",84,"AT1G05562"
"1543",1543,"AT3G10480"
"971",971,"AT2G17250"
"71",71,"AT1G05170"
"754",754,"AT1G72230"
"145",145,"AT1G09580"
"1537",1537,"AT3G10050"
"2498",2498,"AT4G34890"
"508",508,"AT1G49720"
"1324",1324,"AT2G43130"
"1110",1110,"AT2G26970"
"1763",1763,"AT3G25717"
"69",69,"AT1G05147"
"1871",1871,"AT3G48820"
"2626",2626,"AT5G04170"
"2309",2309,"AT4G22720"
"2742",2742,"AT5G11890"
"2771",2771,"AT5G13460"
"420",420,"AT1G31760"
"2800",2800,"AT5G15130"
"1833",1833,"AT3G45620"
"3085",3085,"AT5G47455"
"1048",1048,"AT2G21470"
"916",916,"AT2G04880"
"1041",1041,"AT2G21150"
"2920",2920,"AT5G24800"
"994",994,"AT2G18220"
"2747",2747,"AT5G11960"
"1807",1807,"AT3G28970"
"2720",2720,"AT5G10460"
"2229",2229,"AT4G16260"
"3178",3178,"AT5G54855"
"1161",1161,"AT2G31085"
"629",629,"AT1G63010"
"172",172,"AT1G11592"
"2286",2286,"AT4G20320"
"1092",1092,"AT2G25710"
"2261",2261,"AT4G18593"
"2432",2432,"AT4G31420"
"894",894,"AT2G02180"
"2262",2262,"AT4G18600"
"2812",2812,"AT5G16360"
"2859",2859,"AT5G19740"
"1707",1707,"AT3G20650"
"3168",3168,"AT5G53850"
"944",944,"AT2G15230"
"143",143,"AT1G09130"
"262",262,"AT1G18840"
"2774",2774,"AT5G13500"
"2514",2514,"AT4G35770"
"3209",3209,"AT5G56980"
"3110",3110,"AT5G48900"
"509",509,"AT1G50060"
"2797",2797,"AT5G14880"
"1195",1195,"AT2G34410"
"523",523,"AT1G52050"
"2843",2843,"AT5G18830"
"987",987,"AT2G17705"
"2120",2120,"AT4G04720"
"1066",1066,"AT2G22840"
"2658",2658,"AT5G05987"
"283",283,"AT1G20670"
"2109",2109,"AT4G02980"
"1158",1158,"AT2G30710"
"1295",1295,"AT2G40935"
"903",903,"AT2G03150"
"2238",2238,"AT4G16563"
"3295",3295,"AT5G62610"
"453",453,"AT1G35670"
"757",757,"AT1G72340"
"803",803,"AT1G76260"
"2100",2100,"AT4G02350"
"2917",2917,"AT5G24650"
"415",415,"AT1G30910"
"3181",3181,"AT5G55040"
"2491",2491,"AT4G34370"
"2861",2861,"AT5G19980"
"615",615,"AT1G61150"
"2697",2697,"AT5G08560"
"2007",2007,"AT3G59320"
"2629",2629,"AT5G04280"
"3345",3345,"AT5G65180"
"1230",1230,"AT2G37060"
"1555",1555,"AT3G10980"
"1701",1701,"AT3G20260"
"2581",2581,"AT5G01040"
"575",575,"AT1G55880"
"2263",2263,"AT4G18700"
"957",957,"AT2G16460"
"2128",2128,"AT4G05160"
"1063",1063,"AT2G22570"
"2373",2373,"AT4G27720"
"1264",1264,"AT2G39270"
"1091",1091,"AT2G25660"
"1205",1205,"AT2G35270"
"2572",2572,"AT4G39540"
"1126",1126,"AT2G27900"
"1387",1387,"AT2G48010"
"1270",1270,"AT2G39500"
"1720",1720,"AT3G21430"
"2639",2639,"AT5G05000"
"336",336,"AT1G24764"
"2534",2534,"AT4G36960"
"1300",1300,"AT2G41220"
"1049",1049,"AT2G21560"
"471",471,"AT1G46554"
"2419",2419,"AT4G30620"
"285",285,"AT1G20890"
"217",217,"AT1G15030"
"2537",2537,"AT4G37180"
"2497",2497,"AT4G34860"
"1643",1643,"AT3G15360"
"1542",1542,"AT3G10380"
"1713",1713,"AT3G21110"
"1844",1844,"AT3G47000"
"1574",1574,"AT3G12230"
"1412",1412,"AT3G02240"
"24",24,"AT1G02520"
"2213",2213,"AT4G15080"
"440",440,"AT1G33750"
"2072",2072,"AT4G00440"
"1727",1727,"AT3G22160"
"1775",1775,"AT3G26610"
"1657",1657,"AT3G16630"
"2350",2350,"AT4G26060"
"199",199,"AT1G13690"
"3291",3291,"AT5G62460"
"2709",2709,"AT5G09850"
"104",104,"AT1G06930"
"984",984,"AT2G17570"
"1107",1107,"AT2G26800"
"2272",2272,"AT4G19150"
"775",775,"AT1G73790"
"1901",1901,"AT3G51330"
"653",653,"AT1G65260"
"155",155,"AT1G10180"
"913",913,"AT2G04360"
"520",520,"AT1G51590"
"622",622,"AT1G62430"
"991",991,"AT2G18050"
"487",487,"AT1G48315"
"955",955,"AT2G16365"
"1447",1447,"AT3G04240"
"1515",1515,"AT3G08670"
"2732",2732,"AT5G11230"
"362",362,"AT1G27470"
"2274",2274,"AT4G19350"
"2152",2152,"AT4G09620"
"460",460,"AT1G43690"
"1108",1108,"AT2G26830"
"3163",3163,"AT5G53350"
"963",963,"AT2G16720"
"2426",2426,"AT4G30990"
"1485",1485,"AT3G06450"
"2622",2622,"AT5G03905"
"2094",2094,"AT4G02010"
"1095",1095,"AT2G25950"
"2366",2366,"AT4G27435"
"3059",3059,"AT5G44480"
"1884",1884,"AT3G49990"
"571",571,"AT1G55690"
"947",947,"AT2G15430"
"886",886,"AT2G01650"
"3126",3126,"AT5G50310"
"3217",3217,"AT5G57270"
"737",737,"AT1G71692"
"1650",1650,"AT3G15980"
"1579",1579,"AT3G12400"
"759",759,"AT1G72430"
"2496",2496,"AT4G34840"
"2170",2170,"AT4G11060"
"1499",1499,"AT3G07220"
"2688",2688,"AT5G08240"
"641",641,"AT1G63970"
"2978",2978,"AT5G37660"
"2333",2333,"AT4G24740"
"2510",2510,"AT4G35460"
"337",337,"AT1G24793"
"175",175,"AT1G11930"
"1232",1232,"AT2G37200"
"253",253,"AT1G18150"
"2733",2733,"AT5G11240"
"616",616,"AT1G61590"
"1489",1489,"AT3G06670"
"2609",2609,"AT5G03170"
"2689",2689,"AT5G08260"
"1590",1590,"AT3G12980"
"1065",1065,"AT2G22720"
"3111",3111,"AT5G48920"
"214",214,"AT1G15000"
"1019",1019,"AT2G19640"
"551",551,"AT1G54115"
"1635",1635,"AT3G15095"
"1986",1986,"AT3G57470"
"2240",2240,"AT4G17010"
"396",396,"AT1G29400"
"2785",2785,"AT5G14260"
"536",536,"AT1G53030"
"700",700,"AT1G69030"
"1286",1286,"AT2G40475"
"1641",1641,"AT3G15352"
"2210",2210,"AT4G14990"
"1470",1470,"AT3G05570"
"3224",3224,"AT5G57580"
"1842",1842,"AT3G46740"
"1931",1931,"AT3G53180"
"216",216,"AT1G15020"
"2530",2530,"AT4G36790"
"115",115,"AT1G07950"
"501",501,"AT1G49030"
"2973",2973,"AT5G37070"
"1168",1168,"AT2G31660"
"2307",2307,"AT4G22530"
"1380",1380,"AT2G47540"
"2643",2643,"AT5G05250"
"3145",3145,"AT5G51840"
"2517",2517,"AT4G35930"
"1559",1559,"AT3G11270"
"2836",2836,"AT5G17990"
"1703",1703,"AT3G20500"
"3074",3074,"AT5G46420"
"1706",1706,"AT3G20630"
"2854",2854,"AT5G19370"
"2557",2557,"AT4G38545"
"3188",3188,"AT5G55510"
"1768",1768,"AT3G26090"
"2367",2367,"AT4G27470"
"2660",2660,"AT5G06150"
"320",320,"AT1G23220"
"3033",3033,"AT5G42740"
"1466",1466,"AT3G05210"
"424",424,"AT1G31940"
"1547",1547,"AT3G10620"
"1558",1558,"AT3G11230"
"784",784,"AT1G74790"
"2409",2409,"AT4G30160"
"824",824,"AT1G77470"
"1571",1571,"AT3G11945"
"2814",2814,"AT5G16450"
"412",412,"AT1G30550"
"801",801,"AT1G76140"
"547",547,"AT1G53720"
"1960",1960,"AT3G55270"
"603",603,"AT1G60420"
"1403",1403,"AT3G01640"
"1808",1808,"AT3G29200"
"1290",1290,"AT2G40760"
"2328",2328,"AT4G24370"
"1082",1082,"AT2G24300"
"1646",1646,"AT3G15530"
"690",690,"AT1G68580"
"1496",1496,"AT3G07020"
"2453",2453,"AT4G32570"
"2347",2347,"AT4G25840"
"1812",1812,"AT3G29575"
"2878",2878,"AT5G22100"
"1988",1988,"AT3G58020"
"2991",2991,"AT5G38840"
"1303",1303,"AT2G41560"
"639",639,"AT1G63850"
"2730",2730,"AT5G11040"
"2766",2766,"AT5G13160"
"1301",1301,"AT2G41250"
"3262",3262,"AT5G59820"
"192",192,"AT1G13220"
"111",111,"AT1G07530"
"2955",2955,"AT5G28220"
"117",117,"AT1G08010"
"1829",1829,"AT3G44720"
"725",725,"AT1G70900"
"2277",2277,"AT4G19660"
"70",70,"AT1G05150"
"1627",1627,"AT3G14840"
"1103",1103,"AT2G26600"
"942",942,"AT2G14820"
"530",530,"AT1G52370"
"1111",1111,"AT2G26980"
"1102",1102,"AT2G26510"
"1493",1493,"AT3G06868"
"235",235,"AT1G16340"
"1366",1366,"AT2G46270"
"1607",1607,"AT3G13610"
"301",301,"AT1G22330"
"1254",1254,"AT2G38730"
"2952",2952,"AT5G27830"
"633",633,"AT1G63440"
"2375",2375,"AT4G27745"
"1652",1652,"AT3G16200"
"1729",1729,"AT3G22310"
"1414",1414,"AT3G02460"
"1455",1455,"AT3G04810"
"1423",1423,"AT3G02860"
"3173",3173,"AT5G54110"
"345",345,"AT1G25682"
"949",949,"AT2G15620"
"1206",1206,"AT2G35320"
"2739",2739,"AT5G11810"
"3133",3133,"AT5G51140"
"2076",2076,"AT4G00895"
"1587",1587,"AT3G12860"
"3201",3201,"AT5G56320"
"2137",2137,"AT4G08320"
"1179",1179,"AT2G32650"
"1131",1131,"AT2G28110"
"1737",1737,"AT3G23570"
"2798",2798,"AT5G15080"
"2734",2734,"AT5G11450"
"2108",2108,"AT4G02940"
"1690",1690,"AT3G19290"
"113",113,"AT1G07810"
"1129",1129,"AT2G28070"
"385",385,"AT1G28490"
"3090",3090,"AT5G47720"
"2149",2149,"AT4G09310"
"1453",1453,"AT3G04720"
"73",73,"AT1G05210"
"1004",1004,"AT2G18770"
"454",454,"AT1G36160"
"1285",1285,"AT2G40410"
"1782",1782,"AT3G27020"
"2558",2558,"AT4G38550"
"1881",1881,"AT3G49640"
"97",97,"AT1G06550"
"1101",1101,"AT2G26460"
"2462",2462,"AT4G32915"
"512",512,"AT1G50380"
"845",845,"AT1G79500"
"2501",2501,"AT4G35040"
"3153",3153,"AT5G52530"
"3003",3003,"AT5G40250"
"3146",3146,"AT5G51980"
"2677",2677,"AT5G06960"
"277",277,"AT1G20190"
"2450",2450,"AT4G32420"
"3138",3138,"AT5G51410"
"1728",1728,"AT3G22170"
"256",256,"AT1G18270"
"3093",3093,"AT5G47810"
"1478",1478,"AT3G06035"
"2155",2155,"AT4G10050"
"1832",1832,"AT3G45190"
"390",390,"AT1G29040"
"875",875,"AT1G80950"
"467",467,"AT1G44900"
"614",614,"AT1G61040"
"2718",2718,"AT5G10280"
"3258",3258,"AT5G59710"
"514",514,"AT1G50440"
"2122",2122,"AT4G04810"
"2607",2607,"AT5G03040"
"1895",1895,"AT3G51030"
"2943",2943,"AT5G26940"
"2085",2085,"AT4G01395"
"1819",1819,"AT3G43430"
"1663",1663,"AT3G16990"
"3000",3000,"AT5G40020"
"1032",1032,"AT2G20610"
"3109",3109,"AT5G48720"
"132",132,"AT1G08620"
"1481",1481,"AT3G06170"
"767",767,"AT1G72840"
"491",491,"AT1G48450"
"2319",2319,"AT4G23895"
"2613",2613,"AT5G03280"
"2371",2371,"AT4G27680"
"2495",2495,"AT4G34660"
"891",891,"AT2G01850"
"2738",2738,"AT5G11800"
"1560",1560,"AT3G11280"
"3154",3154,"AT5G52540"
"3158",3158,"AT5G52830"
"2040",2040,"AT3G62040"
"721",721,"AT1G70530"
"895",895,"AT2G02680"
"107",107,"AT1G07250"
"478",478,"AT1G47550"
"766",766,"AT1G72830"
"921",921,"AT2G05380"
"481",481,"AT1G47840"
"1282",1282,"AT2G40095"
"3080",3080,"AT5G47050"
"2916",2916,"AT5G24620"
"3161",3161,"AT5G53000"
"735",735,"AT1G71410"
"2844",2844,"AT5G18860"
"1928",1928,"AT3G52910"
"2927",2927,"AT5G25270"
"3368",3368,"AT5G66090"
"2242",2242,"AT4G17100"
"1469",1469,"AT3G05520"
"3329",3329,"AT5G64290"
"2761",2761,"AT5G13050"
"3105",3105,"AT5G48545"
"527",527,"AT1G52310"
"1268",1268,"AT2G39445"
"1536",1536,"AT3G10030"
"2970",2970,"AT5G35740"
"121",121,"AT1G08190"
"2289",2289,"AT4G20360"
"1821",1821,"AT3G43520"
"193",193,"AT1G13245"
"938",938,"AT2G14120"
"2721",2721,"AT5G10560"
"2837",2837,"AT5G18150"
"208",208,"AT1G14360"
"922",922,"AT2G05590"
"2077",2077,"AT4G00910"
"2420",2420,"AT4G30650"
"2949",2949,"AT5G27540"
"2912",2912,"AT5G24460"
"1761",1761,"AT3G25545"
"1615",1615,"AT3G14080"
"459",459,"AT1G43560"
"2332",2332,"AT4G24590"
"2549",2549,"AT4G37880"
"1700",1700,"AT3G20250"
"1888",1888,"AT3G50660"
"2867",2867,"AT5G20550"
"3106",3106,"AT5G48560"
"3089",3089,"AT5G47710"
"948",948,"AT2G15480"
"2944",2944,"AT5G26990"
"856",856,"AT1G80270"
"174",174,"AT1G11905"
"917",917,"AT2G04940"
"3200",3200,"AT5G56280"
"188",188,"AT1G12830"
"2331",2331,"AT4G24560"
"805",805,"AT1G76440"
"3298",3298,"AT5G62720"
"1144",1144,"AT2G29050"
"1164",1164,"AT2G31400"
"2888",2888,"AT5G22850"
"1714",1714,"AT3G21140"
"1562",1562,"AT3G11397"
"430",430,"AT1G32380"
"838",838,"AT1G79070"
"869",869,"AT1G80690"
"2139",2139,"AT4G08580"
"369",369,"AT1G27700"
"225",225,"AT1G15625"
"815",815,"AT1G76878"
"3247",3247,"AT5G58920"
"3305",3305,"AT5G63135"
"1548",1548,"AT3G10640"
"2180",2180,"AT4G12760"
"1456",1456,"AT3G04930"
"771",771,"AT1G73250"
"170",170,"AT1G11200"
"2759",2759,"AT5G12880"
"3294",3294,"AT5G62580"
"1217",1217,"AT2G36250"
"961",961,"AT2G16595"
"1510",1510,"AT3G07640"
"2881",2881,"AT5G22300"
"11",11,"AT1G01640"
"3011",3011,"AT5G40870"
"1240",1240,"AT2G38080"
"2676",2676,"AT5G06950"
"305",305,"AT1G22640"
"3005",3005,"AT5G40300"
"2664",2664,"AT5G06270"
"692",692,"AT1G68670"
"1673",1673,"AT3G17800"
"656",656,"AT1G65580"
"764",764,"AT1G72770"
"3034",3034,"AT5G42770"
"1343",1343,"AT2G44530"
"2663",2663,"AT5G06265"
"871",871,"AT1G80720"
"3323",3323,"AT5G63940"
"552",552,"AT1G54130"
"2602",2602,"AT5G02420"
"2465",2465,"AT4G33100"
"3129",3129,"AT5G50560"
"2400",2400,"AT4G29010"
"242",242,"AT1G17120"
"2529",2529,"AT4G36750"
"1951",1951,"AT3G54860"
"852",852,"AT1G80000"
"497",497,"AT1G48860"
"524",524,"AT1G52060"
"294",294,"AT1G21730"
"2463",2463,"AT4G32960"
"1097",1097,"AT2G26170"
"1464",1464,"AT3G05120"
"1964",1964,"AT3G55560"
"1296",1296,"AT2G40950"
"1854",1854,"AT3G47730"
"2365",2365,"AT4G27280"
"2145",2145,"AT4G09140"
"1143",1143,"AT2G28900"
"1726",1726,"AT3G22121"
"795",795,"AT1G75710"
"1434",1434,"AT3G03490"
"1711",1711,"AT3G20970"
"1503",1503,"AT3G07330"
"1655",1655,"AT3G16270"
"3060",3060,"AT5G45000"
"598",598,"AT1G59710"
"678",678,"AT1G67620"
"2563",2563,"AT4G39040"
"1853",1853,"AT3G47670"
"939",939,"AT2G14255"
"580",580,"AT1G56210"
"798",798,"AT1G75850"
"2239",2239,"AT4G16630"
"1858",1858,"AT3G47930"
"2048",2048,"AT3G62770"
"1616",1616,"AT3G14172"
"341",341,"AT1G25420"
"2519",2519,"AT4G35950"
"572",572,"AT1G55730"
"1527",1527,"AT3G09700"
"975",975,"AT2G17340"
"3336",3336,"AT5G64610"
"1449",1449,"AT3G04520"
"525",525,"AT1G52150"
"2805",2805,"AT5G15460"
"416",416,"AT1G31340"
"3179",3179,"AT5G54860"
"966",966,"AT2G16950"
"889",889,"AT2G01735"
"1346",1346,"AT2G44870"
"3307",3307,"AT5G63160"
"763",763,"AT1G72700"
"3231",3231,"AT5G57860"
"600",600,"AT1G60080"
"328",328,"AT1G24160"
"2177",2177,"AT4G12060"
"1787",1787,"AT3G27390"
"2044",2044,"AT3G62310"
"149",149,"AT1G09920"
"2093",2093,"AT4G01940"
"2005",2005,"AT3G59210"
"1877",1877,"AT3G49360"
"2423",2423,"AT4G30810"
"2199",2199,"AT4G14300"
"1789",1789,"AT3G27530"
"834",834,"AT1G78620"
"2209",2209,"AT4G14965"
"1578",1578,"AT3G12370"
"1192",1192,"AT2G34310"
"2769",2769,"AT5G13300"
"1259",1259,"AT2G39000"
"663",663,"AT1G66340"
"1773",1773,"AT3G26440"
"561",561,"AT1G55000"
"810",810,"AT1G76560"
"1992",1992,"AT3G58180"
"2525",2525,"AT4G36640"
"2191",2191,"AT4G13620"
"3012",3012,"AT5G40890"
"402",402,"AT1G29940"
"902",902,"AT2G02970"
"1623",1623,"AT3G14680"
"338",338,"AT1G25054"
"2886",2886,"AT5G22780"
"1915",1915,"AT3G52190"
"2060",2060,"AT3G63390"
"1265",1265,"AT2G39300"
"1053",1053,"AT2G22090"
"54",54,"AT1G04520"
"2910",2910,"AT5G24410"
"258",258,"AT1G18480"
"2946",2946,"AT5G27280"
"2594",2594,"AT5G01890"
"3314",3314,"AT5G63680"
"3013",3013,"AT5G40930"
"576",576,"AT1G55900"
"401",401,"AT1G29890"
"558",558,"AT1G54890"
"2832",2832,"AT5G17760"
"388",388,"AT1G28960"
"1899",1899,"AT3G51280"
"2661",2661,"AT5G06160"
"1793",1793,"AT3G27820"
"1056",1056,"AT2G22300"
"2267",2267,"AT4G18905"
"2374",2374,"AT4G27740"
"2929",2929,"AT5G25440"
"1831",1831,"AT3G45100"
"2479",2479,"AT4G33670"
"2260",2260,"AT4G18580"
"1633",1633,"AT3G15070"
"887",887,"AT2G01670"
"3381",3381,"AT5G66930"
"1656",1656,"AT3G16340"
"439",439,"AT1G33700"
"2341",2341,"AT4G25320"
"1375",1375,"AT2G46930"
"1417",1417,"AT3G02570"
"417",417,"AT1G31440"
"2255",2255,"AT4G17830"
"2",2,"AT1G01110"
"1359",1359,"AT2G45695"
"64",64,"AT1G04950"
"3380",3380,"AT5G66880"
"2004",2004,"AT3G59090"
"3143",3143,"AT5G51620"
"836",836,"AT1G78895"
"583",583,"AT1G56423"
"1634",1634,"AT3G15080"
"1438",1438,"AT3G03570"
"2706",2706,"AT5G09590"
"638",638,"AT1G63800"
"2611",2611,"AT5G03220"
"3239",3239,"AT5G58300"
"2493",2493,"AT4G34540"
"675",675,"AT1G67340"
"868",868,"AT1G80610"
"1228",1228,"AT2G36895"
"1570",1570,"AT3G11880"
"1804",1804,"AT3G28720"
"2593",2593,"AT5G01835"
"2446",2446,"AT4G32040"
"2052",2052,"AT3G62900"
"1197",1197,"AT2G34570"
"533",533,"AT1G52730"
"1712",1712,"AT3G21070"
"2526",2526,"AT4G36650"
"39",39,"AT1G03360"
"3344",3344,"AT5G65010"
"2924",2924,"AT5G25150"
"1237",1237,"AT2G37570"
"2464",2464,"AT4G33060"
"21",21,"AT1G02220"
"1991",1991,"AT3G58140"
"378",378,"AT1G28150"
"1437",1437,"AT3G03550"
"2893",2893,"AT5G23050"
"2133",2133,"AT4G06676"
"877",877,"AT2G01020"
"2662",2662,"AT5G06240"
"1395",1395,"AT3G01205"
"1846",1846,"AT3G47470"
"1058",1058,"AT2G22370"
"970",970,"AT2G17190"
"645",645,"AT1G64280"
"2796",2796,"AT5G14750"
"1486",1486,"AT3G06530"
"831",831,"AT1G78240"
"367",367,"AT1G27630"
"816",816,"AT1G76880"
"1119",1119,"AT2G27350"
"3300",3300,"AT5G62790"
"1750",1750,"AT3G24350"
"1027",1027,"AT2G20130"
"643",643,"AT1G64140"
"1704",1704,"AT3G20550"
"177",177,"AT1G12050"
"2129",2129,"AT4G05190"
"1031",1031,"AT2G20390"
"2816",2816,"AT5G16590"
"2782",2782,"AT5G14150"
"861",861,"AT1G80350"
"1738",1738,"AT3G23580"
"2659",2659,"AT5G06130"
"1908",1908,"AT3G51740"
"2509",2509,"AT4G35410"
"3230",3230,"AT5G57815"
"2595",2595,"AT5G01960"
"885",885,"AT2G01540"
"2218",2218,"AT4G15475"
"3117",3117,"AT5G49560"
"2623",2623,"AT5G04040"
"1357",1357,"AT2G45360"
"544",544,"AT1G53590"
"1012",1012,"AT2G19430"
"1811",1811,"AT3G29390"
"197",197,"AT1G13570"
"1533",1533,"AT3G09890"
"29",29,"AT1G02890"
"2898",2898,"AT5G23410"
"2484",2484,"AT4G34100"
"900",900,"AT2G02810"
"2508",2508,"AT4G35360"
"461",461,"AT1G43850"
"3166",3166,"AT5G53760"
"1862",1862,"AT3G48070"
"1866",1866,"AT3G48330"
"800",800,"AT1G75990"
"597",597,"AT1G59650"
"1743",1743,"AT3G23910"
"632",632,"AT1G63420"
"489",489,"AT1G48380"
"127",127,"AT1G08460"
"2852",2852,"AT5G19300"
"888",888,"AT2G01690"
"2770",2770,"AT5G13370"
"3095",3095,"AT5G47830"
"3151",3151,"AT5G52280"
"1751",1751,"AT3G24440"
"1415",1415,"AT3G02550"
"1278",1278,"AT2G39805"
"526",526,"AT1G52245"
"1042",1042,"AT2G21180"
"2299",2299,"AT4G22233"
"2025",2025,"AT3G60340"
"194",194,"AT1G13300"
"3170",3170,"AT5G53940"
"2164",2164,"AT4G10730"
"2033",2033,"AT3G60880"
"203",203,"AT1G13960"
"1778",1778,"AT3G26730"
"827",827,"AT1G77580"
"3171",3171,"AT5G53980"
"585",585,"AT1G56660"
"2535",2535,"AT4G36990"
"78",78,"AT1G05360"
"1766",1766,"AT3G25980"
"2654",2654,"AT5G05800"
"666",666,"AT1G66670"
"2830",2830,"AT5G17550"
"593",593,"AT1G58230"
"1549",1549,"AT3G10650"
"2452",2452,"AT4G32551"
"1947",1947,"AT3G54420"
"2413",2413,"AT4G30310"
"1125",1125,"AT2G27830"
"1637",1637,"AT3G15190"
"1622",1622,"AT3G14440"
"986",986,"AT2G17640"
"2994",2994,"AT5G39040"
"1786",1786,"AT3G27260"
"2474",2474,"AT4G33510"
"2105",2105,"AT4G02740"
"116",116,"AT1G07990"
"1134",1134,"AT2G28410"
"2672",2672,"AT5G06750"
"2651",2651,"AT5G05660"
"1876",1876,"AT3G49250"
"429",429,"AT1G32310"
"265",265,"AT1G19110"
"2362",2362,"AT4G27020"
"1354",1354,"AT2G45290"
"1906",1906,"AT3G51580"
"451",451,"AT1G35320"
"261",261,"AT1G18745"
"2686",2686,"AT5G08170"
"2480",2480,"AT4G33940"
"2188",2188,"AT4G13510"
"2974",2974,"AT5G37350"
"1087",1087,"AT2G25180"
"3187",3187,"AT5G55260"
"154",154,"AT1G10170"
"3365",3365,"AT5G66060"
"2021",2021,"AT3G60140"
"1668",1668,"AT3G17420"
"359",359,"AT1G27190"
"496",496,"AT1G48650"
"2056",2056,"AT3G63030"
"3099",3099,"AT5G48150"
"2482",2482,"AT4G34000"
"3191",3191,"AT5G55730"
"3199",3199,"AT5G56260"
"818",818,"AT1G76980"
"2866",2866,"AT5G20490"
"1715",1715,"AT3G21160"
"2536",2536,"AT4G37070"
"1816",1816,"AT3G41979"
"426",426,"AT1G32127"
"2719",2719,"AT5G10300"
"647",647,"AT1G64385"
"1535",1535,"AT3G09940"
"1216",1216,"AT2G36240"
"2983",2983,"AT5G37930"
"1847",1847,"AT3G47480"
"636",636,"AT1G63640"
"918",918,"AT2G05170"
"752",752,"AT1G72175"
"1564",1564,"AT3G11550"
"1283",1283,"AT2G40190"
"306",306,"AT1G22740"
"3238",3238,"AT5G58130"
"2972",2972,"AT5G37055"
"1805",1805,"AT3G28730"
"1979",1979,"AT3G57000"
"1223",1223,"AT2G36680"
"407",407,"AT1G30130"
"1363",1363,"AT2G46080"
"1563",1563,"AT3G11420"
"2760",2760,"AT5G13030"
"2330",2330,"AT4G24500"
"1692",1692,"AT3G19460"
"2466",2466,"AT4G33110"
"374",374,"AT1G28100"
"1341",1341,"AT2G44450"
"1916",1916,"AT3G52250"
"560",560,"AT1G54990"
"1088",1088,"AT2G25260"
"2372",2372,"AT4G27690"
"3251",3251,"AT5G59380"
"1868",1868,"AT3G48570"
"1625",1625,"AT3G14790"
"1801",1801,"AT3G28455"
"1148",1148,"AT2G29340"
"1892",1892,"AT3G50910"
"2977",2977,"AT5G37540"
"201",201,"AT1G13880"
"284",284,"AT1G20760"
"2032",2032,"AT3G60860"
"592",592,"AT1G58180"
"2481",2481,"AT4G33960"
"366",366,"AT1G27600"
"2090",2090,"AT4G01810"
"2987",2987,"AT5G38460"
"2813",2813,"AT5G16380"
"3285",3285,"AT5G61880"
"3198",3198,"AT5G56240"
"372",372,"AT1G27921"
"1386",1386,"AT2G47980"
"655",655,"AT1G65520"
"628",628,"AT1G62980"
"109",109,"AT1G07480"
"1106",1106,"AT2G26780"
"712",712,"AT1G69780"
"1501",1501,"AT3G07310"
"2148",2148,"AT4G09200"
"233",233,"AT1G16270"
"1050",1050,"AT2G21950"
"792",792,"AT1G75400"
"3202",3202,"AT5G56340"
"1028",1028,"AT2G20190"
"1266",1266,"AT2G39340"
"1454",1454,"AT3G04770"
"962",962,"AT2G16700"
"1896",1896,"AT3G51040"
"617",617,"AT1G61670"
"2472",2472,"AT4G33430"
"2580",2580,"AT4G40090"
"2940",2940,"AT5G26680"
"353",353,"AT1G26910"
"1860",1860,"AT3G47990"
"2024",2024,"AT3G60320"
"2967",2967,"AT5G35560"
"1674",1674,"AT3G17840"
"1428",1428,"AT3G03050"
"3097",3097,"AT5G47880"
"2244",2244,"AT4G17150"
"1582",1582,"AT3G12620"
"1234",1234,"AT2G37230"
"292",292,"AT1G21600"
"1365",1365,"AT2G46260"
"797",797,"AT1G75810"
"932",932,"AT2G09795"
"1351",1351,"AT2G45210"
"2345",2345,"AT4G25720"
"3015",3015,"AT5G41060"
"1318",1318,"AT2G42770"
