"","X","phyD_FLT_c1.which.mclass....2...1."
"2069",2069,"AT4G00270"
"1792",1792,"AT3G27610"
"2460",2460,"AT4G32870"
"3250",3250,"AT5G59210"
"562",562,"AT1G55080"
"122",122,"AT1G08210"
"1170",1170,"AT2G31740"
"2252",2252,"AT4G17620"
"2984",2984,"AT5G38200"
"2648",2648,"AT5G05600"
"1922",1922,"AT3G52480"
"1322",1322,"AT2G43070"
"1961",1961,"AT3G55340"
"3137",3137,"AT5G51340"
"1185",1185,"AT2G33450"
"2679",2679,"AT5G07010"
"2931",2931,"AT5G25490"
"589",589,"AT1G58060"
"2671",2671,"AT5G06665"
"2847",2847,"AT5G19000"
"136",136,"AT1G08700"
"1754",1754,"AT3G24530"
"1954",1954,"AT3G55000"
"2408",2408,"AT4G29950"
"648",648,"AT1G64740"
"2644",2644,"AT5G05320"
"364",364,"AT1G27520"
"1912",1912,"AT3G52030"
"319",319,"AT1G23100"
"711",711,"AT1G69770"
"3225",3225,"AT5G57620"
"2851",2851,"AT5G19190"
"3107",3107,"AT5G48600"
"3306",3306,"AT5G63140"
"1190",1190,"AT2G34190"
"1010",1010,"AT2G19180"
"2027",2027,"AT3G60480"
"3373",3373,"AT5G66490"
"2827",2827,"AT5G17160"
"732",732,"AT1G71270"
"37",37,"AT1G03280"
"720",720,"AT1G70480"
"310",310,"AT1G22885"
"1057",1057,"AT2G22330"
"1806",1806,"AT3G28910"
"3131",3131,"AT5G50660"
"2430",2430,"AT4G31110"
"1987",1987,"AT3G57520"
"3022",3022,"AT5G41770"
"3150",3150,"AT5G52210"
"2930",2930,"AT5G25475"
"1344",1344,"AT2G44660"
"534",534,"AT1G52750"
"2316",2316,"AT4G23570"
"1695",1695,"AT3G19660"
"839",839,"AT1G79180"
"853",853,"AT1G80050"
"2250",2250,"AT4G17490"
"1443",1443,"AT3G03880"
"3204",3204,"AT5G56610"
"1410",1410,"AT3G02070"
"280",280,"AT1G20560"
"463",463,"AT1G43900"
"195",195,"AT1G13390"
"1468",1468,"AT3G05380"
"1291",1291,"AT2G40800"
"2998",2998,"AT5G39590"
"2726",2726,"AT5G10820"
"238",238,"AT1G16900"
"3293",3293,"AT5G62560"
"3104",3104,"AT5G48540"
"2576",2576,"AT4G39990"
"307",307,"AT1G22770"
"2636",2636,"AT5G04860"
"1575",1575,"AT3G12280"
"2125",2125,"AT4G05000"
"1506",1506,"AT3G07410"
"659",659,"AT1G65840"
"3064",3064,"AT5G45400"
"2652",2652,"AT5G05680"
"75",75,"AT1G05250"
"498",498,"AT1G48900"
"2107",2107,"AT4G02920"
"1850",1850,"AT3G47590"
"1231",1231,"AT2G37180"
"1203",1203,"AT2G35020"
"397",397,"AT1G29520"
"3070",3070,"AT5G46190"
"1809",1809,"AT3G29270"
"1937",1937,"AT3G53900"
"1671",1671,"AT3G17650"
"183",183,"AT1G12530"
"3358",3358,"AT5G65910"
"2667",2667,"AT5G06450"
"1127",1127,"AT2G27970"
"864",864,"AT1G80440"
"80",80,"AT1G05410"
"1115",1115,"AT2G27080"
"1280",1280,"AT2G40000"
"1972",1972,"AT3G56720"
"228",228,"AT1G15800"
"224",224,"AT1G15570"
"3270",3270,"AT5G60750"
"1660",1660,"AT3G16800"
"1772",1772,"AT3G26410"
"2140",2140,"AT4G08690"
"400",400,"AT1G29820"
"2795",2795,"AT5G14730"
"1601",1601,"AT3G13330"
"1529",1529,"AT3G09770"
"3330",3330,"AT5G64300"
"2577",2577,"AT4G40042"
"2280",2280,"AT4G19860"
"503",503,"AT1G49340"
"2241",2241,"AT4G17085"
"171",171,"AT1G11530"
"934",934,"AT2G13100"
"1817",1817,"AT3G43230"
"3313",3313,"AT5G63610"
"1227",1227,"AT2G36890"
"1762",1762,"AT3G25580"
"2397",2397,"AT4G28820"
"83",83,"AT1G05560"
"2326",2326,"AT4G24310"
"2731",2731,"AT5G11150"
"3356",3356,"AT5G65860"
"1924",1924,"AT3G52630"
"2351",2351,"AT4G26100"
"601",601,"AT1G60140"
"1779",1779,"AT3G26890"
"89",89,"AT1G05870"
"937",937,"AT2G13650"
"2448",2448,"AT4G32180"
"1487",1487,"AT3G06540"
"2727",2727,"AT5G10920"
"2968",2968,"AT5G35700"
"1810",1810,"AT3G29310"
"904",904,"AT2G03220"
"681",681,"AT1G67940"
"2512",2512,"AT4G35580"
"3232",3232,"AT5G57910"
"1118",1118,"AT2G27310"
"2271",2271,"AT4G19140"
"346",346,"AT1G26300"
"169",169,"AT1G11185"
"2599",2599,"AT5G02040"
"44",44,"AT1G03687"
"1038",1038,"AT2G20900"
"3160",3160,"AT5G52980"
"190",190,"AT1G13160"
"2591",2591,"AT5G01810"
"1000",1000,"AT2G18700"
"1511",1511,"AT3G07650"
"1769",1769,"AT3G26100"
"1187",1187,"AT2G33800"
"1098",1098,"AT2G26190"
"3140",3140,"AT5G51560"
"1710",1710,"AT3G20800"
"446",446,"AT1G34130"
"1835",1835,"AT3G46180"
"126",126,"AT1G08410"
"2171",2171,"AT4G11080"
"3001",3001,"AT5G40230"
"1372",1372,"AT2G46690"
"1277",1277,"AT2G39795"
"427",427,"AT1G32190"
"2486",2486,"AT4G34138"
"1393",1393,"AT3G01160"
"718",718,"AT1G70300"
"584",584,"AT1G56590"
"293",293,"AT1G21660"
"2550",2550,"AT4G38090"
"2447",2447,"AT4G32140"
"3102",3102,"AT5G48380"
"2666",2666,"AT5G06340"
"2879",2879,"AT5G22120"
"365",365,"AT1G27540"
"2354",2354,"AT4G26450"
"2337",2337,"AT4G25080"
"106",106,"AT1G07040"
"2429",2429,"AT4G31040"
"2174",2174,"AT4G11655"
"702",702,"AT1G69250"
"270",270,"AT1G19520"
"3375",3375,"AT5G66590"
"1418",1418,"AT3G02600"
"413",413,"AT1G30650"
"391",391,"AT1G29060"
"909",909,"AT2G03830"
"2178",2178,"AT4G12510"
"1519",1519,"AT3G08850"
"2632",2632,"AT5G04440"
"3265",3265,"AT5G60170"
"2080",2080,"AT4G01070"
"697",697,"AT1G68840"
"1824",1824,"AT3G44200"
"2401",2401,"AT4G29100"
"1747",1747,"AT3G24180"
"1034",1034,"AT2G20750"
"1661",1661,"AT3G16910"
"1965",1965,"AT3G55600"
"907",907,"AT2G03730"
"447",447,"AT1G34220"
"289",289,"AT1G21380"
"312",312,"AT1G22920"
"1675",1675,"AT3G17860"
"2612",2612,"AT5G03230"
"1023",1023,"AT2G19880"
"2533",2533,"AT4G36920"
"665",665,"AT1G66530"
"1376",1376,"AT2G47060"
"375",375,"AT1G28120"
"405",405,"AT1G30070"
"2225",2225,"AT4G15940"
"2118",2118,"AT4G04223"
"1521",1521,"AT3G09035"
"1189",1189,"AT2G34070"
"2415",2415,"AT4G30410"
"2928",2928,"AT5G25360"
"178",178,"AT1G12110"
"679",679,"AT1G67810"
"1214",1214,"AT2G35940"
"1993",1993,"AT3G58220"
"1299",1299,"AT2G41130"
"1606",1606,"AT3G13550"
"2425",2425,"AT4G30900"
"456",456,"AT1G36380"
"2926",2926,"AT5G25210"
"2433",2433,"AT4G31450"
"1458",1458,"AT3G05010"
"398",398,"AT1G29640"
"1385",1385,"AT2G47890"
"867",867,"AT1G80600"
"2410",2410,"AT4G30210"
"3116",3116,"AT5G49555"
"2253",2253,"AT4G17650"
"239",239,"AT1G16916"
"1977",1977,"AT3G56930"
"1310",1310,"AT2G42060"
"3324",3324,"AT5G64020"
"1305",1305,"AT2G41740"
"2642",2642,"AT5G05200"
"652",652,"AT1G65040"
"425",425,"AT1G32100"
