"","phyD_FLT_c1.which.mclass....5...1."
"289","AT3G21560"
"290","AT3G21570"
"291","AT3G21755"
"292","AT3G21760"
"293","AT3G22250"
"294","AT3G22650"
"295","AT3G22700"
"296","AT3G22860"
"297","AT3G22940"
"298","AT3G23380"
"299","AT3G24060"
"300","AT3G24332"
"301","AT3G24790"
"302","AT3G25573"
"303","AT3G25719"
"304","AT3G26250"
"305","AT3G26930"
"306","AT3G28270"
"307","AT3G28320"
"308","AT3G28330"
"309","AT3G28335"
"310","AT3G28470"
"311","AT3G28560"
"312","AT3G28780"
"313","AT3G29580"
"314","AT3G29720"
"315","AT3G29970"
"316","AT3G43950"
"317","AT3G44006"
"318","AT3G44660"
"319","AT3G44870"
"320","AT3G46340"
"321","AT3G46614"
"322","AT3G46910"
"323","AT3G47750"
"324","AT3G49230"
"325","AT3G49260"
"326","AT3G49520"
"327","AT3G50170"
"328","AT3G50610"
"329","AT3G50710"
"330","AT3G50940"
"331","AT3G51200"
"332","AT3G51560"
"333","AT3G51760"
"334","AT3G52320"
"335","AT3G53280"
"336","AT3G54730"
"337","AT3G54800"
"338","AT3G54830"
"339","AT3G55500"
"340","AT3G56380"
"341","AT3G56890"
"342","AT3G56920"
"343","AT3G57310"
"344","AT3G58860"
"345","AT3G58910"
"346","AT3G59790"
"347","AT3G60020"
"348","AT3G60760"
"349","AT3G60780"
"350","AT3G60950"
"351","AT3G61030"
"352","AT3G61035"
"353","AT3G61111"
"354","AT3G61175"
"355","AT3G61230"
"356","AT3G61250"
"357","AT3G61870"
"358","AT3G61970"
"359","AT3G62750"
"360","AT3G63088"
"361","AT4G00920"
"362","AT4G01260"
"363","AT4G01390"
"364","AT4G01520"
"365","AT4G01890"
"366","AT4G02160"
"367","AT4G03175"
"368","AT4G04030"
"369","AT4G04760"
"370","AT4G04890"
"371","AT4G05790"
"372","AT4G06080"
"373","AT4G06385"
"374","AT4G07075"
"375","AT4G07090"
"376","AT4G07545"
"377","AT4G08525"
"378","AT4G08570"
"379","AT4G08867"
"380","AT4G09870"
"381","AT4G09900"
"382","AT4G09925"
"383","AT4G10150"
"384","AT4G10220"
"385","AT4G10507"
"386","AT4G10600"
"387","AT4G10613"
"388","AT4G11040"
"389","AT4G11460"
"390","AT4G12170"
"391","AT4G12280"
"392","AT4G12320"
"393","AT4G12500"
"394","AT4G13090"
"395","AT4G13420"
"396","AT4G13570"
"397","AT4G13575"
"398","AT4G14140"
"399","AT4G14670"
"400","AT4G15096"
"401","AT4G15242"
"402","AT4G15245"
"403","AT4G15660"
"404","AT4G16515"
"405","AT4G16530"
"406","AT4G16820"
"407","AT4G16990"
"408","AT4G17860"
"409","AT4G17980"
"410","AT4G18080"
"411","AT4G18090"
"412","AT4G18310"
"413","AT4G18422"
"414","AT4G18450"
"415","AT4G19240"
"416","AT4G19760"
"417","AT4G19770"
"418","AT4G20470"
"419","AT4G21380"
"420","AT4G21445"
"421","AT4G21490"
"422","AT4G22060"
"423","AT4G22200"
"424","AT4G22210"
"425","AT4G22390"
"426","AT4G22410"
"427","AT4G23170"
