RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G09660,517.1424228,520.5301029,349.2769768,441.1865514,646.3408326,473.2412903,686.7604416,285.1974874,366.1693723,511.1027764,479.165343,472.561041
AT1G09760,585.1137233,535.5247164,476.7496282,524.5619732,666.9936851,627.2764842,515.3136211,912.9011861,700.1646107,610.4087754,859.2200627,485.0723193
AT1G09970,450.3861,744.4633036,749.5911076,736.8774917,359.423301,462.3365901,388.8711878,309.3820209,344.9082927,361.3412585,250.1797182,777.2179887
AT1G10030,604.0789234,684.4845684,598.7670894,569.0475735,819.1176281,829.2719725,592.3386451,1299.394473,1094.452869,700.3887917,637.3022227,656.2416685
AT1G10120,562.5102396,570.9048452,547.0667073,485.3328108,662.0196988,299.0220875,605.0750619,522.417505,339.2873286,729.5478429,670.6580477,556.603101
AT1G10140,238.2590622,255.5781949,557.6875005,196.5336978,100.184025,358.5686558,346.1978955,288.1961902,375.9334327,137.8118289,172.9080968,272.4647192
AT1G10200,769.684108,641.3206195,672.8723871,661.9676955,546.715221,935.753976,541.3891461,676.8793013,690.2910272,520.7191038,490.1285106,417.8043921
AT1G10530,512.1266144,334.7505063,547.0424369,328.6170012,163.4096607,351.0842741,248.4624506,258.0799026,421.6902366,454.3151565,117.5428725,114.5414989
AT1G11260,480.9584622,239.8647189,526.4021729,475.9673382,269.5196607,505.1817991,242.1650243,284.5124212,512.2123142,325.2409399,216.1778481,422.2635181
AT1G11310,427.2361962,390.1970715,581.0380447,569.7766067,276.8387087,487.2090686,357.0232672,404.1631716,434.7315297,250.3262932,262.5542084,334.8632111
AT1G11360,555.380658,540.4893467,573.9825766,595.1404371,470.9865643,607.7193953,627.8239038,537.7572226,555.660626,457.7182769,477.4647149,474.3810289
AT1G11480,653.3547221,600.5514333,672.0602236,811.7933086,476.4781146,367.728586,791.6571227,374.2204615,439.9225394,600.3117084,557.2619681,656.520153
AT1G11545,982.4303988,789.0355309,664.5523877,937.9508189,1012.576751,596.40845,916.0611201,519.9413757,864.0197891,992.9409158,376.17051,626.4764604
AT1G11750,406.7461258,338.8791629,323.9319674,407.7488597,406.7412717,557.8471064,438.9076203,589.5190307,670.9414659,456.4746028,476.773744,391.3422769
AT1G11860,776.424749,704.2930513,697.2001496,864.7985466,774.403589,637.6615681,821.4791207,1055.885614,818.3767744,760.4523962,676.9366203,824.4806649
AT1G11910,866.9847799,566.7035539,998.5084045,547.7656805,371.3521678,557.6256586,696.0118654,651.9502241,741.6481762,537.8475827,586.294364,806.9760536
AT1G12010,522.6411142,529.4023272,129.5264443,321.0992427,301.1939655,325.9301724,400.2180466,18.68232081,115.2392307,499.903725,456.6235262,505.7633394
AT1G12110,155.5764345,116.5547128,549.8573149,231.6652081,20.16444651,205.4024412,80.50494191,733.5052538,458.9787425,50.17235463,71.44645626,163.1179518
AT1G12390,377.3092701,352.5605027,410.3059816,416.7490945,436.4164661,549.7667206,449.304097,737.3926483,568.4745993,388.5250905,432.8728401,489.1429335
AT1G12440,491.3288346,513.7397196,550.169526,413.4067588,347.2286583,485.8994503,668.7882918,800.723223,909.972743,405.5818676,484.3367068,611.5137766
AT1G13060,478.6324633,363.43725,423.7956366,483.5064816,563.344238,589.1552197,713.8729132,727.2718789,768.8956596,673.3956745,752.1858402,572.8487373
AT1G13280,1004.928397,819.472536,842.715536,814.9683055,750.3052598,944.6819643,635.3091127,957.7818837,928.1214562,721.9519849,490.4751642,625.4871775
AT1G13360,292.5980028,334.976873,761.1400799,383.4505199,140.2880475,451.0815427,250.0797599,444.14658,421.7926012,142.9511053,122.6787759,199.9098012
AT1G13380,470.9644472,481.3418599,396.4803347,399.8703897,685.9615202,778.4308761,524.8816836,442.5311933,666.7755403,750.7111434,797.512476,710.9278384
AT1G13560,899.7071837,853.2462379,617.6307537,956.8711923,941.9850207,674.7832703,848.2665422,690.5089237,708.2071791,880.7027298,983.6705479,730.6517915
AT1G13930,140.8977102,227.9656694,381.0466045,242.3241782,26.29455877,487.8272763,224.9165225,520.3420891,563.27696,10.92293366,24.98241465,37.30097709
AT1G13950,297.3946624,285.9702919,398.9154964,387.9967823,153.3308346,368.8270053,320.6235273,503.5465311,547.8243217,210.1854894,112.1588265,229.068334
AT1G14010,572.9415351,436.0014613,568.8122169,635.4335959,443.864453,699.5724867,493.5289627,643.7576494,728.7766729,448.032827,300.8106201,416.8496078
AT1G14210,599.9346432,530.8444804,437.7237116,630.5181531,529.9547647,693.4877922,473.5334478,534.637372,751.809503,613.6605358,341.7158052,376.6027219
AT1G14290,386.6006359,425.9662398,399.7096557,465.3596888,408.0693884,310.123727,364.7159256,501.6755472,528.1165859,440.9235108,162.0050478,359.1635635
AT1G14510,487.0953377,489.00191,444.5144409,446.4327083,424.8468822,476.4399848,489.4053893,568.4957602,431.9419399,465.5796206,435.5356659,426.3351353
AT1G14570,462.6028993,343.3447581,467.146322,383.8337758,469.9668566,470.7086882,369.7813193,382.893482,526.3764383,511.1188247,437.2382146,377.6718722
AT1G14610,405.1393977,435.7454659,444.6685835,333.9450866,586.6934917,499.6476188,459.0808948,355.4921879,295.1535484,536.9199341,715.0732587,486.3169986
AT1G14620,611.4102754,580.4073337,536.2107869,648.6681868,883.2233899,807.4249686,805.2965958,892.4570119,758.6083553,673.5127754,905.6408105,646.6945566
AT1G14685,419.4353003,448.9366734,402.8611816,446.2812199,372.7772246,522.0717072,471.7634965,364.2841579,443.1611747,421.4899561,496.1904473,392.8014837
AT1G14830,744.1668544,571.8417355,498.8602402,679.6392192,639.8643345,380.8539447,634.9627244,578.6419351,552.4461103,648.090485,555.5962935,537.8906743
AT1G14860,298.7921864,305.6202269,641.1373031,451.8985695,101.5204908,339.8632421,302.9058774,473.3709025,690.2228907,105.3391318,87.39008332,296.2270626
AT1G14890,448.8119369,578.3517338,494.5146839,481.838835,171.4642287,649.8989355,605.0068603,418.4874938,752.4817919,298.4021149,219.185615,394.2274193
AT1G14900,686.8626129,491.5203947,626.5413914,682.7060238,683.0961368,901.4087138,668.8751042,793.1679862,875.9899539,773.9456954,902.2900237,806.0879336
AT1G15100,316.7833685,352.1783505,364.1151219,370.5100909,296.5770722,458.4917156,591.4624045,781.175947,1118.680411,292.1668192,226.0820734,346.6937116
AT1G15210,684.0881456,728.4218543,683.6485934,516.7164685,969.0355836,435.6236719,540.5135448,362.1956193,473.7647173,1046.896796,638.3771527,977.8342169
AT1G15250,476.0540873,426.9524731,400.1312507,365.1265147,619.6687595,825.6027094,603.5804611,574.4991326,506.4355486,518.4917001,670.4613996,480.4918339
AT1G15340,783.0743118,543.4793517,720.8187902,650.3094696,418.4795591,739.7074128,724.8784142,730.9302517,613.3827531,530.373382,749.0193626,580.7299549
AT1G15350,535.5760562,599.4349581,699.1292273,554.7041767,514.0497395,761.0962574,800.1663164,941.806856,909.8351311,483.9867642,489.4172646,679.2782604
AT1G15370,694.9540593,592.0483318,718.5777904,616.6541588,611.2841296,914.4396923,616.1785366,967.2113628,920.1291282,625.5591646,609.0108995,666.5966117
AT1G15420,530.0008896,476.8452834,365.8526747,451.3205659,624.2038879,613.3428127,563.6984063,350.3218919,507.5554629,568.570743,586.277618,375.4875819
AT1G15670,450.9102352,482.3812333,719.8126802,561.897357,335.4384387,587.5805452,490.1993901,198.1210053,363.1557426,352.2083674,185.6457978,489.3078471
AT1G15750,473.3744403,552.5323883,534.6828418,461.3649946,556.8444475,375.2661241,408.9605442,291.2716911,437.298963,666.7895786,725.706741,681.3945424
AT1G16000,514.756678,567.0028435,515.30722,564.8847507,745.7205661,1070.579249,564.0375981,1058.943179,895.1313258,677.9459319,560.6629583,480.2111788
