RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT4G16695,1119.019488,1445.874218,1244.267725,1031.146332,1184.820588,1081.209571,827.6805429,914.1145002,885.3802677,931.6766976,913.4151057,930.2268268
AT4G17170,970.9433115,921.6029642,970.571781,668.5685753,791.8203269,707.0111386,430.1284425,1186.129976,773.393511,475.9057799,606.0538146,312.3484122
AT4G17190,796.7154738,601.4626485,701.9310159,737.7575135,650.6942071,525.9730611,725.5469618,599.6986744,548.9128832,826.3832336,820.1019529,604.856071
AT4G17215,141.0005097,932.8623036,420.1837535,162.7016962,281.5300949,289.8510566,23.015005,572.2819467,322.9924824,44.00501055,49.12369612,59.36915136
AT4G17510,931.2438485,952.500656,912.4996065,863.2619537,733.5467371,508.3481181,713.0028451,685.7953863,795.7759364,898.2872836,797.4745364,620.5583394
AT4G17530,1243.732397,1010.875285,1170.504581,661.1104744,829.4878196,863.2634018,655.816534,1018.081367,881.4714347,604.3658388,649.1647219,740.2833718
AT4G17640,670.289158,695.7520929,665.8400804,653.146908,619.9572551,498.3181472,686.8138,749.8797991,639.8016912,615.0767025,726.43882,602.4210971
AT4G17790,577.6403236,636.7016726,683.2759784,467.4823407,645.8587222,388.7102843,481.8633233,631.6467307,580.7633834,768.3645771,328.5155689,398.5137617
AT4G17870,815.6857074,1589.643924,1022.230856,1013.4685,1020.329005,702.0485566,597.2196294,1799.976041,512.8426682,964.1095682,877.377808,584.8434846
AT4G18030,875.3618086,539.3352476,757.4059017,809.4817974,574.7729986,745.311395,698.8688442,676.7811639,1019.257746,795.6878407,1082.22946,774.7935675
AT4G18040,770.8824317,705.9380572,923.2598803,1079.560184,723.1300231,769.3799252,904.4984362,704.4147238,695.8787109,1260.582423,1599.258341,1091.381363
AT4G18070,767.0748149,474.0825677,666.8454759,586.3699063,690.3581957,603.6029576,383.3269837,738.1480413,533.6407086,471.1675972,538.9236199,281.7277769
AT4G18590,443.3908443,652.0352297,508.8472942,514.1632849,748.0424335,370.9977336,483.4588614,588.8855222,558.8783954,696.5900084,560.5387326,585.3433664
AT4G18710,1279.351359,1435.253305,1335.416173,742.1121759,1225.055474,1013.886489,975.7733539,1520.343423,1211.561293,630.2059533,679.3652023,731.0178026
