TAIR,SYMBOL,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Ws_GC_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Col.0.PhyD_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Col.0.PhyD_FLT_dark.v.Col.0_GC_dark.
AT4G16500,AtCYS4,0.520886,0.3920352,-0.01755235,-0.5253007,0.2858938,0.2830203,-0.1114045,-0.1288508,-0.5384383,-1.046187,-0.2349922,-0.2378657,-0.6322905,0.03540913,-0.4854769,-0.1453605,-0.6662465,0.07619451,-0.4446915,0.638276,0.11739
AT4G17030,AT-EXPR,2.056713,0.8007782,1.081012,0.7269487,0.7474309,2.14805,2.089281,-1.255935,-0.9757018,-1.329765,-1.309282,0.09133653,0.03256761,0.3096366,-1.747077,1.018493,-1.03822,3.804004,1.747291,1.115207,-0.9415066
AT4G17510,UCH3,0.06860039,-0.03303723,0.07705907,-0.5418193,-0.134467,-0.1901302,-0.2708939,-0.1016376,0.008458682,-0.6104197,-0.2030674,-0.2587305,-0.3394943,0.2468815,0.1782811,0.05847469,-0.0101257,-0.2869149,-0.3555153,0.117285,0.0486846
AT4G17640,CKB2,0.01126451,0.06239296,0.1119614,0.009442938,0.205136,-0.02509346,0.07571492,0.05112845,0.1006969,-0.001821575,0.1938715,-0.03635797,0.0644504,0.06306637,0.05180186,-0.01272452,-0.02398904,-0.2557127,-0.2669772,0.1423698,0.1311053
AT4G18040,AT.EIF4E1,-0.3292129,0.1779557,-0.5443463,-0.371455,-0.4719984,-0.3140584,-1.089996,0.5071686,-0.2151334,-0.04224209,-0.1427855,0.01515449,-0.7607835,0.009648444,0.3388614,-0.1435513,0.1856616,-0.2301708,0.09904214,-0.1495594,0.1796535
AT4G19690,ATIRT1,-0.4495303,-0.06080771,0.0145263,0.4301941,-0.9125685,0.3415796,-0.01765614,0.3887226,0.4640566,0.8797244,-0.4630382,0.7911099,0.4318742,3.897668,4.347198,0.2946211,0.7441514,2.284614,2.734144,0.247529,0.6970593
AT4G19840,ATPP2-A1,2.102178,-0.09916946,2.190031,0.9339495,2.211518,1.254619,1.661101,-2.201347,0.08785375,-1.168228,0.1093402,-0.8475582,-0.4410762,0.7420746,-1.360103,1.977079,-0.1250986,0.9110844,-1.191093,1.810744,-0.2914335
AT4G21600,ENDO5,0.3101734,-0.1527197,0.000740101,-0.02801334,0.1008294,-0.05441583,0.3389774,-0.4628932,-0.3094333,-0.3381868,-0.209344,-0.3645893,0.02880396,-0.05786124,-0.3680347,0.1959593,-0.1142141,0.007479737,-0.3026937,0.01469204,-0.2954814
AT4G21680,AtNPF7.2,0.9764106,0.3552239,0.2021346,2.101889,0.6039495,1.902023,1.432775,-0.6211867,-0.774276,1.125478,-0.372461,0.9256124,0.4563641,1.949409,0.972998,1.563713,0.5873022,3.626046,2.649635,0.8737668,-0.1026437
AT4G21810,DER2.1,0.545605,0.2264184,1.031582,0.1344535,0.5714742,0.2910689,1.203447,-0.3191866,0.4859772,-0.4111514,0.0258692,-0.254536,0.6578419,0.3935195,-0.1520854,0.5145797,-0.03102525,0.09517749,-0.4504275,0.6855222,0.1399172
AT4G21830,ATMSRB7,0.9046846,0.04552756,-0.8598956,-0.4577971,-0.3204823,-0.486775,-0.1892503,-0.859157,-1.76458,-1.362482,-1.225167,-1.39146,-1.093935,-0.5908311,-1.495516,-0.7018045,-1.606489,-0.460061,-1.364746,-0.1061576,-1.010842
AT4G21990,APR.3,-0.008761576,0.0339056,-0.2254014,0.2781968,0.2703462,0.3615738,0.2182317,0.04266717,-0.2166398,0.2869584,0.2791078,0.3703354,0.2269932,-0.3816673,-0.3729057,-0.156684,-0.1479224,0.4055288,0.4142903,0.02247187,0.03123345
AT4G22930,DHOASE,0.4503151,0.5452756,0.03028507,0.06730876,0.5395147,0.4328758,0.2698312,0.09496053,-0.42003,-0.3830063,0.08919964,-0.01743932,-0.1804838,-0.2802612,-0.7305763,-0.285213,-0.7355281,-0.04219266,-0.4925077,0.6375478,0.1872327
AT4G23710,VAG2,0.3057552,0.0136788,-0.168281,-0.4863971,-0.09776912,-0.03095798,0.2659559,-0.2920764,-0.4740362,-0.7921523,-0.4035243,-0.3367132,-0.0397993,0.09739823,-0.208357,0.178908,-0.1268473,-0.228761,-0.5345162,0.5843297,0.2785745
AT4G25340,ATFKBP53,-0.02515214,0.06944563,-0.5231424,-0.3377585,-0.7366343,-0.2399386,-1.203064,0.09459778,-0.4979903,-0.3126064,-0.7114822,-0.2147864,-1.177912,0.05013727,0.07528941,-0.3221371,-0.2969849,-0.06513185,-0.03997971,-0.2142445,-0.1890924
AT4G27230,HTA2,-0.3533669,-0.3343419,-0.2798293,-0.7323567,-0.8086173,-0.5468294,-0.9653253,0.01902495,0.07353759,-0.3789898,-0.4552504,-0.1934625,-0.6119584,-0.2152408,0.1381261,-0.3203252,0.03304174,-0.4677264,-0.1143595,-0.4888209,-0.135454
AT4G28040,UMAMIT33,2.666515,0.8404471,3.186034,0.9993006,3.52615,1.970108,3.827264,-1.826068,0.5195191,-1.667214,0.8596354,-0.6964065,1.160749,0.747538,-1.918977,1.695256,-0.9712593,1.433332,-1.233183,3.891529,1.225015
AT4G28910,NINJA,0.1903112,0.1751443,-0.0705634,-0.00970046,-0.07086171,0.04215566,-0.1424777,-0.01516682,-0.2608746,-0.2000116,-0.2611729,-0.1481555,-0.3327889,0.09286769,-0.09744347,-0.1070962,-0.2974074,0.1850968,-0.005214381,-0.03886679,-0.2291779
AT4G30440,GAE1,0.5467885,-0.6346693,-0.02224064,-0.4442491,-0.2312666,-0.4584337,0.2055998,-1.181458,-0.5690291,-0.9910376,-0.7780551,-1.005222,-0.3411887,-0.773551,-1.320339,-0.8023424,-1.349131,-0.1718298,-0.7186183,0.3338676,-0.2129209
AT4G30530,GGP1,0.9215277,0.04165878,0.3653352,0.1064469,0.5476347,0.08194391,0.2215267,-0.879869,-0.5561925,-0.8150808,-0.373893,-0.8395838,-0.7000011,0.2616462,-0.6598815,0.310804,-0.6107237,0.01951365,-0.9020141,0.5539379,-0.3675899
AT4G30550,GGP3,0.4093222,0.4397193,0.4726093,0.1914332,0.5498719,0.5677286,0.666806,0.03039712,0.06328706,-0.217889,0.1405497,0.1584063,0.2574838,0.3850027,-0.0243195,0.3012508,-0.1080715,0.2989828,-0.1103394,0.5767812,0.1674589
AT4G33150,LKR,1.260662,0.1108467,1.160348,1.215856,1.327221,0.9739611,2.558701,-1.149815,-0.1003133,-0.0448058,0.06655929,-0.2867006,1.298039,0.7338796,-0.5267821,1.388168,0.1275065,1.537659,0.2769973,1.469274,0.2086128
AT4G33360,FLDH,0.2931079,0.438296,-0.05019501,-0.07966816,0.3825157,0.2968231,0.4273602,0.1451881,-0.3433029,-0.372776,0.08940782,0.003715203,0.1342523,-0.2672734,-0.5603813,-0.09049042,-0.3835983,-0.08807084,-0.3811787,0.4145409,0.121433
AT4G34350,CLB6,0.3298212,0.01779531,0.7152132,0.4649267,0.8862041,0.2178379,1.107053,-0.3120259,0.385392,0.1351054,0.5563829,-0.1119833,0.7772313,0.395007,0.06518572,0.7946837,0.4648624,-0.07320532,-0.4030266,0.4888676,0.1590464
AT4G34490,ATCAP1,-0.06561932,0.2489594,-0.2813893,-0.4363597,-0.3678674,-0.3593168,-0.4719583,0.3145787,-0.2157699,-0.3707404,-0.3022481,-0.2936975,-0.406339,-0.6089635,-0.5433442,-0.2108975,-0.1452782,-0.3419918,-0.2763724,-0.2581329,-0.1925136
AT4G35310,ATCPK5,0.4068527,0.5569821,-0.07306866,0.2440984,-0.07255114,0.1483162,0.04072572,0.1501293,-0.4799214,-0.1627543,-0.4794039,-0.2585365,-0.366127,0.07113307,-0.3357197,0.1186985,-0.2881542,0.536839,0.1299863,0.2515672,-0.1552855
AT4G36410,UBC17,2.247751,0.01139229,3.587204,0.6883706,2.181634,0.7790925,1.732909,-2.236359,1.339453,-1.55938,-0.06611644,-1.468658,-0.5148423,1.189003,-1.058748,1.864009,-0.383742,0.214851,-2.0329,3.039051,0.7913002
