Cluster,Score,Type,Gene,Symbol,Network
1,2.0,Clustered,832146,PI,WS_c1_which_mclass____3___1__SUB1
1,2.0,Clustered,843244,AP1,WS_c1_which_mclass____3___1__SUB1
1,2.0,Clustered,831436,SEP1,WS_c1_which_mclass____3___1__SUB1
1,2.0,Clustered,827631,AG,WS_c1_which_mclass____3___1__SUB1
1,2.0,Seed,824601,AP3,WS_c1_which_mclass____3___1__SUB1
1,2.0,Clustered,819173,AGL6,WS_c1_which_mclass____3___1__SUB1
2,2.0,Clustered,818199,ABI5,WS_c1_which_mclass____3___1__SUB1
2,2.0,Clustered,843954,AT1G76210,WS_c1_which_mclass____3___1__SUB1
2,2.0,Clustered,837600,AT1G10585,WS_c1_which_mclass____3___1__SUB1
2,2.0,Clustered,824010,AT3G48510,WS_c1_which_mclass____3___1__SUB1
2,2.0,Seed,835511,MYB49,WS_c1_which_mclass____3___1__SUB1
3,1.0,Clustered,821386,BRC1,WS_c1_which_mclass____3___1__SUB1
3,1.0,Clustered,841218,MYB112,WS_c1_which_mclass____3___1__SUB1
3,1.0,Seed,835478,CUC2,WS_c1_which_mclass____3___1__SUB1
4,1.0,Clustered,828784,AT4G26770,WS_c1_which_mclass____3___1__SUB2
4,1.0,Seed,835626,AT5G55330,WS_c1_which_mclass____3___1__SUB2
4,1.0,Clustered,819810,AGP27,WS_c1_which_mclass____3___1__SUB2
