"","WS_FLT_c1.which.mclass....4...1."
"1","AT1G01240"
"2","AT1G01360"
"3","AT1G01420"
"4","AT1G01500"
"5","AT1G01940"
"6","AT1G01990"
"7","AT1G02020"
"8","AT1G02290"
"9","AT1G02330"
"10","AT1G02370"
"11","AT1G02750"
"12","AT1G02800"
"13","AT1G02870"
"14","AT1G02880"
"15","AT1G03190"
"16","AT1G03210"
"17","AT1G03260"
"18","AT1G03457"
"19","AT1G03520"
"20","AT1G03560"
"21","AT1G03730"
"22","AT1G03830"
"23","AT1G03960"
"24","AT1G04000"
"25","AT1G04010"
"26","AT1G04110"
"27","AT1G04160"
"28","AT1G04183"
"29","AT1G04230"
"30","AT1G04260"
"31","AT1G04290"
"32","AT1G04310"
"33","AT1G04590"
"34","AT1G04830"
"35","AT1G04837"
"36","AT1G04900"
"37","AT1G04945"
"38","AT1G04990"
"39","AT1G05060"
"40","AT1G05160"
"41","AT1G05183"
"42","AT1G05205"
"43","AT1G05540"
"44","AT1G05600"
"45","AT1G05620"
"46","AT1G05670"
"47","AT1G05690"
"48","AT1G05767"
"49","AT1G05783"
"50","AT1G05810"
"51","AT1G05835"
"52","AT1G06060"
"53","AT1G06080"
"54","AT1G06180"
"55","AT1G06380"
"56","AT1G06573"
"57","AT1G06590"
"58","AT1G06630"
"59","AT1G06770"
"60","AT1G06780"
"61","AT1G06790"
"62","AT1G06800"
"63","AT1G06850"
"64","AT1G06960"
"65","AT1G07170"
"66","AT1G07390"
"67","AT1G07450"
"68","AT1G07520"
"69","AT1G07550"
"70","AT1G07725"
"71","AT1G07728"
"72","AT1G07870"
"73","AT1G07950"
"74","AT1G08000"
"75","AT1G08037"
"76","AT1G08220"
"77","AT1G08350"
"78","AT1G08400"
"79","AT1G08470"
"80","AT1G08530"
"81","AT1G08610"
"82","AT1G08750"
"83","AT1G08770"
"84","AT1G08780"
"85","AT1G08920"
"86","AT1G09053"
"87","AT1G09100"
"88","AT1G09240"
"89","AT1G09300"
"90","AT1G09390"
"91","AT1G09440"
"92","AT1G09645"
"93","AT1G09700"
"94","AT1G09740"
"95","AT1G09820"
"96","AT1G09960"
"97","AT1G10030"
"98","AT1G10060"
"99","AT1G10320"
"100","AT1G10350"
"101","AT1G10730"
"102","AT1G10780"
"103","AT1G11090"
"104","AT1G11200"
"105","AT1G11250"
"106","AT1G11303"
"107","AT1G11370"
"108","AT1G11440"
"109","AT1G11630"
"110","AT1G11755"
"111","AT1G11905"
"112","AT1G11950"
"113","AT1G12020"
"114","AT1G12244"
"115","AT1G12370"
"116","AT1G12420"
"117","AT1G12520"
"118","AT1G12730"
"119","AT1G12830"
"120","AT1G13180"
"121","AT1G13390"
"122","AT1G13500"
"123","AT1G13710"
"124","AT1G13740"
"125","AT1G13770"
"126","AT1G13810"
"127","AT1G13870"
"128","AT1G14140"
"129","AT1G14230"
"130","AT1G14310"
"131","AT1G14340"
"132","AT1G14370"
"133","AT1G14480"
"134","AT1G14770"
"135","AT1G14970"
"136","AT1G14990"
"137","AT1G15020"
"138","AT1G15100"
"139","AT1G15110"
"140","AT1G15170"
"141","AT1G15250"
"142","AT1G15320"
"143","AT1G15350"
"144","AT1G15490"
"145","AT1G15530"
"146","AT1G15550"
"147","AT1G15670"
"148","AT1G15700"
"149","AT1G15830"
"150","AT1G15920"
"151","AT1G16000"
"152","AT1G16040"
"153","AT1G16250"
"154","AT1G16260"
"155","AT1G16300"
"156","AT1G16390"
"157","AT1G16570"
"158","AT1G16670"
"159","AT1G16690"
"160","AT1G16750"
"161","AT1G16790"
"162","AT1G17040"
"163","AT1G17145"
"164","AT1G17350"
"165","AT1G17430"
"166","AT1G17520"
"167","AT1G17560"
"168","AT1G17790"
"169","AT1G17870"
"170","AT1G17930"
"171","AT1G17940"
"172","AT1G17990"
"173","AT1G18030"
"174","AT1G18040"
"175","AT1G18090"
"176","AT1G18180"
"177","AT1G18440"
"178","AT1G18550"
"179","AT1G18610"
"180","AT1G18670"
"181","AT1G18810"
"182","AT1G18910"
"183","AT1G19020"
"184","AT1G19270"
"185","AT1G19290"
"186","AT1G19330"
"187","AT1G19370"
"188","AT1G19485"
"189","AT1G19710"
"190","AT1G19730"
"191","AT1G19950"
"192","AT1G19960"
"193","AT1G20140"
"194","AT1G20160"
"195","AT1G20380"
"196","AT1G20930"
"197","AT1G21070"
"198","AT1G21200"
"199","AT1G21313"
"200","AT1G21370"
"201","AT1G21400"
"202","AT1G21520"
"203","AT1G21651"
"204","AT1G21730"
"205","AT1G21740"
"206","AT1G21790"
"207","AT1G21830"
"208","AT1G21930"
"209","AT1G22040"
"210","AT1G22050"
"211","AT1G22270"
"212","AT1G22310"
"213","AT1G22360"
"214","AT1G22500"
"215","AT1G22540"
"216","AT1G22650"
"217","AT1G22960"
"218","AT1G23040"
"219","AT1G23070"
"220","AT1G23170"
"221","AT1G23730"
"222","AT1G23750"
"223","AT1G23790"
"224","AT1G23800"
"225","AT1G24070"
"226","AT1G24148"
"227","AT1G24290"
"228","AT1G25320"
"229","AT1G25375"
"230","AT1G25400"
"231","AT1G25470"
"232","AT1G25480"
"233","AT1G25510"
"234","AT1G26300"
"235","AT1G26340"
"236","AT1G26440"
"237","AT1G26620"
"238","AT1G26665"
"239","AT1G26810"
"240","AT1G26940"
"241","AT1G27050"
"242","AT1G27300"
"243","AT1G27440"
"244","AT1G27500"
"245","AT1G27540"
"246","AT1G27700"
"247","AT1G27880"
"248","AT1G27921"
"249","AT1G28050"
"250","AT1G28100"
"251","AT1G28130"
"252","AT1G28210"
"253","AT1G28250"
"254","AT1G28260"
"255","AT1G28310"
"256","AT1G28395"
"257","AT1G28530"
"258","AT1G28560"
"259","AT1G28670"
"260","AT1G28710"
"261","AT1G28960"
"262","AT1G29030"
"263","AT1G29550"
"264","AT1G29785"
"265","AT1G29810"
"266","AT1G30110"
"267","AT1G30240"
"268","AT1G30280"
"269","AT1G30290"
"270","AT1G30300"
"271","AT1G30320"
"272","AT1G30540"
"273","AT1G30640"
"274","AT1G30755"
"275","AT1G30825"
"276","AT1G31150"
"277","AT1G31175"
"278","AT1G31220"
"279","AT1G31360"
"280","AT1G31480"
"281","AT1G31820"
"282","AT1G32100"
"283","AT1G32150"
"284","AT1G32240"
"285","AT1G32260"
"286","AT1G32310"
"287","AT1G32370"
"288","AT1G32930"
"289","AT1G32940"
"290","AT1G33080"
"291","AT1G33420"
"292","AT1G33490"
"293","AT1G33790"
"294","AT1G34010"
"295","AT1G34150"
"296","AT1G34340"
"297","AT1G34350"
"298","AT1G34355"
"299","AT1G34360"
"300","AT1G34380"
"301","AT1G34470"
"302","AT1G34630"
"303","AT1G35210"
"304","AT1G36070"
"305","AT1G36180"
"306","AT1G38065"
"307","AT1G44125"
"308","AT1G44770"
"309","AT1G44810"
"310","AT1G44830"
"311","AT1G44960"
"312","AT1G45150"
"313","AT1G45180"
"314","AT1G46264"
"315","AT1G47056"
"316","AT1G47230"
"317","AT1G47750"
"318","AT1G47870"
"319","AT1G48040"
"320","AT1G48100"
"321","AT1G48170"
"322","AT1G48360"
"323","AT1G48550"
"324","AT1G49032"
"325","AT1G49470"
"326","AT1G49500"
"327","AT1G49650"
"328","AT1G49720"
"329","AT1G49850"
"330","AT1G49870"
"331","AT1G50110"
"332","AT1G50280"
"333","AT1G50300"
"334","AT1G50510"
"335","AT1G50659"
"336","AT1G50740"
"337","AT1G50890"
"338","AT1G50940"
"339","AT1G51360"
"340","AT1G51402"
"341","AT1G51450"
"342","AT1G51550"
"343","AT1G51800"
"344","AT1G51820"
"345","AT1G52050"
"346","AT1G52340"
"347","AT1G52342"
"348","AT1G52343"
"349","AT1G52500"
"350","AT1G52540"
"351","AT1G52630"
"352","AT1G53070"
"353","AT1G53170"
"354","AT1G53200"
"355","AT1G53350"
"356","AT1G53400"
"357","AT1G53530"
"358","AT1G53650"
"359","AT1G53770"
"360","AT1G54000"
"361","AT1G54050"
"362","AT1G54150"
"363","AT1G54290"
"364","AT1G54770"
"365","AT1G54850"
"366","AT1G55020"
"367","AT1G55190"
"368","AT1G55320"
"369","AT1G55335"
"370","AT1G55510"
"371","AT1G55590"
"372","AT1G55630"
"373","AT1G55730"
"374","AT1G55750"
"375","AT1G55830"
"376","AT1G55980"
"377","AT1G56120"
"378","AT1G56145"
"379","AT1G56210"
"380","AT1G56310"
"381","AT1G56610"
"382","AT1G56720"
"383","AT1G57600"
"384","AT1G57620"
