"","WS_FLT_c1.which.mclass....2...1."
"289","AT1G29395"
"290","AT1G29760"
"291","AT1G29790"
"292","AT1G29800"
"293","AT1G29820"
"294","AT1G29970"
"295","AT1G30460"
"296","AT1G30480"
"297","AT1G30620"
"298","AT1G30890"
"299","AT1G31120"
"300","AT1G31170"
"301","AT1G31500"
"302","AT1G31550"
"303","AT1G31830"
"304","AT1G31940"
"305","AT1G32190"
"306","AT1G32330"
"307","AT1G32340"
"308","AT1G32510"
"309","AT1G32540"
"310","AT1G32870"
"311","AT1G33060"
"312","AT1G33265"
"313","AT1G33270"
"314","AT1G33330"
"315","AT1G33400"
"316","AT1G33415"
"317","AT1G33520"
"318","AT1G33970"
"319","AT1G34020"
"320","AT1G34110"
"321","AT1G34210"
"322","AT1G34300"
"323","AT1G34418"
"324","AT1G34510"
"325","AT1G34750"
"326","AT1G34780"
"327","AT1G35190"
"328","AT1G35350"
"329","AT1G35460"
"330","AT1G35516"
"331","AT1G35660"
"332","AT1G38131"
"333","AT1G42480"
"334","AT1G43130"
"335","AT1G44110"
"336","AT1G44542"
"337","AT1G44790"
"338","AT1G45010"
"339","AT1G45145"
"340","AT1G45207"
"341","AT1G45249"
"342","AT1G45332"
"343","AT1G45976"
"344","AT1G47210"
"345","AT1G47240"
"346","AT1G47250"
"347","AT1G47290"
"348","AT1G47310"
"349","AT1G47330"
"350","AT1G47670"
"351","AT1G47970"
"352","AT1G48160"
"353","AT1G48240"
"354","AT1G48280"
"355","AT1G48315"
"356","AT1G48320"
"357","AT1G48430"
"358","AT1G49050"
"359","AT1G49400"
"360","AT1G49510"
"361","AT1G49590"
"362","AT1G49975"
"363","AT1G49980"
"364","AT1G50120"
"365","AT1G50260"
"366","AT1G50420"
"367","AT1G50440"
"368","AT1G50620"
"369","AT1G50710"
"370","AT1G50730"
"371","AT1G50910"
"372","AT1G51310"
"373","AT1G51340"
"374","AT1G51540"
"375","AT1G51600"
"376","AT1G51745"
"377","AT1G52030"
"378","AT1G52160"
"379","AT1G52200"
"380","AT1G52320"
"381","AT1G52370"
"382","AT1G52720"
"383","AT1G52770"
"384","AT1G53165"
"385","AT1G53190"
"386","AT1G53460"
"387","AT1G53580"
"388","AT1G53710"
"389","AT1G53720"
"390","AT1G53760"
"391","AT1G53880"
"392","AT1G53920"
"393","AT1G54310"
"394","AT1G54380"
"395","AT1G54385"
"396","AT1G54390"
"397","AT1G54400"
"398","AT1G54440"
"399","AT1G54510"
"400","AT1G54570"
"401","AT1G54730"
"402","AT1G54740"
"403","AT1G54830"
"404","AT1G55250"
"405","AT1G55265"
"406","AT1G55520"
"407","AT1G55535"
"408","AT1G55870"
"409","AT1G55880"
"410","AT1G55900"
"411","AT1G56140"
"412","AT1G56170"
"413","AT1G56230"
"414","AT1G56290"
"415","AT1G56300"
"416","AT1G56423"
"417","AT1G56430"
"418","AT1G56440"
"419","AT1G56520"
"420","AT1G56590"
"421","AT1G58180"
"422","AT1G58220"
"423","AT1G58684"
"424","AT1G58807"
"425","AT1G59124"
"426","AT1G59540"
"427","AT1G59650"
"428","AT1G59710"
"429","AT1G59790"
"430","AT1G59960"
"431","AT1G60560"
"432","AT1G60650"
"433","AT1G60660"
"434","AT1G60750"
"435","AT1G60790"
"436","AT1G60850"
"437","AT1G60860"
"438","AT1G60995"
"439","AT1G61030"
"440","AT1G61350"
"441","AT1G61580"
"442","AT1G61990"
"443","AT1G62600"
"444","AT1G62800"
"445","AT1G63260"
"446","AT1G63450"
"447","AT1G63470"
"448","AT1G63670"
"449","AT1G63750"
"450","AT1G63850"
"451","AT1G64010"
"452","AT1G64060"
"453","AT1G64110"
"454","AT1G64200"
"455","AT1G64350"
"456","AT1G64440"
"457","AT1G64460"
"458","AT1G64630"
"459","AT1G64640"
"460","AT1G64660"
"461","AT1G64760"
"462","AT1G64960"
"463","AT1G65295"
"464","AT1G65320"
"465","AT1G65490"
"466","AT1G65800"
"467","AT1G65920"
"468","AT1G66140"
"469","AT1G66240"
"470","AT1G66350"
"471","AT1G66700"
"472","AT1G66730"
"473","AT1G66750"
"474","AT1G66880"
"475","AT1G66900"
"476","AT1G67040"
"477","AT1G67060"
"478","AT1G67530"
"479","AT1G67630"
"480","AT1G67660"
"481","AT1G67720"
"482","AT1G67750"
"483","AT1G67880"
"484","AT1G67950"
"485","AT1G68100"
"486","AT1G68130"
"487","AT1G68220"
"488","AT1G68260"
"489","AT1G68710"
"490","AT1G68740"
"491","AT1G68780"
"492","AT1G68820"
"493","AT1G68920"
"494","AT1G69010"
"495","AT1G69030"
"496","AT1G69060"
"497","AT1G69160"
"498","AT1G69360"
"499","AT1G69440"
"500","AT1G69690"
"501","AT1G69780"
"502","AT1G69800"
"503","AT1G69910"
"504","AT1G70000"
"505","AT1G70190"
"506","AT1G70520"
"507","AT1G70530"
"508","AT1G70550"
"509","AT1G70560"
"510","AT1G70810"
"511","AT1G70900"
"512","AT1G71100"
"513","AT1G71110"
"514","AT1G71360"
"515","AT1G71440"
"516","AT1G71900"
"517","AT1G71960"
"518","AT1G72300"
"519","AT1G72680"
"520","AT1G72990"
"521","AT1G73010"
"522","AT1G73020"
"523","AT1G73090"
"524","AT1G73240"
"525","AT1G73250"
"526","AT1G73300"
"527","AT1G73450"
"528","AT1G73670"
"529","AT1G73780"
"530","AT1G73830"
"531","AT1G73950"
"532","AT1G74110"
"533","AT1G74320"
"534","AT1G74330"
"535","AT1G74530"
"536","AT1G74710"
"537","AT1G74780"
"538","AT1G74800"
"539","AT1G75170"
"540","AT1G75420"
"541","AT1G75510"
"542","AT1G75710"
"543","AT1G75760"
"544","AT1G75810"
"545","AT1G76020"
"546","AT1G76130"
"547","AT1G76270"
"548","AT1G76280"
"549","AT1G76300"
"550","AT1G76320"
"551","AT1G76340"
"552","AT1G76390"
"553","AT1G76460"
"554","AT1G76510"
"555","AT1G76540"
"556","AT1G76690"
"557","AT1G76700"
"558","AT1G76720"
"559","AT1G76820"
"560","AT1G76860"
"561","AT1G77140"
"562","AT1G77220"
"563","AT1G77230"
"564","AT1G77270"
"565","AT1G77370"
"566","AT1G77450"
"567","AT1G77630"
"568","AT1G77750"
"569","AT1G77770"
"570","AT1G78070"
"571","AT1G78200"
"572","AT1G78265"
"573","AT1G78270"
"574","AT1G78290"
"575","AT1G78360"
"576","AT1G78420"
"577","AT1G78460"
"578","AT1G78700"
"579","AT1G78890"
"580","AT1G79030"
"581","AT1G79080"
"582","AT1G79160"
"583","AT1G79190"
"584","AT1G79390"
"585","AT1G79540"
"586","AT1G79630"
"587","AT1G79670"
"588","AT1G79820"
"589","AT1G79985"
"590","AT1G80130"
"591","AT1G80310"
"592","AT2G01170"
"593","AT2G01410"
"594","AT2G01480"
"595","AT2G01650"
"596","AT2G01710"
"597","AT2G01830"
"598","AT2G01980"
"599","AT2G02390"
"600","AT2G02480"
"601","AT2G02570"
"602","AT2G02780"
"603","AT2G02810"
"604","AT2G03070"
"605","AT2G03350"
"606","AT2G03480"
"607","AT2G03800"
"608","AT2G03975"
"609","AT2G03980"
"610","AT2G04305"
"611","AT2G04570"
"612","AT2G04660"
"613","AT2G04790"
"614","AT2G05210"
"615","AT2G05575"
"616","AT2G05810"
"617","AT2G06000"
"618","AT2G06010"
"619","AT2G07340"
"620","AT2G07475"
"621","AT2G08340"
"622","AT2G10950"
"623","AT2G13100"
"624","AT2G13290"
"625","AT2G14610"
"626","AT2G14878"
"627","AT2G15240"
"628","AT2G15560"
"629","AT2G15910"
"630","AT2G15960"
"631","AT2G16090"
"632","AT2G16230"
"633","AT2G16270"
"634","AT2G16405"
"635","AT2G16460"
"636","AT2G16586"
"637","AT2G16700"
"638","AT2G16710"
"639","AT2G16880"
"640","AT2G16890"
"641","AT2G16900"
"642","AT2G16930"
"643","AT2G17080"
"644","AT2G17110"
"645","AT2G17120"
"646","AT2G17130"
"647","AT2G17150"
"648","AT2G17290"
"649","AT2G17440"
"650","AT2G17450"
"651","AT2G17580"
"652","AT2G17700"
"653","AT2G17780"
"654","AT2G18290"
"655","AT2G18390"
"656","AT2G18570"
"657","AT2G18630"
"658","AT2G18700"
"659","AT2G18760"
"660","AT2G18770"
"661","AT2G18840"
"662","AT2G18876"
"663","AT2G18915"
"664","AT2G18990"
"665","AT2G19180"
"666","AT2G19270"
"667","AT2G19430"
"668","AT2G19560"
"669","AT2G19640"
"670","AT2G19710"
"671","AT2G19910"
"672","AT2G20130"
"673","AT2G20240"
"674","AT2G20290"
"675","AT2G20340"
"676","AT2G20390"
"677","AT2G20780"
"678","AT2G21210"
"679","AT2G21320"
"680","AT2G21540"
"681","AT2G21840"
"682","AT2G21860"
"683","AT2G21940"
"684","AT2G22120"
"685","AT2G22190"
"686","AT2G22420"
"687","AT2G22475"
"688","AT2G22530"
"689","AT2G22630"
