"","WS_FLT_c1.which.mclass....1...1."
"1","AT1G01090"
"2","AT1G01100"
"3","AT1G01190"
"4","AT1G01250"
"5","AT1G01380"
"6","AT1G01390"
"7","AT1G01550"
"8","AT1G01580"
"9","AT1G01590"
"10","AT1G01620"
"11","AT1G01680"
"12","AT1G01715"
"13","AT1G01725"
"14","AT1G01790"
"15","AT1G01810"
"16","AT1G01960"
"17","AT1G02150"
"18","AT1G02190"
"19","AT1G02220"
"20","AT1G02230"
"21","AT1G02280"
"22","AT1G02390"
"23","AT1G02420"
"24","AT1G02470"
"25","AT1G02520"
"26","AT1G02630"
"27","AT1G02660"
"28","AT1G02670"
"29","AT1G02690"
"30","AT1G02770"
"31","AT1G02840"
"32","AT1G03445"
"33","AT1G03475"
"34","AT1G03510"
"35","AT1G03610"
"36","AT1G03630"
"37","AT1G03660"
"38","AT1G03800"
"39","AT1G03840"
"40","AT1G03870"
"41","AT1G03920"
"42","AT1G03993"
"43","AT1G04120"
"44","AT1G04170"
"45","AT1G04200"
"46","AT1G04220"
"47","AT1G04280"
"48","AT1G04343"
"49","AT1G04357"
"50","AT1G04400"
"51","AT1G04420"
"52","AT1G04480"
"53","AT1G04580"
"54","AT1G04600"
"55","AT1G04707"
"56","AT1G04760"
"57","AT1G04833"
"58","AT1G04953"
"59","AT1G05047"
"60","AT1G05065"
"61","AT1G05087"
"62","AT1G05267"
"63","AT1G05310"
"64","AT1G05370"
"65","AT1G05400"
"66","AT1G05575"
"67","AT1G05610"
"68","AT1G05790"
"69","AT1G05873"
"70","AT1G06040"
"71","AT1G06170"
"72","AT1G06190"
"73","AT1G06213"
"74","AT1G06220"
"75","AT1G06410"
"76","AT1G06430"
"77","AT1G06760"
"78","AT1G06977"
"79","AT1G07110"
"80","AT1G07120"
"81","AT1G07140"
"82","AT1G07180"
"83","AT1G07187"
"84","AT1G07260"
"85","AT1G07300"
"86","AT1G07330"
"87","AT1G07350"
"88","AT1G07485"
"89","AT1G07490"
"90","AT1G07607"
"91","AT1G07640"
"92","AT1G07710"
"93","AT1G07737"
"94","AT1G07753"
"95","AT1G07770"
"96","AT1G07803"
"97","AT1G07823"
"98","AT1G08110"
"99","AT1G08190"
"100","AT1G08200"
"101","AT1G08270"
"102","AT1G08290"
"103","AT1G08310"
"104","AT1G08360"
"105","AT1G08440"
"106","AT1G08465"
"107","AT1G08477"
"108","AT1G08520"
"109","AT1G08597"
"110","AT1G08645"
"111","AT1G08730"
"112","AT1G08930"
"113","AT1G09070"
"114","AT1G09080"
"115","AT1G09130"
"116","AT1G09210"
"117","AT1G09280"
"118","AT1G09327"
"119","AT1G09350"
"120","AT1G09487"
"121","AT1G09517"
"122","AT1G09540"
"123","AT1G09543"
"124","AT1G09575"
"125","AT1G09590"
"126","AT1G09617"
"127","AT1G09620"
"128","AT1G09640"
"129","AT1G09650"
"130","AT1G09750"
"131","AT1G09780"
"132","AT1G09812"
"133","AT1G09890"
"134","AT1G09927"
"135","AT1G09970"
"136","AT1G09995"
"137","AT1G10040"
"138","AT1G10095"
"139","AT1G10300"
"140","AT1G10540"
"141","AT1G10560"
"142","AT1G10650"
"143","AT1G10670"
"144","AT1G10690"
"145","AT1G10760"
"146","AT1G10790"
"147","AT1G10840"
"148","AT1G10950"
"149","AT1G10980"
"150","AT1G11050"
"151","AT1G11120"
"152","AT1G11185"
"153","AT1G11190"
"154","AT1G11300"
"155","AT1G11310"
"156","AT1G11430"
"157","AT1G11570"
"158","AT1G11650"
"159","AT1G11750"
"160","AT1G11840"
"161","AT1G11900"
"162","AT1G11915"
"163","AT1G12000"
"164","AT1G12110"
"165","AT1G12240"
"166","AT1G12290"
"167","AT1G12340"
"168","AT1G12400"
"169","AT1G12410"
"170","AT1G12570"
"171","AT1G12610"
"172","AT1G12800"
"173","AT1G12840"
"174","AT1G13140"
"175","AT1G13580"
"176","AT1G13650"
"177","AT1G13930"
"178","AT1G13970"
"179","AT1G14100"
"180","AT1G14345"
"181","AT1G14540"
"182","AT1G14610"
"183","AT1G14670"
"184","AT1G14780"
"185","AT1G14810"
"186","AT1G14860"
"187","AT1G15040"
"188","AT1G15160"
"189","AT1G15165"
"190","AT1G15175"
"191","AT1G15290"
"192","AT1G15710"
"193","AT1G15750"
"194","AT1G15760"
"195","AT1G15790"
"196","AT1G15930"
"197","AT1G15950"
"198","AT1G15980"
"199","AT1G16080"
"200","AT1G16130"
"201","AT1G16170"
"202","AT1G16410"
"203","AT1G16420"
"204","AT1G16489"
"205","AT1G16720"
"206","AT1G16730"
"207","AT1G16820"
"208","AT1G16830"
"209","AT1G17100"
"210","AT1G17170"
"211","AT1G17180"
"212","AT1G17290"
"213","AT1G17370"
"214","AT1G17400"
"215","AT1G17610"
"216","AT1G17620"
"217","AT1G17680"
"218","AT1G17860"
"219","AT1G17960"
"220","AT1G18010"
"221","AT1G18060"
"222","AT1G18070"
"223","AT1G18100"
"224","AT1G18140"
"225","AT1G18420"
"226","AT1G18540"
"227","AT1G18570"
"228","AT1G18710"
"229","AT1G18830"
"230","AT1G19000"
"231","AT1G19080"
"232","AT1G19150"
"233","AT1G19180"
"234","AT1G19190"
"235","AT1G19210"
"236","AT1G19350"
"237","AT1G19380"
"238","AT1G19450"
"239","AT1G19570"
"240","AT1G19620"
"241","AT1G19660"
"242","AT1G19830"
"243","AT1G19910"
"244","AT1G19920"
"245","AT1G20010"
"246","AT1G20260"
"247","AT1G20330"
"248","AT1G20440"
"249","AT1G20590"
"250","AT1G20810"
"251","AT1G20823"
"252","AT1G20960"
"253","AT1G20990"
"254","AT1G21000"
"255","AT1G21065"
"256","AT1G21140"
"257","AT1G21310"
"258","AT1G21326"
"259","AT1G21470"
"260","AT1G21500"
"261","AT1G21510"
"262","AT1G21630"
"263","AT1G21680"
"264","AT1G21695"
"265","AT1G22065"
"266","AT1G22250"
"267","AT1G22300"
"268","AT1G22340"
"269","AT1G22380"
"270","AT1G22410"
"271","AT1G22490"
"272","AT1G22620"
"273","AT1G22780"
"274","AT1G22850"
"275","AT1G22882"
"276","AT1G22900"
"277","AT1G22930"
"278","AT1G22980"
"279","AT1G23050"
"280","AT1G23100"
"281","AT1G23110"
"282","AT1G23120"
"283","AT1G23140"
"284","AT1G23150"
"285","AT1G23190"
"286","AT1G23200"
"287","AT1G23290"
"288","AT1G23300"
"289","AT1G23450"
"290","AT1G23490"
"291","AT1G23740"
"292","AT1G23870"
"293","AT1G24020"
"294","AT1G24040"
"295","AT1G24140"
"296","AT1G24360"
"297","AT1G24470"
"298","AT1G24510"
"299","AT1G24540"
"300","AT1G25145"
"301","AT1G25230"
"302","AT1G25440"
"303","AT1G25490"
"304","AT1G26110"
"305","AT1G26230"
"306","AT1G26290"
"307","AT1G26420"
"308","AT1G26530"
"309","AT1G26850"
"310","AT1G27090"
"311","AT1G27400"
"312","AT1G27450"
"313","AT1G27720"
"314","AT1G27750"
"315","AT1G27890"
"316","AT1G27910"
"317","AT1G27920"
"318","AT1G27960"
"319","AT1G28080"
"320","AT1G28290"
"321","AT1G28330"
"322","AT1G28370"
"323","AT1G28715"
"324","AT1G29050"
"325","AT1G29200"
"326","AT1G29418"
"327","AT1G29450"
"328","AT1G29470"
"329","AT1G29535"
"330","AT1G29590"
"331","AT1G29740"
"332","AT1G29780"
"333","AT1G29880"
"334","AT1G29900"
"335","AT1G30120"
"336","AT1G30160"
"337","AT1G30190"
"338","AT1G30260"
"339","AT1G30360"
"340","AT1G30400"
"341","AT1G30580"
"342","AT1G30720"
"343","AT1G30840"
"344","AT1G30845"
"345","AT1G31050"
"346","AT1G31180"
"347","AT1G31230"
"348","AT1G31240"
"349","AT1G31280"
"350","AT1G31300"
"351","AT1G31420"
"352","AT1G31430"
"353","AT1G31440"
"354","AT1G31470"
"355","AT1G31485"
"356","AT1G31800"
"357","AT1G31812"
"358","AT1G31910"
"359","AT1G31920"
"360","AT1G31950"
"361","AT1G32050"
"362","AT1G32220"
"363","AT1G32230"
"364","AT1G32380"
"365","AT1G32400"
"366","AT1G32415"
"367","AT1G32460"
"368","AT1G32500"
"369","AT1G32900"
"370","AT1G32960"
"371","AT1G33120"
"372","AT1G33340"
"373","AT1G33350"
"374","AT1G33560"
"375","AT1G33590"
"376","AT1G33960"
"377","AT1G34040"
"378","AT1G34060"
"379","AT1G34065"
"380","AT1G34245"
"381","AT1G34420"
"382","AT1G34570"
"383","AT1G35140"
"384","AT1G35170"
"385","AT1G35720"
"386","AT1G35730"
"387","AT1G35780"
"388","AT1G36160"
"389","AT1G36730"
"390","AT1G36992"
"391","AT1G41830"
"392","AT1G41880"
"393","AT1G42470"
"394","AT1G42550"
"395","AT1G42960"
"396","AT1G43650"
"397","AT1G43670"
"398","AT1G43710"
"399","AT1G44000"
"400","AT1G44446"
"401","AT1G45201"
"402","AT1G45229"
"403","AT1G45474"
"404","AT1G45688"
"405","AT1G47260"
"406","AT1G47485"
"407","AT1G47530"
"408","AT1G47580"
"409","AT1G47655"
"410","AT1G48120"
"411","AT1G48300"
"412","AT1G48400"
"413","AT1G48410"
"414","AT1G48450"
"415","AT1G48600"
"416","AT1G48605"
"417","AT1G48630"
"418","AT1G48650"
"419","AT1G48830"
"420","AT1G48870"
"421","AT1G48920"
"422","AT1G49240"
"423","AT1G49405"
"424","AT1G49475"
"425","AT1G49530"
"426","AT1G49600"
"427","AT1G49750"
"428","AT1G49760"
"429","AT1G49830"
"430","AT1G49840"
"431","AT1G49970"
"432","AT1G50055"
"433","AT1G50200"
"434","AT1G50250"
"435","AT1G50320"
"436","AT1G50400"
"437","AT1G50460"
"438","AT1G50480"
"439","AT1G50790"
"440","AT1G50900"
"441","AT1G50920"
"442","AT1G50970"
"443","AT1G51060"
"444","AT1G51090"
"445","AT1G51110"
"446","AT1G51200"
"447","AT1G51355"
"448","AT1G51370"
"449","AT1G51400"
"450","AT1G51538"
"451","AT1G51570"
"452","AT1G51620"
"453","AT1G51680"
"454","AT1G51890"
"455","AT1G51960"
"456","AT1G51980"
"457","AT1G52220"
"458","AT1G52245"
"459","AT1G52300"
"460","AT1G52315"
"461","AT1G52360"
"462","AT1G52430"
"463","AT1G52450"
"464","AT1G52510"
"465","AT1G52530"
"466","AT1G52640"
"467","AT1G52870"
"468","AT1G52890"
"469","AT1G52905"
"470","AT1G52910"
"471","AT1G52920"
"472","AT1G53035"
"473","AT1G53060"
"474","AT1G53140"
"475","AT1G53210"
"476","AT1G53270"
"477","AT1G53310"
"478","AT1G53540"
"479","AT1G53680"
"480","AT1G53750"
"481","AT1G53860"
"482","AT1G53910"
"483","AT1G54270"
"484","AT1G54330"
"485","AT1G54350"
"486","AT1G54500"
"487","AT1G55110"
"488","AT1G55205"
"489","AT1G55270"
"490","AT1G55350"
"491","AT1G55360"
"492","AT1G55480"
"493","AT1G55550"
"494","AT1G55860"
"495","AT1G55865"
"496","AT1G55910"
"497","AT1G55950"
"498","AT1G55970"
"499","AT1G56000"
"500","AT1G56110"
"501","AT1G56165"
"502","AT1G56240"
"503","AT1G56250"
"504","AT1G56340"
"505","AT1G56500"
"506","AT1G56560"
"507","AT1G56570"
"508","AT1G56660"
"509","AT1G57660"
"510","AT1G57720"
"511","AT1G57750"
"512","AT1G58025"
"513","AT1G58080"
"514","AT1G58170"
"515","AT1G58190"
"516","AT1G58380"
"517","AT1G58420"
"518","AT1G58460"
"519","AT1G59030"
"520","AT1G59510"
"521","AT1G59640"
"522","AT1G59850"
"523","AT1G60000"
"524","AT1G60030"
"525","AT1G60460"
"526","AT1G60890"
"527","AT1G60970"
"528","AT1G61120"
"529","AT1G61140"
"530","AT1G61320"
"531","AT1G61450"
"532","AT1G61760"
"533","AT1G61810"
"534","AT1G62040"
"535","AT1G62085"
"536","AT1G62180"
"537","AT1G62240"
"538","AT1G62260"
"539","AT1G62390"
"540","AT1G62520"
"541","AT1G62590"
"542","AT1G62700"
"543","AT1G62720"
"544","AT1G62910"
"545","AT1G62990"
"546","AT1G63090"
"547","AT1G63100"
"548","AT1G63330"
"549","AT1G63520"
"550","AT1G63720"
"551","AT1G63730"
"552","AT1G63820"
"553","AT1G63930"
"554","AT1G63940"
"555","AT1G63970"
"556","AT1G63980"
"557","AT1G63990"
"558","AT1G64065"
"559","AT1G64100"
"560","AT1G64140"
"561","AT1G64310"
"562","AT1G64370"
"563","AT1G64530"
"564","AT1G64680"
"565","AT1G64770"
"566","AT1G64780"
"567","AT1G64790"
"568","AT1G64860"
"569","AT1G65010"
"570","AT1G65032"
"571","AT1G65250"
"572","AT1G65260"
"573","AT1G65390"
"574","AT1G65440"
"575","AT1G65450"
"576","AT1G65520"
"577","AT1G65610"
"578","AT1G65690"
"579","AT1G65810"
"580","AT1G65890"
"581","AT1G65960"
"582","AT1G65980"
"583","AT1G66040"
"584","AT1G66160"
"585","AT1G66250"
"586","AT1G66270"
"587","AT1G66540"
"588","AT1G66580"
"589","AT1G66670"
"590","AT1G66810"
"591","AT1G66860"
"592","AT1G66970"
"593","AT1G67105"
"594","AT1G67110"
"595","AT1G67260"
"596","AT1G67280"
"597","AT1G67340"
"598","AT1G67360"
"599","AT1G67470"
"600","AT1G67550"
"601","AT1G67700"
"602","AT1G67792"
"603","AT1G67810"
