"","phyD_GC_c1.which.mclass....7...1."
"289","AT1G14330"
"290","AT1G14360"
"291","AT1G14380"
"292","AT1G14410"
"293","AT1G14453"
"294","AT1G14650"
"295","AT1G14685"
"296","AT1G14690"
"297","AT1G14710"
"298","AT1G14730"
"299","AT1G14990"
"300","AT1G15020"
"301","AT1G15030"
"302","AT1G15110"
"303","AT1G15130"
"304","AT1G15140"
"305","AT1G15230"
"306","AT1G15280"
"307","AT1G15390"
"308","AT1G15405"
"309","AT1G15440"
"310","AT1G15570"
"311","AT1G15810"
"312","AT1G15860"
"313","AT1G15910"
"314","AT1G15940"
"315","AT1G16010"
"316","AT1G16040"
"317","AT1G16190"
"318","AT1G16210"
"319","AT1G16270"
"320","AT1G16280"
"321","AT1G16300"
"322","AT1G16340"
"323","AT1G16520"
"324","AT1G16710"
"325","AT1G16860"
"326","AT1G16900"
"327","AT1G16916"
"328","AT1G16970"
"329","AT1G17060"
"330","AT1G17110"
"331","AT1G17120"
"332","AT1G17130"
"333","AT1G17147"
"334","AT1G17210"
"335","AT1G17280"
"336","AT1G17285"
"337","AT1G17300"
"338","AT1G17350"
"339","AT1G17410"
"340","AT1G17430"
"341","AT1G17455"
"342","AT1G17500"
"343","AT1G17510"
"344","AT1G17520"
"345","AT1G17620"
"346","AT1G17730"
"347","AT1G17745"
"348","AT1G17970"
"349","AT1G18040"
"350","AT1G18150"
"351","AT1G18250"
"352","AT1G18260"
"353","AT1G18270"
"354","AT1G18470"
"355","AT1G18480"
"356","AT1G18500"
"357","AT1G18745"
"358","AT1G18840"
"359","AT1G18890"
"360","AT1G18980"
"361","AT1G19020"
"362","AT1G19110"
"363","AT1G19240"
"364","AT1G19300"
"365","AT1G19310"
"366","AT1G19370"
"367","AT1G19440"
"368","AT1G19450"
"369","AT1G19520"
"370","AT1G19580"
"371","AT1G19680"
"372","AT1G19730"
"373","AT1G19800"
"374","AT1G19850"
"375","AT1G19860"
"376","AT1G19880"
"377","AT1G19968"
"378","AT1G19990"
"379","AT1G20070"
"380","AT1G20110"
"381","AT1G20140"
"382","AT1G20370"
"383","AT1G20460"
"384","AT1G20490"
"385","AT1G20540"
"386","AT1G20560"
"387","AT1G20575"
"388","AT1G20620"
"389","AT1G20630"
"390","AT1G20770"
"391","AT1G20890"
"392","AT1G20970"
"393","AT1G20980"
"394","AT1G21160"
"395","AT1G21380"
"396","AT1G21450"
"397","AT1G21520"
"398","AT1G21560"
"399","AT1G21580"
"400","AT1G21660"
"401","AT1G21710"
"402","AT1G21730"
"403","AT1G21740"
"404","AT1G21760"
"405","AT1G21830"
"406","AT1G21880"
"407","AT1G21920"
"408","AT1G21980"
"409","AT1G22070"
"410","AT1G22200"
"411","AT1G22230"
"412","AT1G22280"
"413","AT1G22330"
"414","AT1G22360"
"415","AT1G22470"
"416","AT1G22510"
"417","AT1G22610"
"418","AT1G22620"
"419","AT1G22640"
"420","AT1G22710"
"421","AT1G22740"
"422","AT1G22750"
"423","AT1G22790"
"424","AT1G22910"
"425","AT1G22920"
"426","AT1G22930"
"427","AT1G22970"
"428","AT1G23020"
"429","AT1G23030"
"430","AT1G23040"
"431","AT1G23050"
"432","AT1G23052"
"433","AT1G23080"
"434","AT1G23120"
"435","AT1G23205"
"436","AT1G23220"
"437","AT1G23260"
"438","AT1G23310"
"439","AT1G23390"
"440","AT1G23480"
"441","AT1G23760"
"442","AT1G23780"
"443","AT1G23850"
"444","AT1G23890"
"445","AT1G23960"
"446","AT1G24095"
"447","AT1G24120"
"448","AT1G24160"
"449","AT1G24170"
"450","AT1G24190"
"451","AT1G24240"
"452","AT1G24267"
"453","AT1G24280"
"454","AT1G24310"
"455","AT1G24350"
"456","AT1G24440"
"457","AT1G24450"
"458","AT1G24460"
"459","AT1G24560"
"460","AT1G24625"
"461","AT1G24764"
"462","AT1G24793"
"463","AT1G25054"
"464","AT1G25150"
"465","AT1G25211"
"466","AT1G25220"
"467","AT1G25380"
"468","AT1G25420"
"469","AT1G25500"
"470","AT1G25510"
"471","AT1G25560"
"472","AT1G25682"
"473","AT1G26100"
"474","AT1G26270"
"475","AT1G26300"
"476","AT1G26340"
"477","AT1G26440"
"478","AT1G26450"
"479","AT1G26460"
"480","AT1G26640"
"481","AT1G26650"
"482","AT1G26660"
"483","AT1G26690"
"484","AT1G26820"
"485","AT1G26830"
"486","AT1G26840"
"487","AT1G26910"
"488","AT1G26930"
"489","AT1G26940"
"490","AT1G26945"
"491","AT1G26960"
"492","AT1G27030"
"493","AT1G27050"
"494","AT1G27100"
"495","AT1G27140"
"496","AT1G27150"
"497","AT1G27190"
"498","AT1G27320"
"499","AT1G27385"
"500","AT1G27440"
"501","AT1G27470"
"502","AT1G27510"
"503","AT1G27520"
"504","AT1G27540"
"505","AT1G27595"
"506","AT1G27600"
"507","AT1G27670"
"508","AT1G27760"
"509","AT1G27770"
"510","AT1G27921"
"511","AT1G27930"
"512","AT1G28060"
"513","AT1G28070"
"514","AT1G28120"
"515","AT1G28130"
"516","AT1G28150"
"517","AT1G28190"
"518","AT1G28200"
"519","AT1G28280"
"520","AT1G28310"
"521","AT1G28340"
"522","AT1G28420"
"523","AT1G28490"
"524","AT1G28510"
"525","AT1G28680"
"526","AT1G28960"
"527","AT1G29040"
"528","AT1G29220"
"529","AT1G29260"
"530","AT1G29330"
"531","AT1G29357"
"532","AT1G29400"
"533","AT1G29785"
"534","AT1G29790"
"535","AT1G29820"
"536","AT1G29890"
"537","AT1G29940"
"538","AT1G29980"
"539","AT1G30000"
"540","AT1G30070"
"541","AT1G30200"
"542","AT1G30300"
"543","AT1G30400"
"544","AT1G30590"
"545","AT1G30690"
"546","AT1G30840"
"547","AT1G30910"
"548","AT1G31020"
"549","AT1G31050"
"550","AT1G31070"
"551","AT1G31160"
"552","AT1G31340"
"553","AT1G31420"
"554","AT1G31440"
"555","AT1G31600"
"556","AT1G31730"
"557","AT1G31760"
"558","AT1G31780"
"559","AT1G31830"
"560","AT1G31935"
"561","AT1G32127"
"562","AT1G32130"
"563","AT1G32190"
"564","AT1G32240"
"565","AT1G32260"
"566","AT1G32310"
"567","AT1G32370"
"568","AT1G32380"
"569","AT1G32410"
"570","AT1G32440"
"571","AT1G32490"
"572","AT1G32750"
"573","AT1G32870"
"574","AT1G32928"
"575","AT1G32990"
"576","AT1G33250"
"577","AT1G33265"
"578","AT1G33680"
"579","AT1G33700"
"580","AT1G33790"
"581","AT1G33810"
"582","AT1G33980"
"583","AT1G33990"
"584","AT1G34000"
"585","AT1G34010"
"586","AT1G34020"
"587","AT1G34110"
"588","AT1G34130"
"589","AT1G34190"
"590","AT1G34220"
"591","AT1G34320"
"592","AT1G34350"
"593","AT1G34550"
"594","AT1G34630"
"595","AT1G34670"
"596","AT1G34770"
"597","AT1G35220"
"598","AT1G35260"
"599","AT1G35320"
"600","AT1G35620"
"601","AT1G35670"
"602","AT1G35680"
"603","AT1G35780"
"604","AT1G36160"
"605","AT1G36370"
"606","AT1G36380"
"607","AT1G42440"
"608","AT1G42990"
"609","AT1G43160"
"610","AT1G43560"
"611","AT1G43580"
"612","AT1G43670"
"613","AT1G43690"
"614","AT1G43850"
"615","AT1G43860"
"616","AT1G43900"
"617","AT1G43910"
"618","AT1G44170"
"619","AT1G44180"
"620","AT1G44608"
"621","AT1G44750"
"622","AT1G44760"
"623","AT1G44810"
"624","AT1G44835"
"625","AT1G44900"
"626","AT1G44960"
"627","AT1G45050"
"628","AT1G45130"
"629","AT1G45170"
"630","AT1G45332"
"631","AT1G45688"
"632","AT1G45976"
"633","AT1G46554"
"634","AT1G46768"
"635","AT1G47210"
"636","AT1G47230"
"637","AT1G47310"
"638","AT1G47380"
"639","AT1G47410"
"640","AT1G47500"
"641","AT1G47530"
"642","AT1G47550"
"643","AT1G47570"
"644","AT1G47710"
"645","AT1G47820"
"646","AT1G47840"
"647","AT1G47960"
"648","AT1G47970"
"649","AT1G48110"
"650","AT1G48170"
"651","AT1G48210"
"652","AT1G48240"
"653","AT1G48330"
"654","AT1G48350"
"655","AT1G48380"
"656","AT1G48450"
"657","AT1G48510"
"658","AT1G48610"
"659","AT1G48620"
"660","AT1G48635"
"661","AT1G48650"
"662","AT1G48790"
"663","AT1G48860"
"664","AT1G48900"
"665","AT1G48950"
"666","AT1G49030"
"667","AT1G49050"
"668","AT1G49340"
"669","AT1G49360"
"670","AT1G49510"
"671","AT1G49580"
"672","AT1G49590"
"673","AT1G49820"
"674","AT1G49890"
"675","AT1G49950"
"676","AT1G49970"
"677","AT1G50020"
"678","AT1G50050"
"679","AT1G50110"
"680","AT1G50120"
"681","AT1G50140"
"682","AT1G50320"
"683","AT1G50380"
"684","AT1G50420"
"685","AT1G50500"
"686","AT1G50510"
"687","AT1G50570"
"688","AT1G50600"
"689","AT1G50630"
"690","AT1G50660"
"691","AT1G50710"
"692","AT1G50940"
"693","AT1G51170"
"694","AT1G51390"
"695","AT1G51420"
"696","AT1G51570"
"697","AT1G51590"
"698","AT1G51600"
"699","AT1G51630"
"700","AT1G51710"
"701","AT1G52050"
"702","AT1G52150"
"703","AT1G52245"
"704","AT1G52340"
"705","AT1G52347"
"706","AT1G52370"
"707","AT1G52420"
"708","AT1G52500"
"709","AT1G52730"
"710","AT1G52750"
"711","AT1G52905"
"712","AT1G53030"
"713","AT1G53040"
"714","AT1G53050"
"715","AT1G53130"
"716","AT1G53180"
"717","AT1G53280"
"718","AT1G53290"
"719","AT1G53300"
"720","AT1G53380"
"721","AT1G53400"
"722","AT1G53500"
"723","AT1G53570"
"724","AT1G53645"
"725","AT1G53710"
"726","AT1G53720"
"727","AT1G53730"
"728","AT1G53780"
"729","AT1G53880"
"730","AT1G53920"
"731","AT1G54060"
"732","AT1G54090"
"733","AT1G54115"
"734","AT1G54170"
"735","AT1G54250"
"736","AT1G54360"
"737","AT1G54370"
"738","AT1G54385"
"739","AT1G54390"
"740","AT1G54460"
"741","AT1G54490"
"742","AT1G54610"
"743","AT1G54770"
"744","AT1G54830"
"745","AT1G54890"
"746","AT1G54920"
"747","AT1G54990"
"748","AT1G55000"
"749","AT1G55080"
"750","AT1G55152"
"751","AT1G55190"
"752","AT1G55340"
"753","AT1G55500"
"754","AT1G55510"
"755","AT1G55520"
"756","AT1G55530"
"757","AT1G55535"
"758","AT1G55680"
"759","AT1G55690"
"760","AT1G55730"
"761","AT1G55805"
"762","AT1G55810"
"763","AT1G55880"
"764","AT1G55900"
"765","AT1G55990"
"766","AT1G56010"
"767","AT1G56190"
"768","AT1G56210"
"769","AT1G56230"
"770","AT1G56290"
"771","AT1G56300"
"772","AT1G56320"
"773","AT1G56430"
"774","AT1G56460"
"775","AT1G56590"
"776","AT1G56660"
"777","AT1G57540"
"778","AT1G57610"
"779","AT1G57765"
"780","AT1G58030"
"781","AT1G58070"
"782","AT1G58100"
"783","AT1G58110"
"784","AT1G58230"
"785","AT1G58270"
"786","AT1G58280"
"787","AT1G58440"
"788","AT1G59590"
"789","AT1G59600"
"790","AT1G59650"
"791","AT1G59760"
"792","AT1G59830"
"793","AT1G59990"
"794","AT1G60070"
"795","AT1G60080"
"796","AT1G60170"
"797","AT1G60200"
"798","AT1G60740"
"799","AT1G60750"
"800","AT1G60810"
"801","AT1G60850"
"802","AT1G60860"
"803","AT1G60900"
"804","AT1G60950"
"805","AT1G61010"
"806","AT1G61040"
"807","AT1G61100"
"808","AT1G61150"
"809","AT1G61670"
"810","AT1G61730"
"811","AT1G61795"
"812","AT1G61820"
"813","AT1G61900"
"814","AT1G61990"
"815","AT1G62020"
"816","AT1G62045"
"817","AT1G62330"
"818","AT1G62390"
"819","AT1G62422"
"820","AT1G62430"
"821","AT1G62770"
"822","AT1G62800"
"823","AT1G62810"
"824","AT1G63050"
"825","AT1G63090"
"826","AT1G63300"
"827","AT1G63310"
"828","AT1G63410"
"829","AT1G63430"
"830","AT1G63470"
"831","AT1G63500"
"832","AT1G63640"
"833","AT1G63700"
"834","AT1G63850"
"835","AT1G63970"
"836","AT1G64060"
"837","AT1G64140"
"838","AT1G64160"
"839","AT1G64200"
"840","AT1G64220"
"841","AT1G64330"
"842","AT1G64350"
"843","AT1G64385"
"844","AT1G64390"
"845","AT1G64440"
"846","AT1G64530"
"847","AT1G64790"
"848","AT1G64910"
"849","AT1G64950"
"850","AT1G64990"
"851","AT1G65020"
"852","AT1G65040"
"853","AT1G65260"
"854","AT1G65280"
"855","AT1G65440"
"856","AT1G65500"
"857","AT1G65520"
"858","AT1G65570"
"859","AT1G65590"
"860","AT1G65650"
"861","AT1G65660"
"862","AT1G65700"
"863","AT1G65985"
"864","AT1G66070"
"865","AT1G66250"
"866","AT1G66260"
"867","AT1G66430"
"868","AT1G66500"
"869","AT1G66530"
"870","AT1G66590"
"871","AT1G66670"
"872","AT1G66760"
"873","AT1G67060"
"874","AT1G67080"
"875","AT1G67120"
"876","AT1G67140"
"877","AT1G67148"
"878","AT1G67320"
"879","AT1G67325"
"880","AT1G67340"
"881","AT1G67580"
"882","AT1G67620"
"883","AT1G67810"
"884","AT1G67930"
"885","AT1G67940"
"886","AT1G68070"
"887","AT1G68100"
"888","AT1G68130"
"889","AT1G68150"
"890","AT1G68220"
"891","AT1G68230"
"892","AT1G68370"
"893","AT1G68410"
"894","AT1G68550"
"895","AT1G68580"
"896","AT1G68660"
"897","AT1G68670"
"898","AT1G68720"
"899","AT1G68760"
"900","AT1G68820"
"901","AT1G68825"
"902","AT1G68990"
"903","AT1G69010"
"904","AT1G69030"
"905","AT1G69070"
"906","AT1G69080"
"907","AT1G69220"
"908","AT1G69250"
"909","AT1G69330"
"910","AT1G69340"
"911","AT1G69390"
"912","AT1G69420"
"913","AT1G69450"
