"","phyD_GC_c1.which.mclass....1...1."
"1","AT1G01150"
"2","AT1G01680"
"3","AT1G01695"
"4","AT1G02205"
"5","AT1G02510"
"6","AT1G02820"
"7","AT1G03390"
"8","AT1G03790"
"9","AT1G04083"
"10","AT1G04343"
"11","AT1G04403"
"12","AT1G04500"
"13","AT1G04560"
"14","AT1G04703"
"15","AT1G04800"
"16","AT1G04817"
"17","AT1G05297"
"18","AT1G05303"
"19","AT1G05353"
"20","AT1G05383"
"21","AT1G05493"
"22","AT1G05510"
"23","AT1G05550"
"24","AT1G05693"
"25","AT1G05723"
"26","AT1G05757"
"27","AT1G05920"
"28","AT1G06487"
"29","AT1G06537"
"30","AT1G06613"
"31","AT1G06645"
"32","AT1G06830"
"33","AT1G06963"
"34","AT1G07340"
"35","AT1G07430"
"36","AT1G07476"
"37","AT1G07493"
"38","AT1G07657"
"39","AT1G07720"
"40","AT1G07887"
"41","AT1G07943"
"42","AT1G07963"
"43","AT1G07987"
"44","AT1G08090"
"45","AT1G08093"
"46","AT1G08123"
"47","AT1G08440"
"48","AT1G08457"
"49","AT1G08867"
"50","AT1G09080"
"51","AT1G09157"
"52","AT1G09163"
"53","AT1G09260"
"54","AT1G09447"
"55","AT1G09513"
"56","AT1G09720"
"57","AT1G09853"
"58","AT1G10010"
"59","AT1G10385"
"60","AT1G10455"
"61","AT1G10540"
"62","AT1G10588"
"63","AT1G10640"
"64","AT1G11470"
"65","AT1G11560"
"66","AT1G12570"
"67","AT1G12672"
"68","AT1G15015"
"69","AT1G15580"
"70","AT1G15600"
"71","AT1G15680"
"72","AT1G16705"
"73","AT1G17810"
"74","AT1G17990"
"75","AT1G18310"
"76","AT1G18350"
"77","AT1G19890"
"78","AT1G20080"
"79","AT1G20590"
"80","AT1G21550"
"81","AT1G21890"
"82","AT1G22380"
"83","AT1G22900"
"84","AT1G23070"
"85","AT1G23520"
"86","AT1G24260"
"87","AT1G24545"
"88","AT1G24807"
"89","AT1G24909"
"90","AT1G25155"
"91","AT1G25210"
"92","AT1G25988"
"93","AT1G26410"
"94","AT1G27565"
"95","AT1G27570"
"96","AT1G28265"
"97","AT1G28270"
"98","AT1G28327"
"99","AT1G29090"
"100","AT1G29100"
"101","AT1G29680"
"102","AT1G30220"
"103","AT1G30740"
"104","AT1G31960"
"105","AT1G32060"
"106","AT1G32172"
"107","AT1G32560"
"108","AT1G32960"
"109","AT1G33670"
"110","AT1G34140"
"111","AT1G35617"
"112","AT1G36580"
"113","AT1G42560"
"114","AT1G44575"
"115","AT1G45191"
"116","AT1G46984"
"117","AT1G47350"
"118","AT1G47920"
"119","AT1G48020"
"120","AT1G48405"
"121","AT1G48820"
"122","AT1G49100"
"123","AT1G49610"
"124","AT1G49938"
"125","AT1G50610"
"126","AT1G50830"
"127","AT1G51538"
"128","AT1G51990"
"129","AT1G52580"
"130","AT1G52615"
