"","phyD_GC_c1.which.mclass....6...1."
"1","AT1G01070"
"2","AT1G01300"
"3","AT1G01510"
"4","AT1G01730"
"5","AT1G01820"
"6","AT1G02090"
"7","AT1G02100"
"8","AT1G02160"
"9","AT1G02305"
"10","AT1G02816"
"11","AT1G02850"
"12","AT1G02930"
"13","AT1G03080"
"14","AT1G03090"
"15","AT1G03110"
"16","AT1G03140"
"17","AT1G03210"
"18","AT1G03230"
"19","AT1G03330"
"20","AT1G03410"
"21","AT1G03610"
"22","AT1G03850"
"23","AT1G04080"
"24","AT1G04140"
"25","AT1G04170"
"26","AT1G04183"
"27","AT1G04190"
"28","AT1G04340"
"29","AT1G04430"
"30","AT1G04440"
"31","AT1G04503"
"32","AT1G04510"
"33","AT1G04630"
"34","AT1G04680"
"35","AT1G05205"
"36","AT1G05570"
"37","AT1G05575"
"38","AT1G05620"
"39","AT1G05680"
"40","AT1G05720"
"41","AT1G06040"
"42","AT1G06110"
"43","AT1G06200"
"44","AT1G06220"
"45","AT1G06230"
"46","AT1G06390"
"47","AT1G06400"
"48","AT1G06410"
"49","AT1G06550"
"50","AT1G06570"
"51","AT1G06640"
"52","AT1G06700"
"53","AT1G06890"
"54","AT1G07020"
"55","AT1G07070"
"56","AT1G07080"
"57","AT1G07210"
"58","AT1G07310"
"59","AT1G07360"
"60","AT1G07370"
"61","AT1G07470"
"62","AT1G07750"
"63","AT1G07790"
"64","AT1G07830"
"65","AT1G07960"
"66","AT1G08110"
"67","AT1G08370"
"68","AT1G08570"
"69","AT1G08580"
"70","AT1G08650"
"71","AT1G08780"
"72","AT1G08803"
"73","AT1G08930"
"74","AT1G09070"
"75","AT1G09140"
"76","AT1G09270"
"77","AT1G09330"
"78","AT1G09430"
"79","AT1G09570"
"80","AT1G09620"
"81","AT1G09630"
"82","AT1G09660"
"83","AT1G09740"
"84","AT1G09760"
"85","AT1G09840"
"86","AT1G09932"
"87","AT1G09970"
"88","AT1G10120"
"89","AT1G10140"
"90","AT1G10200"
"91","AT1G10290"
"92","AT1G10865"
"93","AT1G11260"
"94","AT1G11310"
"95","AT1G11360"
"96","AT1G11400"
"97","AT1G11480"
"98","AT1G11670"
"99","AT1G11750"
"100","AT1G11860"
"101","AT1G11910"
"102","AT1G12010"
"103","AT1G12110"
"104","AT1G12270"
"105","AT1G12390"
"106","AT1G12440"
"107","AT1G12780"
"108","AT1G12810"
"109","AT1G12850"
"110","AT1G13060"
"111","AT1G13245"
"112","AT1G13260"
"113","AT1G13280"
"114","AT1G13360"
"115","AT1G13380"
"116","AT1G13450"
"117","AT1G13730"
"118","AT1G13930"
"119","AT1G13950"
"120","AT1G14010"
"121","AT1G14060"
"122","AT1G14210"
"123","AT1G14290"
"124","AT1G14510"
"125","AT1G14570"
"126","AT1G14610"
"127","AT1G14620"
"128","AT1G14740"
"129","AT1G14810"
"130","AT1G14830"
"131","AT1G14860"
"132","AT1G14890"
"133","AT1G14900"
"134","AT1G15010"
"135","AT1G15040"
"136","AT1G15100"
"137","AT1G15200"
"138","AT1G15210"
"139","AT1G15250"
