"","phyD_GC_c1.which.mclass....3...1."
"1","AT1G01183"
"2","AT1G01190"
"3","AT1G01420"
"4","AT1G01453"
"5","AT1G01520"
"6","AT1G02470"
"7","AT1G02490"
"8","AT1G02580"
"9","AT1G02650"
"10","AT1G02770"
"11","AT1G02813"
"12","AT1G02952"
"13","AT1G02980"
"14","AT1G03120"
"15","AT1G03170"
"16","AT1G03445"
"17","AT1G03502"
"18","AT1G03506"
"19","AT1G03630"
"20","AT1G03710"
"21","AT1G03743"
"22","AT1G03746"
"23","AT1G04013"
"24","AT1G04017"
"25","AT1G04037"
"26","AT1G04073"
"27","AT1G04103"
"28","AT1G04105"
"29","AT1G04123"
"30","AT1G04147"
"31","AT1G04187"
"32","AT1G04193"
"33","AT1G04197"
"34","AT1G04217"
"35","AT1G04223"
"36","AT1G04227"
"37","AT1G04237"
"38","AT1G04267"
"39","AT1G04273"
"40","AT1G04277"
"41","AT1G04297"
"42","AT1G04303"
"43","AT1G04363"
"44","AT1G04380"
"45","AT1G04397"
"46","AT1G04427"
"47","AT1G04445"
"48","AT1G04467"
"49","AT1G04493"
"50","AT1G04497"
"51","AT1G04507"
"52","AT1G04523"
"53","AT1G04533"
"54","AT1G04563"
"55","AT1G04567"
"56","AT1G04577"
"57","AT1G04580"
"58","AT1G04587"
"59","AT1G04625"
"60","AT1G04643"
"61","AT1G04657"
"62","AT1G04670"
"63","AT1G04713"
"64","AT1G04743"
"65","AT1G04797"
"66","AT1G04827"
"67","AT1G04853"
"68","AT1G04913"
"69","AT1G04933"
"70","AT1G05013"
"71","AT1G05020"
"72","AT1G05023"
"73","AT1G05043"
"74","AT1G05047"
"75","AT1G05057"
"76","AT1G05083"
"77","AT1G05103"
"78","AT1G05200"
"79","AT1G05203"
"80","AT1G05207"
"81","AT1G05243"
"82","AT1G05247"
"83","AT1G05253"
"84","AT1G05317"
"85","AT1G05327"
"86","AT1G05330"
"87","AT1G05357"
"88","AT1G05417"
"89","AT1G05423"
"90","AT1G05447"
"91","AT1G05463"
"92","AT1G05517"
"93","AT1G05675"
"94","AT1G05690"
"95","AT1G05703"
"96","AT1G05707"
"97","AT1G05727"
"98","AT1G05747"
"99","AT1G05783"
"100","AT1G05813"
"101","AT1G05913"
"102","AT1G05917"
"103","AT1G05933"
"104","AT1G05937"
"105","AT1G05977"
"106","AT1G05990"
"107","AT1G05993"
"108","AT1G05997"
"109","AT1G06017"
"110","AT1G06020"
"111","AT1G06030"
"112","AT1G06080"
"113","AT1G06087"
"114","AT1G06100"
"115","AT1G06117"
"116","AT1G06148"
"117","AT1G06153"
"118","AT1G06160"
"119","AT1G06163"
"120","AT1G06170"
"121","AT1G06207"
"122","AT1G06217"
"123","AT1G06237"
"124","AT1G06243"
"125","AT1G06257"
"126","AT1G06260"
"127","AT1G06273"
"128","AT1G06337"
"129","AT1G06350"
"130","AT1G06423"
"131","AT1G06453"
"132","AT1G06457"
"133","AT1G06467"
"134","AT1G06547"
"135","AT1G06583"
"136","AT1G06587"
"137","AT1G06607"
"138","AT1G06667"
"139","AT1G06687"
"140","AT1G06717"
"141","AT1G06750"
"142","AT1G06753"
"143","AT1G06757"
"144","AT1G06773"
"145","AT1G06837"
"146","AT1G06970"
"147","AT1G06977"
"148","AT1G07010"
"149","AT1G07017"
"150","AT1G07023"
"151","AT1G07060"
"152","AT1G07180"
"153","AT1G07267"
"154","AT1G07287"
"155","AT1G07473"
"156","AT1G07477"
"157","AT1G07500"
"158","AT1G07563"
"159","AT1G07587"
"160","AT1G07653"
"161","AT1G07663"
"162","AT1G07693"
"163","AT1G07697"
"164","AT1G07703"
"165","AT1G07823"
"166","AT1G07850"
"167","AT1G07853"
"168","AT1G07877"
"169","AT1G07900"
"170","AT1G07901"
"171","AT1G07913"
"172","AT1G08005"
"173","AT1G08073"
"174","AT1G08097"
"175","AT1G08103"
"176","AT1G08115"
"177","AT1G08120"
"178","AT1G08147"
"179","AT1G08165"
"180","AT1G08273"
"181","AT1G08287"
"182","AT1G08323"
"183","AT1G08537"
"184","AT1G08547"
"185","AT1G08557"
"186","AT1G08563"
"187","AT1G08567"
"188","AT1G08573"
"189","AT1G08597"
"190","AT1G08633"
"191","AT1G08667"
"192","AT1G08697"
"193","AT1G08707"
"194","AT1G08713"
"195","AT1G08810"
"196","AT1G08823"
"197","AT1G08827"
"198","AT1G08847"
"199","AT1G08853"
"200","AT1G08860"
"201","AT1G08903"
"202","AT1G08937"
"203","AT1G08967"
"204","AT1G09003"
"205","AT1G09017"
"206","AT1G09063"
"207","AT1G09083"
"208","AT1G09167"
"209","AT1G09176"
"210","AT1G09180"
"211","AT1G09193"
"212","AT1G09233"
"213","AT1G09253"
"214","AT1G09257"
"215","AT1G09267"
"216","AT1G09287"
"217","AT1G09317"
"218","AT1G09323"
"219","AT1G09400"
"220","AT1G09415"
"221","AT1G09421"
"222","AT1G09423"
"223","AT1G09433"
"224","AT1G09453"
"225","AT1G09467"
"226","AT1G09473"
"227","AT1G09500"
"228","AT1G09510"
"229","AT1G09527"
"230","AT1G09537"
"231","AT1G09553"
"232","AT1G09557"
"233","AT1G09573"
"234","AT1G09603"
"235","AT1G09607"
"236","AT1G09677"
"237","AT1G09687"
"238","AT1G09753"
"239","AT1G09757"
"240","AT1G09773"
"241","AT1G09777"
"242","AT1G09793"
"243","AT1G09797"
"244","AT1G09803"
"245","AT1G09823"
"246","AT1G09843"
"247","AT1G09897"
"248","AT1G09903"
"249","AT1G09907"
"250","AT1G09917"
"251","AT1G10680"
"252","AT1G10747"
"253","AT1G10770"
"254","AT1G10875"
"255","AT1G11070"
"256","AT1G11112"
"257","AT1G11410"
"258","AT1G11510"
"259","AT1G11572"
"260","AT1G11590"
"261","AT1G11600"
"262","AT1G11920"
"263","AT1G12013"
"264","AT1G12294"
"265","AT1G12340"
"266","AT1G12663"
"267","AT1G12900"
"268","AT1G13200"
"269","AT1G13230"
"270","AT1G13400"
"271","AT1G13490"
"272","AT1G13500"
"273","AT1G13608"
"274","AT1G13790"
"275","AT1G14071"
"276","AT1G14440"
"277","AT1G14455"
"278","AT1G14520"
"279","AT1G14550"
"280","AT1G14630"
"281","AT1G14640"
"282","AT1G15125"
"283","AT1G15260"
"284","AT1G15320"
"285","AT1G15540"
"286","AT1G15772"
"287","AT1G15830"
"288","AT1G15840"
"289","AT1G16025"
"290","AT1G16230"
"291","AT1G16380"
"292","AT1G16530"
"293","AT1G16750"
"294","AT1G16770"
"295","AT1G16910"
"296","AT1G17260"
"297","AT1G17310"
"298","AT1G17600"
"299","AT1G17610"
"300","AT1G17700"
"301","AT1G18020"
"302","AT1G18193"
"303","AT1G18197"
"304","AT1G18400"
"305","AT1G18410"
"306","AT1G18530"
"307","AT1G18870"
"308","AT1G18879"
"309","AT1G18960"
"310","AT1G18990"
"311","AT1G19160"
"312","AT1G19373"
"313","AT1G19390"
"314","AT1G19550"
"315","AT1G19630"
"316","AT1G19750"
"317","AT1G20015"
"318","AT1G20020"
"319","AT1G20120"
"320","AT1G20150"
"321","AT1G20310"
"322","AT1G20400"
"323","AT1G20860"
"324","AT1G20923"
"325","AT1G20925"
"326","AT1G20990"
"327","AT1G21230"
"328","AT1G21500"
"329","AT1G21528"
"330","AT1G21810"
"331","AT1G21860"
"332","AT1G22000"
"333","AT1G22080"
"334","AT1G22160"
"335","AT1G22250"
"336","AT1G22290"
"337","AT1G22480"
"338","AT1G22590"
"339","AT1G22670"
"340","AT1G22680"
"341","AT1G23210"
"342","AT1G23510"
"343","AT1G23540"
"344","AT1G23730"
"345","AT1G24000"
"346","AT1G24020"
"347","AT1G24270"
"348","AT1G24430"
"349","AT1G24470"
"350","AT1G24485"
"351","AT1G24570"
"352","AT1G24577"
"353","AT1G25240"
"354","AT1G25277"
"355","AT1G25330"
"356","AT1G25440"
"357","AT1G26230"
"358","AT1G26233"
"359","AT1G26510"
"360","AT1G26560"
"361","AT1G26710"
