"","phyD_GC_c1.which.mclass....4...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01040"
"4","AT1G01180"
"5","AT1G01225"
"6","AT1G01240"
"7","AT1G01260"
"8","AT1G01320"
"9","AT1G01370"
"10","AT1G01430"
"11","AT1G01440"
"12","AT1G01450"
"13","AT1G01610"
"14","AT1G01690"
"15","AT1G01710"
"16","AT1G01780"
"17","AT1G01830"
"18","AT1G01930"
"19","AT1G01950"
"20","AT1G02000"
"21","AT1G02110"
"22","AT1G02260"
"23","AT1G02270"
"24","AT1G02340"
"25","AT1G02360"
"26","AT1G02370"
"27","AT1G02430"
"28","AT1G02460"
"29","AT1G02475"
"30","AT1G02640"
"31","AT1G02730"
"32","AT1G02740"
"33","AT1G02750"
"34","AT1G02810"
"35","AT1G02860"
"36","AT1G02910"
"37","AT1G02920"
"38","AT1G02960"
"39","AT1G02990"
"40","AT1G03000"
"41","AT1G03180"
"42","AT1G03250"
"43","AT1G03260"
"44","AT1G03365"
"45","AT1G03370"
"46","AT1G03457"
"47","AT1G03475"
"48","AT1G03550"
"49","AT1G03680"
"50","AT1G03740"
"51","AT1G03760"
"52","AT1G03770"
"53","AT1G03780"
"54","AT1G03905"
"55","AT1G03970"
"56","AT1G04000"
"57","AT1G04020"
"58","AT1G04130"
"59","AT1G04200"
"60","AT1G04230"
"61","AT1G04240"
"62","AT1G04290"
"63","AT1G04353"
"64","AT1G04463"
"65","AT1G04530"
"66","AT1G04555"
"67","AT1G04610"
"68","AT1G04635"
"69","AT1G04647"
"70","AT1G04773"
"71","AT1G04790"
"72","AT1G04803"
"73","AT1G04830"
"74","AT1G04833"
"75","AT1G04837"
"76","AT1G04860"
"77","AT1G04900"
"78","AT1G04945"
"79","AT1G04977"
"80","AT1G04990"
"81","AT1G05000"
"82","AT1G05010"
"83","AT1G05060"
"84","AT1G05090"
"85","AT1G05120"
"86","AT1G05160"
"87","AT1G05183"
"88","AT1G05190"
"89","AT1G05280"
"90","AT1G05320"
"91","AT1G05410"
"92","AT1G05470"
"93","AT1G05523"
"94","AT1G05590"
"95","AT1G05660"
"96","AT1G05730"
"97","AT1G05750"
"98","AT1G05753"
"99","AT1G05780"
"100","AT1G05790"
"101","AT1G05830"
"102","AT1G05860"
"103","AT1G05970"
"104","AT1G06000"
"105","AT1G06002"
"106","AT1G06010"
"107","AT1G06150"
"108","AT1G06180"
"109","AT1G06225"
"110","AT1G06227"
"111","AT1G06240"
"112","AT1G06380"
"113","AT1G06450"
"114","AT1G06475"
"115","AT1G06500"
"116","AT1G06510"
"117","AT1G06560"
"118","AT1G06590"
"119","AT1G06730"
"120","AT1G06770"
"121","AT1G06780"
"122","AT1G06800"
"123","AT1G06820"
"124","AT1G06840"
"125","AT1G07000"
"126","AT1G07110"
"127","AT1G07128"
"128","AT1G07130"
"129","AT1G07175"
"130","AT1G07200"
"131","AT1G07220"
"132","AT1G07240"
"133","AT1G07300"
"134","AT1G07320"
"135","AT1G07323"
"136","AT1G07367"
"137","AT1G07380"
"138","AT1G07410"
"139","AT1G07520"
"140","AT1G07570"
"141","AT1G07615"
"142","AT1G07630"
"143","AT1G07650"
"144","AT1G07700"
"145","AT1G07705"
"146","AT1G07725"
"147","AT1G07728"
"148","AT1G07745"
"149","AT1G07780"
"150","AT1G07847"
"151","AT1G07870"
"152","AT1G07893"
"153","AT1G07970"
"154","AT1G07980"
"155","AT1G07983"
"156","AT1G08000"
"157","AT1G08030"
"158","AT1G08040"
"159","AT1G08060"
"160","AT1G08250"
"161","AT1G08280"
"162","AT1G08315"
"163","AT1G08320"
"164","AT1G08340"
"165","AT1G08390"
"166","AT1G08400"
"167","AT1G08420"
"168","AT1G08470"
"169","AT1G08520"
"170","AT1G08530"
"171","AT1G08550"
"172","AT1G08610"
"173","AT1G08645"
"174","AT1G08670"
"175","AT1G08710"
"176","AT1G08720"
"177","AT1G08750"
"178","AT1G08760"
"179","AT1G08800"
"180","AT1G08845"
"181","AT1G08890"
"182","AT1G08920"
"183","AT1G08940"
