"","phyD_GC_c1.which.mclass....5...1."
"1","AT1G01080"
"2","AT1G01120"
"3","AT1G01140"
"4","AT1G01200"
"5","AT1G01220"
"6","AT1G01340"
"7","AT1G01380"
"8","AT1G01500"
"9","AT1G01570"
"10","AT1G01670"
"11","AT1G01700"
"12","AT1G01715"
"13","AT1G01740"
"14","AT1G01760"
"15","AT1G01790"
"16","AT1G01840"
"17","AT1G01860"
"18","AT1G01970"
"19","AT1G02010"
"20","AT1G02020"
"21","AT1G02050"
"22","AT1G02060"
"23","AT1G02180"
"24","AT1G02230"
"25","AT1G02290"
"26","AT1G02300"
"27","AT1G02390"
"28","AT1G02420"
"29","AT1G02440"
"30","AT1G02970"
"31","AT1G03010"
"32","AT1G03100"
"33","AT1G03130"
"34","AT1G03160"
"35","AT1G03190"
"36","AT1G03270"
"37","AT1G03300"
"38","AT1G03310"
"39","AT1G03340"
"40","AT1G03400"
"41","AT1G03440"
"42","AT1G03470"
"43","AT1G03510"
"44","AT1G03520"
"45","AT1G03560"
"46","AT1G03620"
"47","AT1G03650"
"48","AT1G03660"
"49","AT1G03750"
"50","AT1G03830"
"51","AT1G03920"
"52","AT1G03930"
"53","AT1G03950"
"54","AT1G03960"
"55","AT1G03980"
"56","AT1G04010"
"57","AT1G04047"
"58","AT1G04050"
"59","AT1G04053"
"60","AT1G04100"
"61","AT1G04117"
"62","AT1G04160"
"63","AT1G04180"
"64","AT1G04220"
"65","AT1G04233"
"66","AT1G04247"
"67","AT1G04295"
"68","AT1G04310"
"69","AT1G04330"
"70","AT1G04360"
"71","AT1G04390"
"72","AT1G04420"
"73","AT1G04425"
"74","AT1G04477"
"75","AT1G04490"
"76","AT1G04513"
"77","AT1G04540"
"78","AT1G04640"
"79","AT1G04650"
"80","AT1G04707"
"81","AT1G04710"
"82","AT1G04730"
"83","AT1G04760"
"84","AT1G04778"
"85","AT1G04917"
"86","AT1G04930"
"87","AT1G05030"
"88","AT1G05087"
"89","AT1G05100"
"90","AT1G05140"
"91","AT1G05163"
"92","AT1G05187"
"93","AT1G05230"
"94","AT1G05300"
"95","AT1G05310"
"96","AT1G05370"
"97","AT1G05385"
"98","AT1G05397"
"99","AT1G05400"
"100","AT1G05420"
"101","AT1G05440"
"102","AT1G05453"
"103","AT1G05460"
"104","AT1G05467"
"105","AT1G05530"
"106","AT1G05553"
"107","AT1G05557"
"108","AT1G05577"
"109","AT1G05600"
"110","AT1G05630"
"111","AT1G05640"
"112","AT1G05650"
"113","AT1G05670"
"114","AT1G05687"
"115","AT1G05700"
"116","AT1G05770"
"117","AT1G05835"
"118","AT1G05837"
"119","AT1G05873"
"120","AT1G05900"
"121","AT1G05950"
"122","AT1G06050"
"123","AT1G06120"
"124","AT1G06140"
"125","AT1G06143"
"126","AT1G06270"
"127","AT1G06287"
"128","AT1G06310"
"129","AT1G06330"
"130","AT1G06420"
"131","AT1G06430"
"132","AT1G06440"
"133","AT1G06460"
"134","AT1G06463"
"135","AT1G06473"
"136","AT1G06490"
"137","AT1G06580"
"138","AT1G06650"
"139","AT1G06660"
"140","AT1G06690"
"141","AT1G06710"
"142","AT1G06740"
"143","AT1G06787"
"144","AT1G06910"
"145","AT1G06923"
"146","AT1G06980"
"147","AT1G07090"
"148","AT1G07119"
"149","AT1G07150"
"150","AT1G07270"
"151","AT1G07280"
"152","AT1G07290"
"153","AT1G07373"
"154","AT1G07485"
"155","AT1G07490"
"156","AT1G07560"
"157","AT1G07603"
"158","AT1G07607"
"159","AT1G07620"
"160","AT1G07710"
"161","AT1G07730"
"162","AT1G07733"
"163","AT1G07737"
"164","AT1G07740"
"165","AT1G07743"
"166","AT1G07795"
"167","AT1G07803"
"168","AT1G07897"
"169","AT1G07902"
"170","AT1G07903"
"171","AT1G07910"
"172","AT1G07933"
"173","AT1G07937"
"174","AT1G08003"
"175","AT1G08043"
"176","AT1G08050"
"177","AT1G08087"
"178","AT1G08173"
"179","AT1G08180"
"180","AT1G08213"
"181","AT1G08217"
"182","AT1G08300"
"183","AT1G08380"
"184","AT1G08387"
"185","AT1G08540"
"186","AT1G08543"
"187","AT1G08643"
"188","AT1G08727"
"189","AT1G08840"
"190","AT1G08857"
"191","AT1G08900"
"192","AT1G08910"
"193","AT1G08973"
"194","AT1G09000"
"195","AT1G09023"
"196","AT1G09027"
"197","AT1G09040"
"198","AT1G09050"
"199","AT1G09155"
"200","AT1G09190"
"201","AT1G09195"
"202","AT1G09220"
"203","AT1G09247"
"204","AT1G09297"
"205","AT1G09327"
"206","AT1G09390"
"207","AT1G09440"
"208","AT1G09443"
"209","AT1G09450"
"210","AT1G09523"
"211","AT1G09540"
"212","AT1G09600"
"213","AT1G09610"
"214","AT1G09627"
"215","AT1G09710"
"216","AT1G09750"
"217","AT1G09800"
"218","AT1G09812"
"219","AT1G09820"
"220","AT1G09863"
"221","AT1G09890"
"222","AT1G09900"
"223","AT1G09960"
"224","AT1G09987"
"225","AT1G09993"
"226","AT1G10050"
"227","AT1G10090"
"228","AT1G10280"
"229","AT1G10300"
"230","AT1G10320"
"231","AT1G10460"
"232","AT1G10480"
"233","AT1G10510"
"234","AT1G10520"
"235","AT1G10560"
"236","AT1G10730"
"237","AT1G10800"
"238","AT1G10920"
"239","AT1G10960"
"240","AT1G11080"
"241","AT1G11100"
"242","AT1G11125"
"243","AT1G11160"
"244","AT1G11170"
"245","AT1G11180"
"246","AT1G11210"
"247","AT1G11220"
"248","AT1G11320"
"249","AT1G11330"
"250","AT1G11540"
"251","AT1G11591"
"252","AT1G11700"
"253","AT1G11710"
"254","AT1G11800"
"255","AT1G11880"
"256","AT1G11900"
"257","AT1G11940"
"258","AT1G11950"
"259","AT1G11960"
"260","AT1G12030"
"261","AT1G12060"
"262","AT1G12210"
"263","AT1G12211"
"264","AT1G12220"
"265","AT1G12244"
"266","AT1G12290"
"267","AT1G12300"
"268","AT1G12330"
"269","AT1G12370"
"270","AT1G12380"
"271","AT1G12420"
"272","AT1G12430"
"273","AT1G12460"
"274","AT1G12550"
"275","AT1G12600"
"276","AT1G12620"
"277","AT1G12730"
"278","AT1G12775"
"279","AT1G12790"
"280","AT1G12800"
"281","AT1G12805"
"282","AT1G12860"
"283","AT1G13040"
"284","AT1G13050"
"285","AT1G13090"
"286","AT1G13100"
"287","AT1G13130"
"288","AT1G13330"
"289","AT1G13340"
"290","AT1G13410"
"291","AT1G13448"
"292","AT1G13480"
"293","AT1G13540"
"294","AT1G13550"
"295","AT1G13740"
"296","AT1G13780"
"297","AT1G13800"
"298","AT1G13820"
"299","AT1G13870"
"300","AT1G14150"
"301","AT1G14185"
"302","AT1G14260"
"303","AT1G14280"
"304","AT1G14460"
"305","AT1G14480"
"306","AT1G14500"
"307","AT1G14530"
"308","AT1G14540"
"309","AT1G14590"
"310","AT1G14660"
"311","AT1G14687"
"312","AT1G14720"
"313","AT1G14750"
"314","AT1G14770"
"315","AT1G14780"
