"","WS_FLT_c1.which.mclass....3...1."
"289","AT1G47490"
"290","AT1G47570"
"291","AT1G47670"
"292","AT1G47740"
"293","AT1G47830"
"294","AT1G48030"
"295","AT1G48160"
"296","AT1G48410"
"297","AT1G48440"
"298","AT1G48850"
"299","AT1G49300"
"300","AT1G49400"
"301","AT1G49480"
"302","AT1G49570"
"303","AT1G50060"
"304","AT1G50200"
"305","AT1G50290"
"306","AT1G50370"
"307","AT1G50430"
"308","AT1G50480"
"309","AT1G50640"
"310","AT1G50660"
"311","AT1G50670"
"312","AT1G50740"
"313","AT1G51160"
"314","AT1G51680"
"315","AT1G51730"
"316","AT1G52050"
"317","AT1G52060"
"318","AT1G52280"
"319","AT1G52380"
"320","AT1G52600"
"321","AT1G52670"
"322","AT1G52720"
"323","AT1G52910"
"324","AT1G52930"
"325","AT1G53210"
"326","AT1G53310"
"327","AT1G53760"
"328","AT1G53910"
"329","AT1G54000"
"330","AT1G54030"
"331","AT1G54080"
"332","AT1G54320"
"333","AT1G55160"
"334","AT1G55205"
"335","AT1G55210"
"336","AT1G55310"
"337","AT1G55340"
"338","AT1G55360"
"339","AT1G55840"
"340","AT1G55850"
"341","AT1G55920"
"342","AT1G56200"
"343","AT1G56700"
"344","AT1G57620"
"345","AT1G57680"
"346","AT1G58080"
"347","AT1G58235"
"348","AT1G58983"
"349","AT1G59610"
"350","AT1G59900"
"351","AT1G59960"
"352","AT1G60070"
"353","AT1G60640"
"354","AT1G60660"
"355","AT1G60750"
"356","AT1G60770"
"357","AT1G60780"
"358","AT1G61570"
"359","AT1G61780"
"360","AT1G62040"
"361","AT1G62790"
"362","AT1G63000"
"363","AT1G63220"
"364","AT1G63290"
"365","AT1G63660"
"366","AT1G63770"
"367","AT1G63780"
"368","AT1G63830"
"369","AT1G63940"
"370","AT1G64040"
"371","AT1G64190"
"372","AT1G64490"
"373","AT1G64550"
"374","AT1G64640"
"375","AT1G64650"
"376","AT1G64720"
"377","AT1G64980"
"378","AT1G65010"
"379","AT1G65270"
"380","AT1G65295"
"381","AT1G66140"
"382","AT1G66150"
"383","AT1G66260"
"384","AT1G66680"
"385","AT1G67328"
"386","AT1G67680"
"387","AT1G67730"
"388","AT1G68000"
"389","AT1G68060"
"390","AT1G68140"
"391","AT1G68310"
"392","AT1G68560"
"393","AT1G68680"
"394","AT1G68790"
"395","AT1G69040"
"396","AT1G69295"
"397","AT1G69460"
"398","AT1G69600"
"399","AT1G69760"
"400","AT1G69960"
"401","AT1G70190"
"402","AT1G70320"
"403","AT1G70350"
"404","AT1G70660"
"405","AT1G70710"
"406","AT1G70770"
"407","AT1G71010"
"408","AT1G71260"
"409","AT1G71730"
"410","AT1G71780"
"411","AT1G71790"
"412","AT1G71840"
"413","AT1G71860"
"414","AT1G71950"
"415","AT1G72170"
"416","AT1G72430"
"417","AT1G72550"
"418","AT1G72680"
"419","AT1G72710"
"420","AT1G72730"
"421","AT1G73030"
"422","AT1G73180"
"423","AT1G73260"
"424","AT1G73720"
"425","AT1G74030"
"426","AT1G74230"
"427","AT1G74250"
