"","X","WS_FLT_c1.which.mclass....1...1."
"1187",1187,"AT2G04025"
"913",913,"AT1G69740"
"2760",2760,"AT4G01730"
"2391",2391,"AT3G43430"
"3282",3282,"AT4G36020"
"4121",4121,"AT5G52060"
"750",750,"AT1G55520"
"162",162,"AT1G08657"
"1561",1561,"AT2G33610"
"3005",3005,"AT4G20270"
"3983",3983,"AT5G43430"
"3535",3535,"AT5G09960"
"2566",2566,"AT3G54900"
"1765",1765,"AT2G45340"
"2618",2618,"AT3G58040"
"4189",4189,"AT5G56220"
"1582",1582,"AT2G34840"
"3578",3578,"AT5G11960"
"3914",3914,"AT5G38460"
"786",786,"AT1G60170"
"3568",3568,"AT5G11680"
"3803",3803,"AT5G23700"
"181",181,"AT1G09570"
"2344",2344,"AT3G27260"
"2611",2611,"AT3G57400"
"3218",3218,"AT4G32910"
"866",866,"AT1G66760"
"3534",3534,"AT5G09880"
"487",487,"AT1G27600"
"2556",2556,"AT3G54440"
"427",427,"AT1G23100"
"951",951,"AT1G71692"
"1904",1904,"AT3G05380"
"3813",3813,"AT5G24520"
"4155",4155,"AT5G53850"
"1035",1035,"AT1G76240"
"1592",1592,"AT2G35510"
"1351",1351,"AT2G21195"
"2712",2712,"AT3G62920"
"1201",1201,"AT2G05710"
"3782",3782,"AT5G22480"
"979",979,"AT1G72630"
"50",50,"AT1G03780"
"964",964,"AT1G72040"
"415",415,"AT1G22620"
"1415",1415,"AT2G25660"
"2417",2417,"AT3G46460"
"4192",4192,"AT5G56320"
"3254",3254,"AT4G34430"
"2660",2660,"AT3G60320"
"4046",4046,"AT5G47720"
"2715",2715,"AT3G63000"
"3924",3924,"AT5G39500"
"1799",1799,"AT2G47130"
"715",715,"AT1G53400"
"3103",3103,"AT4G26660"
"2271",2271,"AT3G23300"
"1124",1124,"AT1G80680"
"1143",1143,"AT2G01270"
"3015",3015,"AT4G21192"
"1934",1934,"AT3G07020"
"1778",1778,"AT2G46030"
"1890",1890,"AT3G04710"
"375",375,"AT1G19968"
"621",621,"AT1G45688"
"261",261,"AT1G13570"
"1969",1969,"AT3G08890"
"1731",1731,"AT2G43420"
"4021",4021,"AT5G46280"
"3656",3656,"AT5G15470"
"4281",4281,"AT5G60940"
"1892",1892,"AT3G04810"
"4164",4164,"AT5G54855"
"3456",3456,"AT5G05680"
"411",411,"AT1G22440"
"3537",3537,"AT5G09995"
"2114",2114,"AT3G14720"
"2852",2852,"AT4G10180"
"2021",2021,"AT3G11170"
"884",884,"AT1G68220"
"4113",4113,"AT5G51570"
"3560",3560,"AT5G11010"
"101",101,"AT1G05940"
"668",668,"AT1G49890"
"2829",2829,"AT4G08240"
"2484",2484,"AT3G50910"
"1653",1653,"AT2G39260"
"1615",1615,"AT2G36900"
"534",534,"AT1G30470"
"4124",4124,"AT5G52180"
"2430",2430,"AT3G47620"
"2603",2603,"AT3G57040"
"2245",2245,"AT3G21465"
"246",246,"AT1G12820"
"5",5,"AT1G01290"
"3584",3584,"AT5G12120"
"1514",1514,"AT2G30590"
"1162",1162,"AT2G02370"
"108",108,"AT1G06210"
"1499",1499,"AT2G29480"
"1721",1721,"AT2G42880"
"2651",2651,"AT3G59820"
"306",306,"AT1G16010"
"302",302,"AT1G15920"
"2635",2635,"AT3G58710"
"2232",2232,"AT3G20940"
"4346",4346,"AT5G63610"
"2879",2879,"AT4G12110"
"538",538,"AT1G30690"
"3761",3761,"AT5G20885"
"2155",2155,"AT3G16630"
"2058",2058,"AT3G12670"
"1025",1025,"AT1G75710"
"3468",3468,"AT5G06130"
"3069",3069,"AT4G24960"
"677",677,"AT1G50560"
"3016",3016,"AT4G21410"
"230",230,"AT1G12010"
"1258",1258,"AT2G16800"
"4290",4290,"AT5G61330"
"3202",3202,"AT4G32270"
"1652",1652,"AT2G39210"
"2374",2374,"AT3G29310"
"3229",3229,"AT4G33240"
"112",112,"AT1G06470"
"3134",3134,"AT4G28260"
"3680",3680,"AT5G16750"
"51",51,"AT1G03840"
"2593",2593,"AT3G56750"
"3168",3168,"AT4G30410"
"810",810,"AT1G61900"
"2399",2399,"AT3G44340"
"120",120,"AT1G06870"
"1263",1263,"AT2G17130"
"3301",3301,"AT4G36790"
"2005",2005,"AT3G10480"
"3677",3677,"AT5G16620"
"4003",4003,"AT5G44790"
"2442",2442,"AT3G48210"
"1219",1219,"AT2G08340"
"919",919,"AT1G69980"
"3389",3389,"AT5G01810"
"3206",3206,"AT4G32551"
"1509",1509,"AT2G30210"
"3065",3065,"AT4G24770"
"467",467,"AT1G26640"
"228",228,"AT1G11905"
"3508",3508,"AT5G08320"
"59",59,"AT1G04290"
"1401",1401,"AT2G24590"
"491",491,"AT1G27770"
"257",257,"AT1G13300"
"3498",3498,"AT5G07910"
"1350",1350,"AT2G21150"
"2040",2040,"AT3G12090"
"2390",2390,"AT3G43270"
"1603",1603,"AT2G36290"
"1483",1483,"AT2G28620"
"3284",3284,"AT4G36180"
"2310",2310,"AT3G25470"
"602",602,"AT1G43690"
"2479",2479,"AT3G50690"
"170",170,"AT1G08970"
"4272",4272,"AT5G60410"
"4056",4056,"AT5G48160"
"1854",1854,"AT3G02950"
"1727",1727,"AT2G43210"
"577",577,"AT1G33750"
"3362",3362,"AT4G39390"
"1883",1883,"AT3G04480"
"971",971,"AT1G72310"
"790",790,"AT1G60730"
"396",396,"AT1G21660"
"3450",3450,"AT5G05460"
"3311",3311,"AT4G37120"
"1665",1665,"AT2G39681"
"3608",3608,"AT5G13190"
"3897",3897,"AT5G36950"
"493",493,"AT1G27950"
"3186",3186,"AT4G31110"
"3164",3164,"AT4G30210"
"143",143,"AT1G08037"
"3289",3289,"AT4G36390"
"2944",2944,"AT4G16447"
"4221",4221,"AT5G57910"
"365",365,"AT1G19430"
"2987",2987,"AT4G19003"
"1921",1921,"AT3G06450"
"559",559,"AT1G32370"
"530",530,"AT1G30270"
"1231",1231,"AT2G14460"
"2951",2951,"AT4G17050"
"4141",4141,"AT5G53280"
"3567",3567,"AT5G11630"
"3027",3027,"AT4G22235"
"2819",2819,"AT4G05420"
"945",945,"AT1G71210"
"2473",2473,"AT3G50500"
"3255",3255,"AT4G34540"
"2369",2369,"AT3G29130"
"1402",1402,"AT2G24640"
"2253",2253,"AT3G22310"
"2665",2665,"AT3G60630"
"4062",4062,"AT5G48560"
"4452",4452,"ATMG00513"
"391",391,"AT1G21000"
"4279",4279,"AT5G60890"
"2272",2272,"AT3G23310"
"3545",3545,"AT5G10300"
"1389",1389,"AT2G24040"
"3438",3438,"AT5G04550"
"903",903,"AT1G69070"
"4357",4357,"AT5G63940"
"509",509,"AT1G28680"
"550",550,"AT1G31830"
"3020",3020,"AT4G21680"
"2876",2876,"AT4G11790"
"2065",2065,"AT3G12950"
"4165",4165,"AT5G54980"
"3280",3280,"AT4G35940"
"4404",4404,"AT5G66030"
"242",242,"AT1G12640"
"922",922,"AT1G70090"
"1650",1650,"AT2G39080"
"2709",2709,"AT3G62810"
"4239",4239,"AT5G58560"
"2183",2183,"AT3G18230"
"3296",3296,"AT4G36680"
"620",620,"AT1G45332"
"3978",3978,"AT5G43130"
"3308",3308,"AT4G37020"
"1982",1982,"AT3G09720"
"541",541,"AT1G30900"
"1884",1884,"AT3G04520"
"1179",1179,"AT2G03350"
"3278",3278,"AT4G35860"
"2867",2867,"AT4G10970"
"4108",4108,"AT5G51300"
"325",325,"AT1G17210"
"2691",2691,"AT3G62060"
"1783",1783,"AT2G46260"
"2947",2947,"AT4G16630"
"1775",1775,"AT2G45810"
"3596",3596,"AT5G12850"
"887",887,"AT1G68370"
"578",578,"AT1G33790"
"2958",2958,"AT4G17230"
"1377",1377,"AT2G22720"
"3477",3477,"AT5G06390"
"4389",4389,"AT5G65575"
"2690",2690,"AT3G62020"
"1426",1426,"AT2G26200"
"4274",4274,"AT5G60520"
"8",8,"AT1G01430"
"1977",1977,"AT3G09360"
"654",654,"AT1G48860"
"2772",2772,"AT4G02340"
"4072",4072,"AT5G49020"
"2692",2692,"AT3G62140"
"4174",4174,"AT5G55310"
"193",193,"AT1G10310"
"1875",1875,"AT3G03950"
"3801",3801,"AT5G23610"
"3870",3870,"AT5G27990"
"19",19,"AT1G02120"
"1824",1824,"AT3G01205"
"3139",3139,"AT4G28510"
"1349",1349,"AT2G21120"
"4426",4426,"AT5G67100"
"2658",2658,"AT3G60240"
"2993",2993,"AT4G19350"
"13",13,"AT1G01920"
"2209",2209,"AT3G19590"
"630",630,"AT1G47500"
"4303",4303,"AT5G61970"
"1803",1803,"AT2G47440"
"2059",2059,"AT3G12680"
"3261",3261,"AT4G34840"
"2038",2038,"AT3G12010"
"3570",3570,"AT5G11710"
"3950",3950,"AT5G41190"
"1479",1479,"AT2G28450"
"3751",3751,"AT5G20070"
"1634",1634,"AT2G38140"
"2194",2194,"AT3G18830"
"1138",1138,"AT2G01120"
"1591",1591,"AT2G35470"
"2281",2281,"AT3G23980"
"89",89,"AT1G05520"
"2080",2080,"AT3G13330"
"3681",3681,"AT5G16760"
"3669",3669,"AT5G16370"
"1471",1471,"AT2G28230"
"4184",4184,"AT5G56120"
"845",845,"AT1G64530"
"1600",1600,"AT2G36230"
"1975",1975,"AT3G09260"
"2648",2648,"AT3G59690"
"1077",1077,"AT1G78630"
"2991",2991,"AT4G19185"
"3710",3710,"AT5G18280"
"536",536,"AT1G30550"
"511",511,"AT1G29025"
"687",687,"AT1G51630"
"404",404,"AT1G22070"
"3868",3868,"AT5G27860"
"937",937,"AT1G70990"
"129",129,"AT1G07367"
"3523",3523,"AT5G09290"
"1113",1113,"AT1G80280"
"2211",2211,"AT3G19640"
"1359",1359,"AT2G21520"
"4386",4386,"AT5G65495"
"2550",2550,"AT3G54300"
"3088",3088,"AT4G25900"
"2165",2165,"AT3G17360"
"611",611,"AT1G44810"
"134",134,"AT1G07640"
"191",191,"AT1G10140"
"1302",1302,"AT2G18900"
"1661",1661,"AT2G39570"
"2654",2654,"AT3G59950"
"2800",2800,"AT4G03560"
"2361",2361,"AT3G28510"
"1715",1715,"AT2G42710"
"3098",3098,"AT4G26510"
"343",343,"AT1G18150"
"2746",2746,"AT4G00990"
"4187",4187,"AT5G56150"
"1072",1072,"AT1G78260"
"4322",4322,"AT5G62740"
"2967",2967,"AT4G17650"
"3267",3267,"AT4G35050"
"3415",3415,"AT5G03170"
