RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01130,7.306897328,6.423025383,4.046577635,8.573333895,16.2431844,6.345282675,1.436634538,3.76207352,9.915012877,13.51891216,19.30182271,11.70279604
AT1G01190,0,2.492423381,0,17.23184305,5.013754938,13.31343797,36.08825311,1.260246178,2.01208241,0,0,0
AT1G01310,0,4.118095174,5.085627232,1.82581466,7.40645077,7.261371763,10.18212163,7.530625679,4.001279135,4.789030273,0.694372618,0.81355145
AT1G01380,15.99742086,6.022820086,5.749925902,11.79520112,10.04934889,9.603885596,35.84005959,36.71868871,1.465319003,24.33633945,11.62258841,25.36845639
AT1G01480,2.012791532,3.441656869,10.58427863,18.01769246,0,0,4.546721579,28.70688878,4.166951907,0.994369686,6.507609453,9.550226697
AT1G01560,0.769579328,15.19831601,10.39094471,18.49960834,0,17.94956955,0,1.281148762,5.113135184,0,4.830642639,10.75244502
AT1G01600,0,0,3.054497451,10.83671191,0,4.131625454,11.66770711,1.254881615,1.00233581,0.955890211,16.69687591,9.704598172
AT1G01660,14.09757491,7.586502488,10.00695672,55.98155284,0,7.109985132,7.166036011,6.167476807,4.471707591,2.819303851,13.67411849,3.976924734
AT1G01700,7.751418247,9.832269163,8.738167312,3.918020094,6.925037568,23.01687732,7.060405748,22.80013733,35.91766273,18.6297038,9.522644415,15.68352254
AT1G01740,17.42868502,27.66196064,10.31072505,3.289561582,16.5466654,33.11227555,9.554750973,2.811334311,7.747686026,8.785440519,38.52525922,18.96633392
AT1G01810,7.4537565,15.54728546,8.127124138,6.463825368,51.03189698,11.46159073,10.15239017,12.55174335,8.982717553,10.55711838,19.4013165,10.64265586
AT1G01880,2.932997623,2.272404485,4.920170298,0,0,4.015517792,19.04766348,2.438143591,4.842312226,16.09078926,0,4.71679869
AT1G01900,5.289698117,14.92172235,16.29176537,5.414230117,0,2.065184835,78.77148786,1.254861401,1.002474204,0.955752334,4.174766197,28.29315387
AT1G02030,4.530326225,17.3952274,7.126759061,3.614495648,0,0,5.832972807,11.29407984,3.006665864,5.736018101,6.260653056,12.13493907
AT1G02350,3.674044832,8.072387267,3.039034307,2.834110374,9.406440018,3.157588404,4.322508793,3.764080633,4.966610439,9.637736594,7.591229781,5.811872653
AT1G02380,17.31416123,21.47578138,17.29969977,16.34825785,0,28.9870411,21.84653351,7.530086021,5.006419952,10.52602259,11.81516029,3.24507461
AT1G02400,3.031488678,6.652348741,11.26417353,41.08432579,0,0,5.863145942,7.576544996,13.09952068,10.58926973,16.08679541,5.711018655
AT1G02530,1.517478071,3.329167888,0,11.67646586,7.57091012,4.138092012,8.781163226,5.03302959,5.028184968,17.24368948,6.97975454,8.096118523
AT1G02570,0,9.887196082,1.017193355,15.50889908,0,0,2.909669158,7.530563986,0,17.23839954,4.166745845,0
AT1G02575,2.253362705,6.594056677,10.17263058,31.90773004,0,0,5.820351283,7.530497175,18.01045638,10.53324251,7.639996748,0
AT1G02660,7.558971823,11.60906913,10.1828146,16.23443841,2.51072012,0,23.34255446,11.29362831,12.03079561,0.955660118,10.43782574,14.54667244
AT1G02670,10.13604409,7.449477577,4.949204758,20.43134887,0,24.81726234,5.199319168,7.52115236,0.996612159,8.475086095,12.89752366,9.975687831
AT1G02705,0.735019218,0,1.013088533,0,2.353245744,2.104493423,4.323225481,2.509419535,3.97364327,10.60051731,8.972152423,12.4494482
AT1G03070,19.01829437,6.678137435,9.266058746,13.81873871,0,0,4.418977598,6.805850179,6.076849109,9.687648857,13.35744867,10.68628394
AT1G03106,5.250526795,16.46339518,6.10216753,4.568973713,9.862038356,0,0,6.275592917,13.00175944,10.53770889,0.694250723,3.255932676
AT1G03200,9.564724058,31.52135894,14.18595503,10.37117744,16.5112697,21.02849275,8.650577857,13.80268036,26.83062738,11.5605897,4.832171523,4.974344833
AT1G03240,8.160518849,0.814622808,3.044995009,0.930580424,2.404017187,7.316182897,7.236733609,3.76542781,10.96136466,4.805055291,7.610772496,7.39980889
AT1G03300,14.34203099,8.281254309,8.144518034,17.176987,17.51703782,25.83396331,27.70344621,13.80400702,1.002135499,6.692618101,17.3892781,29.94068118
AT1G03495,6.774849654,15.69327663,10.17623227,14.53271729,12.43095227,2.070555361,24.75901464,12.55015634,16.02035278,3.82768986,9.730021663,17.84853958
