RNA_seq,FLT_Light_Rep1,FLT_Light_Rep2,FLT_Light_Rep3,FLT_Dark_Rep1,FLT_Dark_Rep2,FLT_Dark_Rep3,GC_Light_Rep1,GC_Light_Rep2,GC_Light_Rep3,GC_Dark_Rep1,GC_Dark_Rep2,GC_Dark_Rep3
AT1G01080,42.58876196,25.18524741,7.901415221,29.77990191,23.58029985,48.97670967,19.0170921,17.85233111,36.91042891,20.63076307,25.61387473,40.21646498
AT1G01120,4.50117634,16.29066359,11.41697991,16.43633614,25.75928727,24.04982821,0.912495995,17.8836524,3.455921971,13.34847438,12.03967235,6.148162535
AT1G01200,26.07515545,12.75651046,10.39033879,18.12106942,8.948388076,20.53485696,10.9999125,14.89011072,10.65903537,13.31567486,26.65114093,5.120771998
AT1G01340,7.530629763,29.81228182,17.36668719,4.261210646,38.60532255,15.80098508,0.897332888,31.30847176,13.51467734,4.109495142,11.86537419,24.64042799
AT1G01380,10.95126951,65.47345509,36.08298804,27.35063911,61.30045963,42.90610138,3.438486011,8.806021424,10.41009899,10.63475254,27.43977256,64.552931
AT1G01450,32.38374271,27.86720791,11.42484502,32.82084148,40.2867111,29.70364628,61.31334715,24.82487472,54.50779888,19.15869137,26.6893357,30.73069915
AT1G01570,41.14599681,8.861712229,11.86286991,13.17754566,24.50860457,8.721181097,11.30327539,26.49049509,18.08723193,16.27742732,30.56148762,26.34656356
AT1G01600,2.701207157,0,0,47.59723184,1.12018656,4.583651158,0,0,0,5.842173033,0,0
AT1G01610,27.90408095,25.59132048,23.87438015,63.13504931,24.63635103,32.05461487,7.303157597,42.71855734,19.0575223,45.8746074,14.70968784,19.46822394
AT1G01660,26.5455578,49.17838433,13.26285634,22.10689644,17.61327313,34.89355835,9.725627943,17.57817951,16.99433378,13.12003605,3.944427971,14.10077109
AT1G01700,14.02217914,13.26197368,13.30594247,9.702165299,28.22433933,12.60437958,8.86429787,24.05628099,10.08595354,23.2587018,8.639615897,3.563691571
AT1G01715,8.821458303,35.19421755,18.39106283,26.21074887,27.43356678,20.09376758,15.37742162,27.27847485,17.95507352,33.43479189,27.381803,41.22427338
AT1G01740,15.49187001,15.4442634,47.67938992,13.43893521,21.36336356,24.89462999,25.69926962,19.48314052,16.48678915,38.16388208,11.53031749,6.792338809
AT1G01810,3.585154644,9.197583079,25.00180891,17.14782856,11.14841951,11.29714794,19.47186629,9.903630452,7.646128365,23.98291416,38.26497687,9.204036603
AT1G01840,22.44224277,38.09936042,27.05183257,30.96255506,31.26647102,32.91749396,27.66355622,27.76200932,18.44006744,41.4769575,35.79612819,29.67857294
AT1G01860,29.16906397,30.86330123,30.36811241,38.6207663,42.25177484,29.50013908,34.31041713,19.66378727,20.181665,44.36410048,33.68343403,26.8137395
AT1G01880,9.635236368,21.10077975,2.808310979,25.25256201,13.11302738,6.674111532,32.15100507,18.17210661,14.83291574,7.046246689,13.20685459,14.05632281
AT1G02010,31.69624406,29.58272954,15.72122253,18.25984664,35.09516721,27.74693227,28.82876571,24.98644104,33.99262244,32.67496906,31.43291404,23.25464243
AT1G02020,40.52816787,31.97024595,20.27471609,35.83858661,30.92459752,16.94942316,59.76606664,30.37034018,15.86777875,49.28456737,40.83913438,16.16545196
AT1G02180,31.43730239,68.22608304,29.11880755,18.94381495,30.16801661,30.70250548,28.52499859,27.77365227,18.19352631,17.44046757,19.92311523,19.44990058
AT1G02220,29.69344543,61.58839658,36.34265114,0.864207151,19.02987442,14.86508336,10.05576395,7.945558054,19.21772689,1.666922746,4.007002166,6.146889884
