"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
1.55207354281652e-20,188,501,"Vesicle-mediated transport ","AT1G01960 AT1G04440 AT1G05360 AT1G05520 AT1G08190 AT1G09580 AT1G10180 AT1G11905 AT1G15880 AT1G17730 AT1G20110 AT1G21660 AT1G22200 AT1G26690 AT1G27700 AT1G28490 AT1G29330 AT1G30890 AT1G30900 AT1G31780 AT1G32410 AT1G47550 AT1G48240 AT1G50500 AT1G52360 AT1G53710 AT1G62020 AT1G67930 AT1G68710 AT1G71270 AT1G71820 AT1G72710 AT1G73430 AT1G75850 AT1G79590 AT1G79990 AT1G80910 AT2G01600 AT2G06530 AT2G14720 AT2G17790 AT2G19470 AT2G19950 AT2G25430 AT2G32850 AT2G32900 AT2G34840 AT2G35190 AT2G36900 AT2G45990 AT3G03120 AT3G03940 AT3G05710 AT3G09900 AT3G10380 AT3G11820 AT3G13670 AT3G15980 AT3G18480 AT3G23660 AT3G24350 AT3G27530 AT3G29100 AT3G51310 AT3G51890 AT3G52190 AT3G52400 AT3G52850 AT3G54300 AT3G59500 AT3G60860 AT3G62560 AT4G01810 AT4G02030 AT4G02350 AT4G05000 AT4G08540 AT4G12780 AT4G14160 AT4G14950 AT4G17730 AT4G17890 AT4G19003 AT4G19490 AT4G20110 AT4G21560 AT4G24840 AT4G26100 AT4G27040 AT4G27080 AT4G27690 AT4G28540 AT4G28860 AT4G32285 AT4G36520 AT4G40080 AT5G05710 AT5G08080 AT5G11150 AT5G11980 AT5G12370 AT5G17060 AT5G22950 AT5G35200 AT5G39510 AT5G43320 AT5G44560 AT5G46750 AT5G46860 AT5G47480 AT5G49830 AT5G51430 AT5G52210 AT5G53530 AT5G57015 AT5G59840 AT1G04260 AT2G38360 AT2G40380 AT3G01780 AT3G11397 AT3G13710 AT4G27540 AT4G39990 AT5G02040 AT5G05987 AT5G16490 AT5G46630 AT1G05785 AT1G10380 AT1G12340 AT1G12360 AT1G13980 AT1G29060 AT1G31730 AT1G54090 AT1G56590 AT1G62880 AT2G17980 AT2G20790 AT2G27900 AT2G36680 AT2G37550 AT2G39805 AT3G03180 AT3G07100 AT3G09800 AT3G15380 AT3G20290 AT3G44340 AT3G53120 AT3G54840 AT3G54860 AT3G58600 AT4G01395 AT4G12090 AT4G14455 AT4G14600 AT4G23460 AT4G24550 AT4G26550 AT4G32640 AT4G35410 AT5G01430 AT5G03540 AT5G11490 AT5G16300 AT5G22770 AT5G22780 AT5G23550 AT5G24170 AT5G27490 AT5G39500 AT5G56020 AT5G58430 AT4G38360 AT2G27600 AT2G28390 AT3G16270 AT3G56960 AT4G16340 AT5G13300 AT5G57460 AT4G26750 AT4G34660 AT3G60190 AT2G43130 AT5G61210"
2.09445813421178e-20,278,858,"Protein transport ","AT1G01910 AT1G05810 AT1G06950 AT1G09580 AT1G10390 AT1G13120 AT1G17530 AT1G17730 AT1G22740 AT1G24310 AT1G26690 AT1G27700 AT1G28490 AT1G30900 AT1G48240 AT1G48635 AT1G52360 AT1G53530 AT1G55900 AT1G62020 AT1G63810 AT1G69420 AT1G75850 AT1G79590 AT1G79940 AT1G79990 AT1G80680 AT2G06530 AT2G13540 AT2G14720 AT2G16640 AT2G16950 AT2G17790 AT2G18710 AT2G19560 AT2G20840 AT2G20890 AT2G28900 AT2G30710 AT2G31660 AT2G35190 AT2G36070 AT2G36680 AT2G36900 AT2G37680 AT2G41620 AT2G43130 AT2G45000 AT2G46520 AT3G02460 AT3G02950 AT3G03120 AT3G04770 AT3G05710 AT3G07410 AT3G07890 AT3G08947 AT3G09320 AT3G09700 AT3G09900 AT3G10110 AT3G10380 AT3G10650 AT3G11820 AT3G14120 AT3G15980 AT3G20920 AT3G21700 AT3G24350 AT3G25120 AT3G26935 AT3G27100 AT3G27530 AT3G29100 AT3G48760 AT3G49560 AT3G49990 AT3G51310 AT3G52190 AT3G52400 AT3G52850 AT3G53120 AT3G54380 AT3G54826 AT3G54840 AT3G55020 AT3G56930 AT3G59020 AT3G60800 AT3G62560 AT4G00026 AT4G00840 AT4G01730 AT4G02150 AT4G05000 AT4G08320 AT4G09720 AT4G15080 AT4G17140 AT4G17730 AT4G18800 AT4G19003 AT4G19150 AT4G20110 AT4G21560 AT4G26780 AT4G27040 AT4G27690 AT4G29950 AT4G32910 AT4G35860 AT4G38760 AT4G39990 AT5G01590 AT5G03530 AT5G05680 AT5G08080 AT5G11690 AT5G16620 AT5G17020 AT5G17060 AT5G22950 AT5G24650 AT5G27280 AT5G39510 AT5G41060 AT5G41940 AT5G44560 AT5G45750 AT5G46860 AT5G47480 AT5G52210 AT5G53480 AT5G53530 AT5G53570 AT5G54840 AT5G55200 AT5G55510 AT5G56130 AT5G59150 AT5G59840 AT5G61880 AT5G62810 AT5G64813 AT5G65270 AT2G28800 AT2G45660 AT3G46740 AT5G22640 AT5G66160 ATCG01280 AT1G01960 AT1G02280 AT1G03380 AT1G04070 AT1G05520 AT1G06210 AT1G08190 AT1G11905 AT1G12360 AT1G13160 AT1G13980 AT1G15130 AT1G15880 AT1G20110 AT1G21380 AT1G25420 AT1G27390 AT1G29060 AT1G29260 AT1G29330 AT1G31730 AT1G31780 AT1G32410 AT1G33410 AT1G48900 AT1G50500 AT1G54090 AT1G54210 AT1G55690 AT1G56590 AT1G64350 AT1G71270 AT1G73430 AT1G75340 AT1G79070 AT2G02040 AT2G15290 AT2G17980 AT2G20790 AT2G21520 AT2G27600 AT2G30060 AT2G32900 AT2G34840 AT2G37840 AT2G44140 AT2G47840 AT3G01610 AT3G03490 AT3G06540 AT3G07100 AT3G09800 AT3G10640 AT3G12400 AT3G15380 AT3G15970 AT3G16270 AT3G23660 AT3G27070 AT3G44340 AT3G49470 AT3G51890 AT3G54300 AT3G59950 AT3G60640 AT3G60860 AT3G62770 AT4G00355 AT4G01395 AT4G01810 AT4G02030 AT4G03320 AT4G14160 AT4G14455 AT4G14600 AT4G19490 AT4G23430 AT4G23460 AT4G24550 AT4G24840 AT4G26550 AT4G26750 AT4G30840 AT4G32640 AT4G32760 AT4G35410 AT4G37130 AT4G38490 AT4G39170 AT5G03540 AT5G04850 AT5G05000 AT5G11150 AT5G11490 AT5G11710 AT5G11980 AT5G17550 AT5G21990 AT5G22770 AT5G22780 AT5G23550 AT5G24170 AT5G28750 AT5G39500 AT5G40930 AT5G46630 AT5G49910 AT5G50920 AT5G51200 AT5G51430 AT5G51540 AT5G52990 AT5G56020 AT5G57460 AT5G58430 AT5G58440 AT5G61210 AT5G61500 AT5G61970 AT5G62050 AT5G63640 AT5G63880 AT5G66930 AT2G28390 AT4G03510 AT4G21160 AT5G41790"
2.09445813421178e-20,280,866,"Establishment of protein localization ","AT1G01910 AT1G05810 AT1G06950 AT1G09580 AT1G10390 AT1G13120 AT1G17530 AT1G17730 AT1G22740 AT1G24310 AT1G26690 AT1G27700 AT1G28490 AT1G30900 AT1G48240 AT1G48635 AT1G52360 AT1G53530 AT1G55900 AT1G62020 AT1G63810 AT1G69420 AT1G75850 AT1G79590 AT1G79940 AT1G79990 AT1G80680 AT2G06530 AT2G13540 AT2G14720 AT2G16640 AT2G16950 AT2G17790 AT2G18710 AT2G19560 AT2G20840 AT2G20890 AT2G28800 AT2G28900 AT2G30710 AT2G31660 AT2G35190 AT2G36070 AT2G36680 AT2G36900 AT2G37680 AT2G41620 AT2G43130 AT2G45000 AT2G46520 AT3G02460 AT3G02950 AT3G03120 AT3G04770 AT3G05710 AT3G07410 AT3G07890 AT3G08947 AT3G09320 AT3G09700 AT3G09900 AT3G10110 AT3G10380 AT3G10650 AT3G11820 AT3G14120 AT3G15980 AT3G20920 AT3G21700 AT3G24350 AT3G25120 AT3G26935 AT3G27100 AT3G27530 AT3G29100 AT3G48760 AT3G49560 AT3G49990 AT3G51310 AT3G52190 AT3G52400 AT3G52850 AT3G53120 AT3G54380 AT3G54826 AT3G54840 AT3G55020 AT3G56930 AT3G59020 AT3G60800 AT3G62560 AT4G00026 AT4G00840 AT4G01730 AT4G02150 AT4G05000 AT4G08320 AT4G09720 AT4G15080 AT4G17140 AT4G17730 AT4G18800 AT4G19003 AT4G19150 AT4G20110 AT4G21560 AT4G26780 AT4G27040 AT4G27690 AT4G29950 AT4G32910 AT4G35860 AT4G38760 AT4G39990 AT5G01590 AT5G03530 AT5G05680 AT5G08080 AT5G11690 AT5G16620 AT5G17020 AT5G17060 AT5G22950 AT5G24650 AT5G27280 AT5G39510 AT5G41060 AT5G41940 AT5G44560 AT5G45750 AT5G46860 AT5G47480 AT5G52210 AT5G53480 AT5G53530 AT5G53570 AT5G54840 AT5G55200 AT5G55510 AT5G56130 AT5G59150 AT5G59840 AT5G61880 AT5G62050 AT5G62810 AT5G63220 AT5G64813 AT5G65270 AT2G45660 AT3G46740 AT5G22640 AT5G66160 ATCG01280 AT1G01960 AT1G02280 AT1G03380 AT1G04070 AT1G05520 AT1G06210 AT1G08190 AT1G11905 AT1G12360 AT1G13160 AT1G13980 AT1G15130 AT1G15880 AT1G20110 AT1G21380 AT1G25420 AT1G27390 AT1G29060 AT1G29260 AT1G29330 AT1G31730 AT1G31780 AT1G32410 AT1G33410 AT1G48900 AT1G50500 AT1G54090 AT1G54210 AT1G55690 AT1G56590 AT1G64350 AT1G71270 AT1G73430 AT1G75340 AT1G79070 AT2G02040 AT2G15290 AT2G17980 AT2G20790 AT2G21520 AT2G27600 AT2G30060 AT2G32900 AT2G34840 AT2G37840 AT2G44140 AT2G47840 AT3G01610 AT3G03490 AT3G06540 AT3G07100 AT3G09800 AT3G10640 AT3G12400 AT3G15380 AT3G15970 AT3G16270 AT3G23660 AT3G27070 AT3G44340 AT3G49470 AT3G51890 AT3G54300 AT3G59950 AT3G60640 AT3G60860 AT3G62770 AT4G00355 AT4G01395 AT4G01810 AT4G02030 AT4G03320 AT4G14160 AT4G14455 AT4G14600 AT4G16444 AT4G19490 AT4G23430 AT4G23460 AT4G24550 AT4G24840 AT4G26550 AT4G26750 AT4G30840 AT4G32640 AT4G32760 AT4G35410 AT4G37130 AT4G38490 AT4G39170 AT5G03540 AT5G04850 AT5G05000 AT5G11150 AT5G11490 AT5G11710 AT5G11980 AT5G17550 AT5G21990 AT5G22770 AT5G22780 AT5G23550 AT5G24170 AT5G28750 AT5G39500 AT5G40930 AT5G46630 AT5G49910 AT5G50920 AT5G51200 AT5G51430 AT5G51540 AT5G52990 AT5G56020 AT5G57460 AT5G58430 AT5G58440 AT5G61210 AT5G61500 AT5G61970 AT5G63640 AT5G63880 AT5G66930 AT2G28390 AT4G03510 AT4G21160 AT5G41790"
2.09445813421178e-20,246,727,"Intracellular transport ","AT1G01020 AT1G01910 AT1G05520 AT1G05810 AT1G06950 AT1G09580 AT1G10390 AT1G11905 AT1G13120 AT1G15880 AT1G17530 AT1G17730 AT1G22200 AT1G22740 AT1G24310 AT1G26690 AT1G27700 AT1G28490 AT1G29330 AT1G30890 AT1G30900 AT1G32410 AT1G48240 AT1G48635 AT1G50500 AT1G52360 AT1G52710 AT1G53530 AT1G53710 AT1G55900 AT1G62020 AT1G63810 AT1G69420 AT1G71270 AT1G75850 AT1G79590 AT1G79940 AT1G79990 AT1G80680 AT2G06530 AT2G13540 AT2G14720 AT2G16640 AT2G16950 AT2G17790 AT2G18710 AT2G19560 AT2G20890 AT2G28900 AT2G30710 AT2G31660 AT2G32900 AT2G34840 AT2G35190 AT2G36070 AT2G36680 AT2G36900 AT2G37680 AT2G41620 AT2G43130 AT2G44640 AT2G45000 AT2G46520 AT3G02460 AT3G02950 AT3G03120 AT3G04770 AT3G05710 AT3G06960 AT3G07410 AT3G07890 AT3G08947 AT3G09320 AT3G09700 AT3G09900 AT3G10110 AT3G10380 AT3G10650 AT3G11820 AT3G14120 AT3G15980 AT3G20920 AT3G21700 AT3G23660 AT3G24350 AT3G25120 AT3G26935 AT3G27100 AT3G27530 AT3G29100 AT3G48760 AT3G49560 AT3G49990 AT3G51310 AT3G52190 AT3G52400 AT3G52850 AT3G53120 AT3G54380 AT3G54826 AT3G54840 AT3G55020 AT3G56930 AT3G59020 AT3G59500 AT3G60800 AT3G62560 AT4G00026 AT4G00840 AT4G01730 AT4G01810 AT4G02030 AT4G02150 AT4G05000 AT4G08320 AT4G09720 AT4G14160 AT4G15080 AT4G17140 AT4G17730 AT4G17890 AT4G18800 AT4G19003 AT4G19150 AT4G19490 AT4G20110 AT4G21560 AT4G26780 AT4G27040 AT4G27080 AT4G27690 AT4G29950 AT4G32910 AT4G35860 AT4G38760 AT4G39990 AT5G01590 AT5G03530 AT5G05680 AT5G05710 AT5G08080 AT5G11690 AT5G16620 AT5G17020 AT5G17060 AT5G22950 AT5G24650 AT5G27280 AT5G27540 AT5G39510 AT5G41060 AT5G41940 AT5G44560 AT5G45750 AT5G46750 AT5G46860 AT5G47480 AT5G52210 AT5G53480 AT5G53530 AT5G53570 AT5G54840 AT5G55200 AT5G55510 AT5G56130 AT5G59150 AT5G59840 AT5G61880 AT5G62810 AT5G64813 AT5G65270 AT1G43700 AT2G28800 AT2G45660 AT3G46740 AT4G13350 AT5G22640 AT5G47820 AT5G66160 ATCG01280 AT1G02280 AT1G04070 AT1G06210 AT1G08190 AT1G13160 AT1G21380 AT1G27390 AT1G31730 AT1G45015 AT1G48900 AT1G56590 AT1G73240 AT1G73430 AT1G79070 AT2G20790 AT2G27900 AT2G30060 AT2G37678 AT3G06540 AT3G07100 AT3G15970 AT3G16270 AT3G27070 AT3G44340 AT3G51890 AT4G11790 AT4G23460 AT4G24550 AT4G24880 AT4G32640 AT4G32760 AT4G35410 AT4G37130 AT4G38490 AT5G05000 AT5G11490 AT5G11710 AT5G22770 AT5G22780 AT5G40930 AT5G46630 AT5G51200 AT5G51430 AT5G51540 AT5G61970 AT5G63640 AT1G27695 AT5G17550 AT5G21990 AT1G13980 AT1G29260 AT1G33410 AT2G15290 AT2G28390 AT3G20290 AT3G54300 AT4G03320 AT4G03510 AT4G30160 AT5G49910 AT5G50920 AT4G14455 AT1G08820 AT4G21160 AT5G19320 AT5G41790"
5.78693835001082e-20,889,3619,"Cellular component organization or biogenesis ","AT1G01020 AT1G01910 AT1G03280 AT1G03360 AT1G03530 AT1G04950 AT1G05360 AT1G05520 AT1G05780 AT1G05910 AT1G06720 AT1G06870 AT1G07510 AT1G07840 AT1G08190 AT1G08220 AT1G08620 AT1G09580 AT1G10180 AT1G10390 AT1G10490 AT1G10500 AT1G10690 AT1G11240 AT1G11400 AT1G12650 AT1G13120 AT1G13160 AT1G15570 AT1G15880 AT1G15940 AT1G16970 AT1G17350 AT1G17530 AT1G17690 AT1G19430 AT1G20110 AT1G20610 AT1G21660 AT1G21710 AT1G24190 AT1G24310 AT1G26470 AT1G26690 AT1G26910 AT1G27600 AT1G27700 AT1G27930 AT1G28260 AT1G28490 AT1G29320 AT1G29400 AT1G29890 AT1G32990 AT1G42440 AT1G44110 AT1G47210 AT1G47230 AT1G48240 AT1G48620 AT1G48635 AT1G49890 AT1G51390 AT1G52370 AT1G53530 AT1G54140 AT1G54170 AT1G54210 AT1G54360 AT1G54385 AT1G55490 AT1G55900 AT1G59760 AT1G60080 AT1G62730 AT1G63810 AT1G63990 AT1G64350 AT1G65440 AT1G67120 AT1G67330 AT1G67620 AT1G68710 AT1G69390 AT1G70210 AT1G71350 AT1G71790 AT1G73240 AT1G73430 AT1G73790 AT1G74970 AT1G76310 AT1G78240 AT1G79090 AT1G79590 AT1G80245 AT1G80260 AT1G80350 AT1G80370 AT1G80680 AT2G01600 AT2G02560 AT2G04940 AT2G06990 AT2G07725 AT2G14120 AT2G16710 AT2G17510 AT2G17530 AT2G18220 AT2G18330 AT2G19560 AT2G19670 AT2G19950 AT2G20330 AT2G20890 AT2G22490 AT2G22640 AT2G22720 AT2G24060 AT2G24490 AT2G25430 AT2G25880 AT2G27370 AT2G27470 AT2G27600 AT2G28800 AT2G29080 AT2G30440 AT2G31270 AT2G31710 AT2G32600 AT2G32850 AT2G32900 AT2G34050 AT2G34260 AT2G34410 AT2G35190 AT2G35630 AT2G36070 AT2G36250 AT2G36740 AT2G36900 AT2G37090 AT2G37220 AT2G37840 AT2G39670 AT2G40550 AT2G41620 AT2G44820 AT2G45700 AT2G45990 AT2G46930 AT2G47020 AT2G47210 AT2G47980 AT3G01160 AT3G01610 AT3G02570 AT3G02920 AT3G03050 AT3G03060 AT3G03340 AT3G03420 AT3G03773 AT3G04230 AT3G04770 AT3G05290 AT3G05520 AT3G05710 AT3G06530 AT3G06550 AT3G06930 AT3G07750 AT3G08850 AT3G09360 AT3G09700 AT3G10110 AT3G10270 AT3G10530 AT3G10650 AT3G10690 AT3G11520 AT3G11820 AT3G12270 AT3G12300 AT3G14010 AT3G14120 AT3G15120 AT3G15460 AT3G17590 AT3G18060 AT3G18140 AT3G18580 AT3G18790 AT3G18940 AT3G19590 AT3G19630 AT3G20020 AT3G20740 AT3G20970 AT3G22590 AT3G22930 AT3G23300 AT3G23660 AT3G24350 AT3G25120 AT3G26560 AT3G26618 AT3G27100 AT3G27530 AT3G29100 AT3G48430 AT3G49180 AT3G49500 AT3G49990 AT3G50070 AT3G50590 AT3G51270 AT3G51720 AT3G51890 AT3G52150 AT3G52190 AT3G52400 AT3G54300 AT3G54826 AT3G56510 AT3G56910 AT3G56990 AT3G57000 AT3G57090 AT3G57300 AT3G57940 AT3G58660 AT3G60190 AT3G60500 AT3G61650 AT3G62060 AT3G62560 AT3G62770 AT3G63490 AT4G00026 AT4G00990 AT4G01310 AT4G01710 AT4G01810 AT4G01940 AT4G02030 AT4G02980 AT4G03120 AT4G03240 AT4G03430 AT4G04210 AT4G04940 AT4G05190 AT4G08540 AT4G08960 AT4G10620 AT4G10710 AT4G11060 AT4G12130 AT4G12780 AT4G14160 AT4G14360 AT4G14950 AT4G15410 AT4G17730 AT4G17890 AT4G18780 AT4G19120 AT4G19540 AT4G20280 AT4G20400 AT4G22150 AT4G23640 AT4G24310 AT4G24770 AT4G24840 AT4G26780 AT4G27180 AT4G28820 AT4G30330 AT4G30690 AT4G31080 AT4G31420 AT4G31430 AT4G32285 AT4G32620 AT4G32830 AT4G33890 AT4G35620 AT4G35950 AT4G36520 AT4G36890 AT4G37010 AT4G37210 AT4G37280 AT4G37490 AT4G37630 AT4G39160 AT4G39350 AT4G40080 AT5G02420 AT5G02560 AT5G02820 AT5G04130 AT5G04930 AT5G04990 AT5G05620 AT5G05680 AT5G05710 AT5G06050 AT5G06200 AT5G08020 AT5G08080 AT5G08390 AT5G09250 AT5G10400 AT5G10950 AT5G11010 AT5G11150 AT5G11690 AT5G11900 AT5G12220 AT5G12390 AT5G14530 AT5G15600 AT5G15630 AT5G15680 AT5G16620 AT5G16750 AT5G16780 AT5G16800 AT5G16910 AT5G17020 AT5G17440 AT5G17930 AT5G18400 AT5G18410 AT5G19030 AT5G19400 AT5G19680 AT5G20000 AT5G20200 AT5G20600 AT5G22330 AT5G23420 AT5G24630 AT5G26180 AT5G26860 AT5G27280 AT5G27540 AT5G27760 AT5G27990 AT5G28740 AT5G35200 AT5G35700 AT5G37055 AT5G39510 AT5G41190 AT5G41770 AT5G42060 AT5G43010 AT5G43720 AT5G45400 AT5G46340 AT5G46750 AT5G46860 AT5G47480 AT5G47880 AT5G48460 AT5G48720 AT5G49020 AT5G49830 AT5G49940 AT5G50960 AT5G51200 AT5G51340 AT5G51430 AT5G54670 AT5G55100 AT5G55200 AT5G55280 AT5G55310 AT5G56090 AT5G56740 AT5G57280 AT5G57950 AT5G58575 AT5G58784 AT5G59460 AT5G60490 AT5G60930 AT5G61000 AT5G61500 AT5G61770 AT5G61880 AT5G61960 AT5G62050 AT5G62500 AT5G62810 AT5G63110 AT5G63220 AT5G64020 AT5G64270 AT5G66930 AT5G67270 AT5G67630 ATCG00810 AT1G01780 AT1G08490 AT1G32640 AT1G48320 AT1G49540 AT1G77130 AT1G77300 AT2G06530 AT2G16485 AT2G16700 AT2G20190 AT2G22475 AT2G23080 AT2G27350 AT2G31200 AT2G37678 AT3G03940 AT3G13670 AT3G16630 AT3G20290 AT3G20840 AT3G25500 AT3G25980 AT3G27310 AT3G51520 AT3G55340 AT3G57410 AT4G00680 AT4G08920 AT4G13510 AT4G15920 AT4G28730 AT4G30160 AT4G30200 AT4G34660 AT4G36020 AT5G22950 AT5G39990 AT5G51600 AT5G55230 AT5G60300 AT5G61840 AT5G65930 AT1G03780 AT1G04030 AT1G04400 AT1G06670 AT1G08600 AT1G12040 AT1G12780 AT1G13220 AT1G13950 AT1G14690 AT1G16340 AT1G16710 AT1G16800 AT1G17520 AT1G18580 AT1G19300 AT1G19520 AT1G20770 AT1G21700 AT1G22880 AT1G23480 AT1G24170 AT1G24450 AT1G24764 AT1G27390 AT1G27440 AT1G28395 AT1G29060 AT1G29260 AT1G29940 AT1G30240 AT1G32750 AT1G32860 AT1G43860 AT1G44900 AT1G49950 AT1G50710 AT1G51630 AT1G53000 AT1G53840 AT1G54390 AT1G55150 AT1G56460 AT1G60170 AT1G61040 AT1G62850 AT1G62980 AT1G63270 AT1G64390 AT1G64440 AT1G66070 AT1G68060 AT1G69770 AT1G70090 AT1G71990 AT1G72440 AT1G72740 AT1G74160 AT1G78570 AT1G79000 AT1G79500 AT1G79730 AT1G80190 AT2G01640 AT2G01850 AT2G01910 AT2G02090 AT2G02470 AT2G03220 AT2G13370 AT2G14285 AT2G15880 AT2G16440 AT2G17250 AT2G20750 AT2G20810 AT2G22125 AT2G23380 AT2G25170 AT2G26460 AT2G27170 AT2G27500 AT2G31900 AT2G31960 AT2G32980 AT2G33400 AT2G36850 AT2G37620 AT2G38650 AT2G40820 AT2G41630 AT2G41740 AT2G42230 AT2G44500 AT2G45220 AT2G46020 AT2G46290 AT2G47620 AT2G47990 AT3G02170 AT3G02350 AT3G03220 AT3G03490 AT3G06400 AT3G07160 AT3G07330 AT3G08550 AT3G09090 AT3G10330 AT3G10380 AT3G10720 AT3G11964 AT3G12370 AT3G12740 AT3G12980 AT3G15080 AT3G18520 AT3G19720 AT3G20010 AT3G21190 AT3G21400 AT3G21820 AT3G22990 AT3G26370 AT3G26610 AT3G27070 AT3G28180 AT3G28340 AT3G28730 AT3G29090 AT3G33520 AT3G43270 AT3G48360 AT3G49560 AT3G52910 AT3G54350 AT3G57660 AT3G57860 AT3G58840 AT3G60830 AT3G62660 AT3G63430 AT4G01630 AT4G02060 AT4G02400 AT4G14455 AT4G14600 AT4G15180 AT4G16444 AT4G17220 AT4G18600 AT4G18670 AT4G20170 AT4G22140 AT4G22285 AT4G22350 AT4G24680 AT4G25810 AT4G25820 AT4G26690 AT4G27490 AT4G30270 AT4G30280 AT4G31590 AT4G34430 AT4G35050 AT4G38270 AT4G39100 AT5G02260 AT5G04320 AT5G04940 AT5G06640 AT5G13870 AT5G14050 AT5G14170 AT5G14550 AT5G15470 AT5G15580 AT5G17550 AT5G18620 AT5G18920 AT5G20490 AT5G22100 AT5G22940 AT5G24650 AT5G25780 AT5G25830 AT5G26210 AT5G26742 AT5G36870 AT5G38880 AT5G39550 AT5G40530 AT5G40930 AT5G43900 AT5G44480 AT5G44635 AT5G45600 AT5G46420 AT5G47780 AT5G47820 AT5G48240 AT5G48600 AT5G49160 AT5G51540 AT5G52980 AT5G53280 AT5G55480 AT5G55510 AT5G56320 AT5G57560 AT5G61060 AT5G61140 AT5G61150 AT5G62410 AT5G63135 AT5G63140 AT5G63160 AT5G64610 AT5G65770 AT5G65780 AT5G66540 AT5G67480 AT1G56430 AT1G71830 AT1G75380 AT2G16950 AT2G17410 AT2G39350 AT3G05580 AT3G13360 AT3G13740 AT3G48670 AT3G56960 AT4G00630 AT4G15415 AT4G38350 AT4G38360 AT5G03220 AT5G06550 AT5G12150 AT5G19390 AT5G27840 AT5G48920 AT5G54380 AT5G56080 AT5G64070 AT5G66410 AT1G03060 AT1G04300 AT1G04770 AT1G05180 AT1G05250 AT1G06190 AT1G06530 AT1G06950 AT1G08410 AT1G08660 AT1G09020 AT1G10430 AT1G12410 AT1G13980 AT1G14410 AT1G15130 AT1G16280 AT1G22620 AT1G22920 AT1G25580 AT1G31420 AT1G31760 AT1G35670 AT1G49970 AT1G50500 AT1G54490 AT1G56580 AT1G65260 AT1G68990 AT1G69220 AT1G70940 AT1G71270 AT1G72300 AT1G79180 AT1G79580 AT1G79850 AT2G01690 AT2G02480 AT2G04550 AT2G16365 AT2G17990 AT2G20370 AT2G20610 AT2G21410 AT2G22330 AT2G26230 AT2G27040 AT2G28380 AT2G28390 AT2G28520 AT2G28620 AT2G31660 AT2G33800 AT2G36490 AT2G36910 AT2G39970 AT2G40190 AT2G42080 AT2G43410 AT2G44490 AT2G45160 AT2G46340 AT2G46600 AT2G47940 AT3G07100 AT3G09260 AT3G10480 AT3G10490 AT3G12280 AT3G12400 AT3G12977 AT3G14190 AT3G15095 AT3G15380 AT3G15950 AT3G16270 AT3G16800 AT3G18000 AT3G20470 AT3G23090 AT3G23980 AT3G24440 AT3G26900 AT3G44200 AT3G44600 AT3G45100 AT3G46740 AT3G48820 AT3G49250 AT3G50660 AT3G51050 AT3G51460 AT3G51550 AT3G52250 AT3G54180 AT3G54650 AT3G55000 AT3G55005 AT3G58040 AT3G59380 AT3G60370 AT3G60630 AT4G00150 AT4G00730 AT4G00740 AT4G02270 AT4G02350 AT4G02720 AT4G03260 AT4G09730 AT4G10790 AT4G16340 AT4G17410 AT4G18800 AT4G22260 AT4G26430 AT4G27585 AT4G28540 AT4G29830 AT4G31560 AT4G31910 AT4G32551 AT4G36380 AT4G38600 AT4G39460 AT4G39690 AT4G39950 AT4G39990 AT5G01620 AT5G03280 AT5G03540 AT5G04290 AT5G05690 AT5G06700 AT5G07370 AT5G10010 AT5G11040 AT5G11980 AT5G12130 AT5G16490 AT5G16600 AT5G20350 AT5G20820 AT5G22010 AT5G22350 AT5G22370 AT5G22640 AT5G24020 AT5G24314 AT5G35910 AT5G39500 AT5G41600 AT5G43560 AT5G45190 AT5G45750 AT5G47390 AT5G50920 AT5G53000 AT5G53770 AT5G53860 AT5G54800 AT5G55910 AT5G56280 AT5G56580 AT5G58100 AT5G58270 AT5G58650 AT5G59150 AT5G60410 AT5G63370 AT5G63840 AT5G65000 AT5G65270 AT5G65530 AT1G18850 AT2G03500 AT4G14570 AT5G11240 AT5G55630 AT1G04070 AT1G19580 AT2G18710 AT4G12400 AT5G02200 AT2G07690 AT2G46225 AT3G54860 AT5G46280 AT5G61210"
