"","X","WS_FLT_c1.which.mclass....4...1."
"3128",3128,"AT5G03204"
"1454",1454,"AT2G29320"
"1168",1168,"AT2G02540"
"1424",1424,"AT2G26440"
"3814",3814,"AT5G58280"
"3697",3697,"AT5G50930"
"1870",1870,"AT3G06210"
"421",421,"AT1G20470"
"614",614,"AT1G48325"
"693",693,"AT1G53270"
"3325",3325,"AT5G16850"
"554",554,"AT1G33350"
"2820",2820,"AT4G22463"
"403",403,"AT1G19115"
"1753",1753,"AT2G47810"
"1452",1452,"AT2G29180"
"290",290,"AT1G12430"
"1569",1569,"AT2G36026"
"2526",2526,"AT4G00890"
"347",347,"AT1G16150"
"1307",1307,"AT2G18000"
"719",719,"AT1G55110"
"3839",3839,"AT5G60022"
"377",377,"AT1G17820"
"1757",1757,"AT2G48075"
"2908",2908,"AT4G28930"
"2637",2637,"AT4G10550"
"3743",3743,"AT5G53200"
"2870",2870,"AT4G25860"
"2659",2659,"AT4G12010"
"2740",2740,"AT4G16600"
"2391",2391,"AT3G55330"
"2378",2378,"AT3G54160"
"2367",2367,"AT3G53360"
"1799",1799,"AT3G02590"
"1778",1778,"AT3G01750"
"1014",1014,"AT1G73750"
"438",438,"AT1G21460"
"1255",1255,"AT2G09420"
"3044",3044,"AT4G39404"
"1582",1582,"AT2G37070"
"450",450,"AT1G22460"
"2844",2844,"AT4G24320"
"3182",3182,"AT5G06720"
"1518",1518,"AT2G33580"
"863",863,"AT1G65130"
"2788",2788,"AT4G20040"
"2058",2058,"AT3G18770"
"1967",1967,"AT3G11840"
"2081",2081,"AT3G20950"
"1245",1245,"AT2G08750"
"265",265,"AT1G11320"
"212",212,"AT1G09421"
"1191",1191,"AT2G04500"
"3036",3036,"AT4G38910"
"855",855,"AT1G64690"
"476",476,"AT1G26150"
"1386",1386,"AT2G23550"
"2352",2352,"AT3G51970"
"1379",1379,"AT2G23130"
"322",322,"AT1G14270"
"559",559,"AT1G33615"
"2030",2030,"AT3G16710"
"2134",2134,"AT3G25570"
"3895",3895,"AT5G64687"
"761",761,"AT1G59840"
"1837",1837,"AT3G04620"
"1827",1827,"AT3G04181"
"2268",2268,"AT3G47390"
"3502",3502,"AT5G38730"
"1383",1383,"AT2G23410"
"1274",1274,"AT2G14760"
"967",967,"AT1G71060"
"3873",3873,"AT5G62820"
"3487",3487,"AT5G37800"
"1446",1446,"AT2G28710"
"2938",2938,"AT4G32190"
"3763",3763,"AT5G55220"
"2413",2413,"AT3G56770"
"1586",1586,"AT2G37290"
"1614",1614,"AT2G38430"
"1878",1878,"AT3G06690"
"3366",3366,"AT5G19025"
"3279",3279,"AT5G13800"
"1449",1449,"AT2G28880"
"3604",3604,"AT5G45050"
"197",197,"AT1G09023"
"3587",3587,"AT5G44350"
"1491",1491,"AT2G32120"
"1573",1573,"AT2G36430"
"1328",1328,"AT2G19440"
"942",942,"AT1G69900"
"1590",1590,"AT2G37362"
"1617",1617,"AT2G38510"
"2450",2450,"AT3G59070"
"208",208,"AT1G09340"
"28",28,"AT1G02570"
"918",918,"AT1G68890"
"2624",2624,"AT4G09750"
"548",548,"AT1G32550"
"122",122,"AT1G05943"
"2481",2481,"AT3G61150"
"939",939,"AT1G69710"
"1222",1222,"AT2G07739"
"3723",3723,"AT5G52020"
"1618",1618,"AT2G38530"
"1987",1987,"AT3G13770"
"3030",3030,"AT4G38330"
"1517",1517,"AT2G33480"
"3165",3165,"AT5G05810"
"3242",3242,"AT5G10320"
"3692",3692,"AT5G50630"
"881",881,"AT1G66465"
"1615",1615,"AT2G38460"
"1197",1197,"AT2G05205"
"1549",1549,"AT2G35170"
"1037",1037,"AT1G74545"
"1273",1273,"AT2G14620"
"562",562,"AT1G34040"
"1325",1325,"AT2G19240"
"1716",1716,"AT2G45080"
"2224",2224,"AT3G44630"
"2800",2800,"AT4G21170"
"3123",3123,"AT5G02860"
"2113",2113,"AT3G23450"
"1956",1956,"AT3G11040"
"1377",1377,"AT2G22980"
"571",571,"AT1G34670"
"2053",2053,"AT3G18400"
"3768",3768,"AT5G55560"
"1991",1991,"AT3G13950"
"3992",3992,"ATMG00980"
"3984",3984,"ATMG00650"
"1455",1455,"AT2G29410"
"1418",1418,"AT2G26290"
"1470",1470,"AT2G30933"
"1736",1736,"AT2G46810"
"1600",1600,"AT2G37900"
"316",316,"AT1G13820"
"2671",2671,"AT4G13030"
"10",10,"AT1G01715"
"2957",2957,"AT4G33790"
"1119",1119,"AT1G78950"
"3515",3515,"AT5G39710"
"2289",2289,"AT3G48450"
"1043",1043,"AT1G74730"
"193",193,"AT1G08730"
"3772",3772,"AT5G55740"
"1266",1266,"AT2G13800"
"2021",2021,"AT3G15760"
"3664",3664,"AT5G48650"
"1179",1179,"AT2G03850"
"1976",1976,"AT3G12820"
"2492",2492,"AT3G61660"
"1997",1997,"AT3G14330"
"1170",1170,"AT2G02750"
"1676",1676,"AT2G42450"
"2860",2860,"AT4G25380"
"445",445,"AT1G22160"
"3047",3047,"AT4G39590"
"1665",1665,"AT2G41830"
"678",678,"AT1G52450"
"2703",2703,"AT4G14690"
"3833",3833,"AT5G59865"
"275",275,"AT1G11880"
"752",752,"AT1G58420"
"1936",1936,"AT3G09855"
"2979",2979,"AT4G35290"
"1138",1138,"AT1G80080"
"3559",3559,"AT5G42490"
"67",67,"AT1G04425"
"1285",1285,"AT2G16250"
"3407",3407,"AT5G23320"
"1723",1723,"AT2G45970"
"1806",1806,"AT3G03200"
"1802",1802,"AT3G02730"
"2688",2688,"AT4G13920"
"1937",1937,"AT3G09895"
"2563",2563,"AT4G02750"
"1407",1407,"AT2G24700"
"1572",1572,"AT2G36370"
"3101",3101,"AT5G02170"
"2032",2032,"AT3G16900"
"1110",1110,"AT1G78530"
"1408",1408,"AT2G25090"
"1027",1027,"AT1G74360"
"2802",2802,"AT4G21230"
"1939",1939,"AT3G09960"
"1974",1974,"AT3G12690"
"2886",2886,"AT4G27290"
"2622",2622,"AT4G09500"
"1666",1666,"AT2G41870"
"621",621,"AT1G48740"
"3285",3285,"AT5G14130"
