"","WS_FLT_c1.which.mclass....3...1."
"289","AT1G16420"
"290","AT1G16705"
"291","AT1G16750"
"292","AT1G16770"
"293","AT1G16910"
"294","AT1G17020"
"295","AT1G17030"
"296","AT1G17310"
"297","AT1G17380"
"298","AT1G17700"
"299","AT1G17870"
"300","AT1G17960"
"301","AT1G18020"
"302","AT1G18350"
"303","AT1G18400"
"304","AT1G18879"
"305","AT1G18990"
"306","AT1G19200"
"307","AT1G19210"
"308","AT1G19610"
"309","AT1G19750"
"310","AT1G19940"
"311","AT1G20080"
"312","AT1G20400"
"313","AT1G20870"
"314","AT1G20923"
"315","AT1G21120"
"316","AT1G21130"
"317","AT1G21230"
"318","AT1G21250"
"319","AT1G21510"
"320","AT1G21810"
"321","AT1G21990"
"322","AT1G22110"
"323","AT1G22260"
"324","AT1G22340"
"325","AT1G22380"
"326","AT1G22590"
"327","AT1G22650"
"328","AT1G22670"
"329","AT1G22810"
"330","AT1G22900"
"331","AT1G23070"
"332","AT1G23210"
"333","AT1G23350"
"334","AT1G23465"
"335","AT1G23510"
"336","AT1G23540"
"337","AT1G23550"
"338","AT1G23730"
"339","AT1G23740"
"340","AT1G23935"
"341","AT1G23965"
"342","AT1G24270"
"343","AT1G24405"
"344","AT1G24420"
"345","AT1G24430"
"346","AT1G24470"
"347","AT1G24485"
"348","AT1G24545"
"349","AT1G24570"
"350","AT1G24909"
"351","AT1G25155"
"352","AT1G25180"
"353","AT1G25277"
"354","AT1G25330"
"355","AT1G25370"
"356","AT1G25422"
"357","AT1G25988"
"358","AT1G26230"
"359","AT1G26420"
"360","AT1G26510"
"361","AT1G26540"
"362","AT1G26590"
"363","AT1G26610"
"364","AT1G26710"
"365","AT1G26790"
"366","AT1G27080"
"367","AT1G27180"
"368","AT1G27610"
"369","AT1G27820"
"370","AT1G27890"
"371","AT1G28135"
"372","AT1G28170"
"373","AT1G28270"
"374","AT1G28327"
"375","AT1G28370"
"376","AT1G28480"
"377","AT1G28600"
"378","AT1G28610"
"379","AT1G28690"
"380","AT1G29071"
"381","AT1G29090"
"382","AT1G29420"
"383","AT1G29500"
"384","AT1G29590"
"385","AT1G29780"
"386","AT1G29910"
"387","AT1G29920"
"388","AT1G30020"
"389","AT1G30040"
"390","AT1G30135"
"391","AT1G30370"
"392","AT1G30380"
"393","AT1G30455"
"394","AT1G30530"
"395","AT1G30560"
"396","AT1G30800"
"397","AT1G30850"
"398","AT1G30860"
"399","AT1G31173"
"400","AT1G31240"
"401","AT1G31243"
"402","AT1G31310"
"403","AT1G31430"
"404","AT1G31485"
"405","AT1G31750"
"406","AT1G31772"
"407","AT1G31820"
"408","AT1G31920"
"409","AT1G31990"
"410","AT1G32060"
"411","AT1G32120"
"412","AT1G32172"
"413","AT1G32470"
"414","AT1G32510"
"415","AT1G32520"
"416","AT1G32540"
"417","AT1G32560"
"418","AT1G32585"
"419","AT1G32710"
"420","AT1G32713"
"421","AT1G32950"
"422","AT1G33102"
"423","AT1G33320"
"424","AT1G33430"
"425","AT1G34050"
"426","AT1G34315"
"427","AT1G34420"
"428","AT1G34460"
"429","AT1G34490"
"430","AT1G35180"
"431","AT1G35617"
"432","AT1G35625"
"433","AT1G36992"
"434","AT1G42550"
"435","AT1G43000"
"436","AT1G43010"
"437","AT1G43040"
"438","AT1G43800"
"439","AT1G44030"
"440","AT1G44318"
"441","AT1G44414"
"442","AT1G44542"
"443","AT1G44740"
"444","AT1G44890"
"445","AT1G45010"
"446","AT1G45163"
"447","AT1G45165"
"448","AT1G45201"
"449","AT1G45248"
"450","AT1G45474"
"451","AT1G45545"
"452","AT1G47280"
"453","AT1G47760"
"454","AT1G47920"
"455","AT1G47990"
"456","AT1G48100"
"457","AT1G48180"
"458","AT1G48195"
"459","AT1G48267"
"460","AT1G48400"
"461","AT1G48405"
"462","AT1G48690"
"463","AT1G48698"
"464","AT1G48700"
"465","AT1G48720"
"466","AT1G49000"
