"","X","WS_FLT_c1.which.mclass....1...1."
"3306",3306,"AT4G13310"
"2015",2015,"AT2G44640"
"3160",3160,"AT4G02220"
"2436",2436,"AT3G15080"
"695",695,"AT1G43560"
"344",344,"AT1G15630"
"660",660,"AT1G33110"
"2007",2007,"AT2G44380"
"14",14,"AT1G01650"
"3164",3164,"AT4G02400"
"3899",3899,"AT5G01650"
"3793",3793,"AT4G36720"
"4212",4212,"AT5G16380"
"2155",2155,"AT3G03600"
"2086",2086,"AT2G47790"
"2750",2750,"AT3G44720"
"4894",4894,"AT5G59710"
"3329",3329,"AT4G14600"
"2784",2784,"AT3G47930"
"1355",1355,"AT2G02870"
"1002",1002,"AT1G66890"
"397",397,"AT1G18270"
"4164",4164,"AT5G14150"
"4795",4795,"AT5G55630"
"4498",4498,"AT5G40200"
"844",844,"AT1G54250"
"1806",1806,"AT2G34260"
"3803",3803,"AT4G36980"
"2292",2292,"AT3G09850"
"2825",2825,"AT3G50590"
"4898",4898,"AT5G59960"
"363",363,"AT1G16300"
"4854",4854,"AT5G58130"
"4813",4813,"AT5G56320"
"7",7,"AT1G01240"
"1864",1864,"AT2G37090"
"57",57,"AT1G03610"
"4738",4738,"AT5G52280"
"2654",2654,"AT3G25800"
"1126",1126,"AT1G72320"
"4995",4995,"AT5G63940"
"1143",1143,"AT1G72880"
"4379",4379,"AT5G25210"
"4483",4483,"AT5G38840"
"3166",3166,"AT4G02480"
"2895",2895,"AT3G53210"
"2385",2385,"AT3G13224"
"3548",3548,"AT4G26550"
"4040",4040,"AT5G08390"
"839",839,"AT1G54130"
"2929",2929,"AT3G55005"
"1459",1459,"AT2G17200"
"4567",4567,"AT5G43720"
"2637",2637,"AT3G24670"
"4174",4174,"AT5G14690"
"11",11,"AT1G01430"
"2231",2231,"AT3G07140"
"1134",1134,"AT1G72630"
"2749",2749,"AT3G44716"
"2454",2454,"AT3G15690"
"1052",1052,"AT1G69330"
"2807",2807,"AT3G49250"
"1154",1154,"AT1G73820"
"2142",2142,"AT3G03120"
"4357",4357,"AT5G24070"
"3097",3097,"AT3G63240"
"5007",5007,"AT5G64460"
"2910",2910,"AT3G54300"
"3283",3283,"AT4G11680"
"5085",5085,"AT5G67480"
"5045",5045,"AT5G65950"
"4457",4457,"AT5G36950"
"1953",1953,"AT2G40980"
"2369",2369,"AT3G12710"
"2671",2671,"AT3G26618"
"1487",1487,"AT2G18410"
"1448",1448,"AT2G16720"
"287",287,"AT1G12820"
"3385",3385,"AT4G17410"
"3609",3609,"AT4G29100"
"4116",4116,"AT5G12150"
"492",492,"AT1G23000"
"1543",1543,"AT2G20940"
"1980",1980,"AT2G42770"
"1919",1919,"AT2G39705"
"865",865,"AT1G55530"
"1176",1176,"AT1G75170"
"1821",1821,"AT2G34900"
"598",598,"AT1G29260"
"1124",1124,"AT1G72300"
"3012",3012,"AT3G59660"
"3871",3871,"AT4G39640"
"1784",1784,"AT2G32900"
"4000",4000,"AT5G06280"
"2553",2553,"AT3G20500"
"920",920,"AT1G61040"
"3738",3738,"AT4G34370"
"787",787,"AT1G50620"
"3446",3446,"AT4G21560"
"2147",2147,"AT3G03380"
"2130",2130,"AT3G02710"
"1333",1333,"AT2G01710"
"3637",3637,"AT4G30620"
"4660",4660,"AT5G48460"
"1253",1253,"AT1G78880"
"817",817,"AT1G53040"
"3418",3418,"AT4G19150"
"3933",3933,"AT5G03220"
"2738",2738,"AT3G43590"
"4211",4211,"AT5G16370"
"2742",2742,"AT3G44200"
"145",145,"AT1G06620"
"2131",2131,"AT3G02740"
"4632",4632,"AT5G47390"
"460",460,"AT1G21710"
"2013",2013,"AT2G44520"
"1426",1426,"AT2G15320"
"2325",2325,"AT3G10940"
"3588",3588,"AT4G28210"
"2587",2587,"AT3G22330"
"4850",4850,"AT5G58020"
"1238",1238,"AT1G78260"
"2988",2988,"AT3G58110"
"4173",4173,"AT5G14680"
"275",275,"AT1G12340"
"4473",4473,"AT5G38200"
"4981",4981,"AT5G63550"
"3408",3408,"AT4G18700"
"4137",4137,"AT5G13100"
"3028",3028,"AT3G60320"
"3207",3207,"AT4G04925"
"2575",2575,"AT3G21465"
"4092",4092,"AT5G11240"
"1836",1836,"AT2G35780"
"2083",2083,"AT2G47620"
"1113",1113,"AT1G71900"
"2672",2672,"AT3G26640"
"2490",2490,"AT3G17650"
"2819",2819,"AT3G49990"
"143",143,"AT1G06560"
"3912",3912,"AT5G02100"
"2919",2919,"AT3G54660"
"4721",4721,"AT5G51430"
"4650",4650,"AT5G48020"
"214",214,"AT1G09280"
"3129",3129,"AT4G00910"
"1863",1863,"AT2G37060"
"3383",3383,"AT4G17310"
"908",908,"AT1G60170"
"325",325,"AT1G14685"
"1194",1194,"AT1G75810"
"2853",2853,"AT3G51580"
"187",187,"AT1G08370"
"4376",4376,"AT5G25080"
"1166",1166,"AT1G74720"
"1016",1016,"AT1G67870"
"2569",2569,"AT3G21215"
"4251",4251,"AT5G18230"
"2953",2953,"AT3G56580"
"3372",3372,"AT4G17040"
"3639",3639,"AT4G30690"
"622",622,"AT1G30590"
"2426",2426,"AT3G14720"
"2293",2293,"AT3G09890"
"4895",4895,"AT5G59770"
"4452",4452,"AT5G35980"
"2820",2820,"AT3G50070"
"2182",2182,"AT3G04770"
"756",756,"AT1G48860"
"2998",2998,"AT3G58640"
"4884",4884,"AT5G59350"
"2974",2974,"AT3G57340"
"146",146,"AT1G06640"
"1012",1012,"AT1G67330"
"4260",4260,"AT5G18680"
"368",368,"AT1G16800"
"4774",4774,"AT5G54380"
"488",488,"AT1G22885"
"3447",3447,"AT4G21580"
"3555",3555,"AT4G26750"
"309",309,"AT1G13950"
"4331",4331,"AT5G22780"
"130",130,"AT1G06130"
"4119",4119,"AT5G12200"
"3384",3384,"AT4G17330"
"2545",2545,"AT3G20150"
"4400",4400,"AT5G26680"
"1064",1064,"AT1G69840"
"2038",2038,"AT2G45540"
"3157",3157,"AT4G02060"
"1072",1072,"AT1G70210"
"4643",4643,"AT5G47760"
"3130",3130,"AT4G00990"
"1847",1847,"AT2G36300"
"3699",3699,"AT4G32940"
"854",854,"AT1G54990"
"1463",1463,"AT2G17265"
"81",81,"AT1G04860"
"1224",1224,"AT1G77120"
"793",793,"AT1G51590"
"206",206,"AT1G08930"
"5032",5032,"AT5G65620"
"790",790,"AT1G51390"
"2543",2543,"AT3G20020"
"1370",1370,"AT2G04160"
"1054",1054,"AT1G69390"
"3185",3185,"AT4G03100"
"2759",2759,"AT3G45640"
"3787",3787,"AT4G36480"
"4755",4755,"AT5G53280"
"866",866,"AT1G55535"
"4958",4958,"AT5G62740"
"1801",1801,"AT2G34050"
"3469",3469,"AT4G22750"
"4597",4597,"AT5G45400"
"4080",4080,"AT5G10730"
"2962",2962,"AT3G56960"
"2037",2037,"AT2G45510"
"3022",3022,"AT3G60080"
"4836",4836,"AT5G57560"
"1827",1827,"AT2G35270"
"4130",4130,"AT5G12880"
"4519",4519,"AT5G41060"
"4962",4962,"AT5G62950"
"4927",4927,"AT5G61380"
"4391",4391,"AT5G25900"
"209",209,"AT1G09090"
"2706",2706,"AT3G28510"
"3015",3015,"AT3G59770"
"3716",3716,"AT4G33530"
"1000",1000,"AT1G66750"
"4081",4081,"AT5G10750"
"562",562,"AT1G27440"
"2952",2952,"AT3G56510"
"493",493,"AT1G23030"
"1098",1098,"AT1G71220"
"2199",2199,"AT3G05545"
"4403",4403,"AT5G26742"
"4799",4799,"AT5G56000"
"1195",1195,"AT1G75850"
"1839",1839,"AT2G35900"
"1560",1560,"AT2G22000"
"3132",3132,"AT4G01070"
"1387",1387,"AT2G05915"
"4369",4369,"AT5G24670"
"1131",1131,"AT1G72440"
"58",58,"AT1G03680"
"4975",4975,"AT5G63320"
"480",480,"AT1G22620"
"1635",1635,"AT2G26070"
"2793",2793,"AT3G48360"
"4844",4844,"AT5G57860"
"3760",3760,"AT4G35335"
"3074",3074,"AT3G62330"
"4676",4676,"AT5G49220"
"3137",3137,"AT4G01290"
"4535",4535,"AT5G42130"
"2079",2079,"AT2G47440"
"827",827,"AT1G53530"
"3586",3586,"AT4G28180"
"2625",2625,"AT3G24200"
"1299",1299,"AT1G80680"
"1321",1321,"AT2G01410"
"3485",3485,"AT4G24060"
"2235",2235,"AT3G07215"
"2056",2056,"AT2G46260"
"2185",2185,"AT3G04910"
"434",434,"AT1G20370"
"718",718,"AT1G45332"
"302",302,"AT1G13450"
"2276",2276,"AT3G09035"
"2001",2001,"AT2G44040"
"4649",4649,"AT5G47880"
"4228",4228,"AT5G16910"
"4935",4935,"AT5G61880"
"2188",2188,"AT3G05010"
"4816",4816,"AT5G56630"
"3997",3997,"AT5G06240"
"476",476,"AT1G22470"
"4091",4091,"AT5G11150"
"2445",2445,"AT3G15380"
"3298",3298,"AT4G12780"
"2338",2338,"AT3G11600"
"1022",1022,"AT1G68070"
"4758",4758,"AT5G53350"
"4118",4118,"AT5G12190"
"117",117,"AT1G05840"
"773",773,"AT1G49890"
"3272",3272,"AT4G10890"
"2874",2874,"AT3G52430"
"1912",1912,"AT2G39450"
"1869",1869,"AT2G37400"
"617",617,"AT1G30300"
"4771",4771,"AT5G53930"
"2811",2811,"AT3G49500"
"5020",5020,"AT5G65040"
"2598",2598,"AT3G22930"
"284",284,"AT1G12740"
"6",6,"AT1G01210"
"4148",4148,"AT5G13470"
"1753",1753,"AT2G31270"
"1345",1345,"AT2G02480"
"124",124,"AT1G05970"
"1735",1735,"AT2G30400"
"1992",1992,"AT2G43410"
"3069",3069,"AT3G62190"
"354",354,"AT1G15940"
"349",349,"AT1G15810"
"3050",3050,"AT3G61180"
"2584",2584,"AT3G22160"
"4903",4903,"AT5G60410"
"3333",3333,"AT4G14950"
"623",623,"AT1G30690"
"4354",4354,"AT5G23980"
"2495",2495,"AT3G17940"
"2383",2383,"AT3G13160"
"1187",1187,"AT1G75510"
"4016",4016,"AT5G06800"
"3554",3554,"AT4G26720"
"784",784,"AT1G50570"
"3493",3493,"AT4G24340"
"266",266,"AT1G11905"
"1457",1457,"AT2G17130"
"2835",2835,"AT3G50970"
"3708",3708,"AT4G33130"
"1914",1914,"AT2G39550"
"5052",5052,"AT5G66100"
"3740",3740,"AT4G34460"
"129",129,"AT1G06090"
"3631",3631,"AT4G30390"
"4263",4263,"AT5G18940"
"59",59,"AT1G03687"
"3004",3004,"AT3G58840"
"3671",3671,"AT4G31890"
"938",938,"AT1G62430"
"2779",2779,"AT3G47670"
"139",139,"AT1G06470"
"4914",4914,"AT5G60890"
"3825",3825,"AT4G37640"
"2323",2323,"AT3G10810"
"4261",4261,"AT5G18860"
"4639",4639,"AT5G47710"
"2830",2830,"AT3G50830"
"1413",1413,"AT2G14120"
"1065",1065,"AT1G69850"
"3928",3928,"AT5G02850"
"4881",4881,"AT5G59030"
"1749",1749,"AT2G31082"
"3552",3552,"AT4G26660"
"542",542,"AT1G26660"
"265",265,"AT1G11820"
"4066",4066,"AT5G09880"
"68",68,"AT1G04260"
"1624",1624,"AT2G25620"
"570",570,"AT1G27760"
"298",298,"AT1G13270"
"4056",4056,"AT5G09400"
"1565",1565,"AT2G22300"
"2366",2366,"AT3G12670"
"2771",2771,"AT3G46960"
"1859",1859,"AT2G36895"
"1719",1719,"AT2G29340"
"3808",3808,"AT4G37120"
"2679",2679,"AT3G26935"
"699",699,"AT1G43700"
"2876",2876,"AT3G52480"
"197",197,"AT1G08620"
"3404",3404,"AT4G18580"
"4705",4705,"AT5G50565"
"2151",2151,"AT3G03550"
"2003",2003,"AT2G44140"
"669",669,"AT1G33790"
"3900",3900,"AT5G01710"
"4859",4859,"AT5G58350"
"1127",1127,"AT1G72340"
"916",916,"AT1G60900"
"459",459,"AT1G21700"
"4003",4003,"AT5G06390"
"3842",3842,"AT4G38350"
"1932",1932,"AT2G40085"
"4187",4187,"AT5G15130"
"4522",4522,"AT5G41260"
"572",572,"AT1G27930"
"3697",3697,"AT4G32910"
"3672",3672,"AT4G31910"
"166",166,"AT1G07510"
"3817",3817,"AT4G37400"
"3417",3417,"AT4G19140"
"1103",1103,"AT1G71692"
"424",424,"AT1G19770"
"3468",3468,"AT4G22740"
"2229",2229,"AT3G07020"
"649",649,"AT1G32410"
"615",615,"AT1G30240"
"1429",1429,"AT2G15620"
"3426",3426,"AT4G19700"
"2389",2389,"AT3G13350"
"4142",4142,"AT5G13300"
"3514",3514,"AT4G25230"
"3273",3273,"AT4G10925"
"1097",1097,"AT1G71210"
"2872",2872,"AT3G52390"
"3780",3780,"AT4G36210"
"2751",2751,"AT3G45010"
"1628",1628,"AT2G25710"
"2616",2616,"AT3G23780"
"3095",3095,"AT3G63170"
"4716",4716,"AT5G51200"
"703",703,"AT1G43910"
"455",455,"AT1G21600"
"5029",5029,"AT5G65520"
"2640",2640,"AT3G24860"
"4825",4825,"AT5G57040"
"1613",1613,"AT2G24790"
"3995",3995,"AT5G06200"
"1049",1049,"AT1G69080"
"2169",2169,"AT3G04350"
"591",591,"AT1G28680"
"639",639,"AT1G31935"
"3510",3510,"AT4G24940"
"3342",3342,"AT4G15545"
"2399",2399,"AT3G13740"
"1876",1876,"AT2G37690"
"3812",3812,"AT4G37210"
"4623",4623,"AT5G46850"
"281",281,"AT1G12580"
"4920",4920,"AT5G61060"
