"","WS_FLT_c1.which.mclass....5...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01040"
"4","AT1G01060"
"5","AT1G01140"
"6","AT1G01180"
"7","AT1G01220"
"8","AT1G01225"
"9","AT1G01260"
"10","AT1G01320"
"11","AT1G01370"
"12","AT1G01380"
"13","AT1G01440"
"14","AT1G01448"
"15","AT1G01470"
"16","AT1G01500"
"17","AT1G01540"
"18","AT1G01580"
"19","AT1G01600"
"20","AT1G01610"
"21","AT1G01630"
"22","AT1G01670"
"23","AT1G01690"
"24","AT1G01710"
"25","AT1G01760"
"26","AT1G01790"
"27","AT1G01830"
"28","AT1G01930"
"29","AT1G01950"
"30","AT1G02000"
"31","AT1G02050"
"32","AT1G02060"
"33","AT1G02180"
"34","AT1G02220"
"35","AT1G02270"
"36","AT1G02300"
"37","AT1G02360"
"38","AT1G02390"
"39","AT1G02400"
"40","AT1G02430"
"41","AT1G02440"
"42","AT1G02460"
"43","AT1G02475"
"44","AT1G02520"
"45","AT1G02640"
"46","AT1G02720"
"47","AT1G02730"
"48","AT1G02740"
"49","AT1G02810"
"50","AT1G02860"
"51","AT1G02890"
"52","AT1G02910"
"53","AT1G02950"
"54","AT1G02960"
"55","AT1G02970"
"56","AT1G02990"
"57","AT1G03000"
"58","AT1G03010"
"59","AT1G03030"
"60","AT1G03160"
"61","AT1G03180"
"62","AT1G03190"
"63","AT1G03260"
"64","AT1G03340"
"65","AT1G03365"
"66","AT1G03370"
"67","AT1G03440"
"68","AT1G03457"
"69","AT1G03470"
"70","AT1G03520"
"71","AT1G03550"
"72","AT1G03560"
"73","AT1G03650"
"74","AT1G03660"
"75","AT1G03740"
"76","AT1G03750"
"77","AT1G03760"
"78","AT1G03770"
"79","AT1G03830"
"80","AT1G03905"
"81","AT1G03930"
"82","AT1G03950"
"83","AT1G03960"
"84","AT1G03970"
"85","AT1G04000"
"86","AT1G04010"
"87","AT1G04020"
"88","AT1G04053"
"89","AT1G04100"
"90","AT1G04130"
"91","AT1G04183"
"92","AT1G04200"
"93","AT1G04230"
"94","AT1G04295"
"95","AT1G04353"
"96","AT1G04360"
"97","AT1G04420"
"98","AT1G04463"
"99","AT1G04550"
"100","AT1G04555"
"101","AT1G04610"
"102","AT1G04635"
"103","AT1G04640"
"104","AT1G04647"
"105","AT1G04707"
"106","AT1G04710"
"107","AT1G04730"
"108","AT1G04760"
"109","AT1G04773"
"110","AT1G04790"
"111","AT1G04803"
"112","AT1G04830"
"113","AT1G04833"
"114","AT1G04837"
"115","AT1G04930"
"116","AT1G04945"
"117","AT1G04977"
"118","AT1G04990"
"119","AT1G05010"
"120","AT1G05060"
"121","AT1G05090"
"122","AT1G05120"
"123","AT1G05160"
"124","AT1G05183"
"125","AT1G05280"
"126","AT1G05370"
"127","AT1G05385"
"128","AT1G05440"
"129","AT1G05460"
"130","AT1G05470"
"131","AT1G05553"
"132","AT1G05560"
"133","AT1G05562"
"134","AT1G05590"
"135","AT1G05630"
"136","AT1G05650"
"137","AT1G05660"
"138","AT1G05687"
"139","AT1G05700"
"140","AT1G05730"
"141","AT1G05750"
"142","AT1G05753"
"143","AT1G05760"
"144","AT1G05770"
"145","AT1G05790"
"146","AT1G05830"
"147","AT1G05835"
"148","AT1G05900"
"149","AT1G06000"
"150","AT1G06002"
"151","AT1G06050"
"152","AT1G06120"
"153","AT1G06150"
"154","AT1G06227"
"155","AT1G06240"
"156","AT1G06270"
"157","AT1G06350"
"158","AT1G06380"
"159","AT1G06420"
"160","AT1G06450"
"161","AT1G06460"
"162","AT1G06475"
"163","AT1G06490"
"164","AT1G06500"
"165","AT1G06510"
"166","AT1G06590"
"167","AT1G06630"
"168","AT1G06660"
"169","AT1G06710"
"170","AT1G06730"
"171","AT1G06770"
"172","AT1G06780"
"173","AT1G06800"
"174","AT1G06820"
"175","AT1G06840"
"176","AT1G06910"
"177","AT1G07000"
"178","AT1G07090"
"179","AT1G07110"
"180","AT1G07128"
"181","AT1G07130"
"182","AT1G07175"
"183","AT1G07200"
