TAIR,SYMBOL,Log2fc_.Ws_FLT_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Ws_GC_dark.,Log2fc_.Ws_FLT_dark.v.Ws_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Ws_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0_GC_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_FLT_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_FLT_dark.v.Col.0.PhyD_GC_dark.
AT3G46830,ATRAB-A2C,0.06137724,0.04704527,0.3801217,-0.01433197,0.3187444,0.0988134,0.03743616,0.1426276,0.08125037,0.02896808,-0.03240916,0.3263432,0.2649659,0.3018212,0.2404439,0.06960988,0.008232638,0.2114427,0.1500655,0.1180387,0.0566615
AT3G46900,COPT2,0.4913059,0.774109,3.029034,0.2828031,2.537728,0.545284,0.05397815,0.07037864,-0.4209272,-0.01490914,-0.506215,2.130366,1.63906,-0.192527,-0.6838329,0.1970952,-0.2942107,-0.2778511,-0.769157,1.573535,1.082229
AT3G46940,DUT1,-0.0548895,0.6491932,-0.650093,0.7040827,-0.5952035,0.9421833,0.9970728,0.1961329,0.2510224,-0.09537641,-0.04048691,-0.02859528,0.02629421,0.3866998,0.4415893,0.4456467,0.5005362,0.6133958,0.6682853,-0.1677409,-0.1128514
AT3G47220,ATPLC9,-1.134507,-0.2363129,-0.652817,0.898194,0.48169,-0.1787183,0.9557887,-0.5185882,0.6159188,0.3759597,1.510467,-0.9132769,0.2212301,-0.01371257,1.120794,0.05709041,1.191597,-0.06150013,1.073007,-1.017862,0.1166452
AT3G47520,MDH,0.1195488,0.3526269,-0.2775374,0.2330781,-0.3970862,0.06907074,-0.0504781,-0.02347877,-0.1430276,0.2277172,0.1081684,0.4876482,0.3680993,0.3367538,0.2172049,0.4713366,0.3517878,0.8233903,0.7038415,-0.00126275,-0.1208116
AT3G48170,ALDH10A9,0.1082065,0.009928511,0.00161806,-0.09827801,-0.1065885,0.03844252,-0.069764,0.1940301,0.08582363,0.2823749,0.1741683,0.2608337,0.1526272,-0.07698582,-0.1851923,0.06163799,-0.04656853,0.415151,0.3069445,0.4325622,0.3243557
AT3G48530,KING1,0.5232913,-0.1594105,0.9722626,-0.6827018,0.4489713,-1.140646,-1.663937,-0.6257206,-1.149012,-0.9110112,-1.434302,-0.3640996,-0.8873909,-1.470038,-1.993329,-0.4267191,-0.9500104,-1.398355,-1.921647,-0.2050347,-0.728326
AT3G48560,AHAS,-0.186058,-0.1955857,-0.5874437,-0.009527758,-0.4013858,-0.2204073,-0.03434932,-0.1595139,0.02654412,-0.03092246,0.1551355,-0.3445393,-0.1584813,-0.07833353,0.1077244,-0.3443336,-0.1582757,0.1686129,0.3546709,-0.004492611,0.1815654
AT3G48680,AtCAL2,0.3756355,0.2537159,0.1986811,-0.1219196,-0.1769544,-0.02978382,-0.4054193,0.02817682,-0.3474587,-0.2303535,-0.605989,0.04379806,-0.3318374,-0.1560466,-0.5316821,-0.1102524,-0.4858879,-0.2300037,-0.6056392,-0.04176086,-0.4173964
AT3G48740,AtSWEET11,3.193467,1.191272,4.28461,-2.002196,1.091142,0.6019159,-2.591551,4.215492,1.022024,4.559805,1.366338,25.3165,22.12303,1.697445,-1.496022,4.105702,0.9122348,1.283702,-1.909765,2.386966,-0.8065011
