TAIR,SYMBOL,Log2fc_.Ws_GC_Alight.v.Ws_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0_GC_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_FLT_dark.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_Alight.,Log2fc_.Ws_GC_Alight.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_dark.v.Col.0.PhyD_GC_dark.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_dark.v.Ws_FLT_Alight.,Log2fc_.Ws_GC_Alight.v.Ws_FLT_dark.,Log2fc_.Ws_GC_dark.v.Ws_FLT_dark.
AT3G58680,ATMBF1B,-0.05017727,-0.06799723,-0.01781996,-0.1482545,-0.0980772,-0.1514266,-0.1012494,0.3984569,0.4486342,-0.4098331,-0.3596558,-0.01370111,0.03647616,-0.01736889,0.03280838,0.2431373,0.2933146,-0.393552,-0.3433748,0.1298452,0.1800224
AT3G58750,CSY2,0.6581961,-0.3753248,-1.033521,-0.1518998,-0.8100958,0.1853227,-0.4728734,0.4445242,-0.2136719,-0.368267,-1.026463,-0.02395994,-0.682156,-0.06246739,-0.7206635,0.5371459,-0.1210502,-0.1322081,-0.7904042,0.3405497,-0.3176464
AT3G58840,PMD1,-0.7882895,-0.3164654,0.4718241,-0.1594988,0.6287907,-0.3780821,0.4102074,-0.2486094,0.5396801,-0.2480329,0.5402566,-0.4341695,0.35412,-0.1599523,0.6283372,-0.3309322,0.4573573,-0.2102596,0.5780299,-0.3720854,0.4162041
AT3G59280,TXR1,-0.2111835,0.5028434,0.7140269,0.05036038,0.2615439,0.05204616,0.2632297,0.2657084,0.4768919,0.075459,0.2866425,0.00962676,0.2208103,0.1858013,0.3969848,0.02436961,0.2355531,-0.315611,-0.1044275,-0.04126494,0.1699186
AT3G59600,NRPB8B,-0.03177477,0.7265311,0.7583058,0.1495243,0.1812991,0.3254153,0.3571901,0.221098,0.2528728,0.3724399,0.4042147,0.1639037,0.1956785,0.15143,0.1832048,0.6066553,0.6384301,-0.3461244,-0.3143496,-0.09593268,-0.0641579
AT3G59760,ATCS-C,0.04205033,0.09109921,0.04904888,0.175025,0.1329747,0.1479479,0.1058976,0.3612354,0.319185,0.4956173,0.4535669,0.6466738,0.6046235,0.5422925,0.5002422,0.2034114,0.1613611,0.1374356,0.09538525,0.2075662,0.1655159
AT3G59810,LSM6A,-0.2161089,0.3047785,0.5208874,0.1369964,0.3531053,-0.3214239,-0.105315,0.1105107,0.3266196,-0.220797,-0.004688124,-0.2065725,0.009536404,0.00023807,0.216347,-0.04936483,0.1667441,-0.2838865,-0.06777754,-0.0135482,0.2025607
AT3G59920,ATGDI2,-0.04430091,-0.3952534,-0.3509525,-0.3477978,-0.3034969,-0.2436367,-0.1993358,-0.1810039,-0.136703,-0.1682377,-0.1239368,-0.1608257,-0.1165248,-0.01769132,0.02660959,-0.3196357,-0.2753348,0.02377378,0.06807469,0.08843098,0.1327319
AT3G59970,MTHFR1,-0.2931503,-0.01520707,0.2779432,-0.01773686,0.2754134,0.07703733,0.3701876,-0.2474958,0.04565448,0.1497816,0.4429319,0.2652081,0.5583584,0.3067767,0.599927,-0.2320736,0.06107666,-0.0207672,0.2723831,-0.09550501,0.1976453
AT3G59990,MAP2B,-0.3441978,0.09170675,0.4359045,0.1309326,0.4751303,-0.02481757,0.3193802,0.08365946,0.4278572,-0.002806941,0.3413908,0.05898261,0.4031804,-0.007844563,0.3363532,0.007134487,0.3513322,0.01761351,0.3618113,-0.1010837,0.2431141
AT3G60240,CUM2,-0.4665822,-0.141681,0.3249012,-0.2473226,0.2192595,0.2122634,0.6788456,-0.260224,0.2063582,-0.1374792,0.329103,-0.2827003,0.1838819,-0.06981959,0.3967626,-0.3093011,0.1572811,0.4422634,0.9088455,-0.3230558,0.1435264
AT3G60250,CKB3,0.03045278,0.4867012,0.4562485,0.3391033,0.3086505,0.3751304,0.3446776,0.3257807,0.2953279,0.5057897,0.4753369,0.1958444,0.1653917,0.4619459,0.4314932,0.2985249,0.2680721,0.208043,0.1775903,0.16758,0.1371272
AT3G60360,EDA14,-0.4920939,0.2376985,0.7297924,-0.1703131,0.3217809,0.1495147,0.6416086,0.08763247,0.5797264,0.06497674,0.5570707,-0.0877172,0.4043767,0.219428,0.7115219,-0.1414535,0.3506405,-0.2942874,0.1978065,-0.1930701,0.2990238
AT3G60530,GATA4,-0.2669285,-1.3441,-1.077171,-1.460927,-1.193999,-0.7880833,-0.5211547,-1.505798,-1.23887,-1.194053,-0.9271244,-1.575484,-1.308556,-1.029953,-0.7630249,-1.022908,-0.7559799,-0.418417,-0.1514885,-0.5388395,-0.271911
AT3G60750,AtTKL1,-0.5424634,-0.1846656,0.3577978,-0.1680589,0.3744044,0.1419327,0.6843961,-0.2183075,0.3241559,-0.07019428,0.4722691,-0.006842074,0.5356213,0.1727115,0.7151748,-0.4292648,0.1131986,0.01312344,0.5555868,-0.4497741,0.09268924
AT3G61050,AtCLB,0.1229188,0.2079555,0.08503669,0.423833,0.3009141,0.2655778,0.142659,0.2584473,0.1355284,0.3697384,0.2468196,0.6459658,0.523047,0.1429134,0.01999454,0.5620225,0.4391037,0.1729319,0.05001308,0.170814,0.04789518
