"","phyD_FLT_c1.which.mclass....4...1."
"1","AT1G01150"
"2","AT1G01183"
"3","AT1G01420"
"4","AT1G01695"
"5","AT1G02813"
"6","AT1G02820"
"7","AT1G02980"
"8","AT1G03445"
"9","AT1G04083"
"10","AT1G04147"
"11","AT1G04380"
"12","AT1G04403"
"13","AT1G04427"
"14","AT1G04497"
"15","AT1G04500"
"16","AT1G04523"
"17","AT1G04563"
"18","AT1G04580"
"19","AT1G04643"
"20","AT1G04703"
"21","AT1G04713"
"22","AT1G04800"
"23","AT1G04817"
"24","AT1G05013"
"25","AT1G05083"
"26","AT1G05103"
"27","AT1G05203"
"28","AT1G05253"
"29","AT1G05303"
"30","AT1G05327"
"31","AT1G05353"
"32","AT1G05383"
"33","AT1G05450"
"34","AT1G05510"
"35","AT1G05550"
"36","AT1G05723"
"37","AT1G05783"
"38","AT1G05813"
"39","AT1G05990"
"40","AT1G06100"
"41","AT1G06135"
"42","AT1G06163"
"43","AT1G06170"
"44","AT1G06257"
"45","AT1G06273"
"46","AT1G06350"
"47","AT1G06487"
"48","AT1G06537"
"49","AT1G06547"
"50","AT1G06583"
"51","AT1G06587"
"52","AT1G06613"
"53","AT1G06830"
"54","AT1G06963"
"55","AT1G07023"
"56","AT1G07180"
"57","AT1G07267"
"58","AT1G07340"
"59","AT1G07473"
"60","AT1G07476"
"61","AT1G07493"
"62","AT1G07500"
"63","AT1G07657"
"64","AT1G07720"
"65","AT1G07850"
"66","AT1G07887"
"67","AT1G07963"
"68","AT1G07987"
"69","AT1G08005"
"70","AT1G08093"
"71","AT1G08123"
"72","AT1G08147"
"73","AT1G08273"
"74","AT1G08457"
"75","AT1G08563"
"76","AT1G08567"
"77","AT1G08597"
"78","AT1G08810"
"79","AT1G09017"
"80","AT1G09080"
"81","AT1G09163"
"82","AT1G09317"
"83","AT1G09510"
"84","AT1G09513"
"85","AT1G09553"
"86","AT1G09573"
"87","AT1G09603"
"88","AT1G09607"
"89","AT1G09773"
"90","AT1G09777"
"91","AT1G09853"
"92","AT1G09903"
"93","AT1G09917"
"94","AT1G10010"
"95","AT1G10385"
"96","AT1G10540"
"97","AT1G10640"
"98","AT1G10680"
"99","AT1G10747"
"100","AT1G10875"
"101","AT1G11470"
"102","AT1G11510"
"103","AT1G11560"
"104","AT1G12294"
"105","AT1G12570"
"106","AT1G12610"
"107","AT1G12672"
"108","AT1G13200"
"109","AT1G13230"
"110","AT1G13310"
"111","AT1G13400"
"112","AT1G13490"
"113","AT1G13790"
"114","AT1G14630"
"115","AT1G15015"
"116","AT1G15320"
"117","AT1G15540"
"118","AT1G15580"
"119","AT1G15600"
"120","AT1G15680"
"121","AT1G15830"
"122","AT1G15840"
"123","AT1G16750"
"124","AT1G17310"
