"","X","phyD_FLT_c1.which.mclass....6...1."
"1211",1211,"AT1G79700"
"932",932,"AT1G64960"
"2815",2815,"AT4G02410"
"4483",4483,"AT5G65840"
"3347",3347,"AT4G34220"
"4203",4203,"AT5G50170"
"765",765,"AT1G54110"
"165",165,"AT1G08727"
"1592",1592,"AT2G31840"
"3066",3066,"AT4G19070"
"4063",4063,"AT5G42440"
"3606",3606,"AT5G06740"
"2617",2617,"AT3G55350"
"1801",1801,"AT2G42870"
"4451",4451,"AT5G64330"
"4273",4273,"AT5G53990"
"4454",4454,"AT5G64480"
"3649",3649,"AT5G08855"
"3993",3993,"AT5G38540"
"802",802,"AT1G55930"
"3639",3639,"AT5G08360"
"3880",3880,"AT5G23570"
"185",185,"AT1G09800"
"2391",2391,"AT3G29250"
"2664",2664,"AT3G57810"
"3283",3283,"AT4G30430"
"883",883,"AT1G62170"
"3605",3605,"AT5G06730"
"497",497,"AT1G27170"
"2607",2607,"AT3G54930"
"435",435,"AT1G22570"
"970",970,"AT1G67500"
"1942",1942,"AT3G03030"
"3889",3889,"AT5G24100"
"4238",4238,"AT5G51710"
"1056",1056,"AT1G71750"
"1624",1624,"AT2G33580"
"1378",1378,"AT2G19380"
"2766",2766,"AT4G00370"
"1225",1225,"AT1G80640"
"3859",3859,"AT5G22270"
"999",999,"AT1G68690"
"51",51,"AT1G03520"
"983",983,"AT1G67850"
"424",424,"AT1G21390"
"1444",1444,"AT2G22990"
"2466",2466,"AT3G47400"
"4277",4277,"AT5G54050"
"3320",3320,"AT4G32450"
"2714",2714,"AT3G60720"
"4128",4128,"AT5G45380"
"4396",4396,"AT5G60860"
"4004",4004,"AT5G39610"
"1836",1836,"AT2G44440"
"730",730,"AT1G52190"
"3166",3166,"AT4G24570"
"2317",2317,"AT3G24255"
"1146",1146,"AT1G76470"
"1166",1166,"AT1G77630"
"3076",3076,"AT4G19865"
"1973",1973,"AT3G04850"
"1815",1815,"AT2G43375"
"1928",1928,"AT3G02410"
"383",383,"AT1G19270"
"633",633,"AT1G44110"
"266",266,"AT1G13780"
"2009",2009,"AT3G06870"
"1766",1766,"AT2G41450"
"4102",4102,"AT5G44230"
"3730",3730,"AT5G14660"
"4366",4366,"AT5G58980"
"4374",4374,"AT5G59540"
"4249",4249,"AT5G52520"
"3526",3526,"AT5G03320"
"420",420,"AT1G21250"
"3609",3609,"AT5G06940"
"2157",2157,"AT3G15250"
"2910",2910,"AT4G11130"
"2063",2063,"AT3G10130"
"902",902,"AT1G63250"
"4197",4197,"AT5G49700"
"3632",3632,"AT5G07980"
"103",103,"AT1G05670"
"682",682,"AT1G49560"
"2886",2886,"AT4G09520"
"2535",2535,"AT3G50800"
"1686",1686,"AT2G37150"
"1648",1648,"AT2G35035"
"545",545,"AT1G30282"
"4208",4208,"AT5G50340"
"2479",2479,"AT3G48120"
"2656",2656,"AT3G57390"
"2291",2291,"AT3G22750"
"251",251,"AT1G12970"
"5",5,"AT1G01180"
"3658",3658,"AT5G09540"
"1545",1545,"AT2G29900"
"1186",1186,"AT1G78550"
"110",110,"AT1G05837"
"1530",1530,"AT2G28940"
"1757",1757,"AT2G41050"
