"","phyD_FLT_c1.which.mclass....9...1."
"1","AT1G01020"
"2","AT1G01070"
"3","AT1G01110"
"4","AT1G01160"
"5","AT1G01170"
"6","AT1G01210"
"7","AT1G01230"
"8","AT1G01300"
"9","AT1G01360"
"10","AT1G01470"
"11","AT1G01490"
"12","AT1G01630"
"13","AT1G01640"
"14","AT1G01650"
"15","AT1G01725"
"16","AT1G01910"
"17","AT1G01920"
"18","AT1G01940"
"19","AT1G01960"
"20","AT1G01990"
"21","AT1G02080"
"22","AT1G02090"
"23","AT1G02120"
"24","AT1G02170"
"25","AT1G02330"
"26","AT1G02410"
"27","AT1G02520"
"28","AT1G02560"
"29","AT1G02680"
"30","AT1G02816"
"31","AT1G02870"
"32","AT1G02880"
"33","AT1G03040"
"34","AT1G03060"
"35","AT1G03080"
"36","AT1G03090"
"37","AT1G03110"
"38","AT1G03140"
"39","AT1G03150"
"40","AT1G03280"
"41","AT1G03290"
"42","AT1G03360"
"43","AT1G03590"
"44","AT1G03610"
"45","AT1G03730"
"46","AT1G03910"
"47","AT1G04030"
"48","AT1G04120"
"49","AT1G04190"
"50","AT1G04260"
"51","AT1G04300"
"52","AT1G04440"
"53","AT1G04520"
"54","AT1G04537"
"55","AT1G04590"
"56","AT1G04770"
"57","AT1G04780"
"58","AT1G04810"
"59","AT1G04940"
"60","AT1G04950"
"61","AT1G04960"
"62","AT1G04980"
"63","AT1G04985"
"64","AT1G05070"
"65","AT1G05147"
"66","AT1G05170"
"67","AT1G05180"
"68","AT1G05270"
"69","AT1G05340"
"70","AT1G05350"
"71","AT1G05360"
"72","AT1G05380"
"73","AT1G05500"
"74","AT1G05620"
"75","AT1G05785"
"76","AT1G05840"
"77","AT1G05870"
"78","AT1G05890"
"79","AT1G05940"
"80","AT1G05960"
"81","AT1G06130"
"82","AT1G06210"
"83","AT1G06220"
"84","AT1G06230"
"85","AT1G06290"
"86","AT1G06410"
"87","AT1G06470"
"88","AT1G06530"
"89","AT1G06540"
"90","AT1G06550"
"91","AT1G06620"
"92","AT1G06640"
"93","AT1G06670"
"94","AT1G06720"
"95","AT1G06870"
"96","AT1G06900"
"97","AT1G06960"
"98","AT1G06980"
"99","AT1G07040"
"100","AT1G07350"
"101","AT1G07370"
"102","AT1G07470"
"103","AT1G07480"
"104","AT1G07640"
"105","AT1G07660"
"106","AT1G07840"
"107","AT1G07985"
"108","AT1G08037"
"109","AT1G08130"
"110","AT1G08160"
"111","AT1G08210"
"112","AT1G08230"
"113","AT1G08283"
"114","AT1G08350"
"115","AT1G08370"
"116","AT1G08430"
"117","AT1G08450"
"118","AT1G08460"
"119","AT1G08477"
"120","AT1G08510"
"121","AT1G08560"
"122","AT1G08570"
"123","AT1G08620"
"124","AT1G08640"
"125","AT1G08660"
"126","AT1G08700"
"127","AT1G08770"
"128","AT1G08780"
"129","AT1G08820"
"130","AT1G08970"
"131","AT1G09070"
"132","AT1G09130"
"133","AT1G09160"
"134","AT1G09250"
"135","AT1G09280"
"136","AT1G09520"
"137","AT1G09580"
"138","AT1G09630"
"139","AT1G09645"
"140","AT1G09815"
"141","AT1G09870"
"142","AT1G09920"
"143","AT1G10140"
"144","AT1G10390"
"145","AT1G10410"
"146","AT1G10430"
"147","AT1G10500"
"148","AT1G10530"
"149","AT1G10580"
"150","AT1G10600"
"151","AT1G10690"
"152","AT1G10700"
"153","AT1G10760"
"154","AT1G10890"
"155","AT1G10940"
"156","AT1G11000"
"157","AT1G11185"
"158","AT1G11200"
"159","AT1G11240"
"160","AT1G11430"
"161","AT1G11592"
"162","AT1G11750"
"163","AT1G11890"
"164","AT1G11930"
"165","AT1G12050"
"166","AT1G12120"
"167","AT1G12160"
"168","AT1G12270"
"169","AT1G12360"
"170","AT1G12410"
"171","AT1G12520"
"172","AT1G12580"
"173","AT1G12640"
"174","AT1G12650"
"175","AT1G12760"
"176","AT1G12780"
"177","AT1G12810"
"178","AT1G12820"
"179","AT1G12830"
"180","AT1G12850"
"181","AT1G13220"
"182","AT1G13245"
"183","AT1G13300"
"184","AT1G13320"
"185","AT1G13450"
"186","AT1G13570"
"187","AT1G13640"
"188","AT1G13690"
"189","AT1G13730"
"190","AT1G13980"
"191","AT1G13990"
"192","AT1G14000"
"193","AT1G14060"
"194","AT1G14230"
"195","AT1G14290"
"196","AT1G14300"
"197","AT1G14330"
"198","AT1G14380"
"199","AT1G14453"
"200","AT1G14510"
"201","AT1G14570"
"202","AT1G14650"
"203","AT1G14685"
"204","AT1G14690"
"205","AT1G14710"
"206","AT1G14730"
"207","AT1G14740"
"208","AT1G14810"
"209","AT1G14850"
"210","AT1G14890"
"211","AT1G14920"
"212","AT1G14990"
"213","AT1G15020"
"214","AT1G15100"
"215","AT1G15110"
"216","AT1G15230"
"217","AT1G15280"
"218","AT1G15330"
"219","AT1G15390"
"220","AT1G15570"
"221","AT1G15740"
"222","AT1G15810"
"223","AT1G15860"
"224","AT1G15910"
"225","AT1G15920"
"226","AT1G15960"
"227","AT1G16010"
"228","AT1G16040"
"229","AT1G16190"
"230","AT1G16210"
"231","AT1G16460"
"232","AT1G16710"
"233","AT1G16840"
"234","AT1G16860"
"235","AT1G16870"
"236","AT1G16916"
"237","AT1G17210"
"238","AT1G17280"
"239","AT1G17430"
"240","AT1G17455"
"241","AT1G17510"
"242","AT1G17520"
"243","AT1G17620"
"244","AT1G17720"
"245","AT1G17745"
"246","AT1G18150"
"247","AT1G18250"
"248","AT1G18270"
"249","AT1G18470"
"250","AT1G18480"
"251","AT1G18500"
"252","AT1G18700"
"253","AT1G18840"
"254","AT1G18890"
"255","AT1G19180"
"256","AT1G19310"
