"","phyD_FLT_c1.which.mclass....5...1."
"1","AT1G01010"
"2","AT1G01580"
"3","AT1G01750"
"4","AT1G02220"
"5","AT1G02360"
"6","AT1G02430"
"7","AT1G02860"
"8","AT1G02930"
"9","AT1G03457"
"10","AT1G03740"
"11","AT1G04280"
"12","AT1G05010"
"13","AT1G05060"
"14","AT1G05575"
"15","AT1G05650"
"16","AT1G05660"
"17","AT1G05700"
"18","AT1G05753"
"19","AT1G05810"
"20","AT1G06090"
"21","AT1G07135"
"22","AT1G07175"
"23","AT1G07630"
"24","AT1G07700"
"25","AT1G08320"
"26","AT1G08340"
"27","AT1G08670"
"28","AT1G08800"
"29","AT1G08890"
"30","AT1G08990"
"31","AT1G09090"
"32","AT1G10340"
"33","AT1G11210"
"34","AT1G11540"
"35","AT1G12040"
"36","AT1G12110"
"37","AT1G12140"
"38","AT1G12560"
"39","AT1G12740"
"40","AT1G13080"
"41","AT1G13110"
"42","AT1G13830"
"43","AT1G14080"
"44","AT1G14160"
"45","AT1G14170"
"46","AT1G15610"
"47","AT1G15620"
"48","AT1G15630"
"49","AT1G15640"
"50","AT1G17060"
"51","AT1G17147"
"52","AT1G18390"
"53","AT1G18570"
"54","AT1G18860"
"55","AT1G18970"
"56","AT1G18975"
"57","AT1G18980"
"58","AT1G19020"
"59","AT1G19540"
"60","AT1G21400"
"61","AT1G22180"
"62","AT1G22710"
"63","AT1G22750"
"64","AT1G22990"
"65","AT1G23120"
"66","AT1G23390"
"67","AT1G23710"
"68","AT1G26250"
"69","AT1G26255"
"70","AT1G26820"
"71","AT1G27140"
"72","AT1G27730"
"73","AT1G28380"
"74","AT1G29020"
"75","AT1G29025"
"76","AT1G30260"
"77","AT1G30650"
"78","AT1G30700"
"79","AT1G30720"
"80","AT1G30755"
"81","AT1G30870"
"82","AT1G30900"
"83","AT1G30990"
"84","AT1G31540"
"85","AT1G31885"
"86","AT1G33590"
"87","AT1G34750"
"88","AT1G34760"
"89","AT1G43910"
"90","AT1G44050"
"91","AT1G45015"
"92","AT1G48330"
"93","AT1G48930"
"94","AT1G50090"
"95","AT1G50520"
"96","AT1G51790"
"97","AT1G51800"
"98","AT1G51830"
"99","AT1G51860"
"100","AT1G53635"
"101","AT1G53680"
"102","AT1G53830"
"103","AT1G53920"
"104","AT1G54740"
"105","AT1G54950"
"106","AT1G55430"
"107","AT1G55450"
"108","AT1G56550"
"109","AT1G56660"
"110","AT1G60680"
"111","AT1G60740"
"112","AT1G61560"
"113","AT1G61750"
"114","AT1G61840"
"115","AT1G62510"
"116","AT1G62980"
"117","AT1G63245"
"118","AT1G64160"
"119","AT1G64920"
"120","AT1G65500"
"121","AT1G65610"
"122","AT1G65690"
"123","AT1G65985"
"124","AT1G67750"
"125","AT1G67800"
"126","AT1G67870"
"127","AT1G67920"
"128","AT1G67940"
"129","AT1G68450"
"130","AT1G68840"
"131","AT1G69810"
"132","AT1G70370"
"133","AT1G70690"
"134","AT1G70810"
"135","AT1G71710"
"136","AT1G71740"
"137","AT1G72200"
"138","AT1G72900"
"139","AT1G73270"
"140","AT1G73300"
"141","AT1G76890"
"142","AT1G76980"
"143","AT1G77145"
"144","AT1G79040"
"145","AT1G79450"
"146","AT1G80310"
"147","AT1G80520"
"148","AT2G01540"
"149","AT2G01890"
"150","AT2G02610"
"151","AT2G02630"
"152","AT2G02930"
"153","AT2G05250"
"154","AT2G05940"
"155","AT2G15390"
"156","AT2G15830"
"157","AT2G16750"
"158","AT2G17070"
"159","AT2G17280"
"160","AT2G18150"
"161","AT2G18690"
"162","AT2G19060"
"163","AT2G20142"
"164","AT2G20960"
"165","AT2G21840"
"166","AT2G22500"
"167","AT2G24170"
"168","AT2G24240"
"169","AT2G24600"
"170","AT2G25510"
"171","AT2G26530"
"172","AT2G26820"
"173","AT2G27080"
"174","AT2G27660"
"175","AT2G28080"
"176","AT2G28720"
"177","AT2G28960"
"178","AT2G29340"
"179","AT2G29750"
"180","AT2G30250"
"181","AT2G30340"
"182","AT2G30766"
"183","AT2G30840"
"184","AT2G31020"
"185","AT2G31570"
"186","AT2G31880"
"187","AT2G32190"
"188","AT2G34340"
"189","AT2G35730"
"190","AT2G35910"
"191","AT2G35930"
"192","AT2G36690"
"193","AT2G37820"
"194","AT2G38380"
"195","AT2G38390"
"196","AT2G38870"
"197","AT2G38940"
"198","AT2G39110"
"199","AT2G39200"
"200","AT2G39350"
"201","AT2G39375"
"202","AT2G39380"
"203","AT2G39410"
"204","AT2G39518"
"205","AT2G40095"
"206","AT2G41730"
"207","AT2G41970"
"208","AT2G43290"
"209","AT2G43570"
"210","AT2G44110"
"211","AT2G44220"
"212","AT2G45220"
"213","AT2G45360"
"214","AT2G46150"
"215","AT2G46495"
"216","AT2G46620"
"217","AT2G46740"
"218","AT2G46750"
"219","AT2G47140"
"220","AT2G47360"
"221","AT2G47630"
"222","AT2G47890"
"223","AT2G48130"
"224","AT2G48140"
"225","AT3G03000"
"226","AT3G03500"
"227","AT3G03700"
"228","AT3G05155"
"229","AT3G05200"
"230","AT3G05390"
"231","AT3G07195"
"232","AT3G07600"
"233","AT3G09220"
"234","AT3G09940"
"235","AT3G10300"
"236","AT3G10720"
"237","AT3G11370"
"238","AT3G11600"
"239","AT3G12230"
"240","AT3G12240"
"241","AT3G12502"
"242","AT3G12700"
"243","AT3G12977"
"244","AT3G13650"
"245","AT3G13760"
"246","AT3G16720"
"247","AT3G18250"
"248","AT3G18450"
"249","AT3G19430"
"250","AT3G19553"
"251","AT3G19615"
"252","AT3G20360"
"253","AT3G20590"
"254","AT3G21630"
"255","AT3G22460"
"256","AT3G22565"
"257","AT3G22570"
"258","AT3G22800"
"259","AT3G23150"
"260","AT3G24750"
"261","AT3G25600"
"262","AT3G26440"
"263","AT3G26500"
"264","AT3G27070"
"265","AT3G27950"
"266","AT3G28345"
"267","AT3G28580"
"268","AT3G29780"
"269","AT3G44710"
"270","AT3G45410"
"271","AT3G45530"
"272","AT3G45650"
"273","AT3G46270"
"274","AT3G46690"
"275","AT3G48020"
"276","AT3G48080"
"277","AT3G48740"
"278","AT3G49120"
"279","AT3G49845"
"280","AT3G49860"
"281","AT3G50140"
"282","AT3G50470"
"283","AT3G50480"
"284","AT3G50900"
"285","AT3G50930"
"286","AT3G50950"
"287","AT3G51600"
"288","AT3G51890"
"289","AT3G52400"
"290","AT3G52450"
"291","AT3G52480"
"292","AT3G52748"
"293","AT3G53200"
"294","AT3G55150"
"295","AT3G55470"
"296","AT3G56170"
"297","AT3G58810"
"298","AT3G61190"
"299","AT3G61198"
"300","AT3G61470"
"301","AT3G61560"
"302","AT3G62280"
"303","AT3G62680"
"304","AT4G00330"
"305","AT4G00680"
"306","AT4G00700"
"307","AT4G01250"
"308","AT4G01350"
"309","AT4G01630"
"310","AT4G01730"
"311","AT4G01770"
"312","AT4G01910"
"313","AT4G01950"
"314","AT4G02270"
"315","AT4G02330"
"316","AT4G03820"
"317","AT4G04700"
"318","AT4G04710"
"319","AT4G04745"
"320","AT4G04972"
"321","AT4G04980"
"322","AT4G05200"
"323","AT4G05590"
"324","AT4G08400"
"325","AT4G08930"
"326","AT4G11655"
"327","AT4G12090"
"328","AT4G12550"
"329","AT4G12735"
"330","AT4G13010"
"331","AT4G13300"
"332","AT4G13390"
"333","AT4G14550"
"334","AT4G14746"
"335","AT4G15370"
"336","AT4G15400"
"337","AT4G16260"
"338","AT4G17220"
"339","AT4G17490"
"340","AT4G17500"
"341","AT4G18430"
"342","AT4G18950"
"343","AT4G19370"
"344","AT4G19720"
"345","AT4G20110"
"346","AT4G20460"
"347","AT4G20780"
"348","AT4G20835"
"349","AT4G20860"
"350","AT4G21840"
"351","AT4G22666"
"352","AT4G22690"
"353","AT4G22710"
"354","AT4G23510"
"355","AT4G23515"
"356","AT4G24340"
"357","AT4G25070"
"358","AT4G25090"
"359","AT4G25110"
"360","AT4G25820"
"361","AT4G26220"
"362","AT4G26470"
"363","AT4G28030"
"364","AT4G30060"
"365","AT4G30140"
"366","AT4G30650"
"367","AT4G31320"
"368","AT4G31330"
"369","AT4G31470"
"370","AT4G32650"
"371","AT4G33050"
"372","AT4G33160"
"373","AT4G33610"
"374","AT4G33980"
"375","AT4G34419"
"376","AT4G35060"
"377","AT4G35600"
"378","AT4G36060"
"379","AT4G36500"
"380","AT4G36670"
"381","AT4G37070"
"382","AT4G37530"
"383","AT4G37790"
"384","AT4G39270"
"385","AT4G39670"
"386","AT4G40065"
"387","AT4G40085"
"388","AT5G01520"
"389","AT5G01900"
"390","AT5G02350"
"391","AT5G03570"
"392","AT5G04200"
"393","AT5G04340"
"394","AT5G04970"
"395","AT5G05320"
"396","AT5G05400"
"397","AT5G05410"
"398","AT5G05900"
"399","AT5G05960"
"400","AT5G06270"
"401","AT5G06280"
"402","AT5G06330"
"403","AT5G06640"
"404","AT5G06839"
"405","AT5G07100"
"406","AT5G07680"
"407","AT5G07770"
"408","AT5G09530"
"409","AT5G09720"
"410","AT5G11920"
"411","AT5G12880"
"412","AT5G13080"
"413","AT5G14070"
"414","AT5G14200"
"415","AT5G15150"
"416","AT5G15180"
"417","AT5G15190"
"418","AT5G15290"
"419","AT5G15890"
"420","AT5G16170"
"421","AT5G18470"
"422","AT5G19240"
"423","AT5G20045"
"424","AT5G20050"
"425","AT5G23020"
"426","AT5G23980"
"427","AT5G23990"
"428","AT5G24070"
"429","AT5G24230"
"430","AT5G24270"
"431","AT5G24410"
"432","AT5G25110"
"433","AT5G25440"
"434","AT5G26230"
"435","AT5G26340"
"436","AT5G26660"
"437","AT5G26690"
"438","AT5G27350"
"439","AT5G27420"
"440","AT5G28630"
"441","AT5G35735"
"442","AT5G35940"
"443","AT5G38100"
"444","AT5G39580"
"445","AT5G39670"
"446","AT5G40000"
"447","AT5G40510"
"448","AT5G40690"
"449","AT5G41040"
"450","AT5G41280"
"451","AT5G41300"
"452","AT5G41810"
"453","AT5G42785"
"454","AT5G42830"
"455","AT5G43450"
"456","AT5G43540"
"457","AT5G43910"
"458","AT5G44480"
"459","AT5G44910"
"460","AT5G45080"
"461","AT5G45340"
"462","AT5G46050"
"463","AT5G46230"
"464","AT5G47540"
"465","AT5G47740"
"466","AT5G48290"
"467","AT5G48430"
"468","AT5G48540"
"469","AT5G49760"
"470","AT5G50200"
"471","AT5G50560"
"472","AT5G50660"
"473","AT5G50760"
"474","AT5G51060"
"475","AT5G51580"
"476","AT5G52680"
"477","AT5G52690"
"478","AT5G52710"
"479","AT5G52750"
"480","AT5G53110"
"481","AT5G55110"
"482","AT5G56100"
"483","AT5G56795"
"484","AT5G57560"
"485","AT5G58010"
"486","AT5G58350"
"487","AT5G58660"
"488","AT5G58800"
"489","AT5G59080"
"490","AT5G59820"
"491","AT5G59930"
"492","AT5G60520"
"493","AT5G60760"
"494","AT5G61010"
"495","AT5G62150"
"496","AT5G62330"
"497","AT5G62480"
"498","AT5G63850"
"499","AT5G63990"
"500","AT5G64120"
"501","AT5G64890"
"502","AT5G65970"
"503","AT5G66230"
"504","AT5G66580"
"505","AT5G67340"
"506","AT5G67400"
"507","AT5G67430"
