"","X","phyD_FLT_c1.which.mclass....9...1."
"2018",2018,"AT4G15900"
"1230",1230,"AT2G46030"
"1928",1928,"AT4G03560"
"1486",1486,"AT3G16500"
"424",424,"AT1G34010"
"210",210,"AT1G14890"
"403",403,"AT1G31935"
"1224",1224,"AT2G45695"
"9",9,"AT1G01360"
"1929",1929,"AT4G04210"
"2377",2377,"AT5G01650"
"2312",2312,"AT4G36140"
"2567",2567,"AT5G16600"
"1313",1313,"AT3G05070"
"1271",1271,"AT3G02070"
"1676",1676,"AT3G48570"
"2982",2982,"AT5G59220"
"2028",2028,"AT4G16340"
"1696",1696,"AT3G50520"
"825",825,"AT2G01600"
"610",610,"AT1G64880"
"242",242,"AT1G17520"
"2535",2535,"AT5G13500"
"2918",2918,"AT5G54490"
"2737",2737,"AT5G37770"
"514",514,"AT1G53380"
"1099",1099,"AT2G35520"
"2314",2314,"AT4G36195"
"1394",1394,"AT3G10640"
"1718",1718,"AT3G52220"
"2979",2979,"AT5G58990"
"221",221,"AT1G15740"
"2951",2951,"AT5G57100"
"2926",2926,"AT5G55210"
"4",4,"AT1G01160"
"1133",1133,"AT2G38450"
"35",35,"AT1G03080"
"2879",2879,"AT5G51410"
"1613",1613,"AT3G27390"
"684",684,"AT1G71840"
"3034",3034,"AT5G63320"
"694",694,"AT1G72410"
"2659",2659,"AT5G23510"
"2722",2722,"AT5G35160"
"1922",1922,"AT4G03030"
"1757",1757,"AT3G54900"
"1447",1447,"AT3G13750"
"2153",2153,"AT4G27080"
"2451",2451,"AT5G07300"
"509",509,"AT1G52750"
"1777",1777,"AT3G56950"
"885",885,"AT2G16280"
"2769",2769,"AT5G41950"
"1599",1599,"AT3G26760"
"2531",2531,"AT5G13330"
"7",7,"AT1G01230"
"1352",1352,"AT3G07570"
"687",687,"AT1G71980"
"1666",1666,"AT3G47610"
"1487",1487,"AT3G16570"
"638",638,"AT1G67360"
"1700",1700,"AT3G51010"
"699",699,"AT1G72630"
"1297",1297,"AT3G03940"
"2638",2638,"AT5G22140"
"1875",1875,"AT3G63420"
"3031",3031,"AT5G63160"
"1761",1761,"AT3G55200"
"1987",1987,"AT4G13050"
"511",511,"AT1G53000"
"1874",1874,"AT3G63410"
"2696",2696,"AT5G26780"
"1181",1181,"AT2G42790"
"1433",1433,"AT3G13120"
"1615",1615,"AT3G27570"
"899",899,"AT2G17200"
"876",876,"AT2G14120"
"174",174,"AT1G12650"
"2046",2046,"AT4G17770"
"2181",2181,"AT4G28830"
"2487",2487,"AT5G10810"
"297",297,"AT1G22640"
"932",932,"AT2G19680"
"1196",1196,"AT2G44310"
"1159",1159,"AT2G40650"
"523",523,"AT1G54390"
"710",710,"AT1G73590"
"3093",3093,"AT5G66380"
"361",361,"AT1G28400"
"678",678,"AT1G71270"
"1818",1818,"AT3G59670"
"2336",2336,"AT4G37680"
"1076",1076,"AT2G33210"
"2413",2413,"AT5G04860"
"1540",1540,"AT3G21070"
"555",555,"AT1G58110"
"2254",2254,"AT4G32940"
"475",475,"AT1G48860"
"2077",2077,"AT4G21215"
"1294",1294,"AT3G03600"
"1284",1284,"AT3G02900"
"804",804,"AT1G80530"
"2191",2191,"AT4G29490"
"2807",2807,"AT5G46070"
"755",755,"AT1G76900"
"492",492,"AT1G50420"
"2058",2058,"AT4G18880"
"2368",2368,"AT4G40050"
"1648",1648,"AT3G44600"
"3097",3097,"AT5G66880"
"1650",1650,"AT3G45100"
"87",87,"AT1G06470"
"1282",1282,"AT3G02760"
"2786",2786,"AT5G43310"
"277",277,"AT1G20980"
"1211",1211,"AT2G45240"
"858",858,"AT2G05630"
"1398",1398,"AT3G11260"
"2157",2157,"AT4G27380"
"1555",1555,"AT3G22520"
"2915",2915,"AT5G54280"
"744",744,"AT1G76340"
"1796",1796,"AT3G58110"
"2507",2507,"AT5G11975"
"165",165,"AT1G12050"
"2687",2687,"AT5G26110"
"2991",2991,"AT5G60300"
"3041",3041,"AT5G63680"
"2484",2484,"AT5G10520"
"3029",3029,"AT5G62920"
"1925",1925,"AT4G03260"
"1545",1545,"AT3G21510"
"2456",2456,"AT5G08260"
"1102",1102,"AT2G35900"
"1250",1250,"AT2G47580"
"668",668,"AT1G70190"
"1602",1602,"AT3G26980"
"1493",1493,"AT3G16950"
"1690",1690,"AT3G49430"
"86",86,"AT1G06410"
"2345",2345,"AT4G38460"
"1750",1750,"AT3G54380"
