"","phyD_FLT_c1.which.mclass....1...1."
"1","AT1G01240"
"2","AT1G01260"
"3","AT1G01290"
"4","AT1G01350"
"5","AT1G01370"
"6","AT1G01448"
"7","AT1G01540"
"8","AT1G01770"
"9","AT1G01780"
"10","AT1G02000"
"11","AT1G02110"
"12","AT1G02145"
"13","AT1G02150"
"14","AT1G02260"
"15","AT1G02280"
"16","AT1G02335"
"17","AT1G02450"
"18","AT1G02610"
"19","AT1G02690"
"20","AT1G02720"
"21","AT1G02740"
"22","AT1G02750"
"23","AT1G02890"
"24","AT1G02960"
"25","AT1G02990"
"26","AT1G03030"
"27","AT1G03250"
"28","AT1G03260"
"29","AT1G03350"
"30","AT1G03365"
"31","AT1G03370"
"32","AT1G03380"
"33","AT1G03430"
"34","AT1G03475"
"35","AT1G03530"
"36","AT1G03680"
"37","AT1G03687"
"38","AT1G03780"
"39","AT1G03840"
"40","AT1G03970"
"41","AT1G04000"
"42","AT1G04020"
"43","AT1G04070"
"44","AT1G04200"
"45","AT1G04210"
"46","AT1G04230"
"47","AT1G04290"
"48","AT1G04400"
"49","AT1G04530"
"50","AT1G04550"
"51","AT1G04610"
"52","AT1G04790"
"53","AT1G04830"
"54","AT1G04860"
"55","AT1G04900"
"56","AT1G04910"
"57","AT1G04945"
"58","AT1G04970"
"59","AT1G04990"
"60","AT1G05055"
"61","AT1G05120"
"62","AT1G05150"
"63","AT1G05160"
"64","AT1G05190"
"65","AT1G05210"
"66","AT1G05213"
"67","AT1G05220"
"68","AT1G05410"
"69","AT1G05430"
"70","AT1G05470"
"71","AT1G05520"
"72","AT1G05560"
"73","AT1G05562"
"74","AT1G05590"
"75","AT1G05710"
"76","AT1G05730"
"77","AT1G05780"
"78","AT1G05805"
"79","AT1G05830"
"80","AT1G05860"
"81","AT1G05910"
"82","AT1G05970"
"83","AT1G06002"
"84","AT1G06010"
"85","AT1G06040"
"86","AT1G06060"
"87","AT1G06070"
"88","AT1G06150"
"89","AT1G06180"
"90","AT1G06190"
"91","AT1G06227"
"92","AT1G06450"
"93","AT1G06460"
"94","AT1G06510"
"95","AT1G06560"
"96","AT1G06630"
"97","AT1G06770"
"98","AT1G06780"
"99","AT1G06790"
"100","AT1G06840"
"101","AT1G06850"
"102","AT1G06930"
"103","AT1G06950"
"104","AT1G07000"
"105","AT1G07110"
"106","AT1G07128"
"107","AT1G07200"
"108","AT1G07220"
"109","AT1G07230"
"110","AT1G07240"
"111","AT1G07250"
"112","AT1G07260"
"113","AT1G07320"
"114","AT1G07323"
"115","AT1G07510"
"116","AT1G07520"
"117","AT1G07530"
"118","AT1G07570"
"119","AT1G07615"
"120","AT1G07705"
"121","AT1G07725"
"122","AT1G07728"
"123","AT1G07780"
"124","AT1G07810"
"125","AT1G07870"
"126","AT1G07950"
"127","AT1G07970"
"128","AT1G07980"
"129","AT1G07983"
"130","AT1G07990"
"131","AT1G08000"
"132","AT1G08010"
"133","AT1G08030"
