"","phyD_FLT_c1.which.mclass....7...1."
"289","AT1G30850"
"290","AT1G30860"
"291","AT1G31173"
"292","AT1G31200"
"293","AT1G31258"
"294","AT1G31485"
"295","AT1G31750"
"296","AT1G31772"
"297","AT1G31820"
"298","AT1G31840"
"299","AT1G31920"
"300","AT1G31990"
"301","AT1G32172"
"302","AT1G32350"
"303","AT1G32385"
"304","AT1G32470"
"305","AT1G32950"
"306","AT1G33260"
"307","AT1G33430"
"308","AT1G33615"
"309","AT1G34047"
"310","AT1G34050"
"311","AT1G34060"
"312","AT1G34315"
"313","AT1G34420"
"314","AT1G34480"
"315","AT1G34510"
"316","AT1G34640"
"317","AT1G35545"
"318","AT1G35830"
"319","AT1G36622"
"320","AT1G36992"
"321","AT1G43000"
"322","AT1G43040"
"323","AT1G43140"
"324","AT1G43800"
"325","AT1G44010"
"326","AT1G44318"
"327","AT1G44414"
"328","AT1G44740"
"329","AT1G46480"
"330","AT1G47280"
"331","AT1G47655"
"332","AT1G47890"
"333","AT1G47990"
"334","AT1G48020"
"335","AT1G48267"
"336","AT1G48500"
"337","AT1G48700"
"338","AT1G48720"
"339","AT1G49010"
"340","AT1G49530"
"341","AT1G49700"
"342","AT1G49790"
"343","AT1G49940"
"344","AT1G49952"
"345","AT1G50180"
"346","AT1G50250"
"347","AT1G50280"
"348","AT1G50310"
"349","AT1G50390"
"350","AT1G50400"
"351","AT1G51020"
"352","AT1G51030"
"353","AT1G51035"
"354","AT1G51055"
"355","AT1G51090"
"356","AT1G51260"
"357","AT1G51340"
"358","AT1G51460"
"359","AT1G51480"
"360","AT1G51880"
"361","AT1G52110"
"362","AT1G52410"
"363","AT1G52415"
"364","AT1G52510"
"365","AT1G52570"
"366","AT1G52700"
"367","AT1G52820"
"368","AT1G52857"
"369","AT1G52870"
"370","AT1G52880"
"371","AT1G52920"
"372","AT1G53090"
"373","AT1G53100"
"374","AT1G53270"
"375","AT1G53420"
"376","AT1G53801"
"377","AT1G54095"
"378","AT1G54280"
"379","AT1G54355"
"380","AT1G54780"
"381","AT1G54820"
"382","AT1G54940"
"383","AT1G55290"
"384","AT1G55440"
"385","AT1G55550"
"386","AT1G55640"
"387","AT1G55755"
"388","AT1G55775"
"389","AT1G55803"
"390","AT1G55865"
"391","AT1G55945"
"392","AT1G56120"
"393","AT1G56150"
"394","AT1G56165"
"395","AT1G56242"
"396","AT1G56250"
"397","AT1G56270"
"398","AT1G56540"
"399","AT1G56710"
"400","AT1G57560"
"401","AT1G57570"
"402","AT1G57590"
"403","AT1G58420"
"404","AT1G58602"
"405","AT1G58808"
"406","AT1G58848"
"407","AT1G59359"
"408","AT1G59530"
"409","AT1G59620"
"410","AT1G59725"
"411","AT1G59850"
"412","AT1G60190"
"413","AT1G60360"
"414","AT1G60600"
"415","AT1G60630"
"416","AT1G61230"
"417","AT1G61255"
"418","AT1G61275"
"419","AT1G61410"
"420","AT1G61470"
"421","AT1G61550"
"422","AT1G61600"
"423","AT1G61680"
"424","AT1G61930"
"425","AT1G62262"
"426","AT1G62290"
"427","AT1G62320"
"428","AT1G62400"
"429","AT1G62530"
"430","AT1G62580"
"431","AT1G62690"
"432","AT1G62710"
"433","AT1G62720"
"434","AT1G62900"
"435","AT1G62915"
"436","AT1G62935"
"437","AT1G63140"
"438","AT1G63330"
"439","AT1G63370"
"440","AT1G63390"
"441","AT1G63530"
"442","AT1G63580"
"443","AT1G63630"
"444","AT1G63910"
"445","AT1G63930"
"446","AT1G64010"
"447","AT1G64065"
"448","AT1G64210"
"449","AT1G64300"
"450","AT1G64320"
"451","AT1G64380"
"452","AT1G64540"
