"","col_c1.which.mclass....5...1."
"1","AT1G01230"
"2","AT1G01300"
"3","AT1G01470"
"4","AT1G01490"
"5","AT1G01510"
"6","AT1G01730"
"7","AT1G01820"
"8","AT1G02160"
"9","AT1G02305"
"10","AT1G02816"
"11","AT1G02850"
"12","AT1G02900"
"13","AT1G02920"
"14","AT1G03330"
"15","AT1G03410"
"16","AT1G03610"
"17","AT1G03850"
"18","AT1G04080"
"19","AT1G04140"
"20","AT1G04170"
"21","AT1G04183"
"22","AT1G04190"
"23","AT1G04250"
"24","AT1G04340"
"25","AT1G04430"
"26","AT1G04503"
"27","AT1G04510"
"28","AT1G04630"
"29","AT1G04680"
"30","AT1G05205"
"31","AT1G05250"
"32","AT1G05570"
"33","AT1G05575"
"34","AT1G05720"
"35","AT1G06040"
"36","AT1G06110"
"37","AT1G06200"
"38","AT1G06400"
"39","AT1G06570"
"40","AT1G06640"
"41","AT1G06700"
"42","AT1G06890"
"43","AT1G07020"
"44","AT1G07070"
"45","AT1G07080"
"46","AT1G07135"
"47","AT1G07170"
"48","AT1G07210"
"49","AT1G07360"
"50","AT1G07470"
"51","AT1G07750"
"52","AT1G07790"
"53","AT1G07830"
"54","AT1G07887"
"55","AT1G07960"
"56","AT1G07985"
"57","AT1G08110"
"58","AT1G08160"
"59","AT1G08510"
"60","AT1G08580"
"61","AT1G08650"
"62","AT1G08930"
"63","AT1G09070"
"64","AT1G09140"
"65","AT1G09150"
"66","AT1G09250"
"67","AT1G09270"
"68","AT1G09330"
"69","AT1G09430"
"70","AT1G09570"
"71","AT1G09620"
"72","AT1G09630"
"73","AT1G09660"
"74","AT1G09760"
"75","AT1G09970"
"76","AT1G10030"
"77","AT1G10120"
"78","AT1G10140"
"79","AT1G10200"
"80","AT1G10530"
"81","AT1G11260"
"82","AT1G11310"
"83","AT1G11360"
"84","AT1G11480"
"85","AT1G11545"
"86","AT1G11750"
"87","AT1G11860"
"88","AT1G11910"
"89","AT1G12010"
"90","AT1G12110"
"91","AT1G12390"
"92","AT1G12440"
"93","AT1G13060"
"94","AT1G13280"
"95","AT1G13360"
"96","AT1G13380"
"97","AT1G13560"
"98","AT1G13930"
"99","AT1G13950"
"100","AT1G14010"
"101","AT1G14210"
"102","AT1G14290"
"103","AT1G14510"
"104","AT1G14570"
"105","AT1G14610"
"106","AT1G14620"
"107","AT1G14685"
"108","AT1G14830"
"109","AT1G14860"
"110","AT1G14890"
"111","AT1G14900"
"112","AT1G15100"
"113","AT1G15210"
"114","AT1G15250"
"115","AT1G15340"
"116","AT1G15350"
"117","AT1G15370"
"118","AT1G15420"
"119","AT1G15670"
"120","AT1G15750"
"121","AT1G16000"
"122","AT1G16170"
"123","AT1G16240"
"124","AT1G16350"
"125","AT1G16460"
"126","AT1G16470"
"127","AT1G16560"
"128","AT1G16740"
"129","AT1G16840"
"130","AT1G16880"
"131","AT1G17180"
"132","AT1G17190"
"133","AT1G17290"
"134","AT1G17370"
"135","AT1G17470"
"136","AT1G17890"
"137","AT1G18070"
"138","AT1G18450"
"139","AT1G18640"
"140","AT1G18720"
"141","AT1G18740"
"142","AT1G18800"
"143","AT1G18880"
"144","AT1G19120"
"145","AT1G19130"
"146","AT1G19310"
"147","AT1G19350"
"148","AT1G19360"
"149","AT1G19400"
"150","AT1G19770"
"151","AT1G19870"
"152","AT1G19920"
"153","AT1G20100"
"154","AT1G20160"
"155","AT1G20190"
"156","AT1G20200"
"157","AT1G20220"
"158","AT1G20225"
"159","AT1G20260"
"160","AT1G20430"
"161","AT1G20450"
"162","AT1G20840"
"163","AT1G20950"
"164","AT1G20960"
"165","AT1G21000"
"166","AT1G21090"
"167","AT1G21190"
"168","AT1G21680"
"169","AT1G21780"
"170","AT1G21900"
"171","AT1G21930"
"172","AT1G22360"
"173","AT1G22440"
"174","AT1G22520"
"175","AT1G22530"
"176","AT1G23190"
"177","AT1G23280"
"178","AT1G23400"
