"Enrichment FDR","Genes in list","Total genes","Functional Category","Genes"
8.73506556807122e-28,107,379,"RNA modification ","AT1G03510 AT1G03540 AT1G08070 AT1G09220 AT1G09410 AT1G10330 AT1G11290 AT1G14470 AT1G15510 AT1G17630 AT1G18485 AT1G19720 AT1G20230 AT1G28690 AT1G31430 AT1G31790 AT1G32415 AT1G50270 AT1G53600 AT1G56690 AT1G59720 AT1G62260 AT1G68460 AT1G68930 AT1G69350 AT1G71420 AT1G71490 AT1G74400 AT2G02980 AT2G03380 AT2G03880 AT2G04860 AT2G22070 AT2G27610 AT2G33760 AT2G34400 AT2G36980 AT2G37320 AT2G39620 AT2G40720 AT2G44880 AT3G01580 AT3G02010 AT3G02330 AT3G03580 AT3G05240 AT3G05340 AT3G08820 AT3G09040 AT3G11460 AT3G13770 AT3G13880 AT3G14730 AT3G15130 AT3G15930 AT3G16610 AT3G21470 AT3G22150 AT3G22690 AT3G47840 AT3G49142 AT3G49740 AT3G50420 AT3G53360 AT3G56550 AT3G57430 AT3G58590 AT3G61170 AT3G62890 AT3G63370 AT4G04370 AT4G13650 AT4G14170 AT4G14820 AT4G15720 AT4G16835 AT4G18750 AT4G18840 AT4G19191 AT4G25270 AT4G32430 AT4G35130 AT4G38010 AT4G39530 AT4G39952 AT5G04780 AT5G06540 AT5G08305 AT5G08490 AT5G09950 AT5G13230 AT5G15340 AT5G27110 AT5G37570 AT5G39680 AT5G40405 AT5G40410 AT5G47460 AT5G52630 AT5G59200 AT5G59600 AT5G61800 AT3G61113 AT4G20920 AT1G12700 AT1G74350 AT4G11690"
4.32904570138888e-08,57,275,"Photosynthesis ","AT1G03600 AT1G14150 AT1G29910 AT1G29920 AT1G50250 AT1G76570 AT2G30570 AT2G40100 AT3G11050 AT3G27690 AT3G54890 AT1G55480 AT3G22690 AT1G06680 AT1G30850 AT1G32060 AT1G55670 AT2G01590 AT2G28605 AT3G22840 AT3G50820 AT3G56650 AT3G56940 AT4G03280 AT4G12800 AT4G14690 AT4G17600 AT4G19100 AT4G27440 AT4G28660 AT4G28750 AT5G02120 AT5G13630 AT5G38410 AT5G44660 AT5G45930 AT5G66190 ATCG00070 ATCG00270 ATCG00300 ATCG00420 ATCG00430 ATCG00510 ATCG00580 ATCG00730 ATCG00890 ATCG01070 ATCG01110 ATCG01250 AT4G04850 AT1G54780 AT1G60600 AT1G68890 AT1G75690 AT4G01050 AT5G24120 ATCG01080"
3.40196055362579e-07,36,142,"Photosynthesis, light reaction ","AT1G03600 AT1G14150 AT1G29910 AT1G29920 AT1G50250 AT1G76570 AT2G30570 AT2G40100 AT3G27690 AT3G54890 AT1G55480 AT3G22690 AT1G30850 AT2G01590 AT3G50820 AT5G44660 ATCG00270 ATCG00300 ATCG00420 ATCG00430 ATCG00580 ATCG00730 ATCG00890 ATCG01070 ATCG01110 ATCG01250 AT1G54780 AT1G55670 AT1G60600 AT1G68890 AT1G75690 AT4G01050 AT5G24120 AT5G66190 AT1G06680 AT4G03280"
0.0405136576341885,14,55,"Response to far red light ","AT3G27690 AT1G29910 AT1G29920 AT1G76570 AT2G40100 AT2G44910 AT3G22840 AT3G54890 AT4G14690 AT4G32280 AT5G24120 AT5G38410 AT5G52250 AT5G15840"
