"","col_c1.which.mclass....9...1."
"290","AT1G19190"
"291","AT1G19230"
"292","AT1G19340"
"293","AT1G19397"
"294","AT1G19540"
"295","AT1G19840"
"296","AT1G20030"
"297","AT1G20060"
"298","AT1G20065"
"299","AT1G20470"
"300","AT1G20530"
"301","AT1G20720"
"302","AT1G20810"
"303","AT1G21060"
"304","AT1G21110"
"305","AT1G21120"
"306","AT1G21130"
"307","AT1G21150"
"308","AT1G21250"
"309","AT1G21340"
"310","AT1G21390"
"311","AT1G21460"
"312","AT1G21590"
"313","AT1G21651"
"314","AT1G22030"
"315","AT1G22220"
"316","AT1G22275"
"317","AT1G22370"
"318","AT1G22460"
"319","AT1G22550"
"320","AT1G22830"
"321","AT1G22980"
"322","AT1G22985"
"323","AT1G23010"
"324","AT1G23140"
"325","AT1G23180"
"326","AT1G23360"
"327","AT1G23790"
"328","AT1G23840"
"329","AT1G23970"
"330","AT1G24150"
"331","AT1G24330"
"332","AT1G24530"
"333","AT1G24620"
"334","AT1G25145"
"335","AT1G25250"
"336","AT1G25360"
"337","AT1G25390"
"338","AT1G26130"
"339","AT1G26190"
"340","AT1G26210"
"341","AT1G26530"
"342","AT1G26810"
"343","AT1G26970"
"344","AT1G27020"
"345","AT1G27060"
"346","AT1G27110"
"347","AT1G27120"
"348","AT1G27170"
"349","AT1G27180"
"350","AT1G27360"
"351","AT1G27410"
"352","AT1G27620"
"353","AT1G27640"
"354","AT1G27720"
"355","AT1G27880"
"356","AT1G27910"
"357","AT1G27950"
"358","AT1G28210"
"359","AT1G28470"
"360","AT1G28530"
"361","AT1G28550"
"362","AT1G28560"
"363","AT1G28670"
"364","AT1G28710"
"365","AT1G29200"
"366","AT1G29270"
"367","AT1G29700"
"368","AT1G29730"
"369","AT1G29740"
"370","AT1G29750"
"371","AT1G29930"
"372","AT1G30010"
"373","AT1G30040"
"374","AT1G30280"
"375","AT1G30290"
"376","AT1G30380"
"377","AT1G30473"
"378","AT1G30500"
"379","AT1G30520"
"380","AT1G30610"
"381","AT1G30757"
"382","AT1G31040"
"383","AT1G31190"
"384","AT1G31280"
"385","AT1G31350"
"386","AT1G31490"
"387","AT1G31580"
"388","AT1G31670"
"389","AT1G31720"
"390","AT1G31835"
"391","AT1G31880"
"392","AT1G32220"
"393","AT1G32270"
"394","AT1G32550"
"395","AT1G32740"
"396","AT1G32870"
"397","AT1G32900"
"398","AT1G33340"
"399","AT1G33350"
"400","AT1G33390"
"401","AT1G33475"
"402","AT1G33560"
"403","AT1G33840"
"404","AT1G34040"
"405","AT1G34120"
"406","AT1G34160"
"407","AT1G34180"
"408","AT1G34260"
"409","AT1G34340"
"410","AT1G34380"
"411","AT1G34570"
"412","AT1G34670"
"413","AT1G34844"
"414","AT1G35210"
"415","AT1G35350"
"416","AT1G35460"
"417","AT1G35530"
"418","AT1G35660"
"419","AT1G35710"
"420","AT1G35910"
"421","AT1G36640"
"422","AT1G36940"
"423","AT1G37150"
"424","AT1G38065"
"425","AT1G42540"
"426","AT1G43020"
"427","AT1G43770"
"428","AT1G43980"
"429","AT1G44020"
"430","AT1G44120"
"431","AT1G44350"
"432","AT1G44446"
"433","AT1G44830"
"434","AT1G45110"
"435","AT1G45150"
"436","AT1G45163"
"437","AT1G45165"
"438","AT1G45180"
"439","AT1G45231"
"440","AT1G45248"
"441","AT1G47271"
"442","AT1G47580"
"443","AT1G47600"
"444","AT1G47603"
"445","AT1G47620"
"446","AT1G47760"
"447","AT1G47870"
"448","AT1G48000"
"449","AT1G48120"
"450","AT1G48280"
"451","AT1G48390"
"452","AT1G48540"
"453","AT1G48580"
"454","AT1G48640"
"455","AT1G48690"
"456","AT1G48745"
"457","AT1G48840"
"458","AT1G48880"
"459","AT1G49005"
"460","AT1G49110"
"461","AT1G49160"
"462","AT1G49180"
"463","AT1G49200"
"464","AT1G49230"
"465","AT1G49380"
"466","AT1G49520"
"467","AT1G49560"
"468","AT1G49650"
"469","AT1G49730"
"470","AT1G49832"
"471","AT1G49960"
"472","AT1G49980"
"473","AT1G50000"
"474","AT1G50260"
"475","AT1G50450"
"476","AT1G50700"
"477","AT1G50750"
"478","AT1G50790"
"479","AT1G50890"
"480","AT1G50970"
"481","AT1G51080"
"482","AT1G51220"
"483","AT1G51270"
"484","AT1G51355"
"485","AT1G51370"
"486","AT1G51402"
"487","AT1G51405"
"488","AT1G51470"
"489","AT1G51520"
"490","AT1G51700"
"491","AT1G51840"
"492","AT1G52240"
"493","AT1G52315"
"494","AT1G52343"
"495","AT1G52450"
"496","AT1G52530"
"497","AT1G52550"
"498","AT1G52590"
"499","AT1G52618"
"500","AT1G52700"
"501","AT1G53110"
"502","AT1G53330"
"503","AT1G53340"
"504","AT1G53345"
"505","AT1G53350"
"506","AT1G53430"
"507","AT1G53542"
"508","AT1G53660"
"509","AT1G53700"
"510","AT1G53887"
"511","AT1G53940"
"512","AT1G53950"
"513","AT1G53970"
"514","AT1G53980"
"515","AT1G54050"
"516","AT1G54330"
"517","AT1G54350"
"518","AT1G54400"
"519","AT1G54530"
"520","AT1G54790"
"521","AT1G54840"
"522","AT1G54950"
"523","AT1G54970"
"524","AT1G55020"
"525","AT1G55040"
"526","AT1G55180"
"527","AT1G55280"
"528","AT1G55320"
"529","AT1G55365"
"530","AT1G55370"
"531","AT1G55390"
"532","AT1G55420"
"533","AT1G55475"
"534","AT1G55610"
"535","AT1G55700"
"536","AT1G55910"
"537","AT1G55915"
"538","AT1G55930"
"539","AT1G56130"
"540","AT1G56240"
"541","AT1G56345"
"542","AT1G56350"
"543","AT1G56500"
"544","AT1G56670"
"545","AT1G57590"
"546","AT1G57700"
"547","AT1G57790"
"548","AT1G58007"
"549","AT1G58037"
"550","AT1G58160"
"551","AT1G58170"
"552","AT1G58223"
"553","AT1G58520"
"554","AT1G58590"
"555","AT1G59171"
"556","AT1G59510"
"557","AT1G59560"
"558","AT1G59660"
"559","AT1G59730"
"560","AT1G59840"
"561","AT1G59940"
"562","AT1G60000"
"563","AT1G60095"
"564","AT1G60110"
"565","AT1G60130"
"566","AT1G60160"
"567","AT1G60505"
"568","AT1G60560"
"569","AT1G60690"
"570","AT1G60700"
"571","AT1G60790"
"572","AT1G60870"
"573","AT1G60890"
"574","AT1G60930"
"575","AT1G61050"
"576","AT1G61190"
"577","AT1G61215"
"578","AT1G61310"
"579","AT1G61380"
"580","AT1G61400"
"581","AT1G61420"
"582","AT1G61430"
"583","AT1G61500"
"584","AT1G61520"
"585","AT1G61560"
"586","AT1G61667"
"587","AT1G61760"
"588","AT1G61860"
"589","AT1G61960"
"590","AT1G61970"
"591","AT1G62010"
"592","AT1G62050"
"593","AT1G62130"
"594","AT1G62170"
"595","AT1G62200"
"596","AT1G62250"
"597","AT1G62350"
"598","AT1G62500"
"599","AT1G62590"
"600","AT1G62670"
"601","AT1G62680"
"602","AT1G62700"
"603","AT1G62840"
"604","AT1G62914"
"605","AT1G62930"
"606","AT1G62950"
"607","AT1G62981"
"608","AT1G63130"
"609","AT1G63150"
"610","AT1G63230"
"611","AT1G63240"
"612","AT1G63250"
"613","AT1G63450"
"614","AT1G63520"
"615","AT1G63650"
"616","AT1G63670"
"617","AT1G63680"
"618","AT1G63730"
"619","AT1G63740"
"620","AT1G63750"
"621","AT1G64400"
"622","AT1G64430"
"623","AT1G64455"
"624","AT1G64570"
"625","AT1G64572"
"626","AT1G64590"
"627","AT1G64610"
"628","AT1G64810"
"629","AT1G64860"
"630","AT1G65070"
"631","AT1G65080"
"632","AT1G65180"
"633","AT1G65190"
"634","AT1G65481"
"635","AT1G65570"
"636","AT1G65620"
"637","AT1G65850"
"638","AT1G65900"
"639","AT1G65910"
"640","AT1G65920"
"641","AT1G66020"
"642","AT1G66080"
"643","AT1G66160"
"644","AT1G66230"
"645","AT1G66345"
"646","AT1G66350"
"647","AT1G66450"
"648","AT1G66480"
"649","AT1G66520"
"650","AT1G66600"
"651","AT1G66690"
"652","AT1G66730"
"653","AT1G66800"
"654","AT1G66810"
"655","AT1G67035"
"656","AT1G67050"
"657","AT1G67090"
"658","AT1G67110"
"659","AT1G67150"
"660","AT1G67180"
"661","AT1G67210"
"662","AT1G67400"
"663","AT1G67440"
"664","AT1G67470"
"665","AT1G67710"
"666","AT1G67790"
"667","AT1G67830"
"668","AT1G67910"
"669","AT1G67970"
"670","AT1G67980"
"671","AT1G68030"
"672","AT1G68120"
"673","AT1G68340"
"674","AT1G68500"
"675","AT1G68590"
"676","AT1G68620"
"677","AT1G68640"
"678","AT1G68740"
"679","AT1G68795"
"680","AT1G68830"
"681","AT1G68862"
"682","AT1G68940"
"683","AT1G68980"
"684","AT1G69020"
"685","AT1G69200"
"686","AT1G69240"
"687","AT1G69280"
"688","AT1G69290"
"689","AT1G69485"
"690","AT1G69523"
"691","AT1G69550"
"692","AT1G69588"
"693","AT1G69670"
"694","AT1G69690"
"695","AT1G69790"
"696","AT1G69920"
"697","AT1G69935"
"698","AT1G69970"
