1,AT1G03230
2,AT1G09740
3,AT1G11670
4,AT1G13260
5,AT1G15040
6,AT1G15400
7,AT1G17080
8,AT1G19180
9,AT1G19960
10,AT1G21770
11,AT1G22190
12,AT1G22880
13,AT1G23440
14,AT1G27290
15,AT1G27730
16,AT1G30760
17,AT1G32920
18,AT1G47128
19,AT1G49310
20,AT1G49570
21,AT1G50050
22,AT1G50060
23,AT1G52200
24,AT1G61890
25,AT1G67328
26,AT1G67330
27,AT1G73260
28,AT1G73540
29,AT1G74458
30,AT1G75800
31,AT1G76410
32,AT1G76600
33,AT1G76930
34,AT1G77450
35,AT1G78000
36,AT1G78860
37,AT1G80180
38,AT1G80240
39,AT1G80380
40,AT1G80920
41,AT2G05510
42,AT2G18280
43,AT2G18980
44,AT2G21045
45,AT2G22860
46,AT2G23810
47,AT2G25450
48,AT2G25810
49,AT2G32150
50,AT2G36120
51,AT2G39570
52,AT2G40000
53,AT2G41660
54,AT2G43820
55,AT2G43910
56,AT2G45170
57,AT3G01290
58,AT3G03990
59,AT3G04320
60,AT3G13435
61,AT3G14280
62,AT3G15630
63,AT3G15810
64,AT3G19030
65,AT3G20510
66,AT3G22200
67,AT3G22240
68,AT3G23175
69,AT3G23190
70,AT3G30390
71,AT3G46130
72,AT3G46280
73,AT3G46900
74,AT3G47510
75,AT3G48360
76,AT3G48990
77,AT3G49780
78,AT3G49940
79,AT3G50970
80,AT3G51730
81,AT3G52800
82,AT3G54040
83,AT3G54580
84,AT3G54590
85,AT3G56400
86,AT3G56880
87,AT3G59930
88,AT3G62040
89,AT4G01750
90,AT4G02370
91,AT4G07820
92,AT4G08555
93,AT4G11600
94,AT4G14716
95,AT4G15160
96,AT4G15610
97,AT4G15990
98,AT4G16500
99,AT4G16520
100,AT4G17490
101,AT4G18510
102,AT4G20830
103,AT4G21980
104,AT4G27280
105,AT4G30440
106,AT4G30660
107,AT4G30670
108,AT4G37520
109,AT4G38470
110,AT4G39838
111,AT4G39840
112,AT5G01750
113,AT5G02020
114,AT5G02090
115,AT5G02260
116,AT5G03380
117,AT5G03460
118,AT5G04470
119,AT5G06320
120,AT5G07470
121,AT5G14120
122,AT5G18310
123,AT5G19230
124,AT5G19860
125,AT5G20650
126,AT5G23220
127,AT5G24165
128,AT5G24530
129,AT5G26260
130,AT5G42890
131,AT5G57655
132,AT5G60660
133,AT5G60950
134,AT5G61590
135,AT5G61600
136,AT5G64100
137,AT5G64260
138,AT5G66052
