"","WS_FLT_c1.which.mclass....3...1."
"289","AT1G12140"
"290","AT1G12244"
"291","AT1G12260"
"292","AT1G12390"
"293","AT1G12400"
"294","AT1G12420"
"295","AT1G12450"
"296","AT1G12460"
"297","AT1G12470"
"298","AT1G12560"
"299","AT1G12600"
"300","AT1G12680"
"301","AT1G12710"
"302","AT1G12730"
"303","AT1G12750"
"304","AT1G12770"
"305","AT1G12790"
"306","AT1G12880"
"307","AT1G12930"
"308","AT1G12970"
"309","AT1G13020"
"310","AT1G13030"
"311","AT1G13080"
"312","AT1G13110"
"313","AT1G13170"
"314","AT1G13190"
"315","AT1G13210"
"316","AT1G13350"
"317","AT1G13410"
"318","AT1G13430"
"319","AT1G13460"
"320","AT1G13540"
"321","AT1G13600"
"322","AT1G13609"
"323","AT1G13635"
"324","AT1G13670"
"325","AT1G13700"
"326","AT1G13740"
"327","AT1G13770"
"328","AT1G13810"
"329","AT1G13830"
"330","AT1G13860"
"331","AT1G13870"
"332","AT1G13900"
"333","AT1G13910"
"334","AT1G13920"
"335","AT1G13940"
"336","AT1G13960"
"337","AT1G13970"
"338","AT1G14020"
"339","AT1G14040"
"340","AT1G14130"
"341","AT1G14160"
"342","AT1G14170"
"343","AT1G14180"
"344","AT1G14240"
"345","AT1G14310"
"346","AT1G14340"
"347","AT1G14370"
"348","AT1G14390"
"349","AT1G14460"
"350","AT1G14530"
"351","AT1G14540"
"352","AT1G14560"
"353","AT1G14580"
"354","AT1G14590"
"355","AT1G14687"
"356","AT1G14720"
"357","AT1G14770"
"358","AT1G14820"
"359","AT1G14840"
"360","AT1G14850"
"361","AT1G14910"
"362","AT1G14920"
"363","AT1G14970"
"364","AT1G15000"
"365","AT1G15002"
"366","AT1G15010"
"367","AT1G15060"
"368","AT1G15080"
"369","AT1G15180"
"370","AT1G15215"
"371","AT1G15220"
"372","AT1G15290"
"373","AT1G15310"
"374","AT1G15410"
"375","AT1G15430"
"376","AT1G15480"
"377","AT1G15490"
"378","AT1G15550"
"379","AT1G15700"
"380","AT1G15710"
"381","AT1G15760"
"382","AT1G15780"
"383","AT1G15870"
"384","AT1G16022"
"385","AT1G16060"
"386","AT1G16070"
"387","AT1G16080"
"388","AT1G16160"
"389","AT1G16220"
"390","AT1G16250"
"391","AT1G16310"
"392","AT1G16320"
"393","AT1G16330"
"394","AT1G16430"
"395","AT1G16489"
"396","AT1G16540"
"397","AT1G16570"
"398","AT1G16590"
"399","AT1G16630"
"400","AT1G16650"
"401","AT1G16670"
"402","AT1G16680"
"403","AT1G16690"
"404","AT1G16790"
"405","AT1G16820"
"406","AT1G16825"
"407","AT1G16905"
"408","AT1G16930"
"409","AT1G17040"
"410","AT1G17070"
"411","AT1G17090"
"412","AT1G17140"
"413","AT1G17145"
"414","AT1G17147"
"415","AT1G17160"
"416","AT1G17270"
"417","AT1G17330"
"418","AT1G17340"
"419","AT1G17360"
"420","AT1G17400"
"421","AT1G17440"
"422","AT1G17450"
"423","AT1G17500"
"424","AT1G17550"
"425","AT1G17560"
"426","AT1G17580"
"427","AT1G17590"
"428","AT1G17640"
"429","AT1G17665"
"430","AT1G17680"
"431","AT1G17760"
"432","AT1G17780"
"433","AT1G17790"
"434","AT1G17850"
"435","AT1G17930"
"436","AT1G17940"
"437","AT1G17980"
"438","AT1G18010"
"439","AT1G18030"
"440","AT1G18060"
"441","AT1G18090"
"442","AT1G18100"
"443","AT1G18180"
"444","AT1G18190"
"445","AT1G18193"
"446","AT1G18265"
"447","AT1G18300"
"448","AT1G18330"
"449","AT1G18335"
"450","AT1G18360"
"451","AT1G18370"
"452","AT1G18390"
"453","AT1G18415"
"454","AT1G18440"
"455","AT1G18460"
"456","AT1G18490"
"457","AT1G18550"
"458","AT1G18560"
"459","AT1G18570"
"460","AT1G18610"
"461","AT1G18620"
"462","AT1G18650"
"463","AT1G18660"
"464","AT1G18680"
"465","AT1G18690"
"466","AT1G18860"
"467","AT1G18900"
"468","AT1G18910"
"469","AT1G18970"
"470","AT1G19010"
"471","AT1G19020"
"472","AT1G19115"
"473","AT1G19170"
"474","AT1G19220"
"475","AT1G19270"
"476","AT1G19290"
"477","AT1G19480"
"478","AT1G19485"
"479","AT1G19490"
"480","AT1G19540"
"481","AT1G19690"
"482","AT1G19710"
"483","AT1G19840"
"484","AT1G19860"
"485","AT1G19950"
"486","AT1G19970"
"487","AT1G19980"
"488","AT1G20065"
"489","AT1G20070"
"490","AT1G20270"
"491","AT1G20300"
"492","AT1G20340"
"493","AT1G20410"
"494","AT1G20480"
"495","AT1G20510"
"496","AT1G20530"
"497","AT1G20550"
"498","AT1G20640"
"499","AT1G20650"
"500","AT1G20670"
"501","AT1G20700"
"502","AT1G20760"
"503","AT1G20780"
"504","AT1G20816"
"505","AT1G20823"
"506","AT1G20830"
"507","AT1G20880"
"508","AT1G20910"
"509","AT1G21010"
"510","AT1G21070"
"511","AT1G21150"
"512","AT1G21170"
"513","AT1G21200"
"514","AT1G21270"
"515","AT1G21280"
"516","AT1G21350"
"517","AT1G21390"
"518","AT1G21410"
"519","AT1G21440"
"520","AT1G21580"
"521","AT1G21610"
"522","AT1G21640"
"523","AT1G21650"
"524","AT1G21670"
"525","AT1G21700"
"526","AT1G21730"
"527","AT1G21790"
"528","AT1G21840"
"529","AT1G22020"
"530","AT1G22040"
"531","AT1G22170"
"532","AT1G22180"
"533","AT1G22310"
"534","AT1G22400"
"535","AT1G22660"
"536","AT1G22700"
"537","AT1G22730"
"538","AT1G22740"
"539","AT1G22750"
"540","AT1G22770"
"541","AT1G22850"
"542","AT1G22860"
"543","AT1G22870"
"544","AT1G22882"
"545","AT1G22940"
"546","AT1G22950"
"547","AT1G22960"
"548","AT1G22980"
"549","AT1G23050"
"550","AT1G23060"
"551","AT1G23120"
