"","WS_FLT_c1.which.mclass....6...1."
"1","AT1G01090"
"2","AT1G01230"
"3","AT1G01300"
"4","AT1G01510"
"5","AT1G01550"
"6","AT1G01720"
"7","AT1G01730"
"8","AT1G01750"
"9","AT1G01800"
"10","AT1G01820"
"11","AT1G02090"
"12","AT1G02130"
"13","AT1G02160"
"14","AT1G02305"
"15","AT1G02816"
"16","AT1G02840"
"17","AT1G02850"
"18","AT1G02870"
"19","AT1G02900"
"20","AT1G03210"
"21","AT1G03230"
"22","AT1G03330"
"23","AT1G03850"
"24","AT1G04080"
"25","AT1G04140"
"26","AT1G04170"
"27","AT1G04190"
"28","AT1G04250"
"29","AT1G04340"
"30","AT1G04430"
"31","AT1G04503"
"32","AT1G04510"
"33","AT1G04630"
"34","AT1G04680"
"35","AT1G04870"
"36","AT1G04940"
"37","AT1G04980"
"38","AT1G05205"
"39","AT1G05347"
"40","AT1G05570"
"41","AT1G05620"
"42","AT1G05680"
"43","AT1G05720"
"44","AT1G05850"
"45","AT1G06040"
"46","AT1G06110"
"47","AT1G06200"
"48","AT1G06390"
"49","AT1G06400"
"50","AT1G06670"
"51","AT1G06700"
"52","AT1G06890"
"53","AT1G07020"
"54","AT1G07070"
"55","AT1G07080"
"56","AT1G07170"
"57","AT1G07210"
"58","AT1G07350"
"59","AT1G07360"
"60","AT1G07367"
"61","AT1G07370"
"62","AT1G07470"
"63","AT1G07750"
"64","AT1G07830"
"65","AT1G07960"
"66","AT1G08110"
"67","AT1G08160"
"68","AT1G08350"
"69","AT1G08500"
"70","AT1G08560"
"71","AT1G08570"
"72","AT1G08580"
"73","AT1G08650"
"74","AT1G08770"
"75","AT1G08780"
"76","AT1G08803"
"77","AT1G09140"
"78","AT1G09150"
"79","AT1G09270"
"80","AT1G09330"
"81","AT1G09430"
"82","AT1G09620"
"83","AT1G09630"
"84","AT1G09660"
"85","AT1G09740"
"86","AT1G09750"
"87","AT1G09760"
"88","AT1G09840"
"89","AT1G09932"
"90","AT1G09970"
"91","AT1G10030"
"92","AT1G10120"
"93","AT1G10200"
"94","AT1G10290"
"95","AT1G10530"
"96","AT1G10865"
"97","AT1G10890"
"98","AT1G11185"
"99","AT1G11310"
"100","AT1G11360"
"101","AT1G11480"
"102","AT1G11545"
"103","AT1G11670"
"104","AT1G11750"
"105","AT1G11840"
"106","AT1G11860"
"107","AT1G11890"
"108","AT1G11910"
"109","AT1G12270"
"110","AT1G12440"
"111","AT1G12520"
"112","AT1G12810"
"113","AT1G12910"
"114","AT1G13060"
"115","AT1G13300"
"116","AT1G13380"
"117","AT1G13560"
"118","AT1G14010"
"119","AT1G14210"
"120","AT1G14220"
"121","AT1G14290"
"122","AT1G14510"
"123","AT1G14570"
"124","AT1G14610"
"125","AT1G14620"
"126","AT1G14670"
"127","AT1G14730"
"128","AT1G14810"
"129","AT1G14830"
"130","AT1G14890"
"131","AT1G14900"
"132","AT1G15040"
"133","AT1G15100"
"134","AT1G15200"
"135","AT1G15210"
"136","AT1G15250"
"137","AT1G15340"
"138","AT1G15350"
"139","AT1G15370"
"140","AT1G15400"
"141","AT1G15420"
"142","AT1G15500"
"143","AT1G15625"
"144","AT1G15630"
"145","AT1G15640"
"146","AT1G15750"
"147","AT1G15950"
"148","AT1G16000"
"149","AT1G16170"
"150","AT1G16240"
"151","AT1G16350"
"152","AT1G16470"
"153","AT1G16560"
"154","AT1G16610"
"155","AT1G16740"
"156","AT1G16840"
"157","AT1G16880"
"158","AT1G17080"
"159","AT1G17180"
"160","AT1G17190"
"161","AT1G17285"
"162","AT1G17290"
"163","AT1G17370"
"164","AT1G17470"
"165","AT1G17510"
"166","AT1G17860"
"167","AT1G17890"
"168","AT1G18070"
"169","AT1G18250"
"170","AT1G18450"
"171","AT1G18640"
"172","AT1G18720"
"173","AT1G18800"
"174","AT1G18840"
"175","AT1G18880"
"176","AT1G19120"
"177","AT1G19130"
"178","AT1G19350"
"179","AT1G19360"
"180","AT1G19600"
"181","AT1G19835"
"182","AT1G19870"
"183","AT1G19920"
"184","AT1G20010"
"185","AT1G20100"
"186","AT1G20160"
"187","AT1G20190"
"188","AT1G20200"
"189","AT1G20220"
"190","AT1G20260"
"191","AT1G20430"
"192","AT1G20450"
"193","AT1G20630"
"194","AT1G20840"
"195","AT1G20850"
"196","AT1G20900"
"197","AT1G20920"
"198","AT1G20950"
"199","AT1G20960"
"200","AT1G21050"
"201","AT1G21065"
"202","AT1G21080"
"203","AT1G21090"
"204","AT1G21190"
"205","AT1G21630"
"206","AT1G21770"
"207","AT1G21780"
"208","AT1G21900"
"209","AT1G21930"
"210","AT1G22190"
"211","AT1G22520"
"212","AT1G22530"
"213","AT1G22880"
"214","AT1G22885"
"215","AT1G23020"
"216","AT1G23190"
"217","AT1G23280"
"218","AT1G23400"
"219","AT1G23410"
"220","AT1G23440"
"221","AT1G23750"
"222","AT1G23820"
"223","AT1G23860"
"224","AT1G24180"
"225","AT1G25230"
"226","AT1G25350"
"227","AT1G25490"
"228","AT1G25510"
"229","AT1G25530"
"230","AT1G25550"
"231","AT1G26110"
"232","AT1G26250"
"233","AT1G26255"
"234","AT1G26550"
"235","AT1G26580"
"236","AT1G26670"
"237","AT1G26740"
"238","AT1G26750"
"239","AT1G26850"
"240","AT1G26920"
"241","AT1G26945"
"242","AT1G27090"
"243","AT1G27290"
"244","AT1G27435"
"245","AT1G27650"
"246","AT1G28250"
"247","AT1G28400"
"248","AT1G29070"
"249","AT1G29280"
"250","AT1G29310"
"251","AT1G29350"
"252","AT1G29470"
"253","AT1G29520"
"254","AT1G29785"
"255","AT1G29900"
"256","AT1G29950"
"257","AT1G29965"
"258","AT1G29990"
"259","AT1G30120"
"260","AT1G30440"
"261","AT1G30510"
"262","AT1G30750"
"263","AT1G30760"
"264","AT1G30820"
"265","AT1G30880"
"266","AT1G30890"
"267","AT1G30970"
"268","AT1G31130"
"269","AT1G31180"
"270","AT1G31340"
"271","AT1G31660"
"272","AT1G31770"
"273","AT1G31817"
"274","AT1G31850"
"275","AT1G31860"
"276","AT1G31970"
"277","AT1G32100"
"278","AT1G32170"
"279","AT1G32230"
