"","WS_GC_c1.which.mclass....2...1."
"289","AT1G09267"
"290","AT1G09287"
"291","AT1G09317"
"292","AT1G09323"
"293","AT1G09400"
"294","AT1G09423"
"295","AT1G09427"
"296","AT1G09433"
"297","AT1G09447"
"298","AT1G09453"
"299","AT1G09463"
"300","AT1G09467"
"301","AT1G09473"
"302","AT1G09500"
"303","AT1G09510"
"304","AT1G09513"
"305","AT1G09527"
"306","AT1G09537"
"307","AT1G09553"
"308","AT1G09557"
"309","AT1G09573"
"310","AT1G09603"
"311","AT1G09607"
"312","AT1G09677"
"313","AT1G09687"
"314","AT1G09720"
"315","AT1G09753"
"316","AT1G09757"
"317","AT1G09773"
"318","AT1G09777"
"319","AT1G09793"
"320","AT1G09797"
"321","AT1G09803"
"322","AT1G09823"
"323","AT1G09843"
"324","AT1G09853"
"325","AT1G09877"
"326","AT1G09903"
"327","AT1G09907"
"328","AT1G09917"
"329","AT1G10000"
"330","AT1G10010"
"331","AT1G10110"
"332","AT1G10385"
"333","AT1G10455"
"334","AT1G10550"
"335","AT1G10588"
"336","AT1G10640"
"337","AT1G10680"
"338","AT1G10747"
"339","AT1G10770"
"340","AT1G11070"
"341","AT1G11112"
"342","AT1G11330"
"343","AT1G11350"
"344","AT1G11362"
"345","AT1G11410"
"346","AT1G11460"
"347","AT1G11470"
"348","AT1G11510"
"349","AT1G11560"
"350","AT1G11572"
"351","AT1G11590"
"352","AT1G11600"
"353","AT1G11655"
"354","AT1G11920"
"355","AT1G12013"
"356","AT1G12130"
"357","AT1G12150"
"358","AT1G12280"
"359","AT1G12294"
"360","AT1G12570"
"361","AT1G12610"
"362","AT1G12663"
"363","AT1G12672"
"364","AT1G13130"
"365","AT1G13200"
"366","AT1G13310"
"367","AT1G13400"
"368","AT1G13490"
"369","AT1G13500"
"370","AT1G13510"
"371","AT1G13608"
"372","AT1G13790"
"373","AT1G14071"
"374","AT1G14440"
"375","AT1G14455"
"376","AT1G14520"
"377","AT1G14550"
"378","AT1G14600"
"379","AT1G14640"
"380","AT1G14686"
"381","AT1G14960"
"382","AT1G15015"
"383","AT1G15125"
"384","AT1G15260"
"385","AT1G15320"
"386","AT1G15460"
"387","AT1G15540"
"388","AT1G15580"
"389","AT1G15600"
"390","AT1G15610"
"391","AT1G15620"
"392","AT1G15680"
"393","AT1G15770"
"394","AT1G15840"
"395","AT1G15885"
"396","AT1G15890"
"397","AT1G15980"
"398","AT1G16120"
"399","AT1G16230"
"400","AT1G16260"
"401","AT1G16380"
"402","AT1G16420"
"403","AT1G16440"
"404","AT1G16530"
"405","AT1G16770"
"406","AT1G16910"
"407","AT1G17030"
"408","AT1G17240"
"409","AT1G17260"
"410","AT1G17310"
"411","AT1G17345"
"412","AT1G17420"
"413","AT1G17600"
"414","AT1G17610"
"415","AT1G17810"
"416","AT1G17990"
"417","AT1G18197"
"418","AT1G18310"
"419","AT1G18350"
"420","AT1G18400"
"421","AT1G18410"
"422","AT1G18530"
"423","AT1G18835"
"424","AT1G18870"
"425","AT1G18879"
"426","AT1G18960"
"427","AT1G18990"
"428","AT1G19070"
"429","AT1G19160"
"430","AT1G19250"
"431","AT1G19373"
"432","AT1G19390"
"433","AT1G19394"
"434","AT1G19610"
"435","AT1G19630"
"436","AT1G19750"
"437","AT1G19890"
"438","AT1G20015"
"439","AT1G20020"
"440","AT1G20080"
"441","AT1G20120"
"442","AT1G20150"
"443","AT1G20310"
"444","AT1G20400"
