"","X","WS_GC_c1.which.mclass....2...1."
"806",806,"AT1G60110"
"2437",2437,"AT3G61090"
"2111",2111,"AT3G24890"
"2897",2897,"AT4G26390"
"3637",3637,"AT5G44569"
"662",662,"AT1G48698"
"143",143,"AT1G05993"
"1378",1378,"AT2G21530"
"2653",2653,"AT4G09365"
"3516",3516,"AT5G37165"
"3910",3910,"ATCG00320"
"2265",2265,"AT3G47420"
"1558",1558,"AT2G36590"
"2311",2311,"AT3G50825"
"3697",3697,"AT5G48770"
"1396",1396,"AT2G23220"
"3157",3157,"AT5G04120"
"3454",3454,"AT5G24660"
"694",694,"AT1G51460"
"3148",3148,"AT5G03875"
"3356",3356,"AT5G15780"
"160",160,"AT1G06233"
"2068",2068,"AT3G21520"
"2304",2304,"AT3G50410"
"2839",2839,"AT4G22710"
"764",764,"AT1G55800"
"3117",3117,"AT5G02675"
"430",430,"AT1G19250"
"2255",2255,"AT3G46840"
"376",376,"AT1G14520"
"839",839,"AT1G62360"
"1679",1679,"AT2G47750"
"3363",3363,"AT5G16410"
"3664",3664,"AT5G46140"
"913",913,"AT1G66970"
"1404",1404,"AT2G23970"
"1191",1191,"AT2G07772"
"2391",2391,"AT3G57780"
"1059",1059,"AT1G80470"
"3335",3335,"AT5G14160"
"864",864,"AT1G64020"
"3922",3922,"ATMG00010"
"850",850,"AT1G63105"
"366",366,"AT1G13310"
"1248",1248,"AT2G09195"
"2131",2131,"AT3G26110"
"3695",3695,"AT5G48575"
"2868",2868,"AT4G24410"
"2345",2345,"AT3G54050"
"3567",3567,"AT5G39760"
"2393",2393,"AT3G58000"
"3459",3459,"AT5G24940"
"1586",1586,"AT2G39520"
"630",630,"AT1G44890"
"2735",2735,"AT4G14440"
"2002",2002,"AT3G15670"
"990",990,"AT1G74130"
"1007",1007,"AT1G75360"
"2657",2657,"AT4G09500"
"1704",1704,"AT3G01375"
"1567",1567,"AT2G37670"
"1665",1665,"AT2G46480"
"331",331,"AT1G10110"
"547",547,"AT1G29860"
"230",230,"AT1G07913"
"1734",1734,"AT3G02305"
"1525",1525,"AT2G34010"
"3542",3542,"AT5G38430"
"3221",3221,"AT5G07125"
"3927",3927,"ATMG00170"
"1667",1667,"AT2G46660"
"3668",3668,"AT5G46295"
"3044",3044,"AT4G38560"
"362",362,"AT1G12663"
"3116",3116,"AT5G02665"
"1862",1862,"AT3G07970"
"2512",2512,"AT4G02650"
"1780",1780,"AT3G03840"
"779",779,"AT1G56555"
"3622",3622,"AT5G44050"
"3135",3135,"AT5G03480"
"89",89,"AT1G04933"
"589",589,"AT1G33320"
"2491",2491,"AT4G01340"
"2187",2187,"AT3G29633"
"1455",1455,"AT2G28170"
"1422",1422,"AT2G25297"
"470",470,"AT1G23070"
"3630",3630,"AT5G44390"
"2139",2139,"AT3G26450"
"2291",2291,"AT3G49260"
"1977",1977,"AT3G13525"
"216",216,"AT1G07690"
"3924",3924,"ATMG00050"
"3155",3155,"AT5G04055"
"1333",1333,"AT2G17680"
"1023",1023,"AT1G77160"
"95",95,"AT1G05057"
"1320",1320,"AT2G16005"
"1515",1515,"AT2G32885"
"2333",2333,"AT3G52810"
"269",269,"AT1G08860"
"265",265,"AT1G08827"
"2319",2319,"AT3G51420"
"1964",1964,"AT3G12833"
"2097",2097,"AT3G23840"
"3890",3890,"AT5G65550"
"473",473,"AT1G23510"
"3309",3309,"AT5G10660"
"1896",1896,"AT3G08900"
"1811",1811,"AT3G05015"
"902",902,"AT1G66460"
"3051",3051,"AT4G39000"
"2700",2700,"AT4G12350"
"595",595,"AT1G34047"
"3942",3942,"ATMG00770"
"202",202,"AT1G07340"
"1106",1106,"AT2G04137"
"2153",2153,"AT3G27503"
"2816",2816,"AT4G20370"
"1453",1453,"AT2G27780"
"2087",2087,"AT3G23010"
"2840",2840,"AT4G22730"
"98",98,"AT1G05143"
"2756",2756,"AT4G16355"
"3236",3236,"AT5G07745"
"45",45,"AT1G04197"
"2280",2280,"AT3G48640"
"2786",2786,"AT4G18210"
"712",712,"AT1G52440"
"2109",2109,"AT3G24780"
"106",106,"AT1G05303"
"1110",1110,"AT2G04255"
"2902",2902,"AT4G26560"
"1762",1762,"AT3G03325"
"3232",3232,"AT5G07571"
"3519",3519,"AT5G37250"
"2146",2146,"AT3G26819"
"1071",1071,"AT2G01580"
"808",808,"AT1G60380"
"2979",2979,"AT4G33870"
"2818",2818,"AT4G20700"
"1326",1326,"AT2G17040"
"2693",2693,"AT4G11810"
"411",411,"AT1G17345"
"201",201,"AT1G07323"
"3865",3865,"AT5G63270"
"52",52,"AT1G04277"
"1231",1231,"AT2G08770"
"432",432,"AT1G19390"
"226",226,"AT1G07880"
"3074",3074,"AT5G00865"
"1186",1186,"AT2G07722"
"1792",1792,"AT3G04175"
"2099",2099,"AT3G23950"
"1408",1408,"AT2G24285"
"1303",1303,"AT2G13905"
"2884",2884,"AT4G25530"
"2029",2029,"AT3G18360"
"529",529,"AT1G28265"
"2178",2178,"AT3G28890"
"150",150,"AT1G06117"
"2578",2578,"AT4G06015"
"3562",3562,"AT5G39520"
"1628",1628,"AT2G43010"
"1516",1516,"AT2G33010"
"506",506,"AT1G25180"
"2952",2952,"AT4G31408"
"3859",3859,"AT5G62320"
"853",853,"AT1G63350"
"693",693,"AT1G51270"
"347",347,"AT1G11470"
"3029",3029,"AT4G37290"
"2907",2907,"AT4G27220"
"1462",1462,"AT2G28755"
"3167",3167,"AT5G04425"
"3421",3421,"AT5G22430"
"433",433,"AT1G19394"
"2796",2796,"AT4G18740"
"2777",2777,"AT4G17860"
"126",126,"AT1G05703"
"2886",2886,"AT4G25980"
"2584",2584,"AT4G06225"
"834",834,"AT1G62035"
"321",321,"AT1G09803"
"2621",2621,"AT4G08235"
"1685",1685,"AT2G48080"
"491",491,"AT1G24545"
"465",465,"AT1G22650"
"1080",1080,"AT2G02061"
"2589",2589,"AT4G06385"
"1806",1806,"AT3G04785"
"3129",3129,"AT5G03195"
"2655",2655,"AT4G09385"
"2473",2473,"AT3G63540"
"829",829,"AT1G61720"
"2170",2170,"AT3G28540"
"2855",2855,"AT4G23680"
"2078",2078,"AT3G22436"
"1230",1230,"AT2G08765"
"1976",1976,"AT3G13500"
"2337",2337,"AT3G53310"
"1079",1079,"AT2G02060"
"531",531,"AT1G28327"
"343",343,"AT1G11350"
"372",372,"AT1G13790"
"1993",1993,"AT3G14640"
"3108",3108,"AT5G02330"
"1218",1218,"AT2G08505"
"3015",3015,"AT4G36610"
"791",791,"AT1G58590"
"1637",1637,"AT2G43510"
"446",446,"AT1G20860"
"482",482,"AT1G24000"
"2648",2648,"AT4G09130"
"2521",2521,"AT4G03445"
"1810",1810,"AT3G04965"
"1415",1415,"AT2G24720"
"2875",2875,"AT4G24715"
"3486",3486,"AT5G27910"
"212",212,"AT1G07587"
"3614",3614,"AT5G43550"
"1446",1446,"AT2G27313"
"2374",2374,"AT3G56705"
"1547",1547,"AT2G35850"
"3821",3821,"AT5G58860"
"2888",2888,"AT4G26040"
"543",543,"AT1G29670"
"3485",3485,"AT5G27765"
"2898",2898,"AT4G26415"
"1737",1737,"AT3G02430"
"474",474,"AT1G23520"
"1651",1651,"AT2G45410"
"1033",1033,"AT1G78030"
"2872",2872,"AT4G24600"
"2511",2511,"AT4G02540"
"2685",2685,"AT4G11402"
"284",284,"AT1G09176"
"2357",2357,"AT3G55210"
"1562",1562,"AT2G36792"
"2581",2581,"AT4G06160"
"1555",1555,"AT2G36440"
"3150",3150,"AT5G03965"
"777",777,"AT1G56510"
"3587",3587,"AT5G41540"
"3757",3757,"AT5G53902"
"1205",1205,"AT2G08315"
"3045",3045,"AT4G38590"
"2217",2217,"AT3G44765"
"2356",2356,"AT3G55090"
"3935",3935,"ATMG00550"
"99",99,"AT1G05203"
"7",7,"AT1G01520"
"1731",1731,"AT3G02165"
"572",572,"AT1G32120"
"2427",2427,"AT3G60730"
"2769",2769,"AT4G17470"
"3504",3504,"AT5G35760"
"1769",1769,"AT3G03510"
"169",169,"AT1G06463"
"1642",1642,"AT2G44250"
"3327",3327,"AT5G13225"
"3386",3386,"AT5G18320"
"16",16,"AT1G02570"
"1596",1596,"AT2G40370"
"2747",2747,"AT4G15490"
"1181",1181,"AT2G07676"
"2395",2395,"AT3G58550"
"2326",2326,"AT3G52160"
"2619",2619,"AT4G08045"
"3950",3950,"ATMG01110"
"1933",1933,"AT3G10113"
"551",551,"AT1G30560"
"3324",3324,"AT5G13130"
"1577",1577,"AT2G38790"
"1801",1801,"AT3G04660"
"2853",2853,"AT4G23610"
"1783",1783,"AT3G03975"
"3122",3122,"AT5G02875"
"3455",3455,"AT5G24770"
"1294",1294,"AT2G11810"
"3281",3281,"AT5G09195"
"1429",1429,"AT2G25890"
"1918",1918,"AT3G09615"
"995",995,"AT1G74456"
"1392",1392,"AT2G22821"
"1995",1995,"AT3G14820"
"78",78,"AT1G04670"
"1819",1819,"AT3G05335"
"3218",3218,"AT5G07055"
"3208",3208,"AT5G06615"
"1286",1286,"AT2G10537"
"1733",1733,"AT3G02255"
"739",739,"AT1G54070"
"1398",1398,"AT2G23347"
"1727",1727,"AT3G02075"
"2315",2315,"AT3G51171"
"942",942,"AT1G68877"
"2614",2614,"AT4G07895"
"3243",3243,"AT5G07995"
"469",469,"AT1G22900"
"3541",3541,"AT5G38386"
"601",601,"AT1G34490"
"353",353,"AT1G11655"
"3380",3380,"AT5G17720"
"819",819,"AT1G61160"
"113",113,"AT1G05417"
"3079",3079,"AT5G00980"
"973",973,"AT1G72460"
"1931",1931,"AT3G09955"
"1188",1188,"AT2G07732"
"2355",2355,"AT3G54830"
"2228",2228,"AT3G45290"
"2698",2698,"AT4G12320"
"1891",1891,"AT3G08755"
"534",534,"AT1G28600"
"117",117,"AT1G05463"
"167",167,"AT1G06453"
"1137",1137,"AT2G05370"
"1451",1451,"AT2G27670"
"2318",2318,"AT3G51380"
"3914",3914,"ATCG00560"
"2062",2062,"AT3G21090"
"1498",1498,"AT2G31480"
"2705",2705,"AT4G12450"
"299",299,"AT1G09463"
"2398",2398,"AT3G58910"
"228",228,"AT1G07900"
"936",936,"AT1G68240"
"1580",1580,"AT2G39010"
"2590",2590,"AT4G06415"
"2852",2852,"AT4G23560"
"2981",2981,"AT4G33930"
"1305",1305,"AT2G13965"
"1346",1346,"AT2G18370"
"27",27,"AT1G03445"
"640",640,"AT1G46984"
"377",377,"AT1G14550"
"1450",1450,"AT2G27505"
"909",909,"AT1G66870"
"2220",2220,"AT3G44900"
"562",562,"AT1G31290"
"3392",3392,"AT5G18910"
"29",29,"AT1G03506"
"3631",3631,"AT5G44400"
"3365",3365,"AT5G16500"
"3644",3644,"AT5G44760"
"2772",2772,"AT4G17660"
"874",874,"AT1G64405"
"1998",1998,"AT3G15050"
"3293",3293,"AT5G09520"
"678",678,"AT1G49920"
"856",856,"AT1G63550"
"295",295,"AT1G09427"
"2140",2140,"AT3G26460"
"1899",1899,"AT3G09065"
"3958",3958,"ATMG01410"
"10",10,"AT1G01680"
"3849",3849,"AT5G61180"
"2633",2633,"AT4G08570"
"2127",2127,"AT3G25795"
"704",704,"AT1G51920"
"736",736,"AT1G53970"
"2893",2893,"AT4G26200"
"2731",2731,"AT4G14245"
"1177",1177,"AT2G07661"
"849",849,"AT1G62920"
"1708",1708,"AT3G01490"
"2362",2362,"AT3G55860"
"2833",2833,"AT4G22463"
"3826",3826,"AT5G59190"
"2744",2744,"AT4G15310"
"1623",1623,"AT2G42885"
"56",56,"AT1G04363"
"2706",2706,"AT4G12470"
"4",4,"AT1G01420"
"23",23,"AT1G02980"
"908",908,"AT1G66840"
"2487",2487,"AT4G01130"
"3023",3023,"AT4G37050"
"3954",3954,"ATMG01270"
"1383",1383,"AT2G22060"
"2535",2535,"AT4G04075"
"2114",2114,"AT3G24982"
"2975",2975,"AT4G33585"
"825",825,"AT1G61300"
"2235",2235,"AT3G46110"
"1014",1014,"AT1G76430"
"3517",3517,"AT5G37240"
"3249",3249,"AT5G08141"
"2635",2635,"AT4G08620"
"576",576,"AT1G32470"
"3850",3850,"AT5G61270"
"951",951,"AT1G69990"
"1959",1959,"AT3G12460"
"2755",2755,"AT4G16230"
