Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
818849,3.0,1,1,1
820956,3.0,1,1,1
839800,3.0,1,1,1
829618,3.0,1,1,1
838349,3.0,1,1,1
826599,2.0,1,0,1
818660,2.0,1,0,1
824309,2.0,1,1,0
825153,2.0,1,0,1
839841,2.0,1,0,1
844406,2.0,1,0,1
820333,2.0,1,1,0
818402,2.0,1,0,1
819654,2.0,1,0,1
820025,2.0,1,0,1
830804,2.0,1,0,1
817357,2.0,1,1,0
842360,2.0,1,0,1
838427,2.0,1,0,1
826934,2.0,1,0,1
839569,2.0,1,1,0
842248,2.0,1,0,1
842864,2.0,1,1,0
5007942,2.0,1,1,0
835297,2.0,1,0,1
822039,2.0,1,0,1
820580,2.0,1,0,1
841976,2.0,1,0,1
838771,2.0,1,0,1
832536,2.0,1,1,0
824487,2.0,1,0,1
835437,2.0,1,0,1
821446,2.0,1,0,1
839223,2.0,1,1,0
839367,2.0,1,1,0
832645,2.0,1,1,0
830060,2.0,1,0,1
841454,2.0,1,0,1
836884,2.0,1,1,0
834823,2.0,1,1,0
820532,2.0,1,1,0
821998,2.0,1,0,1
840310,2.0,1,0,1
818488,2.0,1,0,1
816619,2.0,1,1,0
834184,2.0,1,1,0
825105,2.0,1,1,0
824291,2.0,1,0,1
839496,2.0,1,0,1
821307,2.0,1,0,1
828934,2.0,1,0,1
829287,2.0,1,1,0
819619,2.0,1,0,1
819207,2.0,1,1,0
817695,2.0,1,0,1
841162,2.0,1,0,1
829315,2.0,1,0,1
830335,2.0,1,0,1
842933,2.0,1,1,0
825469,2.0,1,1,0
824818,2.0,1,1,0
828935,2.0,1,1,0
840461,2.0,1,1,0
824047,2.0,1,1,0
839629,2.0,1,1,0
819870,2.0,1,1,0
838327,2.0,1,1,0
820660,2.0,1,1,0
830435,2.0,1,1,0
825927,2.0,1,1,0
817894,2.0,1,0,1
836389,2.0,1,1,0
829740,2.0,1,1,0
838452,2.0,1,0,1
828900,2.0,1,1,0
840060,2.0,1,1,0
838856,2.0,1,1,0
830849,2.0,1,1,0
829790,2.0,1,1,0
835916,2.0,1,0,1
820427,2.0,1,0,1
825025,2.0,1,0,1
830756,2.0,1,0,1
824666,2.0,1,1,0
827896,2.0,1,0,1
826884,2.0,1,0,1
829033,2.0,1,1,0
835910,2.0,1,1,0
820655,2.0,1,0,1
840318,2.0,1,1,0
844049,2.0,1,1,0
837643,2.0,1,0,1
842848,2.0,1,0,1
840346,2.0,1,0,1
834660,2.0,1,1,0
816425,2.0,1,1,0
831822,2.0,1,0,1
824727,2.0,1,1,0
820326,2.0,1,1,0
817883,2.0,1,0,1
838691,2.0,1,0,1
816289,2.0,1,1,0
829685,2.0,1,1,0
838166,2.0,1,1,0
831151,2.0,1,0,1
839171,2.0,1,0,1
840105,2.0,1,0,1
819999,2.0,1,0,1
822047,2.0,1,0,1
839124,2.0,1,1,0
843931,2.0,1,0,1
829445,2.0,1,1,0
842855,2.0,1,0,1
841588,2.0,1,1,0
820507,2.0,1,0,1
820383,2.0,1,0,1
817625,2.0,1,0,1
843143,2.0,1,0,1
818761,2.0,1,0,1
836402,2.0,1,1,0
835494,2.0,1,1,0
821604,2.0,1,0,1
838768,2.0,1,1,0
838529,2.0,1,0,1
825823,2.0,1,0,1
816124,2.0,1,0,1
824385,2.0,1,0,1
840221,2.0,1,1,0
834578,2.0,1,1,0
844087,2.0,1,1,0
820549,2.0,1,0,1
829100,2.0,1,0,1
836176,2.0,1,0,1
828331,2.0,1,0,1
822136,2.0,1,0,1
844395,2.0,1,1,0
822171,2.0,1,0,1
835057,2.0,1,1,0
816580,2.0,1,0,1
842030,2.0,1,0,1
837685,2.0,1,0,1
832068,2.0,1,0,1
824037,2.0,1,1,0
821352,2.0,1,0,1
829446,2.0,1,1,0
840295,2.0,1,1,0
831147,2.0,1,0,1
