"","WS_GC_c1.which.mclass....3...1."
"289","AT1G07810"
"290","AT1G07847"
"291","AT1G07870"
"292","AT1G07893"
"293","AT1G07910"
"294","AT1G07950"
"295","AT1G07970"
"296","AT1G07980"
"297","AT1G07983"
"298","AT1G07990"
"299","AT1G08000"
"300","AT1G08010"
"301","AT1G08030"
"302","AT1G08037"
"303","AT1G08040"
"304","AT1G08043"
"305","AT1G08060"
"306","AT1G08125"
"307","AT1G08190"
"308","AT1G08210"
"309","AT1G08230"
"310","AT1G08250"
"311","AT1G08260"
"312","AT1G08280"
"313","AT1G08340"
"314","AT1G08350"
"315","AT1G08390"
"316","AT1G08400"
"317","AT1G08420"
"318","AT1G08430"
"319","AT1G08460"
"320","AT1G08470"
"321","AT1G08477"
"322","AT1G08490"
"323","AT1G08520"
"324","AT1G08530"
"325","AT1G08550"
"326","AT1G08590"
"327","AT1G08592"
"328","AT1G08600"
"329","AT1G08610"
"330","AT1G08620"
"331","AT1G08657"
"332","AT1G08670"
"333","AT1G08680"
"334","AT1G08700"
"335","AT1G08710"
"336","AT1G08720"
"337","AT1G08750"
"338","AT1G08760"
"339","AT1G08770"
"340","AT1G08800"
"341","AT1G08803"
"342","AT1G08840"
"343","AT1G08845"
"344","AT1G08890"
"345","AT1G08910"
"346","AT1G08920"
"347","AT1G08960"
"348","AT1G08970"
"349","AT1G09000"
"350","AT1G09010"
"351","AT1G09020"
"352","AT1G09053"
"353","AT1G09060"
"354","AT1G09090"
"355","AT1G09100"
"356","AT1G09130"
"357","AT1G09190"
"358","AT1G09230"
"359","AT1G09250"
"360","AT1G09290"
"361","AT1G09300"
"362","AT1G09320"
"363","AT1G09363"
"364","AT1G09390"
"365","AT1G09420"
"366","AT1G09450"
"367","AT1G09470"
"368","AT1G09490"
"369","AT1G09520"
"370","AT1G09540"
"371","AT1G09575"
"372","AT1G09645"
"373","AT1G09700"
"374","AT1G09710"
"375","AT1G09730"
"376","AT1G09750"
"377","AT1G09795"
"378","AT1G09800"
"379","AT1G09810"
"380","AT1G09815"
"381","AT1G09820"
"382","AT1G09830"
"383","AT1G09850"
"384","AT1G09863"
"385","AT1G09890"
"386","AT1G09900"
