"","WS_GC_c1.which.mclass....5...1."
"1","AT1G01020"
"2","AT1G01040"
"3","AT1G01060"
"4","AT1G01070"
"5","AT1G01110"
"6","AT1G01170"
"7","AT1G01240"
"8","AT1G01290"
"9","AT1G01350"
"10","AT1G01360"
"11","AT1G01370"
"12","AT1G01430"
"13","AT1G01448"
"14","AT1G01470"
"15","AT1G01490"
"16","AT1G01540"
"17","AT1G01650"
"18","AT1G01770"
"19","AT1G01820"
"20","AT1G01920"
"21","AT1G01960"
"22","AT1G01990"
"23","AT1G02110"
"24","AT1G02120"
"25","AT1G02145"
"26","AT1G02150"
"27","AT1G02170"
"28","AT1G02330"
"29","AT1G02335"
"30","AT1G02370"
"31","AT1G02410"
"32","AT1G02520"
"33","AT1G02680"
"34","AT1G02720"
"35","AT1G02750"
"36","AT1G02880"
"37","AT1G02890"
"38","AT1G02900"
"39","AT1G02950"
"40","AT1G02960"
"41","AT1G02990"
"42","AT1G03030"
"43","AT1G03040"
"44","AT1G03060"
"45","AT1G03080"
"46","AT1G03090"
"47","AT1G03250"
"48","AT1G03280"
"49","AT1G03290"
"50","AT1G03350"
"51","AT1G03365"
"52","AT1G03380"
"53","AT1G03410"
"54","AT1G03430"
"55","AT1G03475"
"56","AT1G03590"
"57","AT1G03610"
"58","AT1G03680"
"59","AT1G03687"
"60","AT1G03730"
"61","AT1G03780"
"62","AT1G03840"
"63","AT1G03850"
"64","AT1G03970"
"65","AT1G04020"
"66","AT1G04030"
"67","AT1G04070"
"68","AT1G04120"
"69","AT1G04130"
"70","AT1G04183"
"71","AT1G04210"
"72","AT1G04260"
"73","AT1G04280"
"74","AT1G04290"
"75","AT1G04300"
"76","AT1G04400"
"77","AT1G04440"
"78","AT1G04520"
"79","AT1G04530"
"80","AT1G04537"
"81","AT1G04550"
"82","AT1G04590"
"83","AT1G04610"
"84","AT1G04635"
"85","AT1G04770"
"86","AT1G04780"
"87","AT1G04790"
"88","AT1G04810"
"89","AT1G04830"
"90","AT1G04860"
"91","AT1G04900"
"92","AT1G04910"
"93","AT1G04945"
"94","AT1G04950"
"95","AT1G04960"
"96","AT1G04970"
"97","AT1G04985"
"98","AT1G05055"
"99","AT1G05070"
"100","AT1G05120"
"101","AT1G05147"
"102","AT1G05150"
"103","AT1G05170"
"104","AT1G05180"
"105","AT1G05190"
"106","AT1G05210"
"107","AT1G05220"
"108","AT1G05270"
"109","AT1G05350"
"110","AT1G05360"
"111","AT1G05380"
"112","AT1G05410"
"113","AT1G05430"
"114","AT1G05470"
"115","AT1G05500"
"116","AT1G05520"
"117","AT1G05570"
"118","AT1G05575"
"119","AT1G05710"
"120","AT1G05730"
"121","AT1G05750"
"122","AT1G05760"
"123","AT1G05785"
"124","AT1G05805"
"125","AT1G05810"
"126","AT1G05830"
"127","AT1G05840"
"128","AT1G05860"
"129","AT1G05870"
"130","AT1G05890"
"131","AT1G05910"
"132","AT1G05940"
"133","AT1G05960"
"134","AT1G05970"
"135","AT1G06000"
"136","AT1G06010"
"137","AT1G06060"
"138","AT1G06070"
"139","AT1G06090"
"140","AT1G06130"
"141","AT1G06150"
"142","AT1G06180"
"143","AT1G06190"
"144","AT1G06210"
"145","AT1G06227"
"146","AT1G06290"
"147","AT1G06380"
"148","AT1G06450"
"149","AT1G06475"
"150","AT1G06560"
"151","AT1G06570"
"152","AT1G06620"
"153","AT1G06630"
"154","AT1G06640"
"155","AT1G06780"
"156","AT1G06790"
"157","AT1G06850"
"158","AT1G06870"
"159","AT1G06930"
"160","AT1G06960"
"161","AT1G07040"
"162","AT1G07110"
"163","AT1G07200"
"164","AT1G07220"
"165","AT1G07230"
"166","AT1G07250"
"167","AT1G07260"
"168","AT1G07310"
"169","AT1G07320"
"170","AT1G07350"
"171","AT1G07367"
"172","AT1G07480"
"173","AT1G07510"
"174","AT1G07530"
"175","AT1G07570"
"176","AT1G07615"
"177","AT1G07640"
"178","AT1G07705"
"179","AT1G07780"
"180","AT1G07810"
"181","AT1G07840"
"182","AT1G07893"
"183","AT1G07950"
"184","AT1G07970"
"185","AT1G07980"
"186","AT1G07983"
"187","AT1G07985"
"188","AT1G07990"
"189","AT1G08010"
"190","AT1G08030"
"191","AT1G08037"
"192","AT1G08040"
"193","AT1G08125"
"194","AT1G08190"
"195","AT1G08210"
"196","AT1G08220"
"197","AT1G08230"
"198","AT1G08260"
"199","AT1G08350"
"200","AT1G08390"
"201","AT1G08410"
"202","AT1G08420"
"203","AT1G08430"
"204","AT1G08460"
"205","AT1G08477"
"206","AT1G08490"
"207","AT1G08500"
"208","AT1G08510"
"209","AT1G08550"
"210","AT1G08570"
"211","AT1G08590"
"212","AT1G08600"
"213","AT1G08620"
"214","AT1G08640"
"215","AT1G08657"
"216","AT1G08680"
"217","AT1G08700"
"218","AT1G08710"
"219","AT1G08750"
"220","AT1G08760"
"221","AT1G08770"
"222","AT1G08803"
"223","AT1G08845"
"224","AT1G08890"
"225","AT1G08930"
"226","AT1G08960"
"227","AT1G08970"
"228","AT1G09010"
"229","AT1G09020"
"230","AT1G09070"
"231","AT1G09100"
"232","AT1G09130"
"233","AT1G09230"
"234","AT1G09250"
"235","AT1G09290"
"236","AT1G09300"
"237","AT1G09420"
"238","AT1G09470"
"239","AT1G09490"
"240","AT1G09520"
"241","AT1G09580"
