"","phyD_FLT_c1.which.mclass....1...1."
"1","AT1G01150"
"2","AT1G01695"
"3","AT1G02813"
"4","AT1G02980"
"5","AT1G04083"
"6","AT1G04147"
"7","AT1G04380"
"8","AT1G04500"
"9","AT1G04580"
"10","AT1G04643"
"11","AT1G04703"
"12","AT1G04817"
"13","AT1G05013"
"14","AT1G05083"
"15","AT1G05103"
"16","AT1G05303"
"17","AT1G05353"
"18","AT1G05383"
"19","AT1G05550"
"20","AT1G05990"
"21","AT1G06135"
"22","AT1G06170"
"23","AT1G06273"
"24","AT1G06350"
"25","AT1G06487"
"26","AT1G06583"
"27","AT1G06587"
"28","AT1G06613"
"29","AT1G06830"
"30","AT1G07023"
"31","AT1G07180"
"32","AT1G07340"
"33","AT1G07476"
"34","AT1G07493"
"35","AT1G07500"
"36","AT1G07887"
"37","AT1G07963"
"38","AT1G07987"
"39","AT1G08093"
"40","AT1G08147"
"41","AT1G08457"
"42","AT1G08567"
"43","AT1G08810"
"44","AT1G09080"
"45","AT1G09163"
"46","AT1G09513"
"47","AT1G09553"
"48","AT1G09573"
"49","AT1G09603"
"50","AT1G09773"
"51","AT1G09853"
"52","AT1G09903"
"53","AT1G10010"
"54","AT1G10385"
"55","AT1G10540"
"56","AT1G10640"
"57","AT1G10680"
"58","AT1G10747"
"59","AT1G10875"
"60","AT1G11470"
"61","AT1G11510"
"62","AT1G11560"
"63","AT1G12294"
"64","AT1G12672"
"65","AT1G13200"
"66","AT1G13230"
"67","AT1G13400"
"68","AT1G13490"
"69","AT1G15015"
"70","AT1G15540"
"71","AT1G15600"
"72","AT1G15680"
"73","AT1G15830"
"74","AT1G15840"
"75","AT1G16750"
"76","AT1G17310"
"77","AT1G17420"
"78","AT1G17700"
"79","AT1G18350"
"80","AT1G18870"
"81","AT1G18960"
"82","AT1G19390"
"83","AT1G19890"
"84","AT1G20590"
"85","AT1G20923"
"86","AT1G20990"
"87","AT1G21500"
"88","AT1G21550"
"89","AT1G21890"
"90","AT1G22250"
"91","AT1G22380"
"92","AT1G22590"
"93","AT1G22670"
"94","AT1G23070"
"95","AT1G23520"
"96","AT1G23740"
"97","AT1G24260"
"98","AT1G24470"
"99","AT1G24909"
"100","AT1G25155"
"101","AT1G25988"
"102","AT1G26233"
"103","AT1G26510"
"104","AT1G26560"
"105","AT1G26762"
"106","AT1G27565"
"107","AT1G27570"
"108","AT1G27580"
"109","AT1G27820"
"110","AT1G28010"
"111","AT1G28170"
"112","AT1G29090"
"113","AT1G29660"
"114","AT1G29680"
"115","AT1G30135"
"116","AT1G30920"
"117","AT1G30950"
"118","AT1G31960"
"119","AT1G32060"
"120","AT1G32120"
"121","AT1G32570"
"122","AT1G32960"
"123","AT1G33670"
"124","AT1G33890"
"125","AT1G34490"
"126","AT1G34540"
"127","AT1G35180"
"128","AT1G35617"
"129","AT1G36580"
"130","AT1G42560"
"131","AT1G42970"
"132","AT1G44542"
"133","AT1G44575"
"134","AT1G45010"
"135","AT1G45191"
"136","AT1G45616"
"137","AT1G46984"
"138","AT1G47350"
"139","AT1G47790"
"140","AT1G47920"
"141","AT1G48180"
"142","AT1G48400"
"143","AT1G48470"
"144","AT1G48800"
"145","AT1G49130"
"146","AT1G49150"
"147","AT1G49225"
"148","AT1G49330"
"149","AT1G50830"
"150","AT1G51010"
"151","AT1G51538"
"152","AT1G51670"
"153","AT1G51820"
"154","AT1G51913"
"155","AT1G51990"
"156","AT1G52220"
"157","AT1G52230"
"158","AT1G52440"
"159","AT1G52560"
"160","AT1G53540"
"161","AT1G54560"
"162","AT1G54760"
"163","AT1G54930"
"164","AT1G55600"
"165","AT1G56510"
"166","AT1G57670"
"167","AT1G57770"
"168","AT1G57943"
"169","AT1G59670"
"170","AT1G60270"
"171","AT1G60380"
"172","AT1G60720"
"173","AT1G60760"
"174","AT1G61300"
"175","AT1G61566"
"176","AT1G61710"
"177","AT1G61720"
"178","AT1G61920"
"179","AT1G62190"
"180","AT1G62333"
"181","AT1G62886"
"182","AT1G63070"
"183","AT1G63320"
"184","AT1G63340"
"185","AT1G63540"
"186","AT1G64100"
"187","AT1G64130"
"188","AT1G64260"
"189","AT1G64405"
"190","AT1G64500"
"191","AT1G65200"
"192","AT1G65480"
"193","AT1G65800"
"194","AT1G66000"
"195","AT1G66360"
"196","AT1G66420"
"197","AT1G66910"
"198","AT1G66920"
"199","AT1G66940"
"200","AT1G66950"
"201","AT1G66960"
"202","AT1G67100"
"203","AT1G67220"
"204","AT1G67540"
"205","AT1G67623"
"206","AT1G67635"
"207","AT1G67770"
"208","AT1G68600"
"209","AT1G68935"
"210","AT1G69470"
"211","AT1G69540"
"212","AT1G70390"
"213","AT1G70910"
"214","AT1G71390"
"215","AT1G71690"
"216","AT1G72460"
"217","AT1G72620"
"218","AT1G73190"
"219","AT1G73510"
"220","AT1G73610"
"221","AT1G73700"
"222","AT1G74820"
"223","AT1G74990"
"224","AT1G75240"
"225","AT1G75430"
"226","AT1G76750"
"227","AT1G76892"
"228","AT1G76965"
"229","AT1G77160"
"230","AT1G77980"
"231","AT1G78160"
"232","AT1G78500"
"233","AT1G79170"
"234","AT1G79250"
"235","AT1G80470"
"236","AT1G80580"
"237","AT2G01310"
"238","AT2G01360"
"239","AT2G03130"
"240","AT2G03230"
"241","AT2G03250"
"242","AT2G03840"
"243","AT2G03855"
"244","AT2G04005"
"245","AT2G04220"
"246","AT2G04395"
"247","AT2G04405"
"248","AT2G04435"
"249","AT2G05095"
"250","AT2G05100"
"251","AT2G05370"
"252","AT2G05420"
"253","AT2G05585"
"254","AT2G05635"
"255","AT2G05642"
"256","AT2G05753"
"257","AT2G05914"
"258","AT2G05915"
"259","AT2G05945"
"260","AT2G05965"
"261","AT2G06002"
"262","AT2G06305"
"263","AT2G06405"
"264","AT2G07345"
"265","AT2G07654"
"266","AT2G07681"
"267","AT2G07691"
"268","AT2G07702"
"269","AT2G07714"
"270","AT2G08025"
"271","AT2G08320"
"272","AT2G08375"
"273","AT2G08505"
"274","AT2G08530"
"275","AT2G08610"
"276","AT2G08740"
"277","AT2G09255"
"278","AT2G09425"
"279","AT2G09440"
"280","AT2G09575"
"281","AT2G09885"
"282","AT2G09965"
"283","AT2G09970"
"284","AT2G10553"
"285","AT2G10615"
"286","AT2G10940"
"287","AT2G11271"
"288","AT2G12190"
"289","AT2G12905"
"290","AT2G13950"
"291","AT2G14070"
"292","AT2G15090"
"293","AT2G15130"
"294","AT2G15318"
"295","AT2G15555"
"296","AT2G16190"
"297","AT2G17010"
"298","AT2G17470"
"299","AT2G18025"
"300","AT2G18340"
"301","AT2G18490"
"302","AT2G19700"
"303","AT2G19910"
"304","AT2G19920"
"305","AT2G21210"
"306","AT2G21480"
"307","AT2G21490"
"308","AT2G21530"
"309","AT2G22340"
"310","AT2G22590"
"311","AT2G24692"
"312","AT2G25150"
"313","AT2G25482"
"314","AT2G26020"
"315","AT2G26620"
"316","AT2G27270"
"317","AT2G27320"
"318","AT2G27402"
"319","AT2G27750"
"320","AT2G29110"
"321","AT2G30090"
"322","AT2G30690"
"323","AT2G31220"
"324","AT2G32200"
"325","AT2G32550"
"326","AT2G32770"
"327","AT2G32870"
"328","AT2G33230"
"329","AT2G34370"
"330","AT2G34810"
"331","AT2G35070"
"332","AT2G36110"
"333","AT2G36255"
"334","AT2G36440"
"335","AT2G36550"
"336","AT2G36870"
"337","AT2G36920"
"338","AT2G38150"
"339","AT2G38195"
"340","AT2G38220"
"341","AT2G38255"
"342","AT2G38540"
"343","AT2G38920"
"344","AT2G39640"
"345","AT2G40050"
"346","AT2G40116"
"347","AT2G40130"
"348","AT2G40580"
"349","AT2G40925"
"350","AT2G40955"
"351","AT2G42200"
"352","AT2G42900"
"353","AT2G43137"
"354","AT2G44250"
"355","AT2G45410"
"356","AT2G45570"
"357","AT2G46360"
"358","AT2G46455"
"359","AT2G46480"
"360","AT2G46493"
"361","AT2G47750"
"362","AT3G01015"
"363","AT3G01240"
"364","AT3G01345"
"365","AT3G01365"
"366","AT3G01500"
"367","AT3G01635"
"368","AT3G02015"
"369","AT3G02100"
"370","AT3G02270"
"371","AT3G02425"
"372","AT3G02455"
"373","AT3G02525"
"374","AT3G03265"
"375","AT3G03272"
"376","AT3G03385"
"377","AT3G03430"
"378","AT3G03455"
"379","AT3G03820"
"380","AT3G03825"
"381","AT3G03840"
"382","AT3G04785"
"383","AT3G04985"
"384","AT3G05625"
"385","AT3G05790"
"386","AT3G06025"
"387","AT3G06495"
"388","AT3G06560"
"389","AT3G06955"
"390","AT3G07255"
"391","AT3G07275"
"392","AT3G08175"
"393","AT3G08245"
"394","AT3G08280"
"395","AT3G08300"
"396","AT3G08370"
"397","AT3G08585"
"398","AT3G08810"
"399","AT3G08985"
"400","AT3G09245"
"401","AT3G09330"
"402","AT3G09340"
"403","AT3G09620"
"404","AT3G09640"
"405","AT3G09935"
"406","AT3G09950"
"407","AT3G10113"
"408","AT3G10195"
"409","AT3G10240"
"410","AT3G12545"
"411","AT3G12660"
"412","AT3G12890"
"413","AT3G13400"
"414","AT3G13403"
"415","AT3G13525"
"416","AT3G13680"
"417","AT3G13960"
"418","AT3G14250"
"419","AT3G14490"
"420","AT3G15490"
"421","AT3G15960"
"422","AT3G16120"
"423","AT3G16130"
"424","AT3G16160"
"425","AT3G16380"
"426","AT3G17130"
"427","AT3G18485"
"428","AT3G18530"
"429","AT3G19552"
"430","AT3G19595"
"431","AT3G19800"
"432","AT3G19940"
"433","AT3G20520"
"434","AT3G20760"
"435","AT3G20865"
