"","phyD_FLT_c1.which.mclass....9...1."
"1","AT1G01190"
"2","AT1G01310"
"3","AT1G01480"
"4","AT1G01560"
"5","AT1G01880"
"6","AT1G02030"
"7","AT1G02205"
"8","AT1G02310"
"9","AT1G02350"
"10","AT1G02400"
"11","AT1G02510"
"12","AT1G02530"
"13","AT1G02570"
"14","AT1G02575"
"15","AT1G02650"
"16","AT1G02660"
"17","AT1G02700"
"18","AT1G02705"
"19","AT1G03070"
"20","AT1G03106"
"21","AT1G03120"
"22","AT1G03240"
"23","AT1G03390"
"24","AT1G03540"
"25","AT1G03630"
"26","AT1G03700"
"27","AT1G03743"
"28","AT1G03746"
"29","AT1G03820"
"30","AT1G04013"
"31","AT1G04017"
"32","AT1G04077"
"33","AT1G04090"
"34","AT1G04123"
"35","AT1G04150"
"36","AT1G04163"
"37","AT1G04180"
"38","AT1G04193"
"39","AT1G04227"
"40","AT1G04267"
"41","AT1G04330"
"42","AT1G04347"
"43","AT1G04357"
"44","AT1G04397"
"45","AT1G04445"
"46","AT1G04493"
"47","AT1G04560"
"48","AT1G04567"
"49","AT1G04570"
"50","AT1G04600"
"51","AT1G04657"
"52","AT1G04670"
"53","AT1G04767"
"54","AT1G04797"
"55","AT1G04823"
"56","AT1G04827"
"57","AT1G04873"
"58","AT1G04877"
"59","AT1G04880"
"60","AT1G04933"
"61","AT1G04973"
"62","AT1G05020"
"63","AT1G05033"
"64","AT1G05047"
"65","AT1G05057"
"66","AT1G05087"
"67","AT1G05100"
"68","AT1G05143"
"69","AT1G05153"
"70","AT1G05200"
"71","AT1G05207"
"72","AT1G05243"
"73","AT1G05267"
"74","AT1G05283"
"75","AT1G05317"
"76","AT1G05330"
"77","AT1G05417"
"78","AT1G05420"
"79","AT1G05423"
"80","AT1G05490"
"81","AT1G05540"
"82","AT1G05607"
"83","AT1G05610"
"84","AT1G05690"
"85","AT1G05747"
"86","AT1G05773"
"87","AT1G05843"
"88","AT1G05894"
"89","AT1G05913"
"90","AT1G05973"
"91","AT1G05993"
"92","AT1G05997"
"93","AT1G06017"
"94","AT1G06033"
"95","AT1G06045"
"96","AT1G06087"
"97","AT1G06113"
"98","AT1G06117"
"99","AT1G06148"
"100","AT1G06160"
"101","AT1G06173"
"102","AT1G06177"
"103","AT1G06207"
"104","AT1G06217"
"105","AT1G06233"
"106","AT1G06250"
"107","AT1G06253"
"108","AT1G06283"
"109","AT1G06320"
"110","AT1G06337"
"111","AT1G06423"
"112","AT1G06453"
"113","AT1G06467"
"114","AT1G06483"
"115","AT1G06520"
"116","AT1G06553"
"117","AT1G06607"
"118","AT1G06643"
"119","AT1G06647"
"120","AT1G06680"
"121","AT1G06687"
"122","AT1G06690"
"123","AT1G06717"
"124","AT1G06923"
"125","AT1G06983"
"126","AT1G07010"
"127","AT1G07143"
"128","AT1G07160"
"129","AT1G07390"
"130","AT1G07397"
"131","AT1G07407"
"132","AT1G07517"
"133","AT1G07567"
"134","AT1G07587"
"135","AT1G07647"
"136","AT1G07693"
"137","AT1G07813"
"138","AT1G07877"
"139","AT1G07901"
"140","AT1G07903"
"141","AT1G07913"
"142","AT1G08035"
"143","AT1G08103"
"144","AT1G08115"
"145","AT1G08120"
"146","AT1G08165"
"147","AT1G08290"
"148","AT1G08293"
"149","AT1G08300"
"150","AT1G08393"
"151","AT1G08507"
"152","AT1G08513"
"153","AT1G08537"
"154","AT1G08573"
"155","AT1G08723"
"156","AT1G08753"
"157","AT1G08847"
"158","AT1G08903"
"159","AT1G08967"
"160","AT1G09003"
"161","AT1G09083"
"162","AT1G09170"
"163","AT1G09180"
"164","AT1G09193"
"165","AT1G09310"
"166","AT1G09327"
"167","AT1G09400"
"168","AT1G09410"
"169","AT1G09415"
"170","AT1G09420"
"171","AT1G09433"
"172","AT1G09453"
"173","AT1G09473"
"174","AT1G09493"
"175","AT1G09517"
"176","AT1G09557"
"177","AT1G09617"
"178","AT1G09663"
"179","AT1G09673"
"180","AT1G09677"
"181","AT1G09687"
"182","AT1G09713"
"183","AT1G09753"
"184","AT1G09797"
"185","AT1G09860"
"186","AT1G09867"
"187","AT1G09877"
"188","AT1G09913"
"189","AT1G09950"
"190","AT1G10000"
"191","AT1G10095"
"192","AT1G10110"
"193","AT1G10220"
"194","AT1G10360"
"195","AT1G10370"
"196","AT1G10455"
"197","AT1G10550"
"198","AT1G10588"
"199","AT1G10710"
"200","AT1G10790"
"201","AT1G11070"
"202","AT1G11080"
"203","AT1G11112"
"204","AT1G11290"
"205","AT1G11303"
"206","AT1G11350"
"207","AT1G11410"
"208","AT1G11500"
"209","AT1G11655"
"210","AT1G11730"
"211","AT1G12013"
"212","AT1G12805"
"213","AT1G12890"
"214","AT1G13130"
"215","AT1G13143"
"216","AT1G13250"
"217","AT1G13370"
"218","AT1G13500"
"219","AT1G13510"
"220","AT1G13608"
"221","AT1G13630"
"222","AT1G14260"
"223","AT1G14270"
"224","AT1G14345"
"225","AT1G14455"
"226","AT1G14470"
"227","AT1G14500"
"228","AT1G14600"
"229","AT1G14640"
"230","AT1G14686"
"231","AT1G15160"
"232","AT1G15165"
"233","AT1G15460"
"234","AT1G15510"
