"","phyD_FLT_c1.which.mclass....3...1."
"289","AT1G16280"
"290","AT1G16300"
"291","AT1G16320"
"292","AT1G16340"
"293","AT1G16520"
"294","AT1G16570"
"295","AT1G16710"
"296","AT1G16800"
"297","AT1G16900"
"298","AT1G16916"
"299","AT1G16970"
"300","AT1G17110"
"301","AT1G17120"
"302","AT1G17130"
"303","AT1G17145"
"304","AT1G17147"
"305","AT1G17350"
"306","AT1G17430"
"307","AT1G17490"
"308","AT1G17500"
"309","AT1G17520"
"310","AT1G17550"
"311","AT1G17620"
"312","AT1G17690"
"313","AT1G17730"
"314","AT1G17780"
"315","AT1G17970"
"316","AT1G18040"
"317","AT1G18100"
"318","AT1G18160"
"319","AT1G18260"
"320","AT1G18330"
"321","AT1G18390"
"322","AT1G18480"
"323","AT1G18570"
"324","AT1G18580"
"325","AT1G18660"
"326","AT1G18700"
"327","AT1G18740"
"328","AT1G18745"
"329","AT1G18840"
"330","AT1G18890"
"331","AT1G18910"
"332","AT1G18950"
"333","AT1G18970"
"334","AT1G18975"
"335","AT1G19020"
"336","AT1G19110"
"337","AT1G19240"
"338","AT1G19300"
"339","AT1G19370"
"340","AT1G19430"
"341","AT1G19440"
"342","AT1G19485"
"343","AT1G19520"
"344","AT1G19540"
"345","AT1G19570"
"346","AT1G19710"
"347","AT1G19730"
"348","AT1G19800"
"349","AT1G19880"
"350","AT1G19968"
"351","AT1G19990"
"352","AT1G20140"
"353","AT1G20490"
"354","AT1G20540"
"355","AT1G20560"
"356","AT1G20610"
"357","AT1G20670"
"358","AT1G20760"
"359","AT1G20890"
"360","AT1G21160"
"361","AT1G21200"
"362","AT1G21370"
"363","AT1G21400"
"364","AT1G21560"
"365","AT1G21580"
"366","AT1G21600"
"367","AT1G21660"
"368","AT1G21700"
"369","AT1G21710"
"370","AT1G21730"
"371","AT1G21840"
"372","AT1G21980"
"373","AT1G22050"
"374","AT1G22060"
"375","AT1G22065"
"376","AT1G22070"
"377","AT1G22180"
"378","AT1G22230"
"379","AT1G22330"
"380","AT1G22510"
"381","AT1G22610"
"382","AT1G22640"
"383","AT1G22740"
"384","AT1G22750"
"385","AT1G22770"
"386","AT1G22790"
"387","AT1G22850"
"388","AT1G22882"
"389","AT1G22910"
"390","AT1G22970"
"391","AT1G23000"
"392","AT1G23050"
"393","AT1G23052"
"394","AT1G23100"
"395","AT1G23205"
"396","AT1G23220"
"397","AT1G23390"
"398","AT1G23480"
"399","AT1G23760"
"400","AT1G23780"
"401","AT1G23850"
"402","AT1G23890"
"403","AT1G23900"
"404","AT1G23950"
"405","AT1G24120"
"406","AT1G24160"
"407","AT1G24170"
"408","AT1G24190"
"409","AT1G24240"
"410","AT1G24310"
"411","AT1G24320"
"412","AT1G24440"
"413","AT1G24460"
"414","AT1G24560"
"415","AT1G24610"
"416","AT1G24625"
"417","AT1G24764"
"418","AT1G24793"
"419","AT1G25211"
"420","AT1G25420"
"421","AT1G25500"
"422","AT1G25510"
"423","AT1G25520"
"424","AT1G25560"
"425","AT1G25580"
"426","AT1G25682"
"427","AT1G26180"
"428","AT1G26300"
"429","AT1G26340"
"430","AT1G26460"
"431","AT1G26660"
"432","AT1G26680"
"433","AT1G26800"
"434","AT1G26820"
"435","AT1G26830"
"436","AT1G26840"
"437","AT1G26910"
"438","AT1G26930"
"439","AT1G26940"
"440","AT1G26960"
"441","AT1G27050"
"442","AT1G27100"
"443","AT1G27190"
"444","AT1G27320"
"445","AT1G27385"
"446","AT1G27440"
"447","AT1G27470"
"448","AT1G27510"
"449","AT1G27520"
"450","AT1G27540"
"451","AT1G27595"
"452","AT1G27600"
"453","AT1G27630"
"454","AT1G27670"
"455","AT1G27695"
"456","AT1G27700"
"457","AT1G27750"
"458","AT1G27760"
"459","AT1G27770"
"460","AT1G27840"
"461","AT1G27921"
"462","AT1G27930"
"463","AT1G28070"
"464","AT1G28120"
"465","AT1G28130"
"466","AT1G28140"
"467","AT1G28150"
"468","AT1G28190"
"469","AT1G28240"
"470","AT1G28260"
"471","AT1G28280"
"472","AT1G28310"
"473","AT1G28340"
"474","AT1G28350"
"475","AT1G28380"
"476","AT1G28410"
"477","AT1G28420"
"478","AT1G28440"
"479","AT1G28490"
"480","AT1G28520"
