"","phyD_FLT_c1.which.mclass....7...1."
"1","AT1G01820"
"2","AT1G02160"
"3","AT1G02305"
"4","AT1G02900"
"5","AT1G03410"
"6","AT1G04183"
"7","AT1G04250"
"8","AT1G04680"
"9","AT1G05570"
"10","AT1G05720"
"11","AT1G06110"
"12","AT1G06570"
"13","AT1G06700"
"14","AT1G07080"
"15","AT1G08580"
"16","AT1G08803"
"17","AT1G08930"
"18","AT1G09430"
"19","AT1G09620"
"20","AT1G09932"
"21","AT1G09970"
"22","AT1G10120"
"23","AT1G10200"
"24","AT1G10470"
"25","AT1G11545"
"26","AT1G11670"
"27","AT1G11860"
"28","AT1G12440"
"29","AT1G13260"
"30","AT1G13280"
"31","AT1G13380"
"32","AT1G13930"
"33","AT1G14620"
"34","AT1G14900"
"35","AT1G15250"
"36","AT1G15340"
"37","AT1G15670"
"38","AT1G15750"
"39","AT1G16000"
"40","AT1G16470"
"41","AT1G16560"
"42","AT1G16740"
"43","AT1G16880"
"44","AT1G17180"
"45","AT1G17290"
"46","AT1G17890"
"47","AT1G18720"
"48","AT1G19350"
"49","AT1G19360"
"50","AT1G19400"
"51","AT1G19850"
"52","AT1G20200"
"53","AT1G20430"
"54","AT1G20840"
"55","AT1G20850"
"56","AT1G20960"
"57","AT1G21090"
"58","AT1G21190"
"59","AT1G21680"
"60","AT1G22360"
"61","AT1G22410"
"62","AT1G23080"
"63","AT1G23860"
"64","AT1G24881"
"65","AT1G25550"
"66","AT1G26665"
"67","AT1G27130"
"68","AT1G27290"
"69","AT1G29370"
"70","AT1G29900"
"71","AT1G29990"
"72","AT1G30120"
"73","AT1G30360"
"74","AT1G30510"
"75","AT1G30750"
"76","AT1G32170"
"77","AT1G32580"
"78","AT1G32920"
"79","AT1G33055"
"80","AT1G33110"
"81","AT1G34110"
"82","AT1G34370"
"83","AT1G35516"
"84","AT1G35720"
"85","AT1G36060"
"86","AT1G37130"
"87","AT1G43790"
"88","AT1G43890"
"89","AT1G44770"
"90","AT1G44800"
"91","AT1G47128"
"92","AT1G47395"
