"","phyD_FLT_c1.which.mclass....4...1."
"1","AT1G01183"
"2","AT1G01420"
"3","AT1G01453"
"4","AT1G01520"
"5","AT1G01600"
"6","AT1G01680"
"7","AT1G02470"
"8","AT1G02490"
"9","AT1G02580"
"10","AT1G02710"
"11","AT1G02770"
"12","AT1G02820"
"13","AT1G02952"
"14","AT1G03170"
"15","AT1G03445"
"16","AT1G03502"
"17","AT1G03506"
"18","AT1G03710"
"19","AT1G04023"
"20","AT1G04037"
"21","AT1G04073"
"22","AT1G04103"
"23","AT1G04105"
"24","AT1G04187"
"25","AT1G04197"
"26","AT1G04217"
"27","AT1G04223"
"28","AT1G04237"
"29","AT1G04273"
"30","AT1G04277"
"31","AT1G04303"
"32","AT1G04343"
"33","AT1G04363"
"34","AT1G04403"
"35","AT1G04427"
"36","AT1G04467"
"37","AT1G04473"
"38","AT1G04497"
"39","AT1G04507"
"40","AT1G04523"
"41","AT1G04533"
"42","AT1G04563"
"43","AT1G04577"
"44","AT1G04583"
"45","AT1G04587"
"46","AT1G04625"
"47","AT1G04660"
"48","AT1G04713"
"49","AT1G04743"
"50","AT1G04800"
"51","AT1G04853"
"52","AT1G04913"
"53","AT1G05023"
"54","AT1G05043"
"55","AT1G05203"
"56","AT1G05247"
"57","AT1G05253"
"58","AT1G05297"
"59","AT1G05327"
"60","AT1G05357"
"61","AT1G05447"
"62","AT1G05450"
"63","AT1G05463"
"64","AT1G05493"
"65","AT1G05510"
"66","AT1G05517"
"67","AT1G05675"
"68","AT1G05693"
"69","AT1G05703"
"70","AT1G05707"
"71","AT1G05723"
"72","AT1G05727"
"73","AT1G05757"
"74","AT1G05783"
"75","AT1G05813"
"76","AT1G05917"
"77","AT1G05920"
"78","AT1G05933"
"79","AT1G05937"
"80","AT1G05977"
"81","AT1G06003"
"82","AT1G06020"
"83","AT1G06030"
"84","AT1G06100"
"85","AT1G06153"
"86","AT1G06163"
"87","AT1G06237"
"88","AT1G06243"
"89","AT1G06257"
"90","AT1G06260"
"91","AT1G06457"
"92","AT1G06537"
"93","AT1G06547"
"94","AT1G06645"
"95","AT1G06667"
"96","AT1G06750"
