"","X","WS_GC_c1.which.mclass....5...1."
"720",720,"AT1G33790"
"2657",2657,"AT3G18030"
"4300",4300,"AT5G10020"
"1998",1998,"AT2G39080"
"1606",1606,"AT2G19680"
"1957",1957,"AT2G37220"
"3683",3683,"AT4G22530"
"5084",5084,"AT5G55050"
"2573",2573,"AT3G14440"
"580",580,"AT1G26100"
"845",845,"AT1G50570"
"953",953,"AT1G57860"
"4575",4575,"AT5G22330"
"763",763,"AT1G44180"
"3881",3881,"AT4G31570"
"554",554,"AT1G23870"
"2412",2412,"AT3G08943"
"5218",5218,"AT5G60570"
"399",399,"AT1G16270"
"2160",2160,"AT2G46030"
"3477",3477,"AT4G11410"
"478",478,"AT1G20225"
"1799",1799,"AT2G28660"
"990",990,"AT1G61150"
"710",710,"AT1G33110"
"519",519,"AT1G22360"
"2420",2420,"AT3G09455"
"4006",4006,"AT4G36520"
"3632",3632,"AT4G19350"
"5156",5156,"AT5G57980"
"3954",3954,"AT4G34360"
"3664",3664,"AT4G21610"
"3775",3775,"AT4G27010"
"3295",3295,"AT3G63420"
"3277",3277,"AT3G62770"
"3261",3261,"AT3G62130"
"2479",2479,"AT3G11530"
"2451",2451,"AT3G10380"
"1398",1398,"AT2G01180"
"604",604,"AT1G27050"
"1731",1731,"AT2G26355"
"4197",4197,"AT5G05250"
"2182",2182,"AT2G46920"
"621",621,"AT1G27930"
"3922",3922,"AT4G33060"
"4388",4388,"AT5G13550"
"2094",2094,"AT2G43535"
"1191",1191,"AT1G72210"
"3846",3846,"AT4G30290"
"2838",2838,"AT3G26640"
"2714",2714,"AT3G20340"
"2871",2871,"AT3G28480"
"1718",1718,"AT2G25870"
"366",366,"AT1G14990"
"293",293,"AT1G11930"
"1644",1644,"AT2G21440"
"4190",4190,"AT5G04860"
"1180",1180,"AT1G71865"
"657",657,"AT1G29810"
"1914",1914,"AT2G35190"
"3247",3247,"AT3G61490"
"1904",1904,"AT2G34660"
"444",444,"AT1G18580"
"772",772,"AT1G45015"
"2803",2803,"AT3G24670"
"2947",2947,"AT3G47610"
"42",42,"AT1G02750"
"1052",1052,"AT1G64990"
"2538",2538,"AT3G13320"
"2524",2524,"AT3G12970"
"5384",5384,"AT5G66675"
"4839",4839,"AT5G43320"
"1911",1911,"AT2G35010"
"1761",1761,"AT2G27170"
"1336",1336,"AT1G79000"
"1677",1677,"AT2G23380"
"4820",4820,"AT5G42630"
"5204",5204,"AT5G59840"
"4061",4061,"AT4G38460"
"3272",3272,"AT3G62560"
"3336",3336,"AT4G01430"
"2194",2194,"AT2G47400"
"2232",2232,"AT3G01850"
"2597",2597,"AT3G15290"
"4655",4655,"AT5G26210"
"4535",4535,"AT5G19550"
"2004",2004,"AT2G39300"
"4986",4986,"AT5G49980"
"273",273,"AT1G11020"
"4963",4963,"AT5G49100"
"2063",2063,"AT2G41780"
"2176",2176,"AT2G46690"
"1837",1837,"AT2G31060"
"1304",1304,"AT1G77380"
"2200",2200,"AT2G47620"
"2239",2239,"AT3G02170"
"3391",3391,"AT4G03560"
"287",287,"AT1G11760"
"38",38,"AT1G02520"
"1272",1272,"AT1G76120"
"3633",3633,"AT4G19370"
"759",759,"AT1G43900"
"169",169,"AT1G07373"
"3437",3437,"AT4G08790"
"1300",1300,"AT1G77080"
"1692",1692,"AT2G24300"
"1681",1681,"AT2G23620"
"2242",2242,"AT3G02290"
"2753",2753,"AT3G22370"
"4199",4199,"AT5G05410"
"2102",2102,"AT2G44010"
"4386",4386,"AT5G13500"
"4494",4494,"AT5G18190"
"5115",5115,"AT5G56280"
"1221",1221,"AT1G73500"
"2238",2238,"AT3G02120"
"5296",5296,"AT5G63640"
"2148",2148,"AT2G45540"
"1438",1438,"AT2G03150"
"1765",1765,"AT2G27360"
"779",779,"AT1G46264"
"5129",5129,"AT5G57040"
"5348",5348,"AT5G65620"
"3085",3085,"AT3G54360"
"3884",3884,"AT4G31730"
"4332",4332,"AT5G11680"
"2932",2932,"AT3G46550"
"5171",5171,"AT5G58440"
"1910",1910,"AT2G34970"
"792",792,"AT1G47710"
"2849",2849,"AT3G27050"
"3984",3984,"AT4G35410"
"2764",2764,"AT3G23030"
"248",248,"AT1G10270"
"1821",1821,"AT2G30000"
"2020",2020,"AT2G39805"
"1969",1969,"AT2G37790"
"2042",2042,"AT2G40820"
"2411",2411,"AT3G08930"
"2222",2222,"AT3G01360"
"439",439,"AT1G18270"
"3710",3710,"AT4G24340"
"14",14,"AT1G01430"
"4109",4109,"AT4G40090"
"1555",1555,"AT2G17450"
"4884",4884,"AT5G45420"
"3181",3181,"AT3G58170"
"1450",1450,"AT2G03760"
"268",268,"AT1G10890"
"2442",2442,"AT3G10190"
"1760",1760,"AT2G27140"
"2809",2809,"AT3G25120"
"1823",1823,"AT2G30060"
"1639",1639,"AT2G21240"
"2747",2747,"AT3G21720"
"3465",3465,"AT4G10710"
"2778",2778,"AT3G23810"
"1627",1627,"AT2G20830"
"2331",2331,"AT3G05520"
"3978",3978,"AT4G35220"
"619",619,"AT1G27760"
"4239",4239,"AT5G06700"
"2316",2316,"AT3G04950"
"944",944,"AT1G56230"
"3761",3761,"AT4G26540"
"4511",4511,"AT5G18920"
"383",383,"AT1G15640"
"1047",1047,"AT1G64460"
"2694",2694,"AT3G19520"
"4146",4146,"AT5G02820"
"1585",1585,"AT2G18770"
"4955",4955,"AT5G48630"
"93",93,"AT1G04940"
"1790",1790,"AT2G28400"
"4745",4745,"AT5G38380"
"2399",2399,"AT3G08640"
"2516",2516,"AT3G12700"
"2510",2510,"AT3G12560"
"3744",3744,"AT4G25720"
"2698",2698,"AT3G19630"
"3570",3570,"AT4G16444"
"1961",1961,"AT2G37430"
"2190",2190,"AT2G47210"
"4321",4321,"AT5G11010"
"2832",2832,"AT3G26470"
"1547",1547,"AT2G17250"
"1962",1962,"AT2G37500"
"1432",1432,"AT2G02740"
"3906",3906,"AT4G32640"
"2703",2703,"AT3G19950"
"5113",5113,"AT5G56220"
"4024",4024,"AT4G37120"
"3657",3657,"AT4G21192"
"2323",2323,"AT3G05150"
"866",866,"AT1G52360"
"4582",4582,"AT5G22640"
"2972",2972,"AT3G48760"
"747",747,"AT1G41830"
"3740",3740,"AT4G25660"
"5211",5211,"AT5G60300"
"2628",2628,"AT3G16740"
"2116",2116,"AT2G44500"
"3118",3118,"AT3G55400"
"4391",4391,"AT5G13680"
"2314",2314,"AT3G04930"
"285",285,"AT1G11592"
"1984",1984,"AT2G38560"
"2612",2612,"AT3G15950"
"5327",5327,"AT5G64730"
"1850",1850,"AT2G31710"
"4512",4512,"AT5G18940"
"3205",3205,"AT3G59660"
"2780",2780,"AT3G23980"
"2898",2898,"AT3G33530"
"4707",4707,"AT5G35320"
"1066",1066,"AT1G66070"
"1050",1050,"AT1G64740"
"4481",4481,"AT5G17550"
"5025",5025,"AT5G51890"
"1985",1985,"AT2G38580"
"1886",1886,"AT2G33610"
"630",630,"AT1G28280"
"5090",5090,"AT5G55180"
"2945",2945,"AT3G47510"
"4436",4436,"AT5G15880"
"2275",2275,"AT3G03330"
"983",983,"AT1G60940"
"401",401,"AT1G16300"
"3900",3900,"AT4G32420"
"3697",3697,"AT4G23750"
"3804",3804,"AT4G28190"
"1666",1666,"AT2G22660"
"1858",1858,"AT2G31960"
"4096",4096,"AT4G39780"
"3610",3610,"AT4G18260"
"4743",4743,"AT5G37930"
"3729",3729,"AT4G25130"
"2286",2286,"AT3G03773"
"2917",2917,"AT3G44600"
"2326",2326,"AT3G05220"
"4578",4578,"AT5G22450"
"3679",3679,"AT4G22320"
"1403",1403,"AT2G01350"
"3399",3399,"AT4G04780"
"1325",1325,"AT1G78560"
"442",442,"AT1G18480"
"326",326,"AT1G13320"
"3934",3934,"AT4G33530"
"806",806,"AT1G48350"
"5309",5309,"AT5G64020"
"4341",4341,"AT5G11900"
"222",222,"AT1G09130"
"4294",4294,"AT5G09890"
"1484",1484,"AT2G07627"
"4022",4022,"AT4G37070"
"2818",2818,"AT3G25710"
"1502",1502,"AT2G14460"
"4262",4262,"AT5G08280"
"3116",3116,"AT3G55340"
"1481",1481,"AT2G07175"
"2568",2568,"AT3G14350"
"1814",1814,"AT2G29210"
"5243",5243,"AT5G61670"
"4950",4950,"AT5G48500"
"1129",1129,"AT1G69750"
"1987",1987,"AT2G38610"
"1798",1798,"AT2G28620"
"375",375,"AT1G15240"
"317",317,"AT1G13080"
"596",596,"AT1G26830"
"3963",3963,"AT4G34630"
"4580",4580,"AT5G22555"
"4452",4452,"AT5G16550"
"12",12,"AT1G01350"
"4945",4945,"AT5G48240"
"327",327,"AT1G13360"
"507",507,"AT1G21840"
"3642",3642,"AT4G20170"
"2908",2908,"AT3G43590"
"4667",4667,"AT5G26860"
"4198",4198,"AT5G05270"
"887",887,"AT1G53590"
"5165",5165,"AT5G58200"
"2736",2736,"AT3G21260"
"926",926,"AT1G55500"
"1397",1397,"AT2G01170"
"1690",1690,"AT2G24180"
"1286",1286,"AT1G76560"
"2445",2445,"AT3G10230"
"690",690,"AT1G32090"
"382",382,"AT1G15630"
"218",218,"AT1G08890"
"3",3,"AT1G01070"
"1810",1810,"AT2G29125"
"1857",1857,"AT2G31900"
"18",18,"AT1G01650"
"1772",1772,"AT2G27590"
"1428",1428,"AT2G02630"
"2695",2695,"AT3G19540"
"1959",1959,"AT2G37380"
"3123",3123,"AT3G55850"
"3439",3439,"AT4G08850"
"5121",5121,"AT5G56650"
"3426",3426,"AT4G07855"
"4051",4051,"AT4G38060"
"4805",4805,"AT5G41880"
"4556",4556,"AT5G20700"
"3462",3462,"AT4G10330"
"3137",3137,"AT3G56510"
"5320",5320,"AT5G64420"
"1797",1797,"AT2G28570"
"2946",2946,"AT3G47590"
"2196",2196,"AT2G47490"
"2808",2808,"AT3G25110"
"1020",1020,"AT1G63050"
"2618",2618,"AT3G16190"
"2951",2951,"AT3G47730"
"4988",4988,"AT5G50150"
"2241",2241,"AT3G02245"
"1133",1133,"AT1G69850"
"2049",2049,"AT2G41130"
"5361",5361,"AT5G65940"
"4927",4927,"AT5G47630"
"607",607,"AT1G27150"
"1536",1536,"AT2G16740"
"4421",4421,"AT5G14790"
"1751",1751,"AT2G26970"
"1168",1168,"AT1G71430"
"361",361,"AT1G14730"
"3684",3684,"AT4G22540"
"1979",1979,"AT2G38280"
"284",284,"AT1G11530"
"938",938,"AT1G55890"
"5167",5167,"AT5G58300"
"1156",1156,"AT1G71020"
"2874",2874,"AT3G28720"
"2678",2678,"AT3G18940"
"4579",4579,"AT5G22480"
"5250",5250,"AT5G62050"
"1503",1503,"AT2G14720"
"1951",1951,"AT2G36895"
"1177",1177,"AT1G71820"
"1285",1285,"AT1G76550"
"4153",4153,"AT5G03185"
"2328",2328,"AT3G05290"
"1476",1476,"AT2G06530"
"3504",3504,"AT4G13270"
"1507",1507,"AT2G14825"
"3344",3344,"AT4G01810"
"2186",2186,"AT2G47060"
"5283",5283,"AT5G63220"
"3324",3324,"AT4G01040"
"4309",4309,"AT5G10520"
"3656",3656,"AT4G21160"
"3624",3624,"AT4G19003"
"3538",3538,"AT4G14990"
"5415",5415,"ATCG00900"
"1705",1705,"AT2G25270"
"1369",1369,"AT1G80350"
"754",754,"AT1G43670"
"4131",4131,"AT5G02020"
"1002",1002,"AT1G61890"
"3400",3400,"AT4G04800"
"2546",2546,"AT3G13610"
"4272",4272,"AT5G08610"
"1327",1327,"AT1G78630"
"3200",3200,"AT3G59220"
"1386",1386,"AT1G80840"
"1080",1080,"AT1G67120"
"5288",5288,"AT5G63460"
"392",392,"AT1G15940"
"4285",4285,"AT5G09440"
"4518",4518,"AT5G19130"
"2224",2224,"AT3G01400"
"3436",3436,"AT4G08690"
"601",601,"AT1G26960"
"3619",3619,"AT4G18780"
"2067",2067,"AT2G41970"
"540",540,"AT1G23040"
"1864",1864,"AT2G32179"
"4616",4616,"AT5G24490"
"1349",1349,"AT1G79470"
"737",737,"AT1G35190"
"3350",3350,"AT4G02030"
"1070",1070,"AT1G66430"
"4479",4479,"AT5G17510"
"1486",1486,"AT2G07715"
"4067",4067,"AT4G38552"
"2688",2688,"AT3G19390"
"5047",5047,"AT5G53090"
"3064",3064,"AT3G53520"
"4450",4450,"AT5G16450"
"141",141,"AT1G06380"
"3584",3584,"AT4G17085"
"4783",4783,"AT5G40670"
"733",733,"AT1G34430"
"1360",1360,"AT1G79940"
"537",537,"AT1G22970"
"539",539,"AT1G23030"
"4209",4209,"AT5G05690"
"4072",4072,"AT4G38710"
"2173",2173,"AT2G46550"
"2303",2303,"AT3G04580"
"2048",2048,"AT2G41100"
"5423",5423,"ATMG00660"
"1289",1289,"AT1G76660"
"1709",1709,"AT2G25480"
"347",347,"AT1G14080"
"3105",3105,"AT3G54860"
