"","X","WS_GC_c1.which.mclass....1...1."
"2713",2713,"AT4G03655"
"1653",1653,"AT2G35370"
"2593",2593,"AT3G59710"
"1999",1999,"AT3G07805"
"571",571,"AT1G30500"
"283",283,"AT1G10657"
"541",541,"AT1G28570"
"1646",1646,"AT2G34990"
"11",11,"AT1G01700"
"2595",2595,"AT3G59750"
"3198",3198,"AT4G36160"
"3111",3111,"AT4G29180"
"3455",3455,"AT5G10572"
"1768",1768,"AT2G42340"
"1711",1711,"AT2G38465"
"2255",2255,"AT3G23440"
"4013",4013,"AT5G59650"
"2730",2730,"AT4G04840"
"2283",2283,"AT3G25950"
"1111",1111,"AT1G75000"
"822",822,"AT1G59940"
"325",325,"AT1G13140"
"3414",3414,"AT5G08175"
"3930",3930,"AT5G52900"
"3687",3687,"AT5G36260"
"692",692,"AT1G51030"
"1480",1480,"AT2G23170"
"3117",3117,"AT4G29550"
"1879",1879,"AT3G02010"
"2315",2315,"AT3G27860"
"4014",4014,"AT5G59662"
"298",298,"AT1G11300"
"3978",3978,"AT5G57260"
"3944",3944,"AT5G54300"
"5",5,"AT1G01310"
"1528",1528,"AT2G27180"
"46",46,"AT1G03445"
"3882",3882,"AT5G49390"
"2175",2175,"AT3G18770"
"923",923,"AT1G64618"
"4092",4092,"AT5G65090"
"936",936,"AT1G65370"
"3587",3587,"AT5G20150"
"3672",3672,"AT5G27493"
"4191",4191,"ATMG01370"
"2371",2371,"AT3G44800"
"1953",1953,"AT3G05340"
"2905",2905,"AT4G16015"
"3308",3308,"AT5G02540"
"687",687,"AT1G50590"
"2398",2398,"AT3G46330"
"1195",1195,"AT1G80745"
"3739",3739,"AT5G41170"
"2159",2159,"AT3G17660"
"3417",3417,"AT5G08495"
"9",9,"AT1G01610"
"1827",1827,"AT2G46430"
"928",928,"AT1G64930"
"2250",2250,"AT3G23250"
"2009",2009,"AT3G08220"
"861",861,"AT1G62260"
"2297",2297,"AT3G26490"
"945",945,"AT1G66350"
"1753",1753,"AT2G41312"
"3565",3565,"AT5G18840"
"2534",2534,"AT3G55646"
"4097",4097,"AT5G65510"
"2381",2381,"AT3G45330"
"2686",2686,"AT4G01550"
"691",691,"AT1G50970"
"2533",2533,"AT3G55580"
"3646",3646,"AT5G25750"
"1598",1598,"AT2G32620"
"1938",1938,"AT3G04860"
"2185",2185,"AT3G19310"
"1217",1217,"AT2G02250"
"1185",1185,"AT1G79640"
"235",235,"AT1G09310"
"2768",2768,"AT4G07200"
"2951",2951,"AT4G18980"
"3366",3366,"AT5G05350"
"402",402,"AT1G17235"
"1262",1262,"AT2G05205"
"1619",1619,"AT2G33750"
"1569",1569,"AT2G30750"
"707",707,"AT1G51620"
"961",961,"AT1G67040"
"1488",1488,"AT2G23760"
"489",489,"AT1G23550"
"919",919,"AT1G64570"
"2462",2462,"AT3G50200"
"3164",3164,"AT4G33905"
"1458",1458,"AT2G21820"
"3269",3269,"AT5G01170"
"2086",2086,"AT3G12685"
"752",752,"AT1G53600"
"3054",3054,"AT4G25490"
"643",643,"AT1G45231"
"2816",2816,"AT4G11170"
"1755",1755,"AT2G41342"
"1741",1741,"AT2G40711"
"1089",1089,"AT1G74070"
"2971",2971,"AT4G20050"
"3807",3807,"AT5G44930"
"1024",1024,"AT1G70185"
"668",668,"AT1G49205"
