"","WS_GC_c1.which.mclass....3...1."
"1","AT1G01010"
"2","AT1G01030"
"3","AT1G01040"
"4","AT1G01140"
"5","AT1G01180"
"6","AT1G01220"
"7","AT1G01225"
"8","AT1G01260"
"9","AT1G01320"
"10","AT1G01370"
"11","AT1G01440"
"12","AT1G01448"
"13","AT1G01450"
"14","AT1G01500"
"15","AT1G01580"
"16","AT1G01630"
"17","AT1G01640"
"18","AT1G01670"
"19","AT1G01690"
"20","AT1G01710"
"21","AT1G01725"
"22","AT1G01760"
"23","AT1G01770"
"24","AT1G01780"
"25","AT1G01790"
"26","AT1G01830"
"27","AT1G01840"
"28","AT1G01860"
"29","AT1G01930"
"30","AT1G01950"
"31","AT1G01970"
"32","AT1G01990"
"33","AT1G02000"
"34","AT1G02020"
"35","AT1G02050"
"36","AT1G02060"
"37","AT1G02270"
"38","AT1G02290"
"39","AT1G02300"
"40","AT1G02370"
"41","AT1G02390"
"42","AT1G02430"
"43","AT1G02440"
"44","AT1G02460"
"45","AT1G02475"
"46","AT1G02610"
"47","AT1G02640"
"48","AT1G02720"
"49","AT1G02730"
"50","AT1G02740"
"51","AT1G02810"
"52","AT1G02860"
"53","AT1G02910"
"54","AT1G02920"
"55","AT1G02930"
"56","AT1G02950"
"57","AT1G02960"
"58","AT1G02970"
"59","AT1G02990"
"60","AT1G03000"
"61","AT1G03010"
"62","AT1G03160"
"63","AT1G03180"
"64","AT1G03190"
"65","AT1G03260"
"66","AT1G03270"
"67","AT1G03300"
"68","AT1G03310"
"69","AT1G03365"
"70","AT1G03370"
"71","AT1G03440"
"72","AT1G03457"
"73","AT1G03470"
"74","AT1G03475"
"75","AT1G03520"
"76","AT1G03550"
"77","AT1G03560"
"78","AT1G03650"
"79","AT1G03660"
"80","AT1G03680"
"81","AT1G03740"
"82","AT1G03750"
"83","AT1G03760"
"84","AT1G03770"
"85","AT1G03830"
"86","AT1G03920"
"87","AT1G03930"
"88","AT1G03950"
"89","AT1G03960"
"90","AT1G04000"
"91","AT1G04010"
"92","AT1G04050"
"93","AT1G04053"
"94","AT1G04100"
"95","AT1G04117"
"96","AT1G04130"
"97","AT1G04180"
"98","AT1G04183"
"99","AT1G04200"
"100","AT1G04230"
"101","AT1G04295"
"102","AT1G04353"
"103","AT1G04360"
"104","AT1G04390"
"105","AT1G04420"
"106","AT1G04433"
"107","AT1G04463"
"108","AT1G04490"
"109","AT1G04550"
"110","AT1G04555"
"111","AT1G04620"
"112","AT1G04635"
"113","AT1G04640"
"114","AT1G04647"
"115","AT1G04650"
"116","AT1G04710"
"117","AT1G04730"
"118","AT1G04760"
"119","AT1G04773"
"120","AT1G04790"
"121","AT1G04803"
"122","AT1G04830"
"123","AT1G04833"
"124","AT1G04837"
"125","AT1G04840"
"126","AT1G04917"
"127","AT1G04930"
"128","AT1G04945"
"129","AT1G04977"
"130","AT1G04990"
"131","AT1G05000"
"132","AT1G05010"
"133","AT1G05060"
"134","AT1G05090"
"135","AT1G05120"
"136","AT1G05147"
"137","AT1G05160"
"138","AT1G05170"
"139","AT1G05183"
"140","AT1G05187"
"141","AT1G05213"
"142","AT1G05280"
"143","AT1G05320"
"144","AT1G05340"
"145","AT1G05440"
"146","AT1G05460"
"147","AT1G05467"
"148","AT1G05470"
"149","AT1G05523"
"150","AT1G05553"
"151","AT1G05590"
"152","AT1G05640"
"153","AT1G05687"
"154","AT1G05700"
"155","AT1G05730"
"156","AT1G05750"
"157","AT1G05753"
"158","AT1G05760"
"159","AT1G05767"
"160","AT1G05770"
"161","AT1G05780"
"162","AT1G05790"
"163","AT1G05830"
"164","AT1G05835"
"165","AT1G05860"
"166","AT1G05900"
"167","AT1G05950"
"168","AT1G06002"
"169","AT1G06050"
"170","AT1G06070"
"171","AT1G06143"
"172","AT1G06150"
"173","AT1G06225"
"174","AT1G06227"
"175","AT1G06240"
"176","AT1G06270"
"177","AT1G06287"
"178","AT1G06310"
"179","AT1G06330"
"180","AT1G06420"
"181","AT1G06430"
"182","AT1G06440"
"183","AT1G06450"
