"","WS_GC_c1.which.mclass....5...1."
"289","AT1G11790"
"290","AT1G11820"
"291","AT1G11890"
"292","AT1G11905"
"293","AT1G11930"
"294","AT1G12020"
"295","AT1G12050"
"296","AT1G12120"
"297","AT1G12160"
"298","AT1G12200"
"299","AT1G12240"
"300","AT1G12340"
"301","AT1G12360"
"302","AT1G12410"
"303","AT1G12500"
"304","AT1G12520"
"305","AT1G12580"
"306","AT1G12640"
"307","AT1G12650"
"308","AT1G12760"
"309","AT1G12780"
"310","AT1G12810"
"311","AT1G12820"
"312","AT1G12830"
"313","AT1G12845"
"314","AT1G12850"
"315","AT1G12990"
"316","AT1G13030"
"317","AT1G13080"
"318","AT1G13110"
"319","AT1G13120"
"320","AT1G13160"
"321","AT1G13170"
"322","AT1G13210"
"323","AT1G13220"
"324","AT1G13245"
"325","AT1G13300"
"326","AT1G13320"
"327","AT1G13360"
"328","AT1G13390"
"329","AT1G13450"
"330","AT1G13460"
"331","AT1G13530"
"332","AT1G13570"
"333","AT1G13580"
"334","AT1G13620"
"335","AT1G13635"
"336","AT1G13640"
"337","AT1G13670"
"338","AT1G13690"
"339","AT1G13810"
"340","AT1G13880"
"341","AT1G13930"
"342","AT1G13950"
"343","AT1G13980"
"344","AT1G13990"
"345","AT1G14000"
"346","AT1G14060"
"347","AT1G14080"
"348","AT1G14170"
"349","AT1G14220"
"350","AT1G14230"
"351","AT1G14300"
"352","AT1G14360"
"353","AT1G14380"
"354","AT1G14410"
"355","AT1G14453"
"356","AT1G14510"
"357","AT1G14650"
"358","AT1G14685"
"359","AT1G14690"
"360","AT1G14710"
"361","AT1G14730"
"362","AT1G14740"
"363","AT1G14850"
"364","AT1G14860"
"365","AT1G14900"
"366","AT1G14990"
"367","AT1G15010"
"368","AT1G15020"
"369","AT1G15030"
"370","AT1G15040"
"371","AT1G15110"
"372","AT1G15130"
"373","AT1G15140"
"374","AT1G15230"
"375","AT1G15240"
"376","AT1G15280"
"377","AT1G15385"
"378","AT1G15390"
"379","AT1G15405"
"380","AT1G15440"
"381","AT1G15570"
"382","AT1G15630"
"383","AT1G15640"
"384","AT1G15660"
"385","AT1G15740"
"386","AT1G15800"
"387","AT1G15810"
"388","AT1G15860"
"389","AT1G15880"
"390","AT1G15910"
"391","AT1G15920"
"392","AT1G15940"
"393","AT1G15960"
"394","AT1G15970"
"395","AT1G16010"
"396","AT1G16040"
"397","AT1G16190"
"398","AT1G16210"
"399","AT1G16270"
"400","AT1G16280"
"401","AT1G16300"
"402","AT1G16340"
"403","AT1G16460"
"404","AT1G16520"
"405","AT1G16710"
"406","AT1G16840"
"407","AT1G16860"
"408","AT1G16900"
"409","AT1G16916"
"410","AT1G16970"
"411","AT1G17060"
"412","AT1G17110"
"413","AT1G17120"
"414","AT1G17130"
"415","AT1G17180"
"416","AT1G17190"
"417","AT1G17210"
"418","AT1G17300"
"419","AT1G17350"
"420","AT1G17410"
"421","AT1G17430"
"422","AT1G17455"
"423","AT1G17490"
"424","AT1G17510"
"425","AT1G17520"
"426","AT1G17530"
"427","AT1G17620"
"428","AT1G17690"
"429","AT1G17720"
"430","AT1G17730"
"431","AT1G17745"
"432","AT1G17890"
"433","AT1G17970"
"434","AT1G18040"
"435","AT1G18150"
"436","AT1G18160"
"437","AT1G18250"
"438","AT1G18260"
"439","AT1G18270"
"440","AT1G18300"
"441","AT1G18470"
"442","AT1G18480"
"443","AT1G18500"
"444","AT1G18580"
"445","AT1G18630"
"446","AT1G18720"
"447","AT1G18740"
"448","AT1G18745"
"449","AT1G18840"
"450","AT1G18850"
"451","AT1G18890"
"452","AT1G18950"
"453","AT1G18975"
