"","col_FLT_c1.which.mclass....8...1."
"1","AT1G01010"
"2","AT1G01170"
"3","AT1G01240"
"4","AT1G01290"
"5","AT1G01430"
"6","AT1G01448"
"7","AT1G01470"
"8","AT1G01640"
"9","AT1G01725"
"10","AT1G01750"
"11","AT1G01770"
"12","AT1G01830"
"13","AT1G02000"
"14","AT1G02110"
"15","AT1G02220"
"16","AT1G02270"
"17","AT1G02280"
"18","AT1G02680"
"19","AT1G02720"
"20","AT1G02810"
"21","AT1G02880"
"22","AT1G02890"
"23","AT1G02900"
"24","AT1G02920"
"25","AT1G02930"
"26","AT1G02960"
"27","AT1G02990"
"28","AT1G03060"
"29","AT1G03090"
"30","AT1G03250"
"31","AT1G03290"
"32","AT1G03365"
"33","AT1G03380"
"34","AT1G03430"
"35","AT1G03680"
"36","AT1G03730"
"37","AT1G03780"
"38","AT1G03850"
"39","AT1G03970"
"40","AT1G04020"
"41","AT1G04280"
"42","AT1G04400"
"43","AT1G04610"
"44","AT1G04790"
"45","AT1G04797"
"46","AT1G04830"
"47","AT1G04970"
"48","AT1G04990"
"49","AT1G05010"
"50","AT1G05055"
"51","AT1G05120"
"52","AT1G05147"
"53","AT1G05190"
"54","AT1G05213"
"55","AT1G05220"
"56","AT1G05250"
"57","AT1G05340"
"58","AT1G05410"
"59","AT1G05430"
"60","AT1G05570"
"61","AT1G05575"
"62","AT1G05660"
"63","AT1G05710"
"64","AT1G05810"
"65","AT1G05830"
"66","AT1G05860"
"67","AT1G05910"
"68","AT1G05970"
"69","AT1G06010"
"70","AT1G06040"
"71","AT1G06060"
"72","AT1G06090"
"73","AT1G06180"
"74","AT1G06253"
"75","AT1G06380"
"76","AT1G06450"
"77","AT1G06500"
"78","AT1G06560"
"79","AT1G06770"
"80","AT1G06780"
"81","AT1G06790"
"82","AT1G07040"
"83","AT1G07110"
"84","AT1G07135"
"85","AT1G07175"
"86","AT1G07220"
"87","AT1G07323"
"88","AT1G07615"
"89","AT1G07647"
"90","AT1G07705"
"91","AT1G07728"
"92","AT1G07980"
"93","AT1G07985"
"94","AT1G08030"
"95","AT1G08040"
"96","AT1G08220"
"97","AT1G08420"
"98","AT1G08460"
"99","AT1G08490"
"100","AT1G08530"
"101","AT1G08590"
"102","AT1G08592"
"103","AT1G08600"
"104","AT1G08710"
"105","AT1G08750"
"106","AT1G08760"
"107","AT1G08803"
"108","AT1G08845"
"109","AT1G08890"
"110","AT1G08920"
"111","AT1G09070"
"112","AT1G09230"
"113","AT1G09260"
"114","AT1G09300"
"115","AT1G09490"
"116","AT1G09700"
"117","AT1G09812"
"118","AT1G09850"
"119","AT1G09927"
"120","AT1G09980"
"121","AT1G10070"
"122","AT1G10140"
"123","AT1G10150"
"124","AT1G10155"
"125","AT1G10170"
"126","AT1G10210"
"127","AT1G10310"
"128","AT1G10400"
"129","AT1G10570"
"130","AT1G10660"
"131","AT1G10690"
"132","AT1G10720"
"133","AT1G10750"
"134","AT1G10820"
"135","AT1G10900"
"136","AT1G10910"
"137","AT1G11060"
"138","AT1G11380"
"139","AT1G11390"
"140","AT1G11530"
"141","AT1G11660"
"142","AT1G11700"
"143","AT1G11740"
"144","AT1G11760"
"145","AT1G11780"
"146","AT1G11820"
"147","AT1G12110"
"148","AT1G12350"
"149","AT1G12450"
"150","AT1G12470"
"151","AT1G12530"
"152","AT1G12680"
"153","AT1G12740"
"154","AT1G12780"
"155","AT1G12845"
"156","AT1G12990"
"157","AT1G13020"
"158","AT1G13110"
"159","AT1G13170"
"160","AT1G13190"
"161","AT1G13195"
"162","AT1G13210"
"163","AT1G13245"
"164","AT1G13300"
"165","AT1G13460"
"166","AT1G13530"
"167","AT1G13580"
"168","AT1G13770"
"169","AT1G13790"
"170","AT1G13880"
"171","AT1G13930"
"172","AT1G13960"
"173","AT1G14020"
"174","AT1G14140"
"175","AT1G14170"
"176","AT1G14200"
"177","AT1G14220"
"178","AT1G14350"
"179","AT1G14390"
"180","AT1G14560"
"181","AT1G14820"
"182","AT1G14850"
"183","AT1G14910"
"184","AT1G14960"
"185","AT1G15000"
"186","AT1G15002"
"187","AT1G15010"
"188","AT1G15030"
"189","AT1G15040"
"190","AT1G15170"
"191","AT1G15330"
"192","AT1G15405"
"193","AT1G15430"
"194","AT1G15470"
"195","AT1G15480"
"196","AT1G15550"
"197","AT1G15620"
"198","AT1G15625"
"199","AT1G15660"
"200","AT1G15680"
"201","AT1G15710"
"202","AT1G15740"
"203","AT1G15780"
"204","AT1G15800"
"205","AT1G15940"
"206","AT1G16020"
"207","AT1G16280"
"208","AT1G16520"
"209","AT1G16570"
"210","AT1G16710"
"211","AT1G16800"
"212","AT1G17147"
"213","AT1G17160"
"214","AT1G17360"
"215","AT1G17410"
"216","AT1G17440"
"217","AT1G17490"
"218","AT1G17550"
"219","AT1G17560"
"220","AT1G17680"
"221","AT1G17980"
"222","AT1G18040"
"223","AT1G18270"
"224","AT1G18300"
"225","AT1G18340"
"226","AT1G18470"
"227","AT1G18580"
"228","AT1G18600"
"229","AT1G18660"
"230","AT1G18720"
"231","AT1G18740"
"232","AT1G18745"
"233","AT1G18850"
"234","AT1G18950"
"235","AT1G18975"
"236","AT1G18980"
"237","AT1G19020"
"238","AT1G19140"
"239","AT1G19170"
"240","AT1G19240"
"241","AT1G19300"
"242","AT1G19430"
"243","AT1G19485"
"244","AT1G19660"
"245","AT1G19710"
"246","AT1G19730"
"247","AT1G19770"
"248","AT1G19860"
"249","AT1G19990"
"250","AT1G20370"
"251","AT1G20410"
"252","AT1G20510"
"253","AT1G20760"
"254","AT1G20930"
