"","col_FLT_c1.which.mclass....2...1."
"1","AT1G01030"
"2","AT1G01180"
"3","AT1G01225"
"4","AT1G01260"
"5","AT1G01320"
"6","AT1G01370"
"7","AT1G01440"
"8","AT1G01580"
"9","AT1G01710"
"10","AT1G01760"
"11","AT1G01780"
"12","AT1G01930"
"13","AT1G01950"
"14","AT1G02180"
"15","AT1G02260"
"16","AT1G02340"
"17","AT1G02360"
"18","AT1G02370"
"19","AT1G02390"
"20","AT1G02430"
"21","AT1G02440"
"22","AT1G02475"
"23","AT1G02610"
"24","AT1G02730"
"25","AT1G02740"
"26","AT1G02750"
"27","AT1G02860"
"28","AT1G02950"
"29","AT1G03000"
"30","AT1G03100"
"31","AT1G03180"
"32","AT1G03260"
"33","AT1G03370"
"34","AT1G03440"
"35","AT1G03457"
"36","AT1G03470"
"37","AT1G03550"
"38","AT1G03650"
"39","AT1G03740"
"40","AT1G03760"
"41","AT1G03770"
"42","AT1G03905"
"43","AT1G03930"
"44","AT1G03960"
"45","AT1G04000"
"46","AT1G04047"
"47","AT1G04053"
"48","AT1G04130"
"49","AT1G04200"
"50","AT1G04230"
"51","AT1G04290"
"52","AT1G04310"
"53","AT1G04360"
"54","AT1G04380"
"55","AT1G04463"
"56","AT1G04550"
"57","AT1G04555"
"58","AT1G04635"
"59","AT1G04640"
"60","AT1G04647"
"61","AT1G04803"
"62","AT1G04833"
"63","AT1G04837"
"64","AT1G04930"
"65","AT1G04945"
"66","AT1G04977"
"67","AT1G05060"
"68","AT1G05090"
"69","AT1G05160"
"70","AT1G05183"
"71","AT1G05280"
"72","AT1G05300"
"73","AT1G05320"
"74","AT1G05385"
"75","AT1G05470"
"76","AT1G05523"
"77","AT1G05553"
"78","AT1G05590"
"79","AT1G05687"
"80","AT1G05730"
"81","AT1G05750"
"82","AT1G05753"
"83","AT1G05760"
"84","AT1G05780"
"85","AT1G05790"
"86","AT1G05837"
"87","AT1G05900"
"88","AT1G06000"
"89","AT1G06002"
"90","AT1G06150"
"91","AT1G06225"
"92","AT1G06227"
"93","AT1G06240"
"94","AT1G06460"
"95","AT1G06473"
"96","AT1G06490"
"97","AT1G06510"
