"","col_FLT_c1.which.mclass....1...1."
"1","AT1G01060"
"2","AT1G01120"
"3","AT1G01200"
"4","AT1G01340"
"5","AT1G01380"
"6","AT1G01560"
"7","AT1G01570"
"8","AT1G01610"
"9","AT1G01660"
"10","AT1G01670"
"11","AT1G01700"
"12","AT1G01715"
"13","AT1G01740"
"14","AT1G01810"
"15","AT1G01840"
"16","AT1G01880"
"17","AT1G01900"
"18","AT1G01970"
"19","AT1G02010"
"20","AT1G02030"
"21","AT1G02050"
"22","AT1G02230"
"23","AT1G02300"
"24","AT1G02380"
"25","AT1G02400"
"26","AT1G02420"
"27","AT1G02450"
"28","AT1G02570"
"29","AT1G02575"
"30","AT1G02660"
"31","AT1G02670"
"32","AT1G03070"
"33","AT1G03130"
"34","AT1G03200"
"35","AT1G03270"
"36","AT1G03300"
"37","AT1G03340"
"38","AT1G03400"
"39","AT1G03510"
"40","AT1G03540"
"41","AT1G03545"
"42","AT1G03600"
"43","AT1G03620"
"44","AT1G03660"
"45","AT1G03790"
"46","AT1G03800"
"47","AT1G03820"
"48","AT1G03940"
"49","AT1G03950"
"50","AT1G03980"
"51","AT1G03990"
"52","AT1G03993"
"53","AT1G04007"
"54","AT1G04050"
"55","AT1G04067"
"56","AT1G04100"
"57","AT1G04117"
"58","AT1G04160"
"59","AT1G04163"
"60","AT1G04180"
"61","AT1G04220"
"62","AT1G04233"
"63","AT1G04247"
"64","AT1G04295"
"65","AT1G04330"
"66","AT1G04390"
"67","AT1G04425"
"68","AT1G04433"
"69","AT1G04477"
"70","AT1G04487"
"71","AT1G04490"
"72","AT1G04513"
"73","AT1G04540"
"74","AT1G04570"
"75","AT1G04620"
"76","AT1G04650"
"77","AT1G04700"
"78","AT1G04707"
"79","AT1G04778"
"80","AT1G04823"
"81","AT1G04840"
"82","AT1G04917"
"83","AT1G05000"
"84","AT1G05030"
"85","AT1G05065"
"86","AT1G05087"
"87","AT1G05100"
"88","AT1G05140"
"89","AT1G05163"
"90","AT1G05200"
"91","AT1G05230"
"92","AT1G05240"
"93","AT1G05267"
"94","AT1G05273"
"95","AT1G05277"
"96","AT1G05287"
"97","AT1G05310"
"98","AT1G05333"
"99","AT1G05370"
"100","AT1G05397"
"101","AT1G05400"
"102","AT1G05420"
"103","AT1G05453"
"104","AT1G05467"
"105","AT1G05530"
"106","AT1G05557"
"107","AT1G05577"
"108","AT1G05600"
"109","AT1G05610"
"110","AT1G05640"
"111","AT1G05700"
"112","AT1G05770"
"113","AT1G05820"
"114","AT1G05835"
"115","AT1G05873"
"116","AT1G05950"
"117","AT1G06080"
"118","AT1G06083"
"119","AT1G06120"
"120","AT1G06140"
"121","AT1G06143"
"122","AT1G06213"
"123","AT1G06265"
"124","AT1G06287"
"125","AT1G06320"
"126","AT1G06330"
"127","AT1G06357"
"128","AT1G06430"
"129","AT1G06440"
"130","AT1G06463"
"131","AT1G06520"
"132","AT1G06580"
"133","AT1G06643"
"134","AT1G06647"
"135","AT1G06690"
"136","AT1G06710"
"137","AT1G06787"
"138","AT1G06923"
"139","AT1G06980"
"140","AT1G06990"
"141","AT1G07090"
"142","AT1G07119"
"143","AT1G07120"
"144","AT1G07150"
"145","AT1G07160"
"146","AT1G07187"
"147","AT1G07270"
"148","AT1G07290"
"149","AT1G07367"
"150","AT1G07373"
"151","AT1G07390"
"152","AT1G07400"
"153","AT1G07485"
"154","AT1G07490"
"155","AT1G07513"
"156","AT1G07560"
"157","AT1G07567"
"158","AT1G07587"
"159","AT1G07607"
"160","AT1G07620"
"161","AT1G07667"
"162","AT1G07710"
"163","AT1G07733"
"164","AT1G07737"
"165","AT1G07740"
"166","AT1G07743"
"167","AT1G07753"
"168","AT1G07795"
"169","AT1G07897"
"170","AT1G07902"
"171","AT1G07903"
"172","AT1G07933"
"173","AT1G07937"
"174","AT1G08043"
"175","AT1G08050"
"176","AT1G08070"
"177","AT1G08087"
"178","AT1G08173"
"179","AT1G08180"
"180","AT1G08213"
"181","AT1G08217"
"182","AT1G08270"
"183","AT1G08300"
"184","AT1G08310"
"185","AT1G08317"
"186","AT1G08380"
"187","AT1G08387"
"188","AT1G08463"
"189","AT1G08507"
"190","AT1G08543"
"191","AT1G08630"
"192","AT1G08643"
"193","AT1G08727"
"194","AT1G08730"
"195","AT1G08753"
"196","AT1G08857"
"197","AT1G08900"
"198","AT1G08973"
"199","AT1G08980"
"200","AT1G09023"
"201","AT1G09040"
"202","AT1G09155"
"203","AT1G09170"
"204","AT1G09220"
"205","AT1G09247"
"206","AT1G09297"
"207","AT1G09327"
"208","AT1G09340"
"209","AT1G09383"
"210","AT1G09390"
"211","AT1G09410"
"212","AT1G09420"
"213","AT1G09440"
"214","AT1G09443"
"215","AT1G09480"
"216","AT1G09487"
"217","AT1G09497"
"218","AT1G09523"
"219","AT1G09530"
"220","AT1G09533"
"221","AT1G09543"
"222","AT1G09600"
"223","AT1G09610"
"224","AT1G09617"
"225","AT1G09627"
"226","AT1G09650"
"227","AT1G09673"
"228","AT1G09697"
"229","AT1G09710"
"230","AT1G09860"
"231","AT1G09880"
"232","AT1G09890"
"233","AT1G09913"
"234","AT1G09963"
"235","AT1G09987"
"236","AT1G09993"
"237","AT1G10000"
"238","AT1G10110"
"239","AT1G10220"
"240","AT1G10300"
"241","AT1G10330"
"242","AT1G10360"
"243","AT1G10417"
"244","AT1G10460"
"245","AT1G10657"
"246","AT1G10920"
"247","AT1G10960"
"248","AT1G11070"
"249","AT1G11080"
"250","AT1G11100"
"251","AT1G11125"
"252","AT1G11160"
"253","AT1G11290"
"254","AT1G11320"
"255","AT1G11330"
"256","AT1G11440"
"257","AT1G11490"
"258","AT1G11500"
"259","AT1G11591"
"260","AT1G11655"
"261","AT1G11900"
"262","AT1G11915"
"263","AT1G12030"
"264","AT1G12060"
"265","AT1G12130"
"266","AT1G12211"
"267","AT1G12220"
"268","AT1G12250"
"269","AT1G12280"
"270","AT1G12290"
"271","AT1G12330"
"272","AT1G12370"
"273","AT1G12480"
"274","AT1G12550"
"275","AT1G12700"
"276","AT1G12775"
"277","AT1G12860"
"278","AT1G12890"
"279","AT1G12950"
"280","AT1G13040"
"281","AT1G13090"
"282","AT1G13100"
"283","AT1G13140"
"284","AT1G13150"
"285","AT1G13330"
"286","AT1G13340"
"287","AT1G13370"
"288","AT1G13410"
"289","AT1G13420"
"290","AT1G13448"
"291","AT1G13480"
"292","AT1G13510"
"293","AT1G13520"
"294","AT1G13550"
"295","AT1G13600"
"296","AT1G13609"
"297","AT1G13630"
"298","AT1G13680"
"299","AT1G13780"
"300","AT1G13800"
"301","AT1G13820"
"302","AT1G14030"
"303","AT1G14150"
"304","AT1G14185"
"305","AT1G14190"
"306","AT1G14205"
"307","AT1G14260"
"308","AT1G14270"
"309","AT1G14280"
"310","AT1G14455"
"311","AT1G14470"
"312","AT1G14480"
"313","AT1G14500"
"314","AT1G14540"
"315","AT1G14580"
"316","AT1G14660"
"317","AT1G14680"
"318","AT1G14686"
"319","AT1G14687"
"320","AT1G14700"
"321","AT1G14750"
"322","AT1G14780"
"323","AT1G15050"
"324","AT1G15160"
"325","AT1G15165"
"326","AT1G15180"
"327","AT1G15190"
"328","AT1G15415"
"329","AT1G15510"
"330","AT1G15520"
"331","AT1G15820"
"332","AT1G15870"
"333","AT1G15885"
"334","AT1G15890"
"335","AT1G15900"
"336","AT1G16030"
"337","AT1G16110"
"338","AT1G16130"
"339","AT1G16150"
"340","AT1G16225"
"341","AT1G16260"
"342","AT1G16360"
"343","AT1G16390"
"344","AT1G16400"
